?,Unknown,Unknown,*
Cambodia,Southeast-Asia,Asia,*
Canada,North-America,Americas,*
China,East-Asia,Asia,*
Columbia,South-America,Americas,*
Cuba,Caribbean,Americas,*
Dominican-Republic,Caribbean,Americas,*
Ecuador,South-America,Americas,*
El-Salvador,Central-America,Americas,*
England,Western-Europe,Europe,*
France,Western-Europe,Europe,*
Germany,Western-Europe,Europe,*
Greece,Eastern-Southern-Europe,Europe,*
Guatemala,Central-America,Americas,*
Haiti,Caribbean,Americas,*
Holand-Netherlands,Western-Europe,Europe,*
Honduras,Central-America,Americas,*
Hong,East-Asia,Asia,*
Hungary,Eastern-Southern-Europe,Europe,*
India,South-Asia,Asia,*
Iran,Middle-East,Asia,*
Ireland,Western-Europe,Europe,*
Italy,Western-Europe,Europe,*
Jamaica,Caribbean,Americas,*
Japan,East-Asia,Asia,*
Laos,Southeast-Asia,Asia,*
Mexico,Central-America,Americas,*
Nicaragua,Central-America,Americas,*
Outlying-US(Guam-USVI-etc),US-associated-territories,Americas,*
Peru,South-America,Americas,*
Philippines,Southeast-Asia,Asia,*
Poland,Eastern-Southern-Europe,Europe,*
Portugal,Western-Europe,Europe,*
Puerto-Rico,Caribbean,Americas,*
Scotland,Western-Europe,Europe,*
South,East-Asia,Asia,*
Taiwan,East-Asia,Asia,*
Thailand,Southeast-Asia,Asia,*
Trinadad&Tobago,Caribbean,Americas,*
United-States,North-America,Americas,*
Vietnam,Southeast-Asia,Asia,*
Yugoslavia,Eastern-Southern-Europe,Europe,*
