age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
*,Government,77516,Higher-education,13,Never-married,Non-manual,Not-in-family,White,Male,2174,0,40,North-America,<=50K
*,Self-employed,83311,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,13,North-America,<=50K
*,Private-sector,215646,Pre-higher-education,9,Previously-married,Manual-or-service,Not-in-family,White,Male,0,0,40,North-America,<=50K
*,Private-sector,234721,Pre-higher-education,7,Married-spouse-present,Manual-or-service,Husband,Non-White,Male,0,0,40,North-America,<=50K
*,Private-sector,338409,Higher-education,13,Married-spouse-present,Non-manual,Wife,Non-White,Female,0,0,40,Caribbean,<=50K
*,Private-sector,284582,Higher-education,14,Married-spouse-present,Non-manual,Wife,White,Female,0,0,40,North-America,<=50K
*,Self-employed,209642,Pre-higher-education,9,Married-spouse-present,Non-manual,Husband,White,Male,0,0,45,North-America,>50K
*,Private-sector,45781,Higher-education,14,Never-married,Non-manual,Not-in-family,White,Female,14084,0,50,North-America,>50K
*,Private-sector,159449,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,5178,0,40,North-America,>50K
*,Private-sector,280464,Higher-education,10,Married-spouse-present,Non-manual,Husband,Non-White,Male,0,0,80,North-America,>50K
*,Government,141297,Higher-education,13,Married-spouse-present,Non-manual,Husband,Non-White,Male,0,0,40,South-Asia,>50K
*,Private-sector,122272,Higher-education,13,Never-married,Non-manual,Own-child,White,Female,0,0,30,North-America,<=50K
*,Private-sector,205019,Higher-education,12,Never-married,Non-manual,Not-in-family,Non-White,Male,0,0,50,North-America,<=50K
*,Private-sector,121772,Higher-education,11,Married-spouse-present,Manual-or-service,Husband,Non-White,Male,0,0,40,Unknown,>50K
*,Self-employed,176756,Pre-higher-education,9,Never-married,Manual-or-service,Own-child,White,Male,0,0,35,North-America,<=50K
*,Private-sector,186824,Pre-higher-education,9,Never-married,Manual-or-service,Unmarried,White,Male,0,0,40,North-America,<=50K
*,Private-sector,28887,Pre-higher-education,7,Married-spouse-present,Non-manual,Husband,White,Male,0,0,50,North-America,<=50K
*,Self-employed,292175,Higher-education,14,Previously-married,Non-manual,Unmarried,White,Female,0,0,45,North-America,>50K
*,Private-sector,193524,Higher-education,16,Married-spouse-present,Non-manual,Husband,White,Male,0,0,60,North-America,>50K
*,Government,76845,Pre-higher-education,5,Married-spouse-present,Manual-or-service,Husband,Non-White,Male,0,0,40,North-America,<=50K
*,Private-sector,117037,Pre-higher-education,7,Married-spouse-present,Manual-or-service,Husband,White,Male,0,2042,40,North-America,<=50K
*,Private-sector,109015,Pre-higher-education,9,Previously-married,Non-manual,Unmarried,White,Female,0,0,40,North-America,<=50K
*,Government,216851,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,40,North-America,>50K
*,Private-sector,168294,Pre-higher-education,9,Never-married,Manual-or-service,Own-child,White,Male,0,0,40,North-America,<=50K
*,Private-sector,367260,Pre-higher-education,9,Previously-married,Non-manual,Not-in-family,White,Male,0,0,80,North-America,<=50K
*,Private-sector,193366,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,North-America,<=50K
*,Government,190709,Higher-education,12,Never-married,Manual-or-service,Not-in-family,White,Male,0,0,52,North-America,<=50K
