target_id,known_values,qid_filter_values,refine_values,qid_exposed_values,qid_equivalence_class_size,stage1_equivalence_class_size,reduced_equivalence_class_size,stage2_equivalence_class_size,equivalence_class_size,equivalence_class_reduction,equivalence_class_reduction_rate,true_record_in_qid_class,true_record_in_reduced_class,unique_reidentified,false_unique_match,true_sensitive_value,predicted_sensitive_top_value,predicted_sensitive_top_probability,true_sensitive_probability,sensitive_value_certain,n_distinct_sensitive_values,sensitive_distribution_json
3684,age=46 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=46 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,318,318,318,28831,0.989091,True,True,False,False,<=50K,>50K,0.597484,0.402516,False,2,"{"">50K"": 0.597484, ""<=50K"": 0.402516}"
24897,age=35 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=35 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,342,342,342,28807,0.988267,True,True,False,False,<=50K,<=50K,0.654971,0.654971,False,2,"{""<=50K"": 0.654971, "">50K"": 0.345029}"
31643,age=63 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=1740,native-country=United-States,age=63 | sex=Male | relationship=Husband | capital-loss=1740,native-country=North-America,29149,29149,2,2,2,29147,0.999931,True,True,False,False,<=50K,<=50K,1.0,1.0,True,1,"{""<=50K"": 1.0}"
19431,age=19 | sex=Male | native-country=United-States | relationship=Own-child | capital-loss=0,native-country=United-States,age=19 | sex=Male | relationship=Own-child | capital-loss=0,native-country=North-America,29149,29149,239,239,239,28910,0.991801,True,True,False,False,<=50K,<=50K,1.0,1.0,True,1,"{""<=50K"": 1.0}"
19078,age=60 | sex=Female | native-country=United-States | relationship=Wife | capital-loss=0,native-country=United-States,age=60 | sex=Female | relationship=Wife | capital-loss=0,native-country=North-America,29149,29149,12,12,12,29137,0.999588,True,True,False,False,>50K,<=50K,0.583333,0.416667,False,2,"{""<=50K"": 0.583333, "">50K"": 0.416667}"
9000,age=58 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=2179,native-country=United-States,age=58 | sex=Male | relationship=Husband | capital-loss=2179,native-country=North-America,29149,29149,1,1,1,29148,0.999966,True,True,True,False,<=50K,<=50K,1.0,1.0,True,1,"{""<=50K"": 1.0}"
19157,age=27 | sex=Male | native-country=United-States | relationship=Husband | capital-loss=0,native-country=United-States,age=27 | sex=Male | relationship=Husband | capital-loss=0,native-country=North-America,29149,29149,182,182,182,28967,0.993756,True,True,False,False,<=50K,<=50K,0.807692,0.807692,False,2,"{""<=50K"": 0.807692, "">50K"": 0.192308}"
15193,age=22 | sex=Female | native-country=United-States | relationship=Wife | capital-loss=0,native-country=United-States,age=22 | sex=Female | relationship=Wife | capital-loss=0,native-country=North-America,29149,29149,14,14,14,29135,0.99952,True,True,False,False,<=50K,<=50K,0.928571,0.928571,False,2,"{""<=50K"": 0.928571, "">50K"": 0.071429}"
18607,age=60 | sex=Female | native-country=United-States | relationship=Not-in-family | capital-loss=0,native-country=United-States,age=60 | sex=Female | relationship=Not-in-family | capital-loss=0,native-country=North-America,29149,29149,37,37,37,29112,0.998731,True,True,False,False,<=50K,<=50K,0.918919,0.918919,False,2,"{""<=50K"": 0.918919, "">50K"": 0.081081}"
11333,age=48 | sex=Female | native-country=United-States | relationship=Own-child | capital-loss=0,native-country=United-States,age=48 | sex=Female | relationship=Own-child | capital-loss=0,native-country=North-America,29149,29149,7,7,7,29142,0.99976,True,True,False,False,<=50K,<=50K,1.0,1.0,True,1,"{""<=50K"": 1.0}"
22151,age=20 | sex=Male | native-country=United-States | relationship=Own-child | capital-loss=0,native-country=United-States,age=20 | sex=Male | relationship=Own-child | capital-loss=0,native-country=North-America,29149,29149,231,231,231,28918,0.992075,True,True,False,False,<=50K,<=50K,1.0,1.0,True,1,"{""<=50K"": 1.0}"
