target_id,known_values,qid_filter_values,refine_values,qid_exposed_values,qid_equivalence_class_size,stage1_equivalence_class_size,reduced_equivalence_class_size,stage2_equivalence_class_size,equivalence_class_size,equivalence_class_reduction,equivalence_class_reduction_rate,true_record_in_qid_class,true_record_in_reduced_class,unique_reidentified,false_unique_match,true_sensitive_value,predicted_sensitive_top_value,predicted_sensitive_top_probability,true_sensitive_probability,sensitive_value_certain,n_distinct_sensitive_values,sensitive_distribution_json
29980,age=20 | sex=Male,,age=20 | sex=Male,,32454,32454,390,390,390,32064,0.987983,True,True,False,False,<=50K,<=50K,1.0,1.0,True,1,"{""<=50K"": 1.0}"
19444,age=30 | sex=Male,,age=30 | sex=Male,,32454,32454,587,587,587,31867,0.981913,True,True,False,False,>50K,<=50K,0.758092,0.241908,False,2,"{""<=50K"": 0.758092, "">50K"": 0.241908}"
30863,age=46 | sex=Female,,age=46 | sex=Female,,32454,32454,225,225,225,32229,0.993067,True,True,False,False,<=50K,<=50K,0.844444,0.844444,False,2,"{""<=50K"": 0.844444, "">50K"": 0.155556}"
1093,age=34 | sex=Male,,age=34 | sex=Male,,32454,32454,628,628,628,31826,0.98065,True,True,False,False,<=50K,<=50K,0.670382,0.670382,False,2,"{""<=50K"": 0.670382, "">50K"": 0.329618}"
18005,age=47 | sex=Female,,age=47 | sex=Female,,32454,32454,213,213,213,32241,0.993437,True,True,False,False,>50K,<=50K,0.826291,0.173709,False,2,"{""<=50K"": 0.826291, "">50K"": 0.173709}"
29097,age=68 | sex=Male,,age=68 | sex=Male,,32454,32454,77,77,77,32377,0.997627,True,True,False,False,<=50K,<=50K,0.701299,0.701299,False,2,"{""<=50K"": 0.701299, "">50K"": 0.298701}"
5524,age=69 | sex=Male,,age=69 | sex=Male,,32454,32454,75,75,75,32379,0.997689,True,True,False,False,<=50K,<=50K,0.733333,0.733333,False,2,"{""<=50K"": 0.733333, "">50K"": 0.266667}"
27316,age=30 | sex=Male,,age=30 | sex=Male,,32454,32454,587,587,587,31867,0.981913,True,True,False,False,>50K,<=50K,0.758092,0.241908,False,2,"{""<=50K"": 0.758092, "">50K"": 0.241908}"
27497,age=76 | sex=Male,,age=76 | sex=Male,,32454,32454,30,30,30,32424,0.999076,True,True,False,False,<=50K,<=50K,0.833333,0.833333,False,2,"{""<=50K"": 0.833333, "">50K"": 0.166667}"
18552,age=18 | sex=Male,,age=18 | sex=Male,,32454,32454,282,282,282,32172,0.991311,True,True,False,False,<=50K,<=50K,1.0,1.0,True,1,"{""<=50K"": 1.0}"
