target_id,ground_truth_member,predicted_member,known_qids,qid_filter_qids,refine_qids,stage1_equivalence_class_size,compatible_candidate_count,reduced_equivalence_class_size,equivalence_class_reduction,equivalence_class_reduction_rate,compatible_candidate_fraction,target_present_in_anonymized,true_record_in_stage1_class,true_record_in_reduced_class,decision_reason,known_age,known_sex,known_native-country,known_relationship
16841,0,0,age|sex|native-country|relationship,native-country,age|sex|relationship,26411,3606,3606,22805,0.863466,0.1289607324225735,False,,,has_candidate=True;compatible_candidate_count=3606;compatible_fraction=0.128961;fraction_ok=False,42,Male,United-States,Not-in-family
27089,1,0,age|sex|native-country|relationship,native-country,age|sex|relationship,26411,3606,3606,22805,0.863466,0.1289607324225735,True,True,True,has_candidate=True;compatible_candidate_count=3606;compatible_fraction=0.128961;fraction_ok=False,25,Male,United-States,Not-in-family
18310,0,1,age|sex|native-country|relationship,native-country,age|sex|relationship,26411,2355,2355,24056,0.910833,0.08422144338745441,False,,,has_candidate=True;compatible_candidate_count=2355;compatible_fraction=0.084221;fraction_ok=True,18,Male,United-States,Own-child
5426,1,1,age|sex|native-country|relationship,native-country,age|sex|relationship,26411,338,338,26073,0.987202,0.012087833488305558,True,True,True,has_candidate=True;compatible_candidate_count=338;compatible_fraction=0.012088;fraction_ok=True,39,Male,United-States,Other-relative
31982,0,0,age|sex|native-country|relationship,native-country,age|sex|relationship,26411,11303,11303,15108,0.572034,0.4042271654388098,False,,,has_candidate=True;compatible_candidate_count=11303;compatible_fraction=0.404227;fraction_ok=False,30,Male,United-States,Husband
4040,1,0,age|sex|native-country|relationship,native-country,age|sex|relationship,26411,3123,3123,23288,0.881754,0.1116872898934268,True,True,True,has_candidate=True;compatible_candidate_count=3123;compatible_fraction=0.111687;fraction_ok=False,38,Female,United-States,Not-in-family
7327,0,1,age|sex|native-country|relationship,native-country,age|sex|relationship,295,210,210,85,0.288136,0.007510192403976826,False,,,has_candidate=True;compatible_candidate_count=210;compatible_fraction=0.007510;fraction_ok=True,53,Male,?,Husband
11958,0,1,age|sex|native-country|relationship,native-country,age|sex|relationship,26411,1732,1732,24679,0.934421,0.061941205922323155,False,,,has_candidate=True;compatible_candidate_count=1732;compatible_fraction=0.061941;fraction_ok=True,31,Female,United-States,Own-child
1487,0,1,age|sex|native-country|relationship,native-country,age|sex|relationship,26411,1732,1732,24679,0.934421,0.061941205922323155,False,,,has_candidate=True;compatible_candidate_count=1732;compatible_fraction=0.061941;fraction_ok=True,25,Female,United-States,Own-child
12644,1,1,age|sex|native-country|relationship,native-country,age|sex|relationship,26411,1836,1836,24575,0.930484,0.06566053930334025,True,True,True,has_candidate=True;compatible_candidate_count=1836;compatible_fraction=0.065661;fraction_ok=True,39,Female,United-States,Unmarried
29658,1,0,age|sex|native-country|relationship,native-country,age|sex|relationship,26411,3123,3123,23288,0.881754,0.1116872898934268,True,True,True,has_candidate=True;compatible_candidate_count=3123;compatible_fraction=0.111687;fraction_ok=False,41,Female,United-States,Not-in-family
25834,0,1,age|sex|native-country|relationship,native-country,age|sex|relationship,26411,1732,1732,24679,0.934421,0.061941205922323155,False,,,has_candidate=True;compatible_candidate_count=1732;compatible_fraction=0.061941;fraction_ok=True,22,Female,United-States,Own-child
11782,0,0,age|sex|native-country|relationship,native-country,age|sex|relationship,26411,11303,11303,15108,0.572034,0.4042271654388098,False,,,has_candidate=True;compatible_candidate_count=11303;compatible_fraction=0.404227;fraction_ok=False,48,Male,United-States,Husband
9295,0,0,age|sex|native-country|relationship,native-country,age|sex|relationship,26411,3606,3606,22805,0.863466,0.1289607324225735,False,,,has_candidate=True;compatible_candidate_count=3606;compatible_fraction=0.128961;fraction_ok=False,36,Male,United-States,Not-in-family
23286,1,1,age|sex|native-country|relationship,native-country,age|sex|relationship,465,253,253,212,0.455914,0.00904799370574351,True,True,True,has_candidate=True;compatible_candidate_count=253;compatible_fraction=0.009048;fraction_ok=True,41,Male,Mexico,Husband
19922,1,0,age|sex|native-country|relationship,native-country,age|sex|relationship,26411,11303,11303,15108,0.572034,0.4042271654388098,True,True,True,has_candidate=True;compatible_candidate_count=11303;compatible_fraction=0.404227;fraction_ok=False,33,Male,United-States,Husband
18554,1,0,age|sex|native-country|relationship,native-country,age|sex|relationship,26411,3123,3123,23288,0.881754,0.1116872898934268,True,True,True,has_candidate=True;compatible_candidate_count=3123;compatible_fraction=0.111687;fraction_ok=False,37,Female,United-States,Not-in-family
25538,1,0,age|sex|native-country|relationship,native-country,age|sex|relationship,26411,11303,11303,15108,0.572034,0.4042271654388098,True,True,True,has_candidate=True;compatible_candidate_count=11303;compatible_fraction=0.404227;fraction_ok=False,37,Male,United-States,Husband
7375,0,1,age|sex|native-country|relationship,native-country,age|sex|relationship,26411,2355,2355,24056,0.910833,0.08422144338745441,False,,,has_candidate=True;compatible_candidate_count=2355;compatible_fraction=0.084221;fraction_ok=True,39,Male,United-States,Own-child
1562,1,0,age|sex|native-country|relationship,native-country,age|sex|relationship,26411,3123,3123,23288,0.881754,0.1116872898934268,True,True,True,has_candidate=True;compatible_candidate_count=3123;compatible_fraction=0.111687;fraction_ok=False,75,Female,United-States,Not-in-family
24801,0,0,age|sex|native-country|relationship,native-country,age|sex|relationship,26411,11303,11303,15108,0.572034,0.4042271654388098,False,,,has_candidate=True;compatible_candidate_count=11303;compatible_fraction=0.404227;fraction_ok=False,29,Male,United-States,Husband
13514,0,0,age|sex|native-country|relationship,native-country,age|sex|relationship,26411,11303,11303,15108,0.572034,0.4042271654388098,False,,,has_candidate=True;compatible_candidate_count=11303;compatible_fraction=0.404227;fraction_ok=False,38,Male,United-States,Husband
14785,1,1,age|sex|native-country|relationship,native-country,age|sex|relationship,26411,2355,2355,24056,0.910833,0.08422144338745441,True,True,True,has_candidate=True;compatible_candidate_count=2355;compatible_fraction=0.084221;fraction_ok=True,17,Male,United-States,Own-child
13844,1,1,age|sex|native-country|relationship,native-country,age|sex|relationship,465,253,253,212,0.455914,0.00904799370574351,True,True,True,has_candidate=True;compatible_candidate_count=253;compatible_fraction=0.009048;fraction_ok=True,24,Male,Mexico,Husband
3692,1,0,age|sex|native-country|relationship,native-country,age|sex|relationship,26411,11303,11303,15108,0.572034,0.4042271654388098,True,True,True,has_candidate=True;compatible_candidate_count=11303;compatible_fraction=0.404227;fraction_ok=False,46,Male,United-States,Husband
12845,0,0,age|sex|native-country|relationship,native-country,age|sex|relationship,26411,3606,3606,22805,0.863466,0.1289607324225735,False,,,has_candidate=True;compatible_candidate_count=3606;compatible_fraction=0.128961;fraction_ok=False,38,Male,United-States,Not-in-family
