record_id,age,sex,native-country,relationship
10030,35,Male,United-States,Husband
10151,52,Female,United-States,Wife
10194,19,Male,United-States,Own-child
10323,35,Male,United-States,Not-in-family
10373,27,Male,United-States,Not-in-family
10383,33,Male,United-States,Not-in-family
10467,63,Male,United-States,Not-in-family
10564,38,Male,United-States,Husband
10567,47,Male,United-States,Unmarried
10583,43,Male,United-States,Husband
10693,36,Female,United-States,Not-in-family
10818,32,Male,United-States,Husband
10826,25,Male,United-States,Not-in-family
10908,64,Female,United-States,Unmarried
10920,43,Male,United-States,Husband
10921,23,Male,United-States,Husband
11041,39,Male,United-States,Husband
11154,20,Female,United-States,Own-child
11184,41,Female,United-States,Wife
11593,42,Male,United-States,Husband
11790,53,Male,United-States,Husband
11926,43,Female,United-States,Unmarried
11942,25,Male,United-States,Husband
11980,31,Female,United-States,Unmarried
1203,44,Male,United-States,Not-in-family
12069,20,Male,United-States,Other-relative
12118,56,Male,United-States,Unmarried
12196,32,Male,United-States,Unmarried
12255,47,Male,United-States,Husband
12322,57,Female,United-States,Not-in-family
12553,35,Female,United-States,Not-in-family
12638,55,Female,United-States,Not-in-family
12789,20,Female,United-States,Not-in-family
12881,17,Male,United-States,Own-child
12898,48,Male,Mexico,Husband
13077,57,Male,United-States,Husband
1308,43,Male,United-States,Husband
13148,49,Male,United-States,Husband
13316,37,Male,United-States,Unmarried
13514,38,Male,United-States,Husband
13701,59,Female,United-States,Own-child
13752,46,Male,United-States,Husband
13813,31,Female,United-States,Wife
13823,30,Male,United-States,Not-in-family
13856,58,Male,United-States,Unmarried
14000,54,Male,United-States,Husband
14031,52,Male,United-States,Not-in-family
1405,24,Male,United-States,Husband
14099,74,Male,United-States,Not-in-family
14146,50,Male,United-States,Husband
14362,35,Male,United-States,Husband
14863,38,Male,United-States,Husband
15017,48,Male,United-States,Husband
15217,24,Male,United-States,Not-in-family
15276,31,Male,United-States,Not-in-family
15326,32,Male,United-States,Husband
15332,29,Male,United-States,Own-child
15406,32,Male,United-States,Not-in-family
1550,23,Female,United-States,Own-child
1566,29,Male,United-States,Husband
15813,32,Male,United-States,Husband
15896,19,Male,United-States,Not-in-family
16088,54,Male,United-States,Not-in-family
16137,48,Male,United-States,Husband
16177,36,Male,United-States,Husband
16217,51,Female,United-States,Wife
16291,37,Male,United-States,Husband
