record_id,native-country,sex,race,age
10010,United-States,Male,White,56
10024,United-States,Female,White,49
10029,United-States,Male,White,33
10052,United-States,Female,White,61
10062,?,Male,White,38
10066,United-States,Female,Black,27
10068,United-States,Male,White,28
10070,United-States,Female,White,28
10072,United-States,Female,White,18
10077,United-States,Male,Black,58
10095,United-States,Female,White,31
10109,United-States,Male,White,56
10163,United-States,Male,White,29
10166,United-States,Male,White,55
10173,United-States,Male,White,49
10192,United-States,Male,White,59
102,United-States,Female,White,47
10201,United-States,Male,White,21
10249,United-States,Male,White,19
1031,United-States,Male,White,20
10322,United-States,Male,White,35
10330,United-States,Female,White,36
10334,United-States,Male,White,35
10348,United-States,Male,White,26
10358,United-States,Female,White,50
10418,United-States,Male,White,44
10424,United-States,Male,White,51
10445,United-States,Male,White,28
10448,United-States,Female,White,64
10531,United-States,Female,White,60
10610,United-States,Male,White,38
10614,United-States,Female,White,39
10622,United-States,Female,White,20
10635,United-States,Female,White,36
10646,United-States,Male,White,50
10662,United-States,Male,White,18
10772,South,Female,Asian-Pac-Islander,43
10779,United-States,Male,White,23
10821,United-States,Female,White,23
10843,United-States,Male,White,27
10846,United-States,Female,White,20
10852,United-States,Female,White,34
10878,United-States,Male,White,34
10894,United-States,Female,White,71
10938,United-States,Female,White,28
10942,United-States,Male,White,63
10967,United-States,Male,White,29
10970,United-States,Female,White,21
10973,United-States,Female,Black,50
10980,United-States,Male,White,54
10993,United-States,Male,White,23
10998,United-States,Male,White,65
11060,United-States,Male,White,58
11089,United-States,Male,White,31
11119,England,Male,White,37
11123,United-States,Female,White,39
11148,United-States,Male,White,20
11152,United-States,Male,White,32
11181,United-States,Male,White,47
11187,?,Female,White,65
11204,United-States,Male,White,46
11225,United-States,Male,White,26
11236,United-States,Female,White,31
11239,United-States,Male,Black,35
11244,United-States,Female,White,32
1126,United-States,Male,White,35
11268,United-States,Female,White,32
11302,United-States,Male,White,43
11320,United-States,Male,White,26
11335,United-States,Male,White,50
11346,United-States,Male,Black,50
11370,United-States,Female,White,51
11390,United-States,Female,White,30
11430,United-States,Female,White,31
11439,United-States,Male,White,23
11496,United-States,Male,Black,22
11514,United-States,Male,White,42
1152,?,Male,White,24
11544,United-States,Male,White,30
11565,United-States,Male,White,43
11580,United-States,Male,White,71
11587,United-States,Male,White,40
11602,United-States,Male,Black,36
1161,United-States,Male,White,51
11612,United-States,Male,White,47
11615,United-States,Male,White,59
11630,United-States,Male,Black,22
11634,United-States,Male,White,32
11637,Cambodia,Male,Asian-Pac-Islander,51
1164,United-States,Female,White,50
1166,United-States,Male,White,65
11667,United-States,Male,White,24
11677,United-States,Male,White,41
11684,United-States,Female,Black,30
11692,United-States,Male,White,34
11700,United-States,Male,White,38
11732,United-States,Female,White,76
11768,United-States,Male,White,35
11770,United-States,Female,White,78
11845,United-States,Male,White,36
11859,United-States,Female,White,30
11864,Mexico,Male,White,21
11866,United-States,Female,White,45
11875,United-States,Male,White,63
11877,United-States,Male,White,38
11879,United-States,Male,White,43
11887,United-States,Female,White,44
1193,United-States,Male,White,28
11930,United-States,Male,White,26
11949,United-States,Female,White,31
1197,United-States,Male,White,59
11974,Italy,Male,White,53
12050,United-States,Female,White,54
12076,United-States,Male,Black,34
12077,United-States,Female,Black,61
12082,?,Female,Black,36
12083,United-States,Male,White,56
12112,United-States,Male,White,48
12128,United-States,Male,White,45
1214,United-States,Male,White,20
12142,United-States,Male,Black,55
12169,Italy,Male,White,25
12182,Puerto-Rico,Male,White,57
12238,United-States,Male,Black,40
12240,United-States,Male,Black,46
12246,United-States,Male,White,50
12266,Germany,Female,White,39
12267,Poland,Male,White,28
12309,United-States,Female,White,22
12324,United-States,Male,White,46
12386,United-States,Male,White,28
12389,United-States,Female,White,39
12403,United-States,Female,White,22
12404,United-States,Male,Asian-Pac-Islander,20
12407,United-States,Male,White,71
12420,Jamaica,Male,Black,41
12428,United-States,Female,White,55
12445,United-States,Male,White,46
12454,United-States,Female,White,42
12460,United-States,Male,White,32
12461,United-States,Female,White,36
12470,?,Male,White,31
12501,United-States,Female,White,28
12516,United-States,Male,White,43
12534,United-States,Male,White,24
12537,United-States,Male,White,62
12625,South,Male,Asian-Pac-Islander,51
12638,United-States,Female,Black,55
12678,United-States,Male,White,17
12679,Mexico,Male,White,48
1269,United-States,Male,White,44
12769,United-States,Female,White,44
12821,United-States,Male,White,50
12823,United-States,Female,White,26
12826,United-States,Female,White,19
12881,United-States,Male,White,17
12890,United-States,Male,White,38
12913,Philippines,Female,Asian-Pac-Islander,45
12927,United-States,Male,White,26
12937,United-States,Male,Black,44
12939,United-States,Female,White,52
12941,United-States,Female,White,18
12956,United-States,Female,White,18
12966,United-States,Female,Black,23
13065,United-States,Male,White,49
13088,?,Male,White,25
13094,United-States,Female,White,34
1312,United-States,Female,White,20
13120,United-States,Male,White,51
13134,United-States,Female,White,41
13154,United-States,Male,Black,46
13258,United-States,Female,Black,27
13272,United-States,Male,White,36
13327,United-States,Female,Asian-Pac-Islander,49
13330,United-States,Female,White,64
1335,United-States,Female,White,33
13354,United-States,Female,White,19
13393,United-States,Male,White,23
13396,United-States,Male,White,31
13417,United-States,Female,White,18
13439,United-States,Male,White,38
13445,United-States,Female,White,44
13477,United-States,Female,White,34
13479,United-States,Male,White,32
13485,United-States,Male,White,31
13528,United-States,Male,White,48
13535,United-States,Male,White,54
13601,El-Salvador,Male,White,24
