record_id,age,sex,native-country,relationship
10010,56,Male,United-States,Husband
10025,45,Male,United-States,Husband
10028,35,Male,United-States,Husband
10039,22,Male,United-States,Own-child
10183,21,Female,United-States,Own-child
10243,42,Male,United-States,Husband
10281,17,Male,United-States,Own-child
10388,27,Male,United-States,Husband
10457,39,Male,United-States,Husband
10656,40,Male,United-States,Husband
10697,18,Male,United-States,Own-child
10754,43,Female,United-States,Unmarried
10795,43,Female,United-States,Unmarried
10998,65,Male,United-States,Husband
11214,20,Female,United-States,Not-in-family
11218,29,Male,United-States,Husband
11268,32,Female,United-States,Unmarried
11479,37,Male,United-States,Husband
11536,63,Male,United-States,Husband
11568,32,Male,United-States,Husband
11745,33,Male,United-States,Not-in-family
11768,35,Male,United-States,Own-child
11921,38,Female,United-States,Wife
11930,26,Male,United-States,Husband
12050,54,Female,United-States,Not-in-family
12106,33,Male,United-States,Not-in-family
12140,27,Male,United-States,Husband
12241,28,Male,United-States,Not-in-family
12250,51,Male,United-States,Husband
12396,35,Male,United-States,Not-in-family
12559,47,Female,United-States,Unmarried
12567,41,Male,United-States,Husband
12665,37,Male,United-States,Not-in-family
12684,23,Male,United-States,Own-child
12753,55,Female,United-States,Unmarried
12946,64,Female,United-States,Not-in-family
12978,29,Male,United-States,Husband
13149,47,Female,United-States,Unmarried
13164,39,Male,United-States,Husband
13328,49,Male,United-States,Not-in-family
13499,50,Male,?,Husband
13539,39,Male,United-States,Husband
13599,34,Male,United-States,Husband
13623,71,Male,United-States,Husband
13727,44,Male,United-States,Husband
1377,54,Male,United-States,Husband
13771,20,Male,United-States,Own-child
13853,24,Male,United-States,Not-in-family
13904,50,Male,United-States,Husband
14010,45,Female,United-States,Unmarried
14079,24,Female,United-States,Not-in-family
14134,35,Male,United-States,Husband
1415,28,Male,United-States,Husband
14308,45,Male,United-States,Husband
14370,22,Male,United-States,Other-relative
14432,21,Male,United-States,Own-child
14434,29,Male,United-States,Husband
14616,18,Female,United-States,Own-child
14636,41,Male,United-States,Own-child
14687,58,Male,United-States,Husband
14716,23,Male,United-States,Husband
14737,51,Male,United-States,Husband
14780,26,Male,United-States,Husband
14789,23,Female,United-States,Not-in-family
14818,44,Male,United-States,Husband
14949,36,Female,United-States,Wife
15139,22,Male,United-States,Own-child
15211,36,Male,United-States,Not-in-family
1522,30,Female,United-States,Unmarried
15312,32,Male,United-States,Not-in-family
15468,29,Female,United-States,Not-in-family
15710,30,Male,United-States,Not-in-family
1575,52,Male,United-States,Husband
15807,24,Male,United-States,Own-child
15844,59,Male,United-States,Not-in-family
15944,60,Male,United-States,Husband
1605,67,Male,United-States,Husband
16322,39,Female,United-States,Other-relative
16371,41,Male,United-States,Husband
16469,18,Female,United-States,Own-child
16506,21,Female,United-States,Own-child
16590,34,Male,United-States,Not-in-family
16688,47,Male,United-States,Husband
16787,17,Male,United-States,Own-child
16792,31,Female,United-States,Not-in-family
16893,54,Male,United-States,Husband
16972,34,Female,United-States,Unmarried
17029,34,Female,United-States,Own-child
17083,24,Female,United-States,Own-child
17207,50,Male,United-States,Husband
17220,39,Male,United-States,Own-child
17295,22,Female,United-States,Own-child
17413,28,Male,United-States,Unmarried
17422,37,Male,United-States,Husband
1748,27,Female,United-States,Not-in-family
17615,35,Male,United-States,Own-child
17633,62,Male,United-States,Husband
17778,39,Male,United-States,Husband
17830,37,Male,United-States,Not-in-family
17940,30,Male,United-States,Husband
17965,53,Male,United-States,Husband
18014,36,Male,United-States,Husband
18019,17,Male,United-States,Own-child
18058,36,Male,United-States,Unmarried
18064,31,Female,United-States,Wife
1824,51,Male,United-States,Husband
18268,24,Male,United-States,Own-child
18346,43,Female,United-States,Not-in-family
18374,39,Male,United-States,Husband
18500,55,Male,United-States,Husband
18567,32,Male,United-States,Not-in-family
18851,25,Male,United-States,Not-in-family
18882,43,Male,United-States,Husband
18965,45,Female,United-States,Not-in-family
19006,42,Male,United-States,Husband
19028,61,Male,United-States,Husband
19038,52,Male,Philippines,Husband
19287,29,Female,United-States,Not-in-family
19355,39,Male,United-States,Husband
19386,58,Male,United-States,Husband
19499,45,Male,United-States,Husband
19631,34,Male,United-States,Husband
19742,40,Female,United-States,Not-in-family
19854,26,Male,United-States,Not-in-family
20043,23,Male,United-States,Husband
2021,36,Male,England,Not-in-family
20250,59,Male,United-States,Husband
20397,30,Female,United-States,Unmarried
20466,25,Male,United-States,Own-child
20468,57,Male,United-States,Husband
20500,40,Female,United-States,Not-in-family
20820,34,Male,United-States,Husband
20843,53,Female,United-States,Not-in-family
21025,19,Female,United-States,Not-in-family
21051,34,Male,United-States,Husband
21188,46,Male,United-States,Husband
21200,17,Male,United-States,Own-child
21295,23,Male,United-States,Own-child
21407,22,Female,United-States,Not-in-family
21526,37,Male,United-States,Husband
21796,40,Male,United-States,Husband
21909,22,Male,United-States,Unmarried
21980,48,Female,United-States,Not-in-family
22008,42,Male,United-States,Husband
22013,69,Male,United-States,Husband
22057,58,Male,United-States,Husband
22108,48,Female,United-States,Not-in-family
22401,40,Female,United-States,Not-in-family
22485,25,Male,United-States,Husband
22521,50,Male,United-States,Husband
22656,44,Female,United-States,Not-in-family
2270,38,Male,United-States,Unmarried
22910,19,Female,United-States,Other-relative
22911,30,Male,United-States,Own-child
23099,20,Female,United-States,Not-in-family
23231,36,Male,United-States,Husband
23435,29,Female,United-States,Not-in-family
23658,48,Male,United-States,Unmarried
24527,63,Male,United-States,Husband
24580,21,Male,United-States,Own-child
24648,31,Female,United-States,Not-in-family
24677,19,Female,United-States,Not-in-family
25279,69,Male,United-States,Husband
25294,34,Male,United-States,Own-child
25627,44,Male,United-States,Not-in-family
25644,27,Female,United-States,Own-child
25653,45,Female,United-States,Not-in-family
2577,48,Female,United-States,Unmarried
25933,38,Male,United-States,Husband
25952,48,Male,United-States,Husband
26097,30,Male,United-States,Not-in-family
26209,32,Male,United-States,Husband
26222,47,Male,United-States,Not-in-family
26357,23,Female,United-States,Own-child
26473,34,Male,United-States,Husband
26477,36,Male,United-States,Husband
26561,34,Female,United-States,Wife
26606,54,Male,China,Husband
26708,65,Female,United-States,Not-in-family
26723,41,Female,United-States,Wife
26725,56,Female,United-States,Wife
26862,48,Male,Japan,Husband
26902,78,Male,United-States,Husband
26938,35,Male,United-States,Husband
26968,26,Male,United-States,Husband
27061,45,Male,United-States,Not-in-family
27103,37,Male,Mexico,Husband
27299,37,Male,?,Husband
27423,27,Female,United-States,Not-in-family
27479,54,Male,United-States,Unmarried
27577,42,Male,United-States,Husband
27655,41,Male,United-States,Not-in-family
277,35,Female,United-States,Not-in-family
27774,19,Male,United-States,Own-child
27785,62,Male,United-States,Husband
27806,32,Female,United-States,Not-in-family
27812,28,Female,United-States,Own-child
2786,30,Male,United-States,Husband
2787,20,Female,United-States,Not-in-family
27881,49,Male,United-States,Husband
28116,44,Male,United-States,Husband
2844,37,Male,United-States,Husband
28670,32,Female,United-States,Not-in-family
2879,22,Male,United-States,Other-relative
28836,19,Male,Mexico,Other-relative
28871,26,Male,Mexico,Not-in-family
28924,42,Male,Philippines,Husband
29055,43,Male,United-States,Not-in-family
29185,48,Female,United-States,Unmarried
29279,17,Female,United-States,Own-child
29535,46,Male,United-States,Husband
29802,47,Male,United-States,Husband
30039,25,Male,United-States,Own-child
30065,36,Male,El-Salvador,Husband
30251,23,Female,United-States,Not-in-family
30269,29,Male,United-States,Husband
30315,42,Female,United-States,Wife
30352,62,Male,United-States,Husband
30600,64,Male,United-States,Husband
30691,20,Male,United-States,Own-child
3103,20,Female,United-States,Own-child
31195,36,Male,United-States,Not-in-family
31320,24,Female,United-States,Not-in-family
31358,31,Male,United-States,Husband
31394,39,Male,United-States,Husband
31482,45,Male,United-States,Husband
31517,24,Male,United-States,Not-in-family
31535,51,Male,United-States,Husband
31659,24,Male,United-States,Not-in-family
31870,44,Male,United-States,Husband
3205,31,Male,United-States,Unmarried
32248,24,Female,United-States,Not-in-family
32439,23,Male,United-States,Own-child
3282,45,Male,United-States,Other-relative
3336,33,Female,United-States,Wife
3375,21,Male,United-States,Husband
3445,41,Male,United-States,Husband
3489,36,Female,United-States,Wife
3491,33,Female,United-States,Unmarried
3566,24,Male,United-States,Not-in-family
3629,32,Male,United-States,Husband
3733,64,Female,United-States,Wife
3752,47,Male,United-States,Husband
3830,57,Male,United-States,Husband
3857,51,Female,United-States,Not-in-family
4183,23,Male,United-States,Not-in-family
4582,37,Female,United-States,Not-in-family
4645,45,Male,United-States,Husband
469,30,Female,United-States,Wife
4808,49,Male,United-States,Husband
4878,46,Female,United-States,Wife
4925,28,Male,United-States,Not-in-family
4956,41,Male,United-States,Unmarried
5131,47,Female,United-States,Wife
5260,21,Female,United-States,Own-child
5292,21,Female,United-States,Own-child
5419,28,Male,United-States,Husband
5503,21,Male,Mexico,Unmarried
5585,55,Female,United-States,Unmarried
571,51,Male,United-States,Husband
5834,58,Male,Cuba,Husband
5939,36,Male,United-States,Husband
5945,20,Female,United-States,Own-child
6008,51,Male,United-States,Husband
6060,40,Female,United-States,Unmarried
6087,19,Male,United-States,Own-child
6478,43,Male,United-States,Husband
6766,71,Male,United-States,Husband
6777,29,Female,United-States,Unmarried
6806,18,Female,United-States,Own-child
7120,47,Male,United-States,Husband
7316,23,Male,United-States,Not-in-family
7434,33,Female,United-States,Wife
7446,33,Female,United-States,Unmarried
7972,31,Female,United-States,Not-in-family
8043,24,Male,United-States,Not-in-family
8079,47,Male,United-States,Husband
8187,68,Female,United-States,Not-in-family
8251,49,Female,United-States,Unmarried
8260,25,Male,United-States,Not-in-family
8270,43,Male,United-States,Husband
843,62,Female,United-States,Not-in-family
8514,21,Female,United-States,Own-child
8523,34,Male,United-States,Not-in-family
8584,53,Male,United-States,Husband
9075,36,Male,United-States,Husband
9108,54,Male,United-States,Husband
9223,47,Male,United-States,Other-relative
9397,46,Male,United-States,Husband
9411,23,Male,United-States,Own-child
9428,32,Male,United-States,Unmarried
9532,43,Female,United-States,Wife
9668,31,Male,United-States,Husband
969,36,Female,United-States,Not-in-family
9804,18,Female,United-States,Own-child
