record_id,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,*,Government,77516,Higher-education,13,Never-married,Non-manual,Not-in-family,White,Male,2174,0,40,North-America,<=50K
1,*,Self-employed,83311,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,13,North-America,<=50K
2,*,Private-sector,215646,Pre-higher-education,9,Previously-married,Manual-or-service,Not-in-family,White,Male,0,0,40,North-America,<=50K
3,*,Private-sector,234721,Pre-higher-education,7,Married-spouse-present,Manual-or-service,Husband,Non-White,Male,0,0,40,North-America,<=50K
4,*,Private-sector,338409,Higher-education,13,Married-spouse-present,Non-manual,Wife,Non-White,Female,0,0,40,Caribbean,<=50K
5,*,Private-sector,284582,Higher-education,14,Married-spouse-present,Non-manual,Wife,White,Female,0,0,40,North-America,<=50K
7,*,Self-employed,209642,Pre-higher-education,9,Married-spouse-present,Non-manual,Husband,White,Male,0,0,45,North-America,>50K
8,*,Private-sector,45781,Higher-education,14,Never-married,Non-manual,Not-in-family,White,Female,14084,0,50,North-America,>50K
9,*,Private-sector,159449,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,5178,0,40,North-America,>50K
10,*,Private-sector,280464,Higher-education,10,Married-spouse-present,Non-manual,Husband,Non-White,Male,0,0,80,North-America,>50K
11,*,Government,141297,Higher-education,13,Married-spouse-present,Non-manual,Husband,Non-White,Male,0,0,40,South-Asia,>50K
12,*,Private-sector,122272,Higher-education,13,Never-married,Non-manual,Own-child,White,Female,0,0,30,North-America,<=50K
13,*,Private-sector,205019,Higher-education,12,Never-married,Non-manual,Not-in-family,Non-White,Male,0,0,50,North-America,<=50K
14,*,Private-sector,121772,Higher-education,11,Married-spouse-present,Manual-or-service,Husband,Non-White,Male,0,0,40,Unknown,>50K
16,*,Self-employed,176756,Pre-higher-education,9,Never-married,Manual-or-service,Own-child,White,Male,0,0,35,North-America,<=50K
17,*,Private-sector,186824,Pre-higher-education,9,Never-married,Manual-or-service,Unmarried,White,Male,0,0,40,North-America,<=50K
18,*,Private-sector,28887,Pre-higher-education,7,Married-spouse-present,Non-manual,Husband,White,Male,0,0,50,North-America,<=50K
19,*,Self-employed,292175,Higher-education,14,Previously-married,Non-manual,Unmarried,White,Female,0,0,45,North-America,>50K
20,*,Private-sector,193524,Higher-education,16,Married-spouse-present,Non-manual,Husband,White,Male,0,0,60,North-America,>50K
22,*,Government,76845,Pre-higher-education,5,Married-spouse-present,Manual-or-service,Husband,Non-White,Male,0,0,40,North-America,<=50K
23,*,Private-sector,117037,Pre-higher-education,7,Married-spouse-present,Manual-or-service,Husband,White,Male,0,2042,40,North-America,<=50K
24,*,Private-sector,109015,Pre-higher-education,9,Previously-married,Non-manual,Unmarried,White,Female,0,0,40,North-America,<=50K
25,*,Government,216851,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,40,North-America,>50K
26,*,Private-sector,168294,Pre-higher-education,9,Never-married,Manual-or-service,Own-child,White,Male,0,0,40,North-America,<=50K
28,*,Private-sector,367260,Pre-higher-education,9,Previously-married,Non-manual,Not-in-family,White,Male,0,0,80,North-America,<=50K
29,*,Private-sector,193366,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,North-America,<=50K
30,*,Government,190709,Higher-education,12,Never-married,Manual-or-service,Not-in-family,White,Male,0,0,52,North-America,<=50K
31,*,Private-sector,266015,Higher-education,10,Never-married,Non-manual,Own-child,Non-White,Male,0,0,44,North-America,<=50K
32,*,Private-sector,386940,Higher-education,13,Previously-married,Non-manual,Own-child,White,Male,0,1408,40,North-America,<=50K
33,*,Government,59951,Higher-education,10,Married-spouse-present,Non-manual,Own-child,White,Male,0,0,40,North-America,<=50K
34,*,Government,311512,Higher-education,10,Married-spouse-present,Manual-or-service,Husband,Non-White,Male,0,0,15,North-America,<=50K
36,*,Private-sector,197200,Higher-education,10,Never-married,Manual-or-service,Own-child,White,Male,0,0,40,North-America,<=50K
37,*,Private-sector,544091,Pre-higher-education,9,Married-spouse-present,Non-manual,Wife,White,Female,0,0,25,North-America,<=50K
38,*,Private-sector,84154,Higher-education,10,Married-spouse-present,Non-manual,Husband,White,Male,0,0,38,Unknown,>50K
39,*,Self-employed,265477,Higher-education,12,Married-spouse-present,Non-manual,Husband,White,Male,0,0,40,North-America,<=50K
40,*,Private-sector,507875,Pre-higher-education,5,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,43,North-America,<=50K
41,*,Self-employed,88506,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,40,North-America,<=50K
42,*,Private-sector,172987,Higher-education,13,Married-spouse-present,Non-manual,Husband,White,Male,0,0,50,North-America,<=50K
43,*,Private-sector,94638,Pre-higher-education,9,Previously-married,Non-manual,Unmarried,White,Female,0,0,40,North-America,<=50K
44,*,Private-sector,289980,Pre-higher-education,9,Never-married,Manual-or-service,Not-in-family,White,Male,0,0,35,North-America,<=50K
45,*,Government,337895,Higher-education,13,Married-spouse-present,Non-manual,Husband,Non-White,Male,0,0,40,North-America,>50K
46,*,Private-sector,144361,Pre-higher-education,9,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,38,North-America,<=50K
47,*,Private-sector,128354,Higher-education,14,Previously-married,Non-manual,Unmarried,White,Female,0,0,40,North-America,<=50K
48,*,Government,101603,Higher-education,11,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,North-America,<=50K
49,*,Private-sector,271466,Higher-education,11,Never-married,Non-manual,Not-in-family,White,Male,0,0,43,North-America,<=50K
50,*,Private-sector,32275,Higher-education,10,Married-spouse-present,Non-manual,Wife,Non-White,Female,0,0,40,North-America,<=50K
53,*,Government,251585,Higher-education,13,Previously-married,Non-manual,Not-in-family,White,Male,0,0,55,North-America,>50K
54,*,Self-employed,109832,Pre-higher-education,9,Previously-married,Non-manual,Not-in-family,White,Male,0,0,60,North-America,<=50K
55,*,Private-sector,237993,Higher-education,10,Married-spouse-present,Non-manual,Husband,White,Male,0,0,40,North-America,>50K
56,*,Private-sector,216666,Pre-higher-education,3,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,Central-America,<=50K
57,*,Private-sector,56352,Higher-education,11,Married-spouse-present,Manual-or-service,Husband,White,Male,0,0,40,Caribbean,<=50K
