record_id,age,education,marital-status,native-country,occupation,race,relationship,sex,capital-gain,capital-loss,hours-per-week,workclass
10029,33,Some-college,Never-married,United-States,Machine-op-inspct,White,Not-in-family,Male,0,0,40,Private
10093,42,HS-grad,Married-civ-spouse,United-States,Transport-moving,White,Husband,Male,0,0,50,Private
10284,63,Some-college,Married-civ-spouse,United-States,Tech-support,White,Husband,Male,0,0,18,Federal-gov
10314,39,Bachelors,Married-civ-spouse,United-States,Tech-support,White,Husband,Male,0,0,50,Private
10449,17,10th,Never-married,United-States,Other-service,White,Own-child,Male,0,0,25,Private
10520,26,HS-grad,Divorced,United-States,Adm-clerical,White,Unmarried,Female,0,0,25,Local-gov
10564,38,HS-grad,Married-civ-spouse,United-States,Transport-moving,White,Husband,Male,0,2051,40,Federal-gov
10610,38,Assoc-voc,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,0,0,40,Federal-gov
10636,46,Bachelors,Never-married,United-States,Prof-specialty,White,Not-in-family,Female,0,0,40,Private
10664,45,5th-6th,Divorced,United-States,Transport-moving,White,Unmarried,Male,0,0,40,Private
10694,25,HS-grad,Never-married,United-States,Exec-managerial,White,Not-in-family,Male,0,0,40,State-gov
10770,38,Some-college,Married-civ-spouse,Philippines,Other-service,Asian-Pac-Islander,Husband,Male,0,0,40,Private
10806,46,HS-grad,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,Male,0,0,40,Private
10868,29,Some-college,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,0,0,40,Local-gov
10938,28,Bachelors,Never-married,United-States,Tech-support,White,Not-in-family,Female,0,1980,35,Private
10961,21,HS-grad,Never-married,United-States,Adm-clerical,White,Not-in-family,Female,0,0,25,Private
11082,33,Bachelors,Married-civ-spouse,Germany,Exec-managerial,White,Husband,Male,0,0,50,Private
11148,20,Some-college,Never-married,United-States,Farming-fishing,White,Own-child,Male,0,0,10,Private
11291,28,Assoc-voc,Never-married,United-States,Tech-support,White,Own-child,Female,0,0,38,Private
11347,20,Some-college,Never-married,United-States,Sales,White,Own-child,Male,0,0,25,Private
11372,29,Some-college,Married-civ-spouse,United-States,Protective-serv,White,Husband,Male,0,0,45,Private
11614,35,Bachelors,Divorced,?,?,White,Unmarried,Female,0,0,16,?
1183,32,HS-grad,Married-civ-spouse,United-States,Adm-clerical,White,Husband,Male,0,0,40,Private
11850,42,Bachelors,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,0,0,40,State-gov
11877,38,Assoc-voc,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,0,0,40,Private
12074,33,Doctorate,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,0,0,60,Self-emp-inc
12170,19,Some-college,Never-married,United-States,Other-service,White,Not-in-family,Female,0,0,30,Private
12177,47,HS-grad,Divorced,United-States,Exec-managerial,White,Not-in-family,Female,0,1974,40,Private
12239,26,HS-grad,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,Male,0,0,45,Private
12395,68,Some-college,Divorced,United-States,Exec-managerial,White,Not-in-family,Male,0,0,30,Private
12487,34,11th,Married-civ-spouse,United-States,Transport-moving,White,Husband,Male,0,0,50,Private
12530,39,HS-grad,Never-married,United-States,Adm-clerical,White,Own-child,Female,0,0,40,Private
12560,34,Bachelors,Married-civ-spouse,?,Prof-specialty,Asian-Pac-Islander,Husband,Male,0,0,40,Private
12843,57,Bachelors,Married-civ-spouse,United-States,Exec-managerial,White,Wife,Female,0,0,40,Private
12853,37,Prof-school,Married-civ-spouse,Mexico,?,White,Husband,Male,0,0,6,?
12893,49,Masters,Widowed,United-States,Prof-specialty,White,Unmarried,Female,0,0,16,Local-gov
12934,24,HS-grad,Never-married,United-States,Machine-op-inspct,White,Own-child,Male,0,0,40,Private
13069,23,Assoc-acdm,Married-civ-spouse,El-Salvador,?,White,Husband,Male,0,0,40,?
13123,43,Masters,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,0,0,40,Local-gov
13185,39,HS-grad,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,0,0,60,Private
13293,31,Bachelors,Married-civ-spouse,United-States,Prof-specialty,White,Wife,Female,0,0,35,Private
13552,19,HS-grad,Never-married,United-States,?,White,Own-child,Male,0,0,30,?
13553,38,HS-grad,Never-married,United-States,Adm-clerical,White,Not-in-family,Male,0,0,40,Private
13671,34,Some-college,Divorced,United-States,Adm-clerical,White,Not-in-family,Female,0,0,40,Private
13756,27,HS-grad,Never-married,United-States,Adm-clerical,White,Not-in-family,Male,0,0,50,Private
1384,37,HS-grad,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,0,0,60,Self-emp-not-inc
1396,54,HS-grad,Married-civ-spouse,United-States,Transport-moving,Black,Husband,Male,5013,0,40,Private
14070,60,Some-college,Divorced,United-States,Sales,White,Not-in-family,Female,0,0,48,Private
14075,18,12th,Never-married,United-States,Other-service,White,Own-child,Male,0,0,15,Private
14083,54,Bachelors,Never-married,United-States,Adm-clerical,White,Not-in-family,Female,14084,0,40,Private
14176,29,HS-grad,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,Male,0,0,50,Private
14220,41,Some-college,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,0,2415,55,Self-emp-inc
14238,72,Prof-school,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,99999,0,50,Self-emp-inc
14318,27,Bachelors,Never-married,Philippines,Tech-support,Asian-Pac-Islander,Not-in-family,Female,0,0,40,Private
14326,48,Bachelors,Married-civ-spouse,United-States,Exec-managerial,Black,Husband,Male,0,0,40,Private
14667,34,Bachelors,Divorced,United-States,Craft-repair,White,Unmarried,Female,0,0,25,Private
15161,38,Bachelors,Married-civ-spouse,?,Exec-managerial,White,Husband,Male,0,0,40,Private
15250,55,Bachelors,Married-civ-spouse,United-States,Protective-serv,White,Husband,Male,0,0,40,Private
15539,35,HS-grad,Separated,United-States,Transport-moving,Black,Unmarried,Female,0,0,48,Private
15667,66,HS-grad,Widowed,United-States,Priv-house-serv,White,Not-in-family,Female,0,0,8,Private
15855,30,Assoc-acdm,Never-married,United-States,Prof-specialty,White,Own-child,Female,0,0,40,Private
16143,40,Masters,Never-married,United-States,Prof-specialty,White,Not-in-family,Male,0,0,40,Federal-gov
16167,47,HS-grad,Married-civ-spouse,United-States,Sales,White,Husband,Male,4386,0,45,Private
16171,34,Some-college,Never-married,England,Machine-op-inspct,White,Not-in-family,Male,0,0,40,Private
16218,19,Some-college,Never-married,United-States,Handlers-cleaners,White,Own-child,Male,0,0,10,Private
16274,48,HS-grad,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,Male,0,0,40,Private
16449,32,Assoc-voc,Married-civ-spouse,United-States,Handlers-cleaners,White,Husband,Male,0,0,40,Private
16713,43,HS-grad,Divorced,United-States,Adm-clerical,White,Unmarried,Female,0,0,40,Private
16716,55,Masters,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,0,1977,40,Self-emp-not-inc
16923,41,Assoc-voc,Married-civ-spouse,India,Other-service,Asian-Pac-Islander,Husband,Male,7298,0,60,Private
17054,60,HS-grad,Never-married,United-States,Exec-managerial,Black,Not-in-family,Male,0,2559,50,Self-emp-not-inc
17061,38,Assoc-voc,Never-married,United-States,Tech-support,White,Not-in-family,Female,2354,0,40,Private
17158,20,Some-college,Divorced,United-States,Other-service,White,Own-child,Female,0,0,29,Private
17259,57,Prof-school,Married-civ-spouse,India,Prof-specialty,Asian-Pac-Islander,Husband,Male,15024,0,50,Self-emp-inc
17316,53,Masters,Divorced,United-States,Prof-specialty,White,Unmarried,Female,0,1876,38,Private
17365,30,HS-grad,Married-civ-spouse,United-States,Other-service,White,Wife,Female,0,0,45,Private
17551,39,Bachelors,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,0,0,45,Private
17663,45,Bachelors,Never-married,Germany,Prof-specialty,White,Not-in-family,Female,0,0,40,Private
17838,23,Some-college,Never-married,United-States,Adm-clerical,White,Own-child,Male,0,0,40,Private
18006,66,Bachelors,Married-civ-spouse,United-States,Sales,White,Husband,Male,5556,0,26,Self-emp-inc
18382,35,HS-grad,Never-married,United-States,Sales,White,Not-in-family,Male,0,0,25,Private
18424,35,HS-grad,Never-married,United-States,Adm-clerical,White,Not-in-family,Female,0,0,40,Private
18558,31,Some-college,Married-civ-spouse,United-States,Sales,White,Husband,Male,0,0,40,Private
