record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10093,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,42
10192,United-States,Male,White,Married-civ-spouse,Private,Some-college,Prof-specialty,Husband,59
10215,United-States,Male,Black,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,29
10274,Italy,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,41
10283,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Machine-op-inspct,Husband,55
10314,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Tech-support,Husband,39
10380,United-States,Male,White,Separated,Private,Some-college,Exec-managerial,Unmarried,38
10840,United-States,Female,White,Never-married,State-gov,Some-college,Adm-clerical,Own-child,22
10960,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,36
10982,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Other-relative,20
11023,United-States,Male,White,Married-civ-spouse,Federal-gov,HS-grad,Tech-support,Husband,60
11095,United-States,Male,White,Divorced,Private,12th,Transport-moving,Not-in-family,50
11396,United-States,Female,White,Never-married,Private,Masters,Prof-specialty,Not-in-family,25
11443,United-States,Male,White,Never-married,Private,HS-grad,Transport-moving,Own-child,32
11507,United-States,Female,Black,Divorced,Private,Some-college,Exec-managerial,Not-in-family,43
11577,United-States,Male,White,Divorced,Private,Bachelors,Exec-managerial,Not-in-family,50
11877,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Craft-repair,Husband,38
11890,United-States,Female,White,Widowed,Self-emp-inc,Some-college,Sales,Not-in-family,58
11946,Hong,Female,Asian-Pac-Islander,Married-civ-spouse,Private,11th,Machine-op-inspct,Wife,60
1197,United-States,Male,White,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,59
12235,El-Salvador,Male,White,Married-civ-spouse,Private,5th-6th,Other-service,Husband,42
12269,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,38
12390,United-States,Male,White,Never-married,Private,Some-college,Handlers-cleaners,Not-in-family,34
12493,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Sales,Husband,35
12559,United-States,Female,White,Widowed,Self-emp-not-inc,Some-college,Other-service,Unmarried,47
12638,United-States,Female,Black,Never-married,Private,11th,Machine-op-inspct,Not-in-family,55
12645,United-States,Male,White,Never-married,Private,HS-grad,Other-service,Own-child,18
12884,United-States,Male,White,Married-civ-spouse,State-gov,12th,Craft-repair,Husband,61
12926,United-States,Female,White,Never-married,Private,10th,Priv-house-serv,Own-child,25
12932,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,60
1308,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,43
13382,United-States,Female,White,Never-married,Private,Some-college,Adm-clerical,Not-in-family,31
13397,United-States,Female,White,Divorced,Local-gov,Masters,Prof-specialty,Not-in-family,49
13631,United-States,Male,White,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,50
13740,United-States,Male,White,Never-married,Private,11th,Other-service,Own-child,18
13826,?,Male,Black,Never-married,Private,Bachelors,Exec-managerial,Not-in-family,26
13840,United-States,Male,Black,Married-civ-spouse,Private,Assoc-acdm,Sales,Husband,34
13897,?,Female,White,Never-married,Private,Masters,Priv-house-serv,Not-in-family,24
14010,United-States,Female,White,Divorced,Private,Bachelors,Adm-clerical,Unmarried,45
1422,United-States,Female,White,Never-married,Private,Assoc-acdm,Adm-clerical,Own-child,40
14307,United-States,Female,White,Divorced,Private,Assoc-acdm,Adm-clerical,Unmarried,41
14347,United-States,Female,White,Never-married,Local-gov,Bachelors,Prof-specialty,Not-in-family,41
14586,United-States,Male,Black,Married-civ-spouse,Local-gov,Bachelors,Exec-managerial,Husband,46
14661,United-States,Male,White,Married-civ-spouse,Local-gov,Masters,Prof-specialty,Husband,47
14690,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Not-in-family,19
14957,United-States,Male,White,Never-married,Private,Some-college,Other-service,Own-child,23
15038,United-States,Female,White,Never-married,Private,Some-college,Adm-clerical,Own-child,19
15166,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Other-service,Husband,47
15397,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Sales,Husband,40
15554,United-States,Male,White,Never-married,Private,Some-college,Sales,Own-child,22
15623,United-States,Female,White,Divorced,Private,Some-college,Exec-managerial,Not-in-family,36
15779,United-States,Male,White,Divorced,State-gov,HS-grad,Exec-managerial,Not-in-family,53
15865,United-States,Female,White,Never-married,Private,Some-college,Adm-clerical,Own-child,25
15933,United-States,Female,White,Widowed,Private,10th,Sales,Not-in-family,65
16081,United-States,Female,White,Married-civ-spouse,State-gov,Some-college,Adm-clerical,Wife,41
16106,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Transport-moving,Husband,48
16162,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,9th,Craft-repair,Husband,35
1634,Mexico,Male,White,Married-civ-spouse,Private,1st-4th,Machine-op-inspct,Husband,37
16483,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,31
16558,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Craft-repair,Husband,36
16613,United-States,Male,White,Divorced,Private,Bachelors,Exec-managerial,Unmarried,53
16639,United-States,Male,White,Never-married,Private,Some-college,Machine-op-inspct,Not-in-family,39
16772,United-States,Female,White,Never-married,Private,Some-college,Craft-repair,Unmarried,39
16877,United-States,Female,White,Divorced,State-gov,Prof-school,Exec-managerial,Not-in-family,49
16984,United-States,Female,White,Married-AF-spouse,?,HS-grad,?,Wife,75
17066,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,23
17361,United-States,Male,White,Never-married,Private,Bachelors,Tech-support,Not-in-family,29
17383,United-States,Male,Black,Never-married,Private,9th,Other-service,Own-child,17
17388,United-States,Male,White,Never-married,Private,Masters,Sales,Not-in-family,39
17409,United-States,Female,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Wife,36
17467,United-States,Male,White,Never-married,Local-gov,11th,Craft-repair,Unmarried,50
