record_id,age,education,marital-status,native-country,occupation,race,sex,workclass,capital-gain,relationship
10010,56,HS-grad,Married-civ-spouse,United-States,Sales,White,Male,Private,0,Husband
10025,45,Bachelors,Married-civ-spouse,United-States,Prof-specialty,White,Male,Local-gov,0,Husband
10028,35,Bachelors,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,0,Husband
10039,22,Some-college,Never-married,United-States,Adm-clerical,White,Male,Private,0,Own-child
10183,21,Some-college,Never-married,United-States,Adm-clerical,White,Female,Self-emp-not-inc,0,Own-child
10243,42,Some-college,Married-civ-spouse,United-States,Craft-repair,White,Male,Self-emp-not-inc,0,Husband
10281,17,HS-grad,Never-married,United-States,Farming-fishing,Black,Male,Private,0,Own-child
10388,27,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0,Husband
10457,39,Assoc-voc,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,0,Husband
10656,40,HS-grad,Married-civ-spouse,United-States,Machine-op-inspct,White,Male,Private,0,Husband
10697,18,HS-grad,Never-married,United-States,Adm-clerical,White,Male,State-gov,0,Own-child
10754,43,HS-grad,Divorced,United-States,Adm-clerical,White,Female,State-gov,0,Unmarried
10795,43,Some-college,Divorced,United-States,Adm-clerical,White,Female,Local-gov,0,Unmarried
10998,65,HS-grad,Married-civ-spouse,United-States,Farming-fishing,White,Male,Private,0,Husband
11214,20,HS-grad,Never-married,United-States,Adm-clerical,White,Female,Private,0,Not-in-family
11218,29,Some-college,Married-civ-spouse,United-States,Adm-clerical,White,Male,State-gov,0,Husband
11268,32,Some-college,Divorced,United-States,Adm-clerical,White,Female,Private,0,Unmarried
11479,37,HS-grad,Married-civ-spouse,United-States,Farming-fishing,White,Male,Self-emp-not-inc,0,Husband
11536,63,7th-8th,Married-civ-spouse,United-States,Craft-repair,White,Male,Self-emp-not-inc,0,Husband
11568,32,HS-grad,Married-civ-spouse,United-States,Adm-clerical,White,Male,Private,0,Husband
11745,33,Bachelors,Never-married,United-States,Adm-clerical,White,Male,Private,0,Not-in-family
11768,35,HS-grad,Never-married,United-States,?,White,Male,?,0,Own-child
11921,38,HS-grad,Married-civ-spouse,United-States,Exec-managerial,White,Female,Private,0,Wife
11930,26,Some-college,Married-civ-spouse,United-States,Transport-moving,White,Male,Private,0,Husband
12050,54,Bachelors,Divorced,United-States,Sales,White,Female,Private,0,Not-in-family
12106,33,Some-college,Separated,United-States,Tech-support,White,Male,State-gov,0,Not-in-family
12140,27,HS-grad,Married-civ-spouse,United-States,Handlers-cleaners,White,Male,Private,0,Husband
12241,28,11th,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0,Not-in-family
12250,51,HS-grad,Married-civ-spouse,United-States,Protective-serv,White,Male,Private,0,Husband
