record_id,age,education,marital-status,native-country,occupation,race,sex,workclass,hours-per-week
10010,56,HS-grad,Married-civ-spouse,United-States,Sales,White,Male,Private,40
10025,45,Bachelors,Married-civ-spouse,United-States,Prof-specialty,White,Male,Local-gov,37
10028,35,Bachelors,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,45
10039,22,Some-college,Never-married,United-States,Adm-clerical,White,Male,Private,40
10183,21,Some-college,Never-married,United-States,Adm-clerical,White,Female,Self-emp-not-inc,15
10243,42,Some-college,Married-civ-spouse,United-States,Craft-repair,White,Male,Self-emp-not-inc,40
10281,17,HS-grad,Never-married,United-States,Farming-fishing,Black,Male,Private,40
10388,27,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,40
10457,39,Assoc-voc,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,40
10656,40,HS-grad,Married-civ-spouse,United-States,Machine-op-inspct,White,Male,Private,40
10697,18,HS-grad,Never-married,United-States,Adm-clerical,White,Male,State-gov,40
10754,43,HS-grad,Divorced,United-States,Adm-clerical,White,Female,State-gov,50
10795,43,Some-college,Divorced,United-States,Adm-clerical,White,Female,Local-gov,40
10998,65,HS-grad,Married-civ-spouse,United-States,Farming-fishing,White,Male,Private,24
11214,20,HS-grad,Never-married,United-States,Adm-clerical,White,Female,Private,40
11218,29,Some-college,Married-civ-spouse,United-States,Adm-clerical,White,Male,State-gov,40
11268,32,Some-college,Divorced,United-States,Adm-clerical,White,Female,Private,40
11479,37,HS-grad,Married-civ-spouse,United-States,Farming-fishing,White,Male,Self-emp-not-inc,60
11536,63,7th-8th,Married-civ-spouse,United-States,Craft-repair,White,Male,Self-emp-not-inc,40
11568,32,HS-grad,Married-civ-spouse,United-States,Adm-clerical,White,Male,Private,40
11745,33,Bachelors,Never-married,United-States,Adm-clerical,White,Male,Private,40
11768,35,HS-grad,Never-married,United-States,?,White,Male,?,40
11921,38,HS-grad,Married-civ-spouse,United-States,Exec-managerial,White,Female,Private,60
11930,26,Some-college,Married-civ-spouse,United-States,Transport-moving,White,Male,Private,52
12050,54,Bachelors,Divorced,United-States,Sales,White,Female,Private,38
12106,33,Some-college,Separated,United-States,Tech-support,White,Male,State-gov,12
12140,27,HS-grad,Married-civ-spouse,United-States,Handlers-cleaners,White,Male,Private,40
12241,28,11th,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,60
12250,51,HS-grad,Married-civ-spouse,United-States,Protective-serv,White,Male,Private,40
12396,35,11th,Never-married,United-States,Machine-op-inspct,White,Male,Private,50
12559,47,Some-college,Widowed,United-States,Other-service,White,Female,Self-emp-not-inc,35
12567,41,HS-grad,Married-civ-spouse,United-States,Sales,White,Male,Private,50
12665,37,Some-college,Separated,United-States,Exec-managerial,White,Male,Federal-gov,55
12684,23,Bachelors,Never-married,United-States,Exec-managerial,Asian-Pac-Islander,Male,Private,40
12753,55,HS-grad,Widowed,United-States,Sales,White,Female,Private,40
12946,64,Some-college,Widowed,United-States,Craft-repair,White,Female,Self-emp-not-inc,8
12978,29,Bachelors,Married-civ-spouse,United-States,Other-service,White,Male,Private,42
13149,47,HS-grad,Divorced,United-States,Sales,White,Female,Private,45
13164,39,Assoc-voc,Married-civ-spouse,United-States,Adm-clerical,White,Male,Private,40
13328,49,Some-college,Divorced,United-States,Exec-managerial,White,Male,Self-emp-inc,50
13499,50,Bachelors,Married-civ-spouse,?,Sales,White,Male,Private,60
13539,39,Bachelors,Married-civ-spouse,United-States,Sales,White,Male,Self-emp-not-inc,60
13599,34,Bachelors,Married-civ-spouse,United-States,Sales,White,Male,Private,60
13623,71,HS-grad,Married-civ-spouse,United-States,Sales,White,Male,Private,36
13727,44,HS-grad,Married-civ-spouse,United-States,Transport-moving,White,Male,Private,45
1377,54,HS-grad,Married-civ-spouse,United-States,Farming-fishing,White,Male,Private,40
13771,20,HS-grad,Never-married,United-States,Adm-clerical,White,Male,Private,40
13853,24,Some-college,Never-married,United-States,Craft-repair,White,Male,Private,40
13904,50,Bachelors,Married-civ-spouse,United-States,Exec-managerial,White,Male,Self-emp-not-inc,35
14010,45,Bachelors,Divorced,United-States,Adm-clerical,White,Female,Private,35
14079,24,HS-grad,Never-married,United-States,Other-service,White,Female,Private,40
14134,35,HS-grad,Married-civ-spouse,United-States,Handlers-cleaners,Black,Male,Private,40
1415,28,Some-college,Married-civ-spouse,United-States,Adm-clerical,Asian-Pac-Islander,Male,State-gov,20
14308,45,Assoc-voc,Married-civ-spouse,United-States,Farming-fishing,White,Male,Private,70
14370,22,Assoc-acdm,Never-married,United-States,?,White,Male,?,15
14432,21,Some-college,Never-married,United-States,Craft-repair,White,Male,Private,40
14434,29,HS-grad,Married-civ-spouse,United-States,Other-service,White,Male,Private,35
14616,18,HS-grad,Never-married,United-States,Sales,White,Female,Private,25
14636,41,HS-grad,Separated,United-States,Transport-moving,White,Male,Local-gov,40
14687,58,Assoc-acdm,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,50
14716,23,Some-college,Married-civ-spouse,United-States,Tech-support,White,Male,Private,42
14737,51,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Male,Local-gov,40
14780,26,HS-grad,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,40
14789,23,Assoc-acdm,Never-married,United-States,Adm-clerical,White,Female,Private,20
14818,44,Bachelors,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,50
14949,36,Prof-school,Married-civ-spouse,United-States,Prof-specialty,White,Female,Private,45
15139,22,Some-college,Never-married,United-States,Other-service,Black,Male,Private,40
15211,36,Assoc-voc,Never-married,United-States,Adm-clerical,White,Male,Private,42
1522,30,Some-college,Divorced,United-States,Exec-managerial,White,Female,Private,40
15312,32,11th,Never-married,United-States,Other-service,Black,Male,Private,40
15468,29,12th,Married-spouse-absent,United-States,Other-service,Black,Female,Private,40
15710,30,11th,Never-married,United-States,Craft-repair,White,Male,Self-emp-not-inc,45
1575,52,Assoc-voc,Married-civ-spouse,United-States,Adm-clerical,White,Male,Private,40
15807,24,HS-grad,Never-married,United-States,Craft-repair,White,Male,Private,40
15844,59,HS-grad,Divorced,United-States,Exec-managerial,White,Male,Self-emp-not-inc,60
