record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10006,United-States,Male,White,Never-married,Private,HS-grad,Farming-fishing,Unmarried,29
10055,United-States,Male,White,Married-civ-spouse,State-gov,Bachelors,Prof-specialty,Husband,39
10113,United-States,Male,Black,Married-civ-spouse,Private,Some-college,Machine-op-inspct,Husband,43
10133,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,57
10179,United-States,Female,White,Married-civ-spouse,Self-emp-inc,Doctorate,Prof-specialty,Wife,43
10271,United-States,Female,White,Divorced,Private,Assoc-voc,Sales,Not-in-family,27
10494,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,37
10701,United-States,Male,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,33
10722,United-States,Male,White,Divorced,Private,Bachelors,Prof-specialty,Unmarried,36
10751,United-States,Female,Black,Never-married,Private,HS-grad,Adm-clerical,Unmarried,22
10799,United-States,Male,White,Married-civ-spouse,Local-gov,Doctorate,Exec-managerial,Husband,45
11035,United-States,Male,White,Married-civ-spouse,Private,11th,Transport-moving,Husband,38
11098,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Protective-serv,Husband,30
11107,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Sales,Husband,45
11185,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,46
11281,United-States,Female,White,Never-married,Private,11th,Adm-clerical,Own-child,18
11322,United-States,Female,White,Widowed,State-gov,Some-college,Prof-specialty,Not-in-family,58
11500,United-States,Female,White,Never-married,?,Some-college,?,Not-in-family,22
11543,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Husband,65
11590,United-States,Male,White,Separated,Self-emp-not-inc,HS-grad,Craft-repair,Other-relative,33
11596,United-States,Male,White,Married-civ-spouse,Federal-gov,Bachelors,Exec-managerial,Husband,52
11733,United-States,Female,White,Divorced,Private,HS-grad,Adm-clerical,Unmarried,47
11760,United-States,Male,White,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,35
11869,United-States,Female,White,Divorced,Private,Some-college,Other-service,Not-in-family,29
1188,United-States,Female,White,Never-married,State-gov,Bachelors,Adm-clerical,Not-in-family,24
1223,United-States,Female,White,Widowed,Private,HS-grad,Adm-clerical,Own-child,55
12273,United-States,Female,Black,Never-married,Private,Assoc-acdm,Sales,Own-child,23
12289,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Craft-repair,Husband,40
12473,United-States,Male,White,Married-civ-spouse,Private,Some-college,Machine-op-inspct,Husband,25
12488,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,30
12553,United-States,Female,Amer-Indian-Eskimo,Divorced,?,Some-college,?,Not-in-family,35
12652,United-States,Female,Black,Never-married,Private,11th,Other-service,Own-child,38
