record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10010,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,56
10025,United-States,Male,White,Married-civ-spouse,Local-gov,Bachelors,Prof-specialty,Husband,45
10028,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,35
10039,United-States,Male,White,Never-married,Private,Some-college,Adm-clerical,Own-child,22
10183,United-States,Female,White,Never-married,Self-emp-not-inc,Some-college,Adm-clerical,Own-child,21
10243,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Some-college,Craft-repair,Husband,42
10281,United-States,Male,Black,Never-married,Private,HS-grad,Farming-fishing,Own-child,17
10388,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,27
10457,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Exec-managerial,Husband,39
10656,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,40
10697,United-States,Male,White,Never-married,State-gov,HS-grad,Adm-clerical,Own-child,18
10754,United-States,Female,White,Divorced,State-gov,HS-grad,Adm-clerical,Unmarried,43
10795,United-States,Female,White,Divorced,Local-gov,Some-college,Adm-clerical,Unmarried,43
10998,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Farming-fishing,Husband,65
11214,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Not-in-family,20
11218,United-States,Male,White,Married-civ-spouse,State-gov,Some-college,Adm-clerical,Husband,29
11268,United-States,Female,White,Divorced,Private,Some-college,Adm-clerical,Unmarried,32
11479,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Farming-fishing,Husband,37
11536,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,7th-8th,Craft-repair,Husband,63
11568,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Husband,32
11745,United-States,Male,White,Never-married,Private,Bachelors,Adm-clerical,Not-in-family,33
11768,United-States,Male,White,Never-married,?,HS-grad,?,Own-child,35
11921,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Wife,38
11930,United-States,Male,White,Married-civ-spouse,Private,Some-college,Transport-moving,Husband,26
12050,United-States,Female,White,Divorced,Private,Bachelors,Sales,Not-in-family,54
12106,United-States,Male,White,Separated,State-gov,Some-college,Tech-support,Not-in-family,33
12140,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,27
12241,United-States,Male,White,Married-civ-spouse,Private,11th,Craft-repair,Not-in-family,28
12250,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Protective-serv,Husband,51
12396,United-States,Male,White,Never-married,Private,11th,Machine-op-inspct,Not-in-family,35
12559,United-States,Female,White,Widowed,Self-emp-not-inc,Some-college,Other-service,Unmarried,47
12567,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,41
12665,United-States,Male,White,Separated,Federal-gov,Some-college,Exec-managerial,Not-in-family,37
12684,United-States,Male,Asian-Pac-Islander,Never-married,Private,Bachelors,Exec-managerial,Own-child,23
12753,United-States,Female,White,Widowed,Private,HS-grad,Sales,Unmarried,55
12946,United-States,Female,White,Widowed,Self-emp-not-inc,Some-college,Craft-repair,Not-in-family,64
12978,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Other-service,Husband,29
13149,United-States,Female,White,Divorced,Private,HS-grad,Sales,Unmarried,47
13164,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Adm-clerical,Husband,39
13328,United-States,Male,White,Divorced,Self-emp-inc,Some-college,Exec-managerial,Not-in-family,49
13499,?,Male,White,Married-civ-spouse,Private,Bachelors,Sales,Husband,50
13539,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Sales,Husband,39
13599,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Sales,Husband,34
13623,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,71
13727,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,44
1377,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Farming-fishing,Husband,54
13771,United-States,Male,White,Never-married,Private,HS-grad,Adm-clerical,Own-child,20
13853,United-States,Male,White,Never-married,Private,Some-college,Craft-repair,Not-in-family,24
13904,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Exec-managerial,Husband,50
14010,United-States,Female,White,Divorced,Private,Bachelors,Adm-clerical,Unmarried,45
14079,United-States,Female,White,Never-married,Private,HS-grad,Other-service,Not-in-family,24
14134,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,35
1415,United-States,Male,Asian-Pac-Islander,Married-civ-spouse,State-gov,Some-college,Adm-clerical,Husband,28
14308,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Farming-fishing,Husband,45
14370,United-States,Male,White,Never-married,?,Assoc-acdm,?,Other-relative,22
14432,United-States,Male,White,Never-married,Private,Some-college,Craft-repair,Own-child,21
14434,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Other-service,Husband,29
14616,United-States,Female,White,Never-married,Private,HS-grad,Sales,Own-child,18
14636,United-States,Male,White,Separated,Local-gov,HS-grad,Transport-moving,Own-child,41
14687,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Exec-managerial,Husband,58
14716,United-States,Male,White,Married-civ-spouse,Private,Some-college,Tech-support,Husband,23
14737,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Craft-repair,Husband,51
14780,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Prof-specialty,Husband,26
14789,United-States,Female,White,Never-married,Private,Assoc-acdm,Adm-clerical,Not-in-family,23
14818,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,44
