record_id,age,education,native-country,occupation,race,relationship,sex,workclass
10082,34,Bachelors,United-States,Prof-specialty,White,Wife,Female,Private
10099,50,10th,United-States,Craft-repair,White,Husband,Male,Private
10134,26,HS-grad,United-States,Adm-clerical,White,Unmarried,Female,Private
10336,18,11th,United-States,Other-service,White,Own-child,Male,State-gov
10358,50,Some-college,United-States,Other-service,White,Not-in-family,Female,Private
10502,29,Bachelors,United-States,Exec-managerial,White,Not-in-family,Female,Private
10530,67,Assoc-acdm,United-States,Exec-managerial,White,Husband,Male,Local-gov
10604,44,HS-grad,United-States,Craft-repair,White,Husband,Male,Private
10723,19,HS-grad,United-States,Handlers-cleaners,White,Own-child,Male,Private
10739,33,HS-grad,United-States,Other-service,White,Own-child,Male,Private
10897,27,11th,United-States,Craft-repair,White,Other-relative,Male,Private
11255,30,Some-college,United-States,Craft-repair,White,Husband,Male,Private
11267,45,HS-grad,United-States,Exec-managerial,Black,Not-in-family,Female,Private
11467,44,HS-grad,United-States,Farming-fishing,White,Husband,Male,Self-emp-not-inc
11524,39,Bachelors,United-States,Sales,White,Unmarried,Male,Private
11690,35,Bachelors,United-States,Craft-repair,White,Unmarried,Male,Private
11744,34,Prof-school,United-States,Prof-specialty,White,Husband,Male,Local-gov
11755,24,HS-grad,United-States,Craft-repair,Black,Own-child,Male,Private
11899,39,Masters,United-States,Exec-managerial,White,Husband,Male,Private
11928,45,Bachelors,United-States,Farming-fishing,White,Husband,Male,Private
11956,52,HS-grad,United-States,Transport-moving,White,Husband,Male,Self-emp-not-inc
11967,76,HS-grad,United-States,Adm-clerical,White,Not-in-family,Female,Private
1203,44,Bachelors,United-States,Other-service,White,Not-in-family,Male,Private
12079,26,Assoc-acdm,United-States,Sales,White,Own-child,Male,Private
1212,31,Some-college,United-States,Craft-repair,White,Unmarried,Female,Private
1218,31,Bachelors,United-States,Exec-managerial,White,Not-in-family,Male,Private
12229,23,Some-college,United-States,Craft-repair,White,Not-in-family,Male,Private
12234,27,HS-grad,United-States,Adm-clerical,White,Not-in-family,Female,Private
12248,42,Masters,United-States,Exec-managerial,White,Husband,Male,Federal-gov
12386,28,Bachelors,United-States,Prof-specialty,White,Other-relative,Male,Local-gov
12508,37,Some-college,United-States,Exec-managerial,White,Husband,Male,Self-emp-inc
12510,39,Bachelors,United-States,Exec-managerial,White,Not-in-family,Male,Private
12513,28,Bachelors,United-States,Prof-specialty,White,Husband,Male,Private
12629,48,Some-college,United-States,Adm-clerical,White,Not-in-family,Male,Federal-gov
12636,61,HS-grad,United-States,Other-service,Black,Husband,Male,Private
12721,28,Some-college,United-States,Handlers-cleaners,White,Husband,Male,Private
12727,20,Some-college,United-States,Sales,White,Not-in-family,Female,Private
12782,31,Masters,United-States,Prof-specialty,White,Husband,Male,State-gov
12789,20,10th,United-States,Sales,White,Not-in-family,Female,Private
12869,18,Some-college,United-States,Sales,Black,Own-child,Male,Private
12916,19,Some-college,United-States,Adm-clerical,White,Own-child,Female,Private
13064,42,HS-grad,United-States,Machine-op-inspct,White,Wife,Female,Private
13662,62,HS-grad,United-States,Adm-clerical,White,Not-in-family,Female,Private
13715,20,HS-grad,United-States,Sales,White,Own-child,Female,Private
13746,23,Some-college,United-States,Transport-moving,White,Not-in-family,Male,Private
13968,22,11th,United-States,Transport-moving,White,Not-in-family,Male,Private
14138,43,HS-grad,United-States,Craft-repair,Black,Wife,Female,Private
14149,37,HS-grad,United-States,Craft-repair,White,Husband,Male,Private
14243,41,HS-grad,United-States,Adm-clerical,White,Own-child,Male,Private
1437,36,Assoc-acdm,United-States,Adm-clerical,White,Wife,Female,Federal-gov
14426,67,10th,United-States,Transport-moving,White,Husband,Male,Private
14508,29,HS-grad,United-States,Machine-op-inspct,White,Husband,Male,Self-emp-not-inc
14537,35,Some-college,United-States,Sales,White,Husband,Male,Self-emp-inc
14566,39,Some-college,United-States,Adm-clerical,White,Not-in-family,Female,Private
14638,41,Assoc-acdm,United-States,Sales,White,Husband,Male,Private
14669,31,Some-college,United-States,Adm-clerical,White,Not-in-family,Female,Private
14800,50,Assoc-acdm,United-States,Tech-support,Black,Husband,Male,Private
14834,42,HS-grad,United-States,Transport-moving,White,Husband,Male,Private
14989,28,Bachelors,United-States,Protective-serv,White,Not-in-family,Female,Private
15051,35,Some-college,United-States,Sales,White,Husband,Male,Private
15108,43,Masters,United-States,Prof-specialty,White,Husband,Male,Local-gov
15121,54,HS-grad,United-States,Adm-clerical,White,Husband,Male,Private
15182,20,Some-college,United-States,Craft-repair,White,Own-child,Male,Private
15280,30,Assoc-acdm,United-States,Sales,White,Husband,Male,Private
15281,29,HS-grad,United-States,Transport-moving,Black,Own-child,Male,Private
1529,37,HS-grad,United-States,Exec-managerial,White,Unmarried,Female,Private
15361,27,HS-grad,United-States,Craft-repair,White,Husband,Male,Private
15392,46,Masters,United-States,Exec-managerial,Black,Unmarried,Female,Local-gov
1540,26,HS-grad,United-States,Adm-clerical,White,Own-child,Female,State-gov
15402,35,HS-grad,United-States,Adm-clerical,White,Unmarried,Female,Local-gov
15439,33,Assoc-voc,United-States,Adm-clerical,White,Not-in-family,Male,Private
15455,48,HS-grad,United-States,Craft-repair,White,Husband,Male,Private
15461,57,Bachelors,United-States,Prof-specialty,White,Not-in-family,Female,Local-gov
15540,50,10th,United-States,Craft-repair,White,Not-in-family,Male,Self-emp-not-inc
15691,48,Masters,United-States,Prof-specialty,White,Husband,Male,Private
1592,20,Some-college,United-States,?,White,Own-child,Male,?
16061,30,HS-grad,United-States,Craft-repair,White,Not-in-family,Male,Private
16264,45,Assoc-acdm,United-States,Exec-managerial,White,Husband,Male,Self-emp-inc
16273,41,Assoc-voc,United-States,Exec-managerial,White,Husband,Male,Private
16319,22,HS-grad,United-States,Handlers-cleaners,Black,Not-in-family,Male,Private
1648,35,Bachelors,United-States,Exec-managerial,White,Husband,Male,Private
16543,62,Prof-school,United-States,Prof-specialty,White,Husband,Male,Self-emp-not-inc
16585,44,Bachelors,United-States,Prof-specialty,White,Husband,Male,Private
16594,59,7th-8th,United-States,Craft-repair,White,Husband,Male,Self-emp-not-inc
16626,36,Some-college,United-States,Machine-op-inspct,White,Husband,Male,Private
16669,47,HS-grad,United-States,Transport-moving,White,Husband,Male,Private
16680,20,Some-college,United-States,Exec-managerial,White,Own-child,Male,State-gov
16778,43,Masters,India,Exec-managerial,Asian-Pac-Islander,Husband,Male,Private
16799,29,HS-grad,United-States,Exec-managerial,White,Not-in-family,Female,Private
16833,42,HS-grad,United-States,Craft-repair,White,Husband,Male,Private
16867,49,Assoc-voc,United-States,Adm-clerical,White,Husband,Male,Private
16899,20,HS-grad,United-States,Sales,White,Own-child,Female,Private
17046,56,Some-college,United-States,Exec-managerial,White,Not-in-family,Female,Local-gov
17058,28,Assoc-acdm,United-States,Exec-managerial,White,Not-in-family,Male,Private
17290,31,HS-grad,United-States,Other-service,White,Own-child,Male,Private
17381,21,HS-grad,United-States,Machine-op-inspct,White,Own-child,Male,Private
17525,27,Bachelors,United-States,Prof-specialty,White,Not-in-family,Female,Local-gov
17957,68,Bachelors,United-States,Exec-managerial,White,Husband,Male,Local-gov
1840,23,Some-college,United-States,Craft-repair,White,Not-in-family,Male,Private
18527,48,Some-college,United-States,Protective-serv,White,Husband,Male,State-gov
18539,36,HS-grad,United-States,Sales,White,Not-in-family,Female,Private
18596,59,Bachelors,United-States,Exec-managerial,White,Not-in-family,Female,Federal-gov
1867,36,HS-grad,United-States,Adm-clerical,White,Not-in-family,Female,Federal-gov
18695,45,12th,United-States,Sales,White,Husband,Male,Private
18767,46,Some-college,United-States,Adm-clerical,White,Not-in-family,Female,Private
18919,46,Some-college,United-States,Adm-clerical,White,Unmarried,Female,State-gov
19094,21,Some-college,Vietnam,Sales,Asian-Pac-Islander,Own-child,Male,Private
19383,55,HS-grad,United-States,Craft-repair,White,Own-child,Male,Self-emp-not-inc
19592,28,HS-grad,United-States,Craft-repair,White,Husband,Male,Local-gov
19893,25,HS-grad,United-States,Exec-managerial,White,Husband,Male,Self-emp-inc
20019,61,Assoc-voc,United-States,Adm-clerical,White,Husband,Male,Private
20021,18,12th,United-States,Sales,Black,Own-child,Female,Private
20036,61,Masters,United-States,Exec-managerial,White,Unmarried,Female,Self-emp-inc
20071,33,Bachelors,United-States,Sales,White,Not-in-family,Female,Private
20121,40,Some-college,United-States,Adm-clerical,White,Unmarried,Female,Federal-gov
20221,49,HS-grad,United-States,Other-service,White,Not-in-family,Female,Private
20436,47,HS-grad,United-States,?,White,Not-in-family,Female,?
20565,25,11th,United-States,Transport-moving,White,Husband,Male,Private
20666,38,Bachelors,United-States,Adm-clerical,White,Husband,Male,Private
20681,55,Assoc-voc,United-States,Adm-clerical,White,Husband,Male,Private
20700,33,HS-grad,United-States,Other-service,White,Unmarried,Female,Private
20966,47,HS-grad,United-States,Other-service,White,Not-in-family,Male,Private
20976,25,Bachelors,United-States,Tech-support,White,Not-in-family,Female,Private
20981,41,Assoc-voc,United-States,Prof-specialty,White,Unmarried,Female,Local-gov
2121,20,HS-grad,United-States,Machine-op-inspct,White,Own-child,Female,Private
21327,27,HS-grad,United-States,Exec-managerial,White,Husband,Male,Private
21406,37,Some-college,United-States,Craft-repair,White,Husband,Male,Private
21492,24,Bachelors,United-States,Prof-specialty,White,Not-in-family,Female,Federal-gov
21612,31,HS-grad,United-States,Other-service,White,Not-in-family,Female,Private
21751,39,Some-college,United-States,Farming-fishing,White,Husband,Male,Private
