record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10082,United-States,Female,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Wife,34
10099,United-States,Male,White,Married-civ-spouse,Private,10th,Craft-repair,Husband,50
10134,United-States,Female,White,Separated,Private,HS-grad,Adm-clerical,Unmarried,26
10336,United-States,Male,White,Never-married,State-gov,11th,Other-service,Own-child,18
10358,United-States,Female,White,Divorced,Private,Some-college,Other-service,Not-in-family,50
10502,United-States,Female,White,Never-married,Private,Bachelors,Exec-managerial,Not-in-family,29
10530,United-States,Male,White,Married-civ-spouse,Local-gov,Assoc-acdm,Exec-managerial,Husband,67
10604,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,44
10723,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Own-child,19
10739,United-States,Male,White,Never-married,Private,HS-grad,Other-service,Own-child,33
10897,United-States,Male,White,Never-married,Private,11th,Craft-repair,Other-relative,27
11255,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,30
11267,United-States,Female,Black,Never-married,Private,HS-grad,Exec-managerial,Not-in-family,45
11467,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Farming-fishing,Husband,44
11524,United-States,Male,White,Divorced,Private,Bachelors,Sales,Unmarried,39
11690,United-States,Male,White,Married-spouse-absent,Private,Bachelors,Craft-repair,Unmarried,35
11744,United-States,Male,White,Married-civ-spouse,Local-gov,Prof-school,Prof-specialty,Husband,34
11755,United-States,Male,Black,Never-married,Private,HS-grad,Craft-repair,Own-child,24
11899,United-States,Male,White,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,39
11928,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Farming-fishing,Husband,45
11956,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Transport-moving,Husband,52
11967,United-States,Female,White,Divorced,Private,HS-grad,Adm-clerical,Not-in-family,76
1203,United-States,Male,White,Never-married,Private,Bachelors,Other-service,Not-in-family,44
12079,United-States,Male,White,Never-married,Private,Assoc-acdm,Sales,Own-child,26
1212,United-States,Female,White,Divorced,Private,Some-college,Craft-repair,Unmarried,31
1218,United-States,Male,White,Divorced,Private,Bachelors,Exec-managerial,Not-in-family,31
12229,United-States,Male,White,Separated,Private,Some-college,Craft-repair,Not-in-family,23
12234,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Not-in-family,27
12248,United-States,Male,White,Married-civ-spouse,Federal-gov,Masters,Exec-managerial,Husband,42
12386,United-States,Male,White,Never-married,Local-gov,Bachelors,Prof-specialty,Other-relative,28
12508,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Some-college,Exec-managerial,Husband,37
12510,United-States,Male,White,Never-married,Private,Bachelors,Exec-managerial,Not-in-family,39
12513,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,28
12629,United-States,Male,White,Never-married,Federal-gov,Some-college,Adm-clerical,Not-in-family,48
12636,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Other-service,Husband,61
12721,United-States,Male,White,Married-civ-spouse,Private,Some-college,Handlers-cleaners,Husband,28
12727,United-States,Female,White,Never-married,Private,Some-college,Sales,Not-in-family,20
12782,United-States,Male,White,Married-civ-spouse,State-gov,Masters,Prof-specialty,Husband,31
