record_id,age,education,native-country,occupation,race,relationship,sex,workclass,capital-gain,capital-loss,hours-per-week,marital-status
10082,34,Bachelors,United-States,Prof-specialty,White,Wife,Female,Private,15024,0,36,Married-civ-spouse
10099,50,10th,United-States,Craft-repair,White,Husband,Male,Private,0,0,40,Married-civ-spouse
10134,26,HS-grad,United-States,Adm-clerical,White,Unmarried,Female,Private,0,0,40,Separated
10336,18,11th,United-States,Other-service,White,Own-child,Male,State-gov,0,0,20,Never-married
10358,50,Some-college,United-States,Other-service,White,Not-in-family,Female,Private,0,0,15,Divorced
10502,29,Bachelors,United-States,Exec-managerial,White,Not-in-family,Female,Private,0,2258,45,Never-married
10530,67,Assoc-acdm,United-States,Exec-managerial,White,Husband,Male,Local-gov,0,0,35,Married-civ-spouse
10604,44,HS-grad,United-States,Craft-repair,White,Husband,Male,Private,0,0,40,Married-civ-spouse
10723,19,HS-grad,United-States,Handlers-cleaners,White,Own-child,Male,Private,0,0,30,Never-married
10739,33,HS-grad,United-States,Other-service,White,Own-child,Male,Private,0,0,48,Never-married
10897,27,11th,United-States,Craft-repair,White,Other-relative,Male,Private,0,0,60,Never-married
11255,30,Some-college,United-States,Craft-repair,White,Husband,Male,Private,0,2051,40,Married-civ-spouse
11267,45,HS-grad,United-States,Exec-managerial,Black,Not-in-family,Female,Private,0,0,40,Never-married
11467,44,HS-grad,United-States,Farming-fishing,White,Husband,Male,Self-emp-not-inc,0,0,40,Married-civ-spouse
11524,39,Bachelors,United-States,Sales,White,Unmarried,Male,Private,0,0,60,Divorced
11690,35,Bachelors,United-States,Craft-repair,White,Unmarried,Male,Private,0,0,40,Married-spouse-absent
11744,34,Prof-school,United-States,Prof-specialty,White,Husband,Male,Local-gov,0,0,40,Married-civ-spouse
11755,24,HS-grad,United-States,Craft-repair,Black,Own-child,Male,Private,0,0,40,Never-married
11899,39,Masters,United-States,Exec-managerial,White,Husband,Male,Private,0,0,40,Married-civ-spouse
11928,45,Bachelors,United-States,Farming-fishing,White,Husband,Male,Private,0,0,60,Married-civ-spouse
11956,52,HS-grad,United-States,Transport-moving,White,Husband,Male,Self-emp-not-inc,0,0,22,Married-civ-spouse
11967,76,HS-grad,United-States,Adm-clerical,White,Not-in-family,Female,Private,0,0,8,Divorced
1203,44,Bachelors,United-States,Other-service,White,Not-in-family,Male,Private,0,0,40,Never-married
12079,26,Assoc-acdm,United-States,Sales,White,Own-child,Male,Private,0,0,30,Never-married
1212,31,Some-college,United-States,Craft-repair,White,Unmarried,Female,Private,0,0,20,Divorced
1218,31,Bachelors,United-States,Exec-managerial,White,Not-in-family,Male,Private,4650,0,45,Divorced
12229,23,Some-college,United-States,Craft-repair,White,Not-in-family,Male,Private,0,0,40,Separated
12234,27,HS-grad,United-States,Adm-clerical,White,Not-in-family,Female,Private,0,0,42,Never-married
12248,42,Masters,United-States,Exec-managerial,White,Husband,Male,Federal-gov,0,0,40,Married-civ-spouse
12386,28,Bachelors,United-States,Prof-specialty,White,Other-relative,Male,Local-gov,0,0,50,Never-married
12508,37,Some-college,United-States,Exec-managerial,White,Husband,Male,Self-emp-inc,0,0,60,Married-civ-spouse
12510,39,Bachelors,United-States,Exec-managerial,White,Not-in-family,Male,Private,0,0,40,Never-married
12513,28,Bachelors,United-States,Prof-specialty,White,Husband,Male,Private,0,0,43,Married-civ-spouse
12629,48,Some-college,United-States,Adm-clerical,White,Not-in-family,Male,Federal-gov,0,0,30,Never-married
12636,61,HS-grad,United-States,Other-service,Black,Husband,Male,Private,0,0,40,Married-civ-spouse
12721,28,Some-college,United-States,Handlers-cleaners,White,Husband,Male,Private,0,0,40,Married-civ-spouse
12727,20,Some-college,United-States,Sales,White,Not-in-family,Female,Private,0,0,35,Never-married
12782,31,Masters,United-States,Prof-specialty,White,Husband,Male,State-gov,0,0,50,Married-civ-spouse
12789,20,10th,United-States,Sales,White,Not-in-family,Female,Private,0,0,36,Separated
12869,18,Some-college,United-States,Sales,Black,Own-child,Male,Private,0,0,35,Never-married
12916,19,Some-college,United-States,Adm-clerical,White,Own-child,Female,Private,0,0,20,Never-married
13064,42,HS-grad,United-States,Machine-op-inspct,White,Wife,Female,Private,7298,0,40,Married-civ-spouse
13662,62,HS-grad,United-States,Adm-clerical,White,Not-in-family,Female,Private,0,0,38,Never-married
13715,20,HS-grad,United-States,Sales,White,Own-child,Female,Private,0,0,30,Never-married
13746,23,Some-college,United-States,Transport-moving,White,Not-in-family,Male,Private,0,0,60,Never-married
13968,22,11th,United-States,Transport-moving,White,Not-in-family,Male,Private,0,0,65,Never-married
14138,43,HS-grad,United-States,Craft-repair,Black,Wife,Female,Private,0,0,42,Married-AF-spouse
14149,37,HS-grad,United-States,Craft-repair,White,Husband,Male,Private,0,0,40,Married-civ-spouse
14243,41,HS-grad,United-States,Adm-clerical,White,Own-child,Male,Private,0,0,40,Never-married
1437,36,Assoc-acdm,United-States,Adm-clerical,White,Wife,Female,Federal-gov,0,0,40,Married-civ-spouse
14426,67,10th,United-States,Transport-moving,White,Husband,Male,Private,0,0,16,Married-civ-spouse
14508,29,HS-grad,United-States,Machine-op-inspct,White,Husband,Male,Self-emp-not-inc,0,0,40,Married-civ-spouse
14537,35,Some-college,United-States,Sales,White,Husband,Male,Self-emp-inc,0,1740,40,Married-civ-spouse
14566,39,Some-college,United-States,Adm-clerical,White,Not-in-family,Female,Private,0,0,45,Divorced
14638,41,Assoc-acdm,United-States,Sales,White,Husband,Male,Private,0,0,20,Married-civ-spouse
14669,31,Some-college,United-States,Adm-clerical,White,Not-in-family,Female,Private,0,0,45,Never-married
14800,50,Assoc-acdm,United-States,Tech-support,Black,Husband,Male,Private,0,0,40,Married-civ-spouse
14834,42,HS-grad,United-States,Transport-moving,White,Husband,Male,Private,0,1740,43,Married-civ-spouse
14989,28,Bachelors,United-States,Protective-serv,White,Not-in-family,Female,Private,0,0,40,Never-married
15051,35,Some-college,United-States,Sales,White,Husband,Male,Private,0,0,40,Married-civ-spouse
15108,43,Masters,United-States,Prof-specialty,White,Husband,Male,Local-gov,0,0,40,Married-civ-spouse
15121,54,HS-grad,United-States,Adm-clerical,White,Husband,Male,Private,7298,0,60,Married-civ-spouse
15182,20,Some-college,United-States,Craft-repair,White,Own-child,Male,Private,0,0,40,Never-married
15280,30,Assoc-acdm,United-States,Sales,White,Husband,Male,Private,0,0,40,Married-civ-spouse
15281,29,HS-grad,United-States,Transport-moving,Black,Own-child,Male,Private,0,0,40,Never-married
1529,37,HS-grad,United-States,Exec-managerial,White,Unmarried,Female,Private,0,0,12,Divorced
15361,27,HS-grad,United-States,Craft-repair,White,Husband,Male,Private,0,0,48,Married-civ-spouse
15392,46,Masters,United-States,Exec-managerial,Black,Unmarried,Female,Local-gov,0,0,35,Widowed
1540,26,HS-grad,United-States,Adm-clerical,White,Own-child,Female,State-gov,0,0,30,Divorced
15402,35,HS-grad,United-States,Adm-clerical,White,Unmarried,Female,Local-gov,0,0,38,Separated
15439,33,Assoc-voc,United-States,Adm-clerical,White,Not-in-family,Male,Private,0,0,40,Divorced
15455,48,HS-grad,United-States,Craft-repair,White,Husband,Male,Private,0,0,44,Married-civ-spouse
15461,57,Bachelors,United-States,Prof-specialty,White,Not-in-family,Female,Local-gov,0,0,35,Widowed
15540,50,10th,United-States,Craft-repair,White,Not-in-family,Male,Self-emp-not-inc,0,0,25,Never-married
15691,48,Masters,United-States,Prof-specialty,White,Husband,Male,Private,0,1902,40,Married-civ-spouse
1592,20,Some-college,United-States,?,White,Own-child,Male,?,1055,0,50,Never-married
16061,30,HS-grad,United-States,Craft-repair,White,Not-in-family,Male,Private,0,0,40,Never-married
16264,45,Assoc-acdm,United-States,Exec-managerial,White,Husband,Male,Self-emp-inc,0,0,50,Married-civ-spouse
16273,41,Assoc-voc,United-States,Exec-managerial,White,Husband,Male,Private,0,0,40,Married-civ-spouse
16319,22,HS-grad,United-States,Handlers-cleaners,Black,Not-in-family,Male,Private,0,0,40,Never-married
1648,35,Bachelors,United-States,Exec-managerial,White,Husband,Male,Private,0,0,55,Married-civ-spouse
16543,62,Prof-school,United-States,Prof-specialty,White,Husband,Male,Self-emp-not-inc,0,0,15,Married-civ-spouse
