record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10032,United-States,Female,White,Never-married,Private,Some-college,Other-service,Not-in-family,33
10035,United-States,Male,White,Married-civ-spouse,?,HS-grad,?,Husband,61
10086,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Farming-fishing,Husband,34
10127,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,45
10128,United-States,Male,White,Never-married,Private,11th,Handlers-cleaners,Own-child,17
10141,United-States,Male,White,Never-married,Private,11th,Handlers-cleaners,Not-in-family,24
10373,United-States,Male,White,Never-married,Self-emp-not-inc,Some-college,Sales,Not-in-family,27
10492,United-States,Female,White,Never-married,Private,Bachelors,Other-service,Not-in-family,26
10585,United-States,Female,White,Never-married,Private,Bachelors,Adm-clerical,Own-child,32
10766,United-States,Male,White,Married-civ-spouse,Private,Some-college,Transport-moving,Husband,34
10810,United-States,Female,White,Never-married,Private,Assoc-acdm,Adm-clerical,Not-in-family,21
10886,United-States,Female,White,Divorced,Private,Assoc-acdm,Machine-op-inspct,Not-in-family,33
10903,United-States,Female,Black,Never-married,Private,HS-grad,Adm-clerical,Unmarried,39
10980,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Tech-support,Husband,54
11057,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,33
11085,United-States,Female,White,Divorced,?,Some-college,?,Not-in-family,28
11322,United-States,Female,White,Widowed,State-gov,Some-college,Prof-specialty,Not-in-family,58
11525,United-States,Female,White,Divorced,Private,Masters,Exec-managerial,Unmarried,43
11596,United-States,Male,White,Married-civ-spouse,Federal-gov,Bachelors,Exec-managerial,Husband,52
11667,United-States,Male,White,Never-married,Private,HS-grad,Adm-clerical,Unmarried,24
1177,United-States,Male,White,Married-civ-spouse,State-gov,HS-grad,Prof-specialty,Husband,50
11882,United-States,Female,Black,Divorced,Private,Assoc-voc,Adm-clerical,Unmarried,39
1190,United-States,Male,White,Divorced,Private,Assoc-voc,Other-service,Not-in-family,51
12028,United-States,Female,White,Separated,Private,Some-college,Exec-managerial,Unmarried,33
1221,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,48
12212,United-States,Male,White,Divorced,Local-gov,Bachelors,Protective-serv,Not-in-family,45
