record_id,education,marital-status,native-country,occupation,race,relationship,sex,workclass,age,capital-gain,capital-loss,hours-per-week
10082,Bachelors,Married-civ-spouse,United-States,Prof-specialty,White,Wife,Female,Private,34,15024,0,36
10099,10th,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,50,0,0,40
10134,HS-grad,Separated,United-States,Adm-clerical,White,Unmarried,Female,Private,26,0,0,40
10336,11th,Never-married,United-States,Other-service,White,Own-child,Male,State-gov,18,0,0,20
10358,Some-college,Divorced,United-States,Other-service,White,Not-in-family,Female,Private,50,0,0,15
10502,Bachelors,Never-married,United-States,Exec-managerial,White,Not-in-family,Female,Private,29,0,2258,45
10530,Assoc-acdm,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Local-gov,67,0,0,35
10604,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,44,0,0,40
10723,HS-grad,Never-married,United-States,Handlers-cleaners,White,Own-child,Male,Private,19,0,0,30
10739,HS-grad,Never-married,United-States,Other-service,White,Own-child,Male,Private,33,0,0,48
10897,11th,Never-married,United-States,Craft-repair,White,Other-relative,Male,Private,27,0,0,60
11255,Some-college,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,30,0,2051,40
11267,HS-grad,Never-married,United-States,Exec-managerial,Black,Not-in-family,Female,Private,45,0,0,40
11467,HS-grad,Married-civ-spouse,United-States,Farming-fishing,White,Husband,Male,Self-emp-not-inc,44,0,0,40
11524,Bachelors,Divorced,United-States,Sales,White,Unmarried,Male,Private,39,0,0,60
11690,Bachelors,Married-spouse-absent,United-States,Craft-repair,White,Unmarried,Male,Private,35,0,0,40
11744,Prof-school,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,Local-gov,34,0,0,40
11755,HS-grad,Never-married,United-States,Craft-repair,Black,Own-child,Male,Private,24,0,0,40
11899,Masters,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Private,39,0,0,40
11928,Bachelors,Married-civ-spouse,United-States,Farming-fishing,White,Husband,Male,Private,45,0,0,60
11956,HS-grad,Married-civ-spouse,United-States,Transport-moving,White,Husband,Male,Self-emp-not-inc,52,0,0,22
11967,HS-grad,Divorced,United-States,Adm-clerical,White,Not-in-family,Female,Private,76,0,0,8
1203,Bachelors,Never-married,United-States,Other-service,White,Not-in-family,Male,Private,44,0,0,40
12079,Assoc-acdm,Never-married,United-States,Sales,White,Own-child,Male,Private,26,0,0,30
1212,Some-college,Divorced,United-States,Craft-repair,White,Unmarried,Female,Private,31,0,0,20
1218,Bachelors,Divorced,United-States,Exec-managerial,White,Not-in-family,Male,Private,31,4650,0,45
12229,Some-college,Separated,United-States,Craft-repair,White,Not-in-family,Male,Private,23,0,0,40
12234,HS-grad,Never-married,United-States,Adm-clerical,White,Not-in-family,Female,Private,27,0,0,42
12248,Masters,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Federal-gov,42,0,0,40
12386,Bachelors,Never-married,United-States,Prof-specialty,White,Other-relative,Male,Local-gov,28,0,0,50
12508,Some-college,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Self-emp-inc,37,0,0,60
12510,Bachelors,Never-married,United-States,Exec-managerial,White,Not-in-family,Male,Private,39,0,0,40
12513,Bachelors,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,Private,28,0,0,43
12629,Some-college,Never-married,United-States,Adm-clerical,White,Not-in-family,Male,Federal-gov,48,0,0,30
12636,HS-grad,Married-civ-spouse,United-States,Other-service,Black,Husband,Male,Private,61,0,0,40
12721,Some-college,Married-civ-spouse,United-States,Handlers-cleaners,White,Husband,Male,Private,28,0,0,40
12727,Some-college,Never-married,United-States,Sales,White,Not-in-family,Female,Private,20,0,0,35
12782,Masters,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,State-gov,31,0,0,50
12789,10th,Separated,United-States,Sales,White,Not-in-family,Female,Private,20,0,0,36
12869,Some-college,Never-married,United-States,Sales,Black,Own-child,Male,Private,18,0,0,35
12916,Some-college,Never-married,United-States,Adm-clerical,White,Own-child,Female,Private,19,0,0,20
13064,HS-grad,Married-civ-spouse,United-States,Machine-op-inspct,White,Wife,Female,Private,42,7298,0,40
13662,HS-grad,Never-married,United-States,Adm-clerical,White,Not-in-family,Female,Private,62,0,0,38
13715,HS-grad,Never-married,United-States,Sales,White,Own-child,Female,Private,20,0,0,30
13746,Some-college,Never-married,United-States,Transport-moving,White,Not-in-family,Male,Private,23,0,0,60
13968,11th,Never-married,United-States,Transport-moving,White,Not-in-family,Male,Private,22,0,0,65
14138,HS-grad,Married-AF-spouse,United-States,Craft-repair,Black,Wife,Female,Private,43,0,0,42
14149,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,37,0,0,40
14243,HS-grad,Never-married,United-States,Adm-clerical,White,Own-child,Male,Private,41,0,0,40
1437,Assoc-acdm,Married-civ-spouse,United-States,Adm-clerical,White,Wife,Female,Federal-gov,36,0,0,40
14426,10th,Married-civ-spouse,United-States,Transport-moving,White,Husband,Male,Private,67,0,0,16
14508,HS-grad,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,Male,Self-emp-not-inc,29,0,0,40
14537,Some-college,Married-civ-spouse,United-States,Sales,White,Husband,Male,Self-emp-inc,35,0,1740,40
14566,Some-college,Divorced,United-States,Adm-clerical,White,Not-in-family,Female,Private,39,0,0,45
14638,Assoc-acdm,Married-civ-spouse,United-States,Sales,White,Husband,Male,Private,41,0,0,20
14669,Some-college,Never-married,United-States,Adm-clerical,White,Not-in-family,Female,Private,31,0,0,45
14800,Assoc-acdm,Married-civ-spouse,United-States,Tech-support,Black,Husband,Male,Private,50,0,0,40
14834,HS-grad,Married-civ-spouse,United-States,Transport-moving,White,Husband,Male,Private,42,0,1740,43
14989,Bachelors,Never-married,United-States,Protective-serv,White,Not-in-family,Female,Private,28,0,0,40
15051,Some-college,Married-civ-spouse,United-States,Sales,White,Husband,Male,Private,35,0,0,40
15108,Masters,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,Local-gov,43,0,0,40
15121,HS-grad,Married-civ-spouse,United-States,Adm-clerical,White,Husband,Male,Private,54,7298,0,60
15182,Some-college,Never-married,United-States,Craft-repair,White,Own-child,Male,Private,20,0,0,40
15280,Assoc-acdm,Married-civ-spouse,United-States,Sales,White,Husband,Male,Private,30,0,0,40
15281,HS-grad,Never-married,United-States,Transport-moving,Black,Own-child,Male,Private,29,0,0,40
1529,HS-grad,Divorced,United-States,Exec-managerial,White,Unmarried,Female,Private,37,0,0,12
15361,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,27,0,0,48
15392,Masters,Widowed,United-States,Exec-managerial,Black,Unmarried,Female,Local-gov,46,0,0,35
1540,HS-grad,Divorced,United-States,Adm-clerical,White,Own-child,Female,State-gov,26,0,0,30
15402,HS-grad,Separated,United-States,Adm-clerical,White,Unmarried,Female,Local-gov,35,0,0,38
15439,Assoc-voc,Divorced,United-States,Adm-clerical,White,Not-in-family,Male,Private,33,0,0,40
15455,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,48,0,0,44
15461,Bachelors,Widowed,United-States,Prof-specialty,White,Not-in-family,Female,Local-gov,57,0,0,35
15540,10th,Never-married,United-States,Craft-repair,White,Not-in-family,Male,Self-emp-not-inc,50,0,0,25
15691,Masters,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,Private,48,0,1902,40
1592,Some-college,Never-married,United-States,?,White,Own-child,Male,?,20,1055,0,50
16061,HS-grad,Never-married,United-States,Craft-repair,White,Not-in-family,Male,Private,30,0,0,40
16264,Assoc-acdm,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Self-emp-inc,45,0,0,50
16273,Assoc-voc,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Private,41,0,0,40
16319,HS-grad,Never-married,United-States,Handlers-cleaners,Black,Not-in-family,Male,Private,22,0,0,40
1648,Bachelors,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Private,35,0,0,55
16543,Prof-school,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,Self-emp-not-inc,62,0,0,15
16585,Bachelors,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,Private,44,0,1848,40
16594,7th-8th,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Self-emp-not-inc,59,0,0,40
16626,Some-college,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,Male,Private,36,0,0,44
16669,HS-grad,Married-civ-spouse,United-States,Transport-moving,White,Husband,Male,Private,47,0,1887,45
16680,Some-college,Never-married,United-States,Exec-managerial,White,Own-child,Male,State-gov,20,0,0,54
16778,Masters,Married-civ-spouse,India,Exec-managerial,Asian-Pac-Islander,Husband,Male,Private,43,0,0,40
16799,HS-grad,Never-married,United-States,Exec-managerial,White,Not-in-family,Female,Private,29,0,0,38
16833,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,42,0,0,40
16867,Assoc-voc,Married-civ-spouse,United-States,Adm-clerical,White,Husband,Male,Private,49,0,0,40
16899,HS-grad,Separated,United-States,Sales,White,Own-child,Female,Private,20,0,0,26
17046,Some-college,Divorced,United-States,Exec-managerial,White,Not-in-family,Female,Local-gov,56,0,0,40
17058,Assoc-acdm,Never-married,United-States,Exec-managerial,White,Not-in-family,Male,Private,28,0,0,65
17290,HS-grad,Never-married,United-States,Other-service,White,Own-child,Male,Private,31,0,0,40
17381,HS-grad,Never-married,United-States,Machine-op-inspct,White,Own-child,Male,Private,21,0,0,40
17525,Bachelors,Never-married,United-States,Prof-specialty,White,Not-in-family,Female,Local-gov,27,0,0,60
17957,Bachelors,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Local-gov,68,20051,0,40
1840,Some-college,Never-married,United-States,Craft-repair,White,Not-in-family,Male,Private,23,0,0,44
18527,Some-college,Married-civ-spouse,United-States,Protective-serv,White,Husband,Male,State-gov,48,0,1902,40
18539,HS-grad,Never-married,United-States,Sales,White,Not-in-family,Female,Private,36,0,0,40
18596,Bachelors,Married-spouse-absent,United-States,Exec-managerial,White,Not-in-family,Female,Federal-gov,59,0,0,40
1867,HS-grad,Divorced,United-States,Adm-clerical,White,Not-in-family,Female,Federal-gov,36,0,0,48
18695,12th,Married-civ-spouse,United-States,Sales,White,Husband,Male,Private,45,7688,0,40
18767,Some-college,Never-married,United-States,Adm-clerical,White,Not-in-family,Female,Private,46,0,0,40
18919,Some-college,Divorced,United-States,Adm-clerical,White,Unmarried,Female,State-gov,46,0,0,48
19094,Some-college,Never-married,Vietnam,Sales,Asian-Pac-Islander,Own-child,Male,Private,21,0,0,20
19383,HS-grad,Never-married,United-States,Craft-repair,White,Own-child,Male,Self-emp-not-inc,55,0,0,35
19592,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Local-gov,28,0,0,40
