record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10025,United-States,Male,White,Married-civ-spouse,Local-gov,Bachelors,Prof-specialty,Husband,45
10035,United-States,Male,White,Married-civ-spouse,?,HS-grad,?,Husband,61
10132,United-States,Male,White,Never-married,Self-emp-not-inc,HS-grad,Farming-fishing,Own-child,18
10337,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Other-service,Husband,54
10426,United-States,Male,White,Married-civ-spouse,Private,Some-college,Prof-specialty,Husband,29
10474,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,38
10586,United-States,Female,White,Never-married,Private,Some-college,Adm-clerical,Own-child,20
10651,United-States,Male,White,Never-married,Self-emp-not-inc,HS-grad,Craft-repair,Not-in-family,33
10794,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Wife,24
10985,United-States,Male,Black,Never-married,Private,HS-grad,Sales,Not-in-family,26
11332,United-States,Male,White,Never-married,Private,HS-grad,Other-service,Own-child,21
11457,United-States,Female,White,Widowed,Federal-gov,HS-grad,Exec-managerial,Not-in-family,62
11530,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Exec-managerial,Husband,27
11555,United-States,Male,White,Never-married,Private,Bachelors,Sales,Not-in-family,29
11608,United-States,Female,White,Divorced,Private,HS-grad,Sales,Unmarried,50
1193,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Tech-support,Husband,28
11989,United-States,Male,Black,Divorced,Private,HS-grad,Machine-op-inspct,Other-relative,43
12005,United-States,Male,White,Married-civ-spouse,Local-gov,Masters,Prof-specialty,Husband,47
12063,United-States,Male,White,Never-married,Private,5th-6th,Machine-op-inspct,Not-in-family,49
12142,United-States,Male,Black,Married-civ-spouse,Private,Some-college,Transport-moving,Husband,55
12155,United-States,Female,White,Separated,Private,HS-grad,Adm-clerical,Unmarried,53
12162,United-States,Female,White,Divorced,Private,HS-grad,Exec-managerial,Unmarried,35
12182,Puerto-Rico,Male,White,Married-civ-spouse,Private,9th,Machine-op-inspct,Husband,57
12293,United-States,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Protective-serv,Husband,46
12346,United-States,Female,Black,Separated,Federal-gov,HS-grad,Exec-managerial,Not-in-family,41
12358,United-States,Female,White,Separated,Private,Some-college,Other-service,Unmarried,35
12374,United-States,Male,Black,Married-civ-spouse,Private,7th-8th,Transport-moving,Husband,61
12392,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Own-child,24
12440,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Sales,Husband,31
12452,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Masters,Exec-managerial,Husband,35
12596,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,28
12630,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,32
12744,United-States,Female,White,Divorced,Private,Masters,Prof-specialty,Not-in-family,60
12757,United-States,Male,White,Never-married,Private,HS-grad,Machine-op-inspct,Unmarried,34
12777,United-States,Male,White,Divorced,Private,Some-college,Craft-repair,Not-in-family,48
12803,United-States,Male,White,Married-civ-spouse,Private,Some-college,Exec-managerial,Husband,64
12874,United-States,Male,White,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,30
13015,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Prof-school,Prof-specialty,Husband,57
13238,United-States,Female,White,Married-civ-spouse,Local-gov,Bachelors,Prof-specialty,Wife,25
13276,United-States,Female,White,Never-married,Private,Bachelors,Handlers-cleaners,Own-child,22
13498,United-States,Male,White,Married-civ-spouse,?,Prof-school,?,Husband,63
13596,United-States,Female,White,Divorced,Private,HS-grad,Adm-clerical,Unmarried,48
13765,United-States,Male,White,Married-civ-spouse,Private,10th,Sales,Husband,72
13853,United-States,Male,White,Never-married,Private,Some-college,Craft-repair,Not-in-family,24
14088,Italy,Male,White,Separated,Private,5th-6th,Other-service,Not-in-family,68
14133,United-States,Male,White,Divorced,Private,HS-grad,Other-service,Own-child,32
14351,United-States,Female,White,Never-married,Federal-gov,Bachelors,Protective-serv,Not-in-family,30
14389,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,40
14462,Mexico,Female,White,Married-civ-spouse,Private,HS-grad,Other-service,Wife,26
14497,United-States,Male,White,Never-married,Private,HS-grad,Exec-managerial,Unmarried,24
14559,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Exec-managerial,Husband,63
14569,United-States,Male,White,Divorced,Private,HS-grad,Adm-clerical,Not-in-family,31
14639,United-States,Male,White,Never-married,Private,Bachelors,Exec-managerial,Not-in-family,25
14822,United-States,Male,White,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,35
14868,United-States,Female,White,Never-married,Private,HS-grad,Other-service,Own-child,19
15311,United-States,Male,Black,Married-civ-spouse,Private,Some-college,Machine-op-inspct,Husband,41
15360,United-States,Male,Black,Never-married,Federal-gov,Some-college,Adm-clerical,Not-in-family,48
15398,United-States,Male,White,Never-married,State-gov,Some-college,Adm-clerical,Own-child,24
1544,United-States,Male,White,Divorced,?,5th-6th,?,Not-in-family,69
15462,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Sales,Husband,38
15487,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,49
15582,United-States,Female,White,Never-married,Private,Some-college,Adm-clerical,Not-in-family,19
15727,United-States,Male,White,Married-civ-spouse,State-gov,Doctorate,Prof-specialty,Husband,38
15730,United-States,Female,White,Never-married,Local-gov,Masters,Prof-specialty,Not-in-family,45
1588,United-States,Female,White,Never-married,Private,HS-grad,Exec-managerial,Own-child,22
15897,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Not-in-family,30
1596,United-States,Female,White,Married-civ-spouse,Local-gov,HS-grad,Adm-clerical,Wife,33
16198,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,70
16291,United-States,Male,White,Married-civ-spouse,Private,Some-college,Machine-op-inspct,Husband,37
16302,United-States,Male,White,Widowed,Self-emp-not-inc,HS-grad,Exec-managerial,Not-in-family,83
16444,United-States,Female,White,Never-married,Private,HS-grad,Exec-managerial,Not-in-family,29
16475,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Not-in-family,39
16533,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Other-relative,25
16588,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Prof-specialty,Husband,70
16591,United-States,Male,White,Married-civ-spouse,Private,Some-college,Exec-managerial,Husband,66
16626,United-States,Male,White,Married-civ-spouse,Private,Some-college,Machine-op-inspct,Husband,36
16667,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Prof-school,Prof-specialty,Husband,45
16801,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,56
16832,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,49
16871,United-States,Male,White,Never-married,Private,HS-grad,Machine-op-inspct,Own-child,35
16900,United-States,Male,White,Married-civ-spouse,Private,11th,Craft-repair,Husband,22
17294,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,41
17339,United-States,Male,White,Never-married,Private,Bachelors,Craft-repair,Not-in-family,26
17438,United-States,Male,White,Married-civ-spouse,Federal-gov,Bachelors,Farming-fishing,Husband,51
17499,United-States,Female,White,Never-married,Private,Assoc-voc,Adm-clerical,Own-child,21
17729,United-States,Female,White,Married-civ-spouse,Private,Assoc-voc,Tech-support,Wife,38
17853,United-States,Female,Black,Never-married,Private,Bachelors,Adm-clerical,Not-in-family,27
18023,United-States,Male,White,Married-civ-spouse,Local-gov,Masters,Prof-specialty,Husband,63
18136,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Assoc-acdm,Craft-repair,Husband,35
18305,United-States,Male,Black,Never-married,Private,Some-college,Other-service,Own-child,21
18332,United-States,Male,White,Married-civ-spouse,Local-gov,Bachelors,Prof-specialty,Husband,42
18483,Germany,Male,White,Never-married,Private,Doctorate,Prof-specialty,Not-in-family,28
