record_id,age,education,marital-status,native-country,occupation,relationship,sex,capital-gain,hours-per-week,race
10223,27,HS-grad,Married-civ-spouse,United-States,Sales,Husband,Male,0,40,White
10516,46,HS-grad,Never-married,United-States,Craft-repair,Not-in-family,Female,0,48,White
10546,78,7th-8th,Married-civ-spouse,United-States,?,Husband,Male,0,60,White
10696,31,12th,Separated,United-States,Transport-moving,Unmarried,Male,0,40,Black
10740,56,Bachelors,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,0,40,White
10826,25,HS-grad,Never-married,United-States,Handlers-cleaners,Not-in-family,Male,0,40,White
10886,33,Assoc-acdm,Divorced,United-States,Machine-op-inspct,Not-in-family,Female,0,42,White
10935,58,Some-college,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,0,40,White
10994,27,Some-college,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,0,40,White
11001,23,Some-college,Never-married,United-States,?,Not-in-family,Male,0,40,White
11087,69,9th,Married-civ-spouse,United-States,?,Husband,Male,0,20,White
11127,48,Bachelors,Divorced,United-States,Prof-specialty,Unmarried,Female,0,60,White
11272,40,Some-college,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Male,0,50,White
11327,45,Masters,Married-civ-spouse,United-States,Sales,Husband,Male,0,50,White
11335,50,Bachelors,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,0,40,White
11497,21,Some-college,Never-married,United-States,Craft-repair,Not-in-family,Male,0,40,White
11628,47,Bachelors,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,0,60,White
11988,50,HS-grad,Married-civ-spouse,?,Other-service,Wife,Female,0,12,White
12078,25,HS-grad,Never-married,United-States,Craft-repair,Own-child,Male,0,40,Black
1211,37,Some-college,Separated,United-States,Adm-clerical,Own-child,Male,0,62,White
12133,35,HS-grad,Married-civ-spouse,United-States,Craft-repair,Husband,Male,0,60,White
12295,36,Bachelors,Never-married,United-States,Prof-specialty,Not-in-family,Female,0,45,White
12482,34,Assoc-voc,Never-married,United-States,Craft-repair,Not-in-family,Female,0,40,White
12504,28,Some-college,Married-civ-spouse,United-States,Other-service,Husband,Male,0,35,White
12530,39,HS-grad,Never-married,United-States,Adm-clerical,Own-child,Female,0,40,White
12552,51,HS-grad,Married-civ-spouse,United-States,Craft-repair,Husband,Male,0,42,White
12857,60,7th-8th,Married-civ-spouse,United-States,Transport-moving,Husband,Male,0,40,White
