record_id,age,education,marital-status,occupation,race,relationship,sex,capital-gain,hours-per-week,native-country,workclass
10128,17,11th,Never-married,Handlers-cleaners,White,Own-child,Male,0,12,United-States,Private
10260,42,HS-grad,Never-married,Farming-fishing,White,Own-child,Male,0,85,United-States,Self-emp-not-inc
10563,23,Some-college,Never-married,Adm-clerical,White,Own-child,Male,0,25,United-States,State-gov
10578,57,Some-college,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,40,United-States,Self-emp-inc
10677,25,Bachelors,Never-married,Adm-clerical,White,Own-child,Female,0,40,United-States,Private
10775,28,HS-grad,Divorced,Adm-clerical,White,Not-in-family,Female,0,35,United-States,Private
11014,32,Bachelors,Divorced,Prof-specialty,White,Not-in-family,Male,0,40,United-States,Local-gov
11284,35,Bachelors,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Husband,Male,0,50,?,Private
11490,27,Some-college,Never-married,Adm-clerical,Black,Not-in-family,Female,0,40,Jamaica,Private
1174,47,HS-grad,Married-civ-spouse,Other-service,White,Husband,Male,0,40,United-States,Private
1183,32,HS-grad,Married-civ-spouse,Adm-clerical,White,Husband,Male,0,40,United-States,Private
11868,49,10th,Married-civ-spouse,Other-service,White,Husband,Male,0,40,United-States,State-gov
12071,27,HS-grad,Married-civ-spouse,Handlers-cleaners,Asian-Pac-Islander,Husband,Male,0,40,United-States,Federal-gov
12153,31,HS-grad,Married-civ-spouse,?,White,Husband,Male,0,30,Mexico,?
12168,38,Some-college,Divorced,Handlers-cleaners,Black,Unmarried,Female,0,40,United-States,Federal-gov
12193,65,HS-grad,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,40,United-States,Self-emp-inc
12324,46,HS-grad,Married-civ-spouse,Sales,White,Husband,Male,0,45,United-States,Private
12629,48,Some-college,Never-married,Adm-clerical,White,Not-in-family,Male,0,30,United-States,Federal-gov
12710,21,Assoc-voc,Never-married,Tech-support,White,Own-child,Female,0,30,United-States,Private
12805,28,HS-grad,Married-civ-spouse,Prof-specialty,White,Husband,Male,0,35,United-States,Self-emp-not-inc
12814,40,Bachelors,Married-civ-spouse,Tech-support,White,Husband,Male,0,40,United-States,Private
12866,50,HS-grad,Married-civ-spouse,Other-service,White,Husband,Male,0,40,United-States,Private
12888,33,Assoc-voc,Married-civ-spouse,Farming-fishing,White,Husband,Male,0,62,United-States,Self-emp-not-inc
13011,36,Bachelors,Never-married,Tech-support,White,Own-child,Male,0,40,United-States,Private
13026,79,Assoc-acdm,Married-civ-spouse,?,White,Wife,Female,0,2,United-States,?
13084,25,1st-4th,Never-married,Priv-house-serv,White,Not-in-family,Female,0,40,Guatemala,Private
13090,51,Assoc-voc,Divorced,Adm-clerical,White,Unmarried,Female,0,38,United-States,Private
1337,40,HS-grad,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,40,United-States,Private
13420,41,HS-grad,Widowed,Sales,White,Not-in-family,Female,0,40,United-States,Private
13438,29,Bachelors,Never-married,Sales,White,Own-child,Male,0,40,United-States,Private
13458,48,7th-8th,Married-civ-spouse,Craft-repair,White,Husband,Male,0,32,Dominican-Republic,Private
13531,50,HS-grad,Married-civ-spouse,Craft-repair,White,Husband,Male,0,40,United-States,Private
13550,49,HS-grad,Widowed,Craft-repair,Asian-Pac-Islander,Unmarried,Female,0,40,South,Private
13720,51,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Husband,Male,0,40,United-States,Private
13760,18,12th,Never-married,Sales,White,Own-child,Female,0,25,United-States,Private
13866,63,HS-grad,Married-civ-spouse,Other-service,White,Husband,Male,0,12,United-States,Self-emp-not-inc
1392,59,HS-grad,Divorced,Sales,White,Unmarried,Female,0,30,United-States,Private
13936,31,7th-8th,Never-married,Handlers-cleaners,White,Other-relative,Male,0,25,United-States,Private
14011,38,Some-college,Never-married,Sales,Black,Unmarried,Female,0,40,United-States,Private
14018,17,12th,Never-married,Adm-clerical,White,Own-child,Female,0,30,United-States,Private
14034,36,HS-grad,Married-civ-spouse,Sales,White,Husband,Male,0,50,United-States,Private
14081,31,HS-grad,Divorced,Exec-managerial,White,Unmarried,Female,0,40,United-States,Private
14367,46,Bachelors,Married-civ-spouse,Exec-managerial,White,Husband,Male,15024,45,United-States,Private
14457,21,Some-college,Never-married,Sales,White,Own-child,Male,0,10,United-States,Private
14538,29,HS-grad,Married-civ-spouse,Farming-fishing,White,Husband,Male,0,70,United-States,Self-emp-not-inc
14713,67,Masters,Divorced,Adm-clerical,White,Not-in-family,Female,2009,40,United-States,Local-gov
15276,31,HS-grad,Never-married,Craft-repair,Amer-Indian-Eskimo,Not-in-family,Male,0,45,United-States,Private
15326,32,Masters,Married-civ-spouse,Prof-specialty,White,Husband,Male,0,48,United-States,Local-gov
15374,25,Some-college,Never-married,Craft-repair,White,Own-child,Male,0,80,United-States,Self-emp-not-inc
15452,64,HS-grad,Divorced,Other-service,White,Not-in-family,Female,0,15,United-States,Private
