record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10046,United-States,Male,White,Married-civ-spouse,Local-gov,Some-college,Protective-serv,Husband,50
10057,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Some-college,Farming-fishing,Husband,42
10163,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,29
10198,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,43
10204,United-States,Female,White,Never-married,Private,Assoc-voc,Prof-specialty,Not-in-family,30
10373,United-States,Male,White,Never-married,Self-emp-not-inc,Some-college,Sales,Not-in-family,27
10495,United-States,Male,White,Married-civ-spouse,Private,9th,Craft-repair,Husband,29
10732,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Machine-op-inspct,Husband,32
10752,United-States,Male,White,Married-civ-spouse,Local-gov,Bachelors,Sales,Husband,45
10796,United-States,Male,White,Never-married,Private,12th,Craft-repair,Unmarried,29
11063,United-States,Male,White,Never-married,Private,Some-college,Farming-fishing,Own-child,21
11068,United-States,Female,White,Never-married,Private,HS-grad,Prof-specialty,Other-relative,28
11111,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,28
11141,United-States,Female,Black,Separated,Private,HS-grad,Craft-repair,Unmarried,45
11184,United-States,Female,White,Married-civ-spouse,State-gov,Bachelors,Prof-specialty,Wife,41
11458,United-States,Female,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,31
11541,United-States,Male,White,Married-civ-spouse,Local-gov,Bachelors,Prof-specialty,Husband,63
11602,United-States,Male,Black,Separated,Private,11th,Machine-op-inspct,Not-in-family,36
11757,United-States,Female,Black,Never-married,State-gov,10th,Other-service,Not-in-family,61
11790,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Sales,Husband,53
11918,United-States,Male,White,Married-AF-spouse,Private,HS-grad,Craft-repair,Husband,27
11941,United-States,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Exec-managerial,Husband,58
12422,United-States,Female,White,Never-married,Private,11th,Adm-clerical,Own-child,17
12510,United-States,Male,White,Never-married,Private,Bachelors,Exec-managerial,Not-in-family,39
12669,United-States,Male,White,Never-married,Private,Masters,Exec-managerial,Not-in-family,36
12892,United-States,Male,White,Never-married,Private,Assoc-acdm,Sales,Not-in-family,27
13179,United-States,Female,White,Divorced,Private,Some-college,Exec-managerial,Not-in-family,45
13633,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Protective-serv,Husband,68
14050,United-States,Male,White,Never-married,Private,Bachelors,Sales,Not-in-family,25
14149,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,37
14179,United-States,Female,White,Divorced,Local-gov,Bachelors,Prof-specialty,Unmarried,37
14191,United-States,Male,Black,Married-civ-spouse,Private,11th,Machine-op-inspct,Husband,50
14207,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Tech-support,Husband,58
14289,United-States,Male,White,Divorced,Federal-gov,10th,Craft-repair,Unmarried,65
14345,United-States,Male,White,Married-civ-spouse,Private,Some-college,Prof-specialty,Husband,46
14445,England,Male,White,Married-civ-spouse,Private,Bachelors,Tech-support,Husband,34
14508,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Machine-op-inspct,Husband,29
14525,United-States,Male,White,Never-married,Local-gov,HS-grad,Other-service,Own-child,32
14638,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Sales,Husband,41
14690,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Not-in-family,19
14763,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Protective-serv,Husband,49
15057,United-States,Female,White,Never-married,Private,HS-grad,Other-service,Not-in-family,23
15071,United-States,Male,White,Separated,Private,HS-grad,Exec-managerial,Not-in-family,39
1534,United-States,Female,White,Divorced,Private,Some-college,Other-service,Not-in-family,50
15502,United-States,Female,White,Never-married,State-gov,Some-college,Adm-clerical,Own-child,20
15558,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,40
15598,United-States,Male,White,Married-civ-spouse,?,HS-grad,?,Husband,63
15620,United-States,Male,White,Married-civ-spouse,Private,Some-college,Other-service,Husband,43
15771,United-States,Male,White,Never-married,Private,9th,Other-service,Own-child,27
15774,United-States,Male,White,Married-civ-spouse,Private,Some-college,Adm-clerical,Husband,39
15826,United-States,Female,White,Widowed,Private,Some-college,Other-service,Unmarried,64
15848,United-States,Female,White,Never-married,Local-gov,11th,Other-service,Unmarried,36
15955,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,51
15996,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Farming-fishing,Husband,58
16053,United-States,Male,White,Married-civ-spouse,Private,Masters,Sales,Husband,59
16069,Mexico,Male,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Husband,44
16104,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Husband,23
16115,United-States,Male,White,Married-civ-spouse,Private,Some-college,Farming-fishing,Husband,28
16153,United-States,Male,White,Never-married,Private,Bachelors,Sales,Not-in-family,39
16154,United-States,Female,White,Never-married,Private,HS-grad,Handlers-cleaners,Not-in-family,45
16192,Philippines,Female,Asian-Pac-Islander,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,26
16281,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Exec-managerial,Husband,55
16404,United-States,Male,White,Never-married,?,Doctorate,?,Not-in-family,51
16426,United-States,Male,White,Married-civ-spouse,Private,11th,Transport-moving,Husband,56
16543,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Prof-school,Prof-specialty,Husband,62
16568,United-States,Male,White,Separated,Private,HS-grad,Craft-repair,Not-in-family,25
16590,United-States,Male,Black,Divorced,Private,Assoc-acdm,Adm-clerical,Not-in-family,34
1670,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Sales,Husband,44
16742,United-States,Male,White,Never-married,Private,Bachelors,Adm-clerical,Not-in-family,33
16785,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Prof-specialty,Husband,44
16834,United-States,Female,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,26
16874,United-States,Male,White,Married-civ-spouse,Private,Some-college,Other-service,Husband,48
17022,United-States,Male,White,Married-civ-spouse,Private,Prof-school,Exec-managerial,Husband,42
17219,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Own-child,21
17558,United-States,Male,White,Married-civ-spouse,Private,Some-college,Adm-clerical,Husband,32
17614,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,34
17768,United-States,Female,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,37
17850,United-States,Female,Black,Divorced,Private,Assoc-acdm,Other-service,Unmarried,39
18081,United-States,Male,White,Never-married,Private,Some-college,Other-service,Not-in-family,31
1811,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Exec-managerial,Husband,35
18527,United-States,Male,White,Married-civ-spouse,State-gov,Some-college,Protective-serv,Husband,48
18561,United-States,Male,Black,Married-civ-spouse,Private,Some-college,Machine-op-inspct,Husband,26
18865,United-States,Male,White,Never-married,Private,Some-college,Other-service,Own-child,23
19052,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,36
19103,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Handlers-cleaners,Husband,23
19218,United-States,Male,White,Never-married,Private,Some-college,Tech-support,Not-in-family,28
19237,United-States,Female,White,Never-married,Private,Some-college,Craft-repair,Not-in-family,29
19283,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Farming-fishing,Husband,61
19311,United-States,Male,White,Never-married,?,Some-college,?,Own-child,21
19414,?,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,34
1945,United-States,Male,White,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,37
19480,United-States,Male,White,Married-civ-spouse,Local-gov,Assoc-acdm,Exec-managerial,Husband,46
19563,United-States,Male,White,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,51
19648,United-States,Male,White,Never-married,Private,10th,Farming-fishing,Unmarried,44
19677,United-States,Male,White,Married-civ-spouse,Local-gov,Masters,Prof-specialty,Husband,29
19761,United-States,Male,White,Married-civ-spouse,Private,Some-college,Exec-managerial,Husband,29
19834,United-States,Male,White,Never-married,State-gov,Some-college,Adm-clerical,Own-child,20
1995,United-States,Male,White,Divorced,Private,Some-college,Machine-op-inspct,Not-in-family,44
20519,United-States,Male,White,Married-civ-spouse,Private,11th,Handlers-cleaners,Own-child,28
20530,United-States,Male,White,Never-married,?,HS-grad,?,Own-child,23
20540,United-States,Female,Black,Widowed,Private,10th,Craft-repair,Unmarried,55
20610,United-States,Female,White,Married-civ-spouse,Private,Masters,Prof-specialty,Wife,90
20616,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Not-in-family,28
20801,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Prof-specialty,Husband,43
20805,United-States,Female,White,Never-married,Private,HS-grad,Handlers-cleaners,Own-child,27
2090,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Sales,Husband,42
20902,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Tech-support,Husband,34
21143,United-States,Female,White,Never-married,Private,Assoc-acdm,Exec-managerial,Not-in-family,53
21187,United-States,Male,White,Married-civ-spouse,Private,Some-college,Other-service,Husband,31
21257,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,48
21407,United-States,Female,White,Never-married,Private,Assoc-voc,Priv-house-serv,Not-in-family,22
21430,United-States,Male,White,Married-civ-spouse,Local-gov,Doctorate,Exec-managerial,Husband,52
21544,United-States,Female,White,Married-civ-spouse,Self-emp-not-inc,Assoc-voc,Other-service,Wife,25
2155,United-States,Male,White,Married-civ-spouse,?,11th,?,Husband,66
21553,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Wife,33
21618,United-States,Male,White,Married-civ-spouse,Private,9th,Farming-fishing,Husband,60
21633,United-States,Female,White,Divorced,Federal-gov,HS-grad,Prof-specialty,Unmarried,35
21658,United-States,Male,White,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,39
21801,United-States,Male,White,Divorced,Private,Some-college,Sales,Not-in-family,45
22017,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Craft-repair,Husband,50
22240,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Farming-fishing,Husband,37
22328,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Wife,54
22338,United-States,Male,White,Married-civ-spouse,Private,Masters,Sales,Husband,31
22403,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Some-college,Exec-managerial,Husband,60
22460,United-States,Male,White,Divorced,Private,HS-grad,Sales,Not-in-family,48
22490,United-States,Male,White,Never-married,Private,HS-grad,Sales,Own-child,23
22553,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Prof-specialty,Husband,29
22669,Cambodia,Male,Asian-Pac-Islander,Married-civ-spouse,Private,HS-grad,Prof-specialty,Husband,36
22861,?,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,36
22892,United-States,Male,White,Never-married,Self-emp-inc,Bachelors,Exec-managerial,Own-child,24
22898,United-States,Male,White,Married-civ-spouse,?,5th-6th,?,Husband,84
22913,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Prof-school,Prof-specialty,Husband,41
23018,United-States,Male,White,Married-civ-spouse,Private,Some-college,Adm-clerical,Husband,35
23026,United-States,Female,White,Widowed,Private,Some-college,Adm-clerical,Unmarried,47
23119,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,41
23156,United-States,Female,Black,Divorced,Private,Some-college,Adm-clerical,Unmarried,33
23336,United-States,Male,White,Widowed,?,HS-grad,?,Unmarried,71
2338,United-States,Female,White,Never-married,Private,HS-grad,Tech-support,Own-child,23
