record_id,age,education,native-country,occupation,race,sex,workclass,capital-loss,marital-status,relationship
10366,32,Bachelors,United-States,Sales,White,Male,Private,0,Married-civ-spouse,Husband
10500,39,Bachelors,United-States,Adm-clerical,White,Male,Federal-gov,1741,Never-married,Not-in-family
10864,57,HS-grad,United-States,Adm-clerical,White,Female,Private,0,Divorced,Not-in-family
10940,29,Some-college,United-States,Sales,White,Female,Private,0,Divorced,Unmarried
10956,21,HS-grad,United-States,Sales,White,Male,Private,0,Never-married,Own-child
11009,31,HS-grad,United-States,Other-service,White,Male,Private,0,Never-married,Not-in-family
11020,49,Some-college,United-States,Exec-managerial,White,Male,Private,0,Divorced,Not-in-family
11025,48,Bachelors,United-States,Exec-managerial,White,Male,Private,0,Married-civ-spouse,Husband
11176,31,HS-grad,United-States,Craft-repair,White,Male,Private,0,Married-civ-spouse,Husband
11306,48,Some-college,United-States,Prof-specialty,White,Male,Private,0,Married-civ-spouse,Husband
11307,40,Some-college,United-States,Craft-repair,White,Male,Private,0,Married-civ-spouse,Husband
11407,23,Some-college,United-States,Adm-clerical,White,Male,Private,0,Never-married,Own-child
11500,22,Some-college,United-States,?,White,Female,?,0,Never-married,Not-in-family
11513,47,Bachelors,United-States,Prof-specialty,White,Male,Private,0,Married-civ-spouse,Husband
11675,36,Assoc-voc,United-States,Sales,White,Male,Self-emp-inc,0,Married-civ-spouse,Husband
1171,50,11th,United-States,Other-service,Black,Female,Private,0,Divorced,Not-in-family
1186,59,Some-college,United-States,Exec-managerial,Black,Female,Federal-gov,0,Never-married,Own-child
11998,20,Some-college,United-States,Prof-specialty,White,Female,Private,0,Never-married,Own-child
12086,66,HS-grad,United-States,Sales,White,Female,Private,0,Widowed,Not-in-family
12243,55,HS-grad,United-States,Handlers-cleaners,White,Female,Private,0,Divorced,Not-in-family
12826,19,Some-college,United-States,Sales,White,Female,Private,0,Never-married,Own-child
12926,25,10th,United-States,Priv-house-serv,White,Female,Private,0,Never-married,Own-child
12963,21,Some-college,United-States,Other-service,White,Male,Private,0,Never-married,Own-child
13001,62,HS-grad,United-States,Craft-repair,White,Male,Private,0,Widowed,Unmarried
13075,20,HS-grad,United-States,Other-service,White,Female,Private,0,Never-married,Own-child
13080,19,HS-grad,United-States,Handlers-cleaners,White,Male,Private,0,Never-married,Own-child
13265,43,HS-grad,United-States,Machine-op-inspct,White,Male,Private,0,Married-civ-spouse,Husband
1331,20,Some-college,United-States,Machine-op-inspct,White,Female,Private,0,Never-married,Not-in-family
13338,36,Assoc-acdm,United-States,Adm-clerical,White,Male,Private,0,Married-civ-spouse,Husband
13358,38,Some-college,United-States,Prof-specialty,Black,Female,Private,0,Married-spouse-absent,Own-child
13391,54,Some-college,United-States,Farming-fishing,White,Male,Private,0,Married-civ-spouse,Husband
13461,19,Some-college,United-States,Sales,White,Female,Private,0,Never-married,Own-child
13639,36,7th-8th,United-States,Machine-op-inspct,White,Male,Self-emp-not-inc,0,Married-civ-spouse,Husband
13653,38,Some-college,United-States,Handlers-cleaners,White,Male,Private,0,Married-civ-spouse,Husband
13661,43,Bachelors,United-States,Prof-specialty,White,Female,Private,0,Never-married,Not-in-family
13693,18,HS-grad,United-States,Other-service,White,Male,Private,0,Never-married,Own-child
13708,57,Some-college,United-States,Farming-fishing,White,Male,Self-emp-not-inc,0,Married-civ-spouse,Husband
13722,45,Bachelors,United-States,Prof-specialty,White,Male,Private,1977,Married-civ-spouse,Husband
13848,54,HS-grad,United-States,Machine-op-inspct,White,Male,Private,0,Married-civ-spouse,Husband
13911,50,7th-8th,United-States,Craft-repair,White,Male,Private,0,Divorced,Not-in-family
13985,44,HS-grad,United-States,Adm-clerical,White,Female,Private,0,Married-civ-spouse,Wife
14059,20,HS-grad,United-States,Craft-repair,White,Male,Private,0,Never-married,Not-in-family
14140,30,Bachelors,United-States,Craft-repair,White,Male,Private,0,Never-married,Own-child
14344,19,Some-college,United-States,?,White,Female,?,0,Never-married,Own-child
14570,61,Bachelors,United-States,Prof-specialty,White,Male,Self-emp-not-inc,0,Married-civ-spouse,Husband
14641,22,HS-grad,United-States,Other-service,White,Male,Private,0,Married-civ-spouse,Own-child
14665,40,Bachelors,United-States,Adm-clerical,White,Male,Private,0,Married-civ-spouse,Husband
14689,72,Assoc-voc,United-States,Other-service,White,Female,Private,0,Separated,Unmarried
14707,45,Doctorate,United-States,Exec-managerial,White,Male,Private,0,Married-civ-spouse,Husband
14751,24,Assoc-voc,United-States,Sales,White,Male,Private,0,Never-married,Unmarried
14781,48,Masters,United-States,Exec-managerial,White,Female,Private,1902,Married-civ-spouse,Wife
14795,59,HS-grad,United-States,Craft-repair,White,Male,Private,1485,Married-civ-spouse,Husband
14797,45,HS-grad,United-States,Adm-clerical,White,Male,Private,0,Married-civ-spouse,Husband
14812,52,10th,United-States,Craft-repair,White,Male,Self-emp-not-inc,0,Married-civ-spouse,Husband
15022,29,Some-college,United-States,?,White,Female,?,0,Married-civ-spouse,Wife
15136,26,Bachelors,?,Prof-specialty,White,Male,Private,0,Married-civ-spouse,Husband
15270,58,HS-grad,United-States,Adm-clerical,White,Female,Private,0,Married-civ-spouse,Wife
15287,22,Assoc-acdm,United-States,Adm-clerical,White,Female,Private,0,Never-married,Own-child
1558,25,HS-grad,United-States,Transport-moving,White,Male,Private,0,Never-married,Not-in-family
15675,38,Some-college,United-States,Adm-clerical,White,Female,Private,0,Divorced,Own-child
1569,20,Some-college,United-States,?,White,Male,?,0,Never-married,Own-child
15857,68,Some-college,United-States,Sales,White,Male,Self-emp-not-inc,0,Married-civ-spouse,Husband
1626,51,HS-grad,United-States,Craft-repair,White,Male,Private,0,Married-civ-spouse,Husband
16303,34,Some-college,United-States,Tech-support,White,Male,Private,0,Married-civ-spouse,Husband
16547,43,HS-grad,United-States,Machine-op-inspct,White,Female,Private,0,Widowed,Unmarried
16601,40,Bachelors,United-States,Protective-serv,Black,Male,Local-gov,0,Married-civ-spouse,Husband
16785,44,Assoc-acdm,United-States,Prof-specialty,White,Male,Private,0,Married-civ-spouse,Husband
16840,17,HS-grad,United-States,Sales,White,Female,Private,0,Never-married,Own-child
16957,31,1st-4th,Honduras,Handlers-cleaners,White,Male,Private,0,Separated,Unmarried
17048,61,Bachelors,United-States,Exec-managerial,White,Female,Federal-gov,0,Married-civ-spouse,Wife
17129,36,HS-grad,United-States,Machine-op-inspct,White,Male,Private,0,Married-civ-spouse,Husband
17169,40,Assoc-voc,United-States,Sales,Black,Male,Private,0,Separated,Not-in-family
17205,21,Some-college,United-States,Craft-repair,White,Male,Private,1719,Never-married,Own-child
17393,40,Masters,United-States,Exec-managerial,White,Male,Private,0,Married-civ-spouse,Husband
17394,45,Some-college,United-States,Other-service,White,Female,Private,0,Divorced,Not-in-family
17632,48,HS-grad,United-States,Other-service,White,Female,Private,0,Widowed,Not-in-family
17988,54,Some-college,United-States,Sales,White,Female,Self-emp-not-inc,0,Divorced,Not-in-family
18016,37,Some-college,United-States,Machine-op-inspct,White,Male,Private,0,Married-civ-spouse,Husband
18032,53,10th,United-States,Farming-fishing,White,Male,Self-emp-not-inc,0,Married-civ-spouse,Husband
18268,24,Bachelors,United-States,Exec-managerial,White,Male,Private,0,Never-married,Own-child
18283,38,Assoc-voc,United-States,Craft-repair,White,Male,Private,0,Married-civ-spouse,Husband
18636,29,Assoc-acdm,United-States,Adm-clerical,Asian-Pac-Islander,Female,Private,0,Never-married,Not-in-family
18863,41,HS-grad,United-States,Craft-repair,White,Male,State-gov,0,Divorced,Unmarried
18869,33,Bachelors,United-States,Adm-clerical,White,Female,Private,0,Never-married,Not-in-family
19315,23,Some-college,United-States,Other-service,White,Female,Private,0,Never-married,Unmarried
19324,68,Assoc-acdm,United-States,Exec-managerial,White,Female,Private,0,Divorced,Not-in-family
19347,41,Some-college,United-States,Craft-repair,Black,Male,Private,0,Married-civ-spouse,Husband
1937,35,Bachelors,United-States,Exec-managerial,White,Female,Private,0,Married-spouse-absent,Unmarried
1952,30,Bachelors,United-States,Prof-specialty,Black,Male,Private,0,Never-married,Not-in-family
19616,40,Some-college,United-States,?,White,Male,?,0,Married-civ-spouse,Husband
19626,36,Prof-school,?,Prof-specialty,White,Male,Private,0,Married-civ-spouse,Husband
19819,64,11th,United-States,?,White,Male,?,0,Married-civ-spouse,Husband
20086,38,HS-grad,United-States,Other-service,White,Female,Private,0,Never-married,Unmarried
20136,44,Assoc-voc,United-States,Craft-repair,White,Male,Private,0,Married-civ-spouse,Husband
20184,51,HS-grad,United-States,Adm-clerical,White,Female,Local-gov,0,Married-civ-spouse,Wife
20323,34,Assoc-acdm,United-States,Adm-clerical,White,Male,Federal-gov,0,Never-married,Not-in-family
20707,20,Some-college,United-States,Prof-specialty,White,Male,Self-emp-not-inc,0,Never-married,Own-child
2082,40,Some-college,United-States,Exec-managerial,White,Female,Private,0,Separated,Unmarried
20870,44,Assoc-voc,United-States,Tech-support,White,Male,Local-gov,1340,Never-married,Not-in-family
20878,61,Assoc-acdm,United-States,Exec-managerial,White,Female,Self-emp-not-inc,0,Married-spouse-absent,Not-in-family
20898,26,HS-grad,United-States,Adm-clerical,Black,Female,Federal-gov,0,Never-married,Not-in-family
20969,34,Masters,United-States,Prof-specialty,White,Male,Private,2258,Never-married,Not-in-family
21061,38,Some-college,United-States,Exec-managerial,Black,Female,Private,0,Divorced,Own-child
21062,21,Some-college,?,Machine-op-inspct,White,Male,Private,0,Never-married,Own-child
21205,41,Assoc-acdm,United-States,Exec-managerial,Black,Male,Local-gov,0,Married-civ-spouse,Husband
21231,64,HS-grad,United-States,Craft-repair,White,Male,Self-emp-not-inc,0,Married-civ-spouse,Husband
21268,33,Some-college,United-States,Tech-support,White,Female,Private,0,Divorced,Unmarried
21311,36,HS-grad,United-States,Protective-serv,White,Male,State-gov,0,Married-civ-spouse,Husband
21350,18,11th,United-States,Prof-specialty,White,Male,Private,0,Never-married,Other-relative
21485,40,Some-college,United-States,Sales,Black,Female,Private,0,Never-married,Unmarried
21735,42,Some-college,United-States,Craft-repair,White,Male,Private,0,Married-civ-spouse,Husband
21932,36,11th,United-States,Machine-op-inspct,White,Female,Private,0,Never-married,Unmarried
21983,35,Bachelors,United-States,Exec-managerial,White,Male,Private,0,Married-civ-spouse,Husband
22005,28,HS-grad,United-States,Exec-managerial,White,Female,Private,0,Married-civ-spouse,Wife
22018,22,Some-college,United-States,Prof-specialty,White,Male,Private,0,Never-married,Not-in-family
22321,47,HS-grad,United-States,Craft-repair,White,Male,Private,0,Married-civ-spouse,Husband
22424,37,HS-grad,United-States,Adm-clerical,White,Female,Private,0,Married-civ-spouse,Wife
22487,39,Bachelors,China,Sales,Asian-Pac-Islander,Male,Private,0,Divorced,Not-in-family
23005,39,Assoc-acdm,United-States,Craft-repair,Black,Male,Local-gov,0,Married-civ-spouse,Husband
2307,20,Some-college,United-States,Handlers-cleaners,White,Male,Private,0,Never-married,Own-child
23127,27,Prof-school,United-States,Prof-specialty,White,Female,Private,0,Divorced,Not-in-family
23166,21,Assoc-acdm,United-States,Adm-clerical,White,Female,Private,0,Never-married,Not-in-family
23209,49,Bachelors,United-States,?,White,Male,?,0,Married-civ-spouse,Husband
23239,24,11th,United-States,Machine-op-inspct,White,Female,Private,0,Never-married,Not-in-family
23339,29,Masters,United-States,Prof-specialty,White,Male,State-gov,0,Married-civ-spouse,Husband
23427,30,HS-grad,United-States,Tech-support,White,Female,Private,0,Never-married,Unmarried
23545,50,HS-grad,United-States,Exec-managerial,White,Male,Self-emp-not-inc,0,Married-civ-spouse,Husband
23730,44,12th,United-States,Transport-moving,White,Female,Private,0,Divorced,Not-in-family
23749,31,Doctorate,United-States,Prof-specialty,White,Female,Private,0,Married-civ-spouse,Wife
23783,60,Some-college,United-States,Sales,White,Male,Private,0,Married-civ-spouse,Husband
23861,32,Some-college,United-States,Machine-op-inspct,White,Male,Private,0,Married-civ-spouse,Husband
23951,29,HS-grad,United-States,Transport-moving,White,Male,Self-emp-not-inc,0,Married-civ-spouse,Husband
23979,44,Some-college,United-States,Prof-specialty,White,Male,Private,0,Married-civ-spouse,Husband
24035,60,Some-college,United-States,Craft-repair,White,Male,Private,0,Married-civ-spouse,Husband
2405,34,Assoc-voc,United-States,Machine-op-inspct,White,Male,Private,0,Married-civ-spouse,Husband
24101,33,Prof-school,United-States,Prof-specialty,White,Male,Self-emp-not-inc,0,Married-civ-spouse,Husband
24121,19,HS-grad,United-States,Sales,White,Male,Private,0,Never-married,Own-child
2413,50,Some-college,United-States,Farming-fishing,White,Male,Private,0,Never-married,Not-in-family
243,20,Some-college,United-States,?,White,Male,?,0,Never-married,Own-child
24445,24,7th-8th,United-States,Craft-repair,White,Male,Self-emp-not-inc,0,Married-civ-spouse,Husband
24451,47,Bachelors,United-States,Prof-specialty,White,Male,Private,0,Married-civ-spouse,Husband
2454,48,HS-grad,United-States,Adm-clerical,White,Female,Private,0,Divorced,Unmarried
24553,30,HS-grad,Dominican-Republic,Machine-op-inspct,White,Male,Private,0,Never-married,Not-in-family
24679,31,Prof-school,United-States,Prof-specialty,White,Male,Private,0,Married-civ-spouse,Husband
24802,17,10th,United-States,Handlers-cleaners,White,Male,Private,0,Never-married,Own-child
24836,30,HS-grad,United-States,Craft-repair,White,Male,Private,0,Married-civ-spouse,Husband
24905,45,HS-grad,United-States,Transport-moving,White,Male,Private,0,Married-civ-spouse,Husband
25051,44,Bachelors,United-States,Prof-specialty,White,Male,Private,0,Never-married,Not-in-family
25161,75,HS-grad,United-States,Sales,White,Male,Private,0,Married-civ-spouse,Husband
2519,35,Bachelors,United-States,Craft-repair,White,Male,Private,0,Married-civ-spouse,Husband
25229,38,HS-grad,United-States,Handlers-cleaners,White,Male,Private,0,Married-civ-spouse,Husband
25335,46,Masters,United-States,Sales,White,Male,Self-emp-inc,1977,Married-civ-spouse,Husband
25360,34,Doctorate,Germany,Prof-specialty,White,Male,State-gov,0,Married-civ-spouse,Husband
25436,53,Bachelors,United-States,Craft-repair,White,Male,Private,0,Married-civ-spouse,Husband
25466,33,HS-grad,United-States,Craft-repair,Asian-Pac-Islander,Male,Private,0,Never-married,Own-child
25511,30,Some-college,United-States,Adm-clerical,White,Female,Private,0,Divorced,Unmarried
25526,56,Some-college,United-States,Prof-specialty,White,Male,Private,0,Married-civ-spouse,Husband
25640,40,Some-college,United-States,Tech-support,White,Male,Federal-gov,0,Married-civ-spouse,Husband
25661,47,Masters,United-States,Prof-specialty,White,Male,Local-gov,0,Never-married,Not-in-family
2583,41,Bachelors,United-States,Exec-managerial,White,Male,Private,0,Married-civ-spouse,Husband
25873,49,Bachelors,Philippines,Other-service,Asian-Pac-Islander,Female,Private,0,Never-married,Not-in-family
25986,44,Some-college,United-States,Protective-serv,Black,Male,Local-gov,0,Married-civ-spouse,Husband
26079,32,Some-college,United-States,Craft-repair,White,Male,Private,0,Divorced,Unmarried
2611,25,HS-grad,United-States,Transport-moving,Black,Male,Private,0,Married-civ-spouse,Husband
26602,25,Some-college,United-States,Adm-clerical,White,Female,Private,0,Married-spouse-absent,Unmarried
26679,41,7th-8th,United-States,Exec-managerial,White,Male,Private,0,Married-civ-spouse,Husband
26768,34,HS-grad,United-States,Adm-clerical,White,Female,Private,0,Separated,Own-child
26876,32,Bachelors,United-States,Protective-serv,White,Male,State-gov,0,Married-civ-spouse,Husband
26889,53,HS-grad,United-States,Craft-repair,White,Male,Private,0,Married-civ-spouse,Husband
26944,33,HS-grad,United-States,Craft-repair,White,Male,Local-gov,0,Divorced,Unmarried
27025,36,HS-grad,United-States,Craft-repair,Black,Male,Private,0,Married-civ-spouse,Husband
27164,50,7th-8th,Canada,Transport-moving,White,Male,Private,1579,Married-civ-spouse,Husband
