record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10358,United-States,Female,White,Divorced,Private,Some-college,Other-service,Not-in-family,50
10490,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Other-service,Husband,46
10859,United-States,Female,White,Never-married,Local-gov,HS-grad,Prof-specialty,Not-in-family,23
10937,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Adm-clerical,Husband,39
10953,United-States,Male,White,Divorced,Self-emp-not-inc,Bachelors,Exec-managerial,Unmarried,31
11008,United-States,Female,Black,Widowed,Federal-gov,Assoc-voc,Other-service,Unmarried,66
11019,United-States,Male,White,Never-married,Private,Some-college,Craft-repair,Unmarried,30
11024,United-States,Male,White,Divorced,Private,Assoc-acdm,Machine-op-inspct,Own-child,45
11177,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Prof-specialty,Husband,32
11308,United-States,Female,White,Divorced,Local-gov,Prof-school,Prof-specialty,Not-in-family,55
11309,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,49
11406,Mexico,Male,White,Married-civ-spouse,Private,5th-6th,Handlers-cleaners,Husband,39
11497,United-States,Male,White,Never-married,Private,Some-college,Craft-repair,Not-in-family,21
11511,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,47
11671,United-States,Female,Black,Never-married,Private,Assoc-voc,Prof-specialty,Unmarried,36
1173,United-States,Male,White,Never-married,Private,Assoc-voc,Other-service,Not-in-family,20
1188,United-States,Female,White,Never-married,State-gov,Bachelors,Adm-clerical,Not-in-family,24
11998,United-States,Female,White,Never-married,Private,Some-college,Prof-specialty,Own-child,20
12091,United-States,Female,White,Never-married,Private,Some-college,Other-service,Own-child,20
12250,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Protective-serv,Husband,51
12831,United-States,Female,White,Never-married,Private,Masters,Prof-specialty,Not-in-family,37
12932,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,60
12968,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Own-child,28
13006,United-States,Female,White,Divorced,Self-emp-not-inc,HS-grad,Exec-managerial,Not-in-family,28
13079,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,33
13086,United-States,Male,White,Married-civ-spouse,Private,Some-college,Handlers-cleaners,Husband,22
13269,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Adm-clerical,Husband,35
1333,United-States,Male,White,Married-civ-spouse,Private,Prof-school,Prof-specialty,Husband,57
13340,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Some-college,Exec-managerial,Husband,47
13360,United-States,Male,White,Divorced,Self-emp-not-inc,Bachelors,Exec-managerial,Not-in-family,35
13392,United-States,Male,White,Married-civ-spouse,Private,10th,Machine-op-inspct,Husband,57
13461,United-States,Female,White,Never-married,Private,Some-college,Sales,Own-child,19
13640,Canada,Female,White,Divorced,Local-gov,Masters,Prof-specialty,Unmarried,46
13654,United-States,Male,White,Married-civ-spouse,Local-gov,Masters,Prof-specialty,Husband,49
13662,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Not-in-family,62
13695,United-States,Male,White,Married-civ-spouse,Private,Masters,Sales,Husband,50
