record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10038,United-States,Male,White,Married-civ-spouse,Private,10th,Craft-repair,Husband,42
10056,United-States,Male,White,Never-married,?,11th,?,Own-child,18
10059,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Sales,Husband,32
10071,United-States,Male,White,Married-civ-spouse,Local-gov,Some-college,Protective-serv,Husband,28
10217,United-States,Male,White,Married-civ-spouse,Private,Some-college,Other-service,Husband,49
10276,Philippines,Male,Asian-Pac-Islander,Married-civ-spouse,Private,Bachelors,Other-service,Other-relative,55
10314,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Tech-support,Husband,39
10421,United-States,Male,White,Married-civ-spouse,Private,Some-college,Prof-specialty,Husband,38
10489,United-States,Male,White,Married-civ-spouse,Federal-gov,Masters,Exec-managerial,Husband,52
10686,United-States,Male,White,Never-married,Private,Bachelors,Handlers-cleaners,Own-child,23
10725,United-States,Male,White,Married-civ-spouse,Private,Masters,Transport-moving,Husband,48
10787,United-States,Female,White,Widowed,Private,HS-grad,Other-service,Unmarried,76
10826,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Not-in-family,25
11026,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Sales,Husband,28
11239,United-States,Male,Black,Never-married,Self-emp-not-inc,HS-grad,Craft-repair,Not-in-family,35
11243,United-States,Male,White,Never-married,Private,11th,Machine-op-inspct,Not-in-family,37
11295,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Farming-fishing,Husband,24
11501,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Adm-clerical,Husband,37
11559,United-States,Female,White,Widowed,Private,HS-grad,Other-service,Not-in-family,63
11588,United-States,Female,Black,Divorced,Private,Some-college,Adm-clerical,Unmarried,45
11767,United-States,Female,White,Divorced,State-gov,HS-grad,Adm-clerical,Unmarried,38
11790,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Sales,Husband,53
11947,United-States,Female,White,Never-married,State-gov,HS-grad,Adm-clerical,Not-in-family,43
11956,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Transport-moving,Husband,52
12075,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Other-service,Husband,47
12133,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Craft-repair,Husband,35
12166,United-States,Male,White,Divorced,Private,HS-grad,Transport-moving,Unmarried,53
12269,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,38
12279,United-States,Female,White,Married-civ-spouse,Local-gov,Bachelors,Prof-specialty,Wife,29
12425,United-States,Male,White,Married-civ-spouse,Private,10th,Exec-managerial,Husband,55
