record_id,age,education,native-country,race,relationship,sex,workclass,marital-status,occupation
10277,25,Some-college,United-States,White,Own-child,Male,Private,Never-married,Adm-clerical
10283,55,Assoc-voc,United-States,White,Husband,Male,Private,Married-civ-spouse,Machine-op-inspct
10565,29,HS-grad,United-States,White,Husband,Male,Self-emp-not-inc,Married-civ-spouse,Craft-repair
10596,49,Bachelors,United-States,White,Other-relative,Female,State-gov,Married-civ-spouse,Prof-specialty
10827,35,Some-college,United-States,White,Husband,Male,Private,Married-civ-spouse,Craft-repair
10893,23,Bachelors,United-States,White,Not-in-family,Female,Private,Never-married,Prof-specialty
10954,68,10th,United-States,Black,Not-in-family,Female,Local-gov,Separated,Other-service
11036,24,HS-grad,United-States,White,Not-in-family,Female,Local-gov,Never-married,Tech-support
11166,37,Bachelors,United-States,White,Not-in-family,Female,Private,Widowed,Prof-specialty
11259,36,Assoc-acdm,United-States,White,Unmarried,Female,Private,Divorced,Sales
11267,45,HS-grad,United-States,Black,Not-in-family,Female,Private,Never-married,Exec-managerial
11268,32,Some-college,United-States,White,Unmarried,Female,Private,Divorced,Adm-clerical
11391,58,Some-college,United-States,White,Wife,Female,?,Married-civ-spouse,?
11466,42,Bachelors,Taiwan,Asian-Pac-Islander,Wife,Female,Private,Married-civ-spouse,Prof-specialty
11492,30,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Transport-moving
11530,27,Bachelors,United-States,White,Husband,Male,Self-emp-inc,Married-civ-spouse,Exec-managerial
11738,27,Assoc-acdm,United-States,Black,Unmarried,Female,Local-gov,Never-married,Adm-clerical
11743,24,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Craft-repair
11764,46,Masters,Japan,Asian-Pac-Islander,Husband,Male,Private,Married-civ-spouse,Exec-managerial
11855,19,Some-college,United-States,White,Own-child,Male,Private,Never-married,Handlers-cleaners
11917,30,Assoc-voc,United-States,White,Not-in-family,Female,Private,Divorced,Adm-clerical
12025,28,HS-grad,United-States,White,Not-in-family,Female,Private,Married-spouse-absent,Tech-support
1212,31,Some-college,United-States,White,Unmarried,Female,Private,Divorced,Craft-repair
12378,27,HS-grad,United-States,White,Unmarried,Male,Self-emp-not-inc,Never-married,Craft-repair
12583,35,HS-grad,United-States,White,Not-in-family,Male,Private,Divorced,Transport-moving
12611,39,Some-college,United-States,Black,Unmarried,Female,Private,Separated,Adm-clerical
12713,63,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Craft-repair
12743,49,HS-grad,United-States,White,Unmarried,Female,Private,Divorced,Exec-managerial
12796,41,HS-grad,United-States,White,Not-in-family,Female,Private,Divorced,Other-service
12811,52,HS-grad,United-States,White,Own-child,Female,Private,Widowed,Craft-repair
12942,24,Assoc-voc,United-States,White,Own-child,Male,Private,Never-married,Machine-op-inspct
12962,39,HS-grad,United-States,White,Wife,Female,Federal-gov,Married-civ-spouse,Adm-clerical
13056,35,Masters,United-States,White,Own-child,Male,Private,Never-married,Prof-specialty
13261,22,HS-grad,United-States,White,Own-child,Male,Self-emp-not-inc,Never-married,Farming-fishing
13686,50,HS-grad,United-States,Black,Husband,Male,Private,Married-civ-spouse,Handlers-cleaners
13860,22,Assoc-acdm,United-States,White,Not-in-family,Male,Private,Never-married,Transport-moving
13960,41,Bachelors,United-States,White,Husband,Male,Self-emp-inc,Married-civ-spouse,Exec-managerial
14075,18,12th,United-States,White,Own-child,Male,Private,Never-married,Other-service
14132,31,HS-grad,United-States,White,Not-in-family,Male,Private,Never-married,Craft-repair
14140,30,Bachelors,United-States,White,Own-child,Male,Private,Never-married,Craft-repair
14168,66,Bachelors,United-States,White,Husband,Male,Private,Married-civ-spouse,Sales
14325,38,Bachelors,United-States,White,Husband,Male,Private,Married-civ-spouse,Other-service
14464,41,Bachelors,United-States,White,Husband,Male,Local-gov,Married-civ-spouse,Protective-serv
14491,61,Some-college,United-States,White,Husband,Male,Federal-gov,Married-civ-spouse,Adm-clerical
14526,48,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Craft-repair
14581,31,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Craft-repair
14599,36,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Craft-repair
14664,54,Some-college,United-States,White,Unmarried,Female,Private,Widowed,Craft-repair
15041,37,Bachelors,United-States,White,Not-in-family,Female,Private,Never-married,Adm-clerical
15134,25,HS-grad,United-States,White,Other-relative,Female,Federal-gov,Never-married,Adm-clerical
15219,26,Bachelors,?,White,Own-child,Female,Private,Never-married,Sales
15227,27,Prof-school,United-States,White,Not-in-family,Male,State-gov,Never-married,Prof-specialty
15284,59,Some-college,United-States,White,Not-in-family,Male,Local-gov,Separated,Protective-serv
15377,39,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Craft-repair
15395,34,HS-grad,Germany,White,Husband,Male,Private,Married-civ-spouse,Craft-repair
15406,32,HS-grad,United-States,White,Not-in-family,Male,Private,Never-married,Machine-op-inspct
15480,27,HS-grad,United-States,White,Not-in-family,Male,Private,Never-married,Adm-clerical
1556,23,Bachelors,United-States,White,Not-in-family,Male,Private,Never-married,Adm-clerical
15622,54,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Sales
1563,51,7th-8th,United-States,White,Husband,Male,Private,Married-civ-spouse,Protective-serv
15691,48,Masters,United-States,White,Husband,Male,Private,Married-civ-spouse,Prof-specialty
15732,38,Some-college,United-States,White,Not-in-family,Female,Self-emp-not-inc,Never-married,Other-service
15764,33,9th,United-States,White,Not-in-family,Male,Private,Separated,Adm-clerical
15773,63,HS-grad,United-States,White,Not-in-family,Female,?,Widowed,?
15777,48,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Craft-repair
1580,26,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Sales
16040,29,HS-grad,United-States,White,Not-in-family,Male,Self-emp-not-inc,Never-married,Craft-repair
16149,40,10th,United-States,White,Not-in-family,Female,Private,Divorced,Machine-op-inspct
16254,46,Some-college,United-States,White,Husband,Male,Private,Married-civ-spouse,Sales
16268,36,Prof-school,United-States,White,Husband,Male,Self-emp-not-inc,Married-civ-spouse,Prof-specialty
16287,50,Some-college,United-States,White,Husband,Male,Private,Married-civ-spouse,Craft-repair
16305,33,Some-college,United-States,White,Unmarried,Female,Private,Widowed,Adm-clerical
16386,38,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Craft-repair
16480,35,Some-college,United-States,White,Own-child,Male,Private,Never-married,Craft-repair
16619,36,Masters,United-States,White,Not-in-family,Male,Private,Never-married,Adm-clerical
16782,45,Bachelors,United-States,White,Husband,Male,Private,Married-civ-spouse,Transport-moving
16924,34,Bachelors,South,Asian-Pac-Islander,Husband,Male,Self-emp-not-inc,Married-civ-spouse,Craft-repair
16991,37,Bachelors,United-States,White,Wife,Female,Local-gov,Married-civ-spouse,Prof-specialty
17001,43,Some-college,United-States,White,Husband,Male,Private,Married-civ-spouse,Sales
17080,48,HS-grad,United-States,Black,Not-in-family,Female,Private,Never-married,Machine-op-inspct
17081,23,Assoc-voc,United-States,White,Own-child,Male,Private,Never-married,Machine-op-inspct
17148,45,Some-college,United-States,Black,Unmarried,Female,Local-gov,Divorced,Adm-clerical
17237,59,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Craft-repair
17488,52,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Sales
17508,43,Bachelors,United-States,White,Husband,Male,Private,Married-civ-spouse,Exec-managerial
17555,30,Some-college,United-States,White,Husband,Male,Private,Married-civ-spouse,Adm-clerical
17816,58,HS-grad,United-States,White,Unmarried,Female,Private,Divorced,Other-service
1786,35,Masters,United-States,White,Wife,Female,Local-gov,Married-civ-spouse,Prof-specialty
17887,18,10th,United-States,White,Own-child,Male,Private,Never-married,Handlers-cleaners
17962,53,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Machine-op-inspct
18065,32,Some-college,?,Asian-Pac-Islander,Other-relative,Male,Private,Never-married,Other-service
18127,36,HS-grad,United-States,White,Unmarried,Male,Private,Divorced,Machine-op-inspct
18133,30,HS-grad,United-States,White,Not-in-family,Female,Private,Never-married,Sales
18176,24,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Craft-repair
18299,26,Some-college,United-States,White,Not-in-family,Female,Private,Never-married,Adm-clerical
18327,26,HS-grad,United-States,White,Not-in-family,Male,Private,Divorced,Craft-repair
18362,22,Some-college,United-States,White,Not-in-family,Male,?,Never-married,?
18454,38,Masters,United-States,White,Husband,Male,Self-emp-not-inc,Married-civ-spouse,Farming-fishing
18462,42,10th,United-States,Other,Own-child,Male,Private,Married-civ-spouse,Craft-repair
18675,30,Some-college,United-States,White,Wife,Female,Self-emp-not-inc,Married-civ-spouse,Adm-clerical
18769,30,HS-grad,United-States,Amer-Indian-Eskimo,Other-relative,Male,Federal-gov,Married-civ-spouse,Armed-Forces
18828,36,Bachelors,United-States,White,Not-in-family,Male,Private,Divorced,Adm-clerical
18928,25,Some-college,Columbia,White,Husband,Male,Private,Married-civ-spouse,Craft-repair
18979,44,HS-grad,United-States,White,Not-in-family,Male,Private,Divorced,Craft-repair
19040,42,HS-grad,United-States,White,Wife,Female,Private,Married-civ-spouse,Prof-specialty
19176,40,Some-college,United-States,White,Not-in-family,Female,Private,Never-married,Adm-clerical
19278,27,HS-grad,Guatemala,White,Other-relative,Male,Private,Never-married,Handlers-cleaners
19339,62,HS-grad,United-States,White,Other-relative,Male,Local-gov,Divorced,Transport-moving
19583,27,Assoc-voc,United-States,White,Not-in-family,Male,Local-gov,Never-married,Protective-serv
19677,29,Masters,United-States,White,Husband,Male,Local-gov,Married-civ-spouse,Prof-specialty
19687,50,HS-grad,United-States,White,Own-child,Female,Private,Never-married,Adm-clerical
19757,40,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Other-service
19956,27,Bachelors,United-States,White,Not-in-family,Female,Private,Never-married,Adm-clerical
19981,44,Bachelors,United-States,White,Not-in-family,Male,Private,Never-married,Tech-support
20158,42,7th-8th,United-States,White,Husband,Male,Private,Married-civ-spouse,Craft-repair
2031,63,Some-college,United-States,White,Wife,Female,Self-emp-not-inc,Married-civ-spouse,Prof-specialty
20521,35,HS-grad,United-States,Black,Unmarried,Female,Private,Married-spouse-absent,Adm-clerical
20557,33,Masters,Canada,White,Husband,Male,Private,Married-civ-spouse,Exec-managerial
20695,47,Assoc-acdm,United-States,White,Husband,Male,State-gov,Married-civ-spouse,Transport-moving
20723,46,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Sales
20734,40,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Exec-managerial
20812,20,HS-grad,United-States,White,Own-child,Female,Private,Never-married,Machine-op-inspct
20817,55,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Craft-repair
20982,52,Assoc-acdm,United-States,White,Not-in-family,Female,Local-gov,Divorced,Other-service
21259,28,Masters,United-States,White,Not-in-family,Female,Private,Never-married,Tech-support
2127,35,HS-grad,United-States,White,Not-in-family,Male,Private,Never-married,Craft-repair
21360,41,11th,United-States,White,Unmarried,Female,Private,Divorced,Handlers-cleaners
21401,38,Bachelors,United-States,White,Husband,Male,Self-emp-inc,Married-civ-spouse,Prof-specialty
21458,38,HS-grad,United-States,White,Unmarried,Male,Self-emp-inc,Divorced,Sales
21468,39,Masters,United-States,Black,Unmarried,Female,Private,Divorced,Exec-managerial
21526,37,10th,United-States,White,Husband,Male,Private,Married-civ-spouse,Craft-repair
21616,55,HS-grad,United-States,White,Unmarried,Female,Private,Divorced,Adm-clerical
21793,30,HS-grad,United-States,White,Not-in-family,Male,Private,Never-married,Machine-op-inspct
22042,58,Bachelors,United-States,White,Not-in-family,Male,?,Divorced,?
22046,58,HS-grad,United-States,White,Husband,Male,Self-emp-inc,Married-civ-spouse,Sales
22139,39,HS-grad,United-States,White,Wife,Female,Self-emp-not-inc,Married-civ-spouse,Farming-fishing
22159,26,Bachelors,United-States,White,Own-child,Male,Private,Never-married,Other-service
22302,42,HS-grad,United-States,Black,Other-relative,Male,Private,Never-married,Other-service
22545,65,HS-grad,United-States,White,Not-in-family,Female,?,Separated,?
22616,23,Some-college,United-States,White,Own-child,Male,State-gov,Never-married,Prof-specialty
22620,47,Bachelors,Canada,White,Husband,Male,Private,Married-civ-spouse,Exec-managerial
22688,49,Assoc-voc,United-States,White,Husband,Male,Private,Married-civ-spouse,Craft-repair
23010,34,HS-grad,United-States,White,Husband,Male,Private,Married-civ-spouse,Adm-clerical
23157,72,HS-grad,United-States,White,Husband,Male,Local-gov,Married-civ-spouse,Exec-managerial
23259,29,HS-grad,United-States,White,Husband,Male,Self-emp-not-inc,Married-civ-spouse,Craft-repair
23332,20,HS-grad,United-States,White,Own-child,Male,Private,Never-married,Handlers-cleaners
23334,44,HS-grad,United-States,White,Husband,Male,Federal-gov,Married-civ-spouse,Adm-clerical
