record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10277,United-States,Male,White,Never-married,Private,Some-college,Adm-clerical,Own-child,25
10283,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Machine-op-inspct,Husband,55
10565,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Craft-repair,Husband,29
10596,United-States,Female,White,Married-civ-spouse,State-gov,Bachelors,Prof-specialty,Other-relative,49
10827,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,35
10893,United-States,Female,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,23
10954,United-States,Female,Black,Separated,Local-gov,10th,Other-service,Not-in-family,68
11036,United-States,Female,White,Never-married,Local-gov,HS-grad,Tech-support,Not-in-family,24
11166,United-States,Female,White,Widowed,Private,Bachelors,Prof-specialty,Not-in-family,37
11259,United-States,Female,White,Divorced,Private,Assoc-acdm,Sales,Unmarried,36
11267,United-States,Female,Black,Never-married,Private,HS-grad,Exec-managerial,Not-in-family,45
11268,United-States,Female,White,Divorced,Private,Some-college,Adm-clerical,Unmarried,32
11391,United-States,Female,White,Married-civ-spouse,?,Some-college,?,Wife,58
11466,Taiwan,Female,Asian-Pac-Islander,Married-civ-spouse,Private,Bachelors,Prof-specialty,Wife,42
11492,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,30
11530,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Exec-managerial,Husband,27
11738,United-States,Female,Black,Never-married,Local-gov,Assoc-acdm,Adm-clerical,Unmarried,27
11743,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,24
11764,Japan,Male,Asian-Pac-Islander,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,46
11855,United-States,Male,White,Never-married,Private,Some-college,Handlers-cleaners,Own-child,19
11917,United-States,Female,White,Divorced,Private,Assoc-voc,Adm-clerical,Not-in-family,30
12025,United-States,Female,White,Married-spouse-absent,Private,HS-grad,Tech-support,Not-in-family,28
1212,United-States,Female,White,Divorced,Private,Some-college,Craft-repair,Unmarried,31
12378,United-States,Male,White,Never-married,Self-emp-not-inc,HS-grad,Craft-repair,Unmarried,27
12583,United-States,Male,White,Divorced,Private,HS-grad,Transport-moving,Not-in-family,35
12611,United-States,Female,Black,Separated,Private,Some-college,Adm-clerical,Unmarried,39
12713,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,63
12743,United-States,Female,White,Divorced,Private,HS-grad,Exec-managerial,Unmarried,49
12796,United-States,Female,White,Divorced,Private,HS-grad,Other-service,Not-in-family,41
12811,United-States,Female,White,Widowed,Private,HS-grad,Craft-repair,Own-child,52
12942,United-States,Male,White,Never-married,Private,Assoc-voc,Machine-op-inspct,Own-child,24
12962,United-States,Female,White,Married-civ-spouse,Federal-gov,HS-grad,Adm-clerical,Wife,39
13056,United-States,Male,White,Never-married,Private,Masters,Prof-specialty,Own-child,35
13261,United-States,Male,White,Never-married,Self-emp-not-inc,HS-grad,Farming-fishing,Own-child,22
13686,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,50
13860,United-States,Male,White,Never-married,Private,Assoc-acdm,Transport-moving,Not-in-family,22
13960,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Exec-managerial,Husband,41
14075,United-States,Male,White,Never-married,Private,12th,Other-service,Own-child,18
14132,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Not-in-family,31
14140,United-States,Male,White,Never-married,Private,Bachelors,Craft-repair,Own-child,30
14168,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Sales,Husband,66
14325,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Other-service,Husband,38
14464,United-States,Male,White,Married-civ-spouse,Local-gov,Bachelors,Protective-serv,Husband,41
14491,United-States,Male,White,Married-civ-spouse,Federal-gov,Some-college,Adm-clerical,Husband,61
14526,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,48
14581,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,31
14599,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,36
14664,United-States,Female,White,Widowed,Private,Some-college,Craft-repair,Unmarried,54
15041,United-States,Female,White,Never-married,Private,Bachelors,Adm-clerical,Not-in-family,37
15134,United-States,Female,White,Never-married,Federal-gov,HS-grad,Adm-clerical,Other-relative,25
15219,?,Female,White,Never-married,Private,Bachelors,Sales,Own-child,26
15227,United-States,Male,White,Never-married,State-gov,Prof-school,Prof-specialty,Not-in-family,27
15284,United-States,Male,White,Separated,Local-gov,Some-college,Protective-serv,Not-in-family,59
15377,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,39
15395,Germany,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,34
15406,United-States,Male,White,Never-married,Private,HS-grad,Machine-op-inspct,Not-in-family,32
15480,United-States,Male,White,Never-married,Private,HS-grad,Adm-clerical,Not-in-family,27
1556,United-States,Male,White,Never-married,Private,Bachelors,Adm-clerical,Not-in-family,23
15622,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,54
1563,United-States,Male,White,Married-civ-spouse,Private,7th-8th,Protective-serv,Husband,51
15691,United-States,Male,White,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,48
15732,United-States,Female,White,Never-married,Self-emp-not-inc,Some-college,Other-service,Not-in-family,38
15764,United-States,Male,White,Separated,Private,9th,Adm-clerical,Not-in-family,33
15773,United-States,Female,White,Widowed,?,HS-grad,?,Not-in-family,63
15777,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,48
1580,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,26
16040,United-States,Male,White,Never-married,Self-emp-not-inc,HS-grad,Craft-repair,Not-in-family,29
16149,United-States,Female,White,Divorced,Private,10th,Machine-op-inspct,Not-in-family,40
16254,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,46
16268,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Prof-school,Prof-specialty,Husband,36
16287,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,50
16305,United-States,Female,White,Widowed,Private,Some-college,Adm-clerical,Unmarried,33
16386,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,38
16480,United-States,Male,White,Never-married,Private,Some-college,Craft-repair,Own-child,35
16619,United-States,Male,White,Never-married,Private,Masters,Adm-clerical,Not-in-family,36
16782,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Transport-moving,Husband,45
16924,South,Male,Asian-Pac-Islander,Married-civ-spouse,Self-emp-not-inc,Bachelors,Craft-repair,Husband,34
16991,United-States,Female,White,Married-civ-spouse,Local-gov,Bachelors,Prof-specialty,Wife,37
17001,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,43
17080,United-States,Female,Black,Never-married,Private,HS-grad,Machine-op-inspct,Not-in-family,48
17081,United-States,Male,White,Never-married,Private,Assoc-voc,Machine-op-inspct,Own-child,23
17148,United-States,Female,Black,Divorced,Local-gov,Some-college,Adm-clerical,Unmarried,45
17237,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,59
17488,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,52
17508,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,43
17555,United-States,Male,White,Married-civ-spouse,Private,Some-college,Adm-clerical,Husband,30
17816,United-States,Female,White,Divorced,Private,HS-grad,Other-service,Unmarried,58
1786,United-States,Female,White,Married-civ-spouse,Local-gov,Masters,Prof-specialty,Wife,35
17887,United-States,Male,White,Never-married,Private,10th,Handlers-cleaners,Own-child,18
17962,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,53
18065,?,Male,Asian-Pac-Islander,Never-married,Private,Some-college,Other-service,Other-relative,32
18127,United-States,Male,White,Divorced,Private,HS-grad,Machine-op-inspct,Unmarried,36
18133,United-States,Female,White,Never-married,Private,HS-grad,Sales,Not-in-family,30
18176,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,24
18299,United-States,Female,White,Never-married,Private,Some-college,Adm-clerical,Not-in-family,26
18327,United-States,Male,White,Divorced,Private,HS-grad,Craft-repair,Not-in-family,26
18362,United-States,Male,White,Never-married,?,Some-college,?,Not-in-family,22
18454,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Masters,Farming-fishing,Husband,38
18462,United-States,Male,Other,Married-civ-spouse,Private,10th,Craft-repair,Own-child,42
18675,United-States,Female,White,Married-civ-spouse,Self-emp-not-inc,Some-college,Adm-clerical,Wife,30
18769,United-States,Male,Amer-Indian-Eskimo,Married-civ-spouse,Federal-gov,HS-grad,Armed-Forces,Other-relative,30
18828,United-States,Male,White,Divorced,Private,Bachelors,Adm-clerical,Not-in-family,36
18928,Columbia,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,25
18979,United-States,Male,White,Divorced,Private,HS-grad,Craft-repair,Not-in-family,44
19040,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Prof-specialty,Wife,42
19176,United-States,Female,White,Never-married,Private,Some-college,Adm-clerical,Not-in-family,40
19278,Guatemala,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Other-relative,27
19339,United-States,Male,White,Divorced,Local-gov,HS-grad,Transport-moving,Other-relative,62
19583,United-States,Male,White,Never-married,Local-gov,Assoc-voc,Protective-serv,Not-in-family,27
19677,United-States,Male,White,Married-civ-spouse,Local-gov,Masters,Prof-specialty,Husband,29
19687,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Own-child,50
19757,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Other-service,Husband,40
19956,United-States,Female,White,Never-married,Private,Bachelors,Adm-clerical,Not-in-family,27
19981,United-States,Male,White,Never-married,Private,Bachelors,Tech-support,Not-in-family,44
20158,United-States,Male,White,Married-civ-spouse,Private,7th-8th,Craft-repair,Husband,42
2031,United-States,Female,White,Married-civ-spouse,Self-emp-not-inc,Some-college,Prof-specialty,Wife,63
20521,United-States,Female,Black,Married-spouse-absent,Private,HS-grad,Adm-clerical,Unmarried,35
20557,Canada,Male,White,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,33
20695,United-States,Male,White,Married-civ-spouse,State-gov,Assoc-acdm,Transport-moving,Husband,47
20723,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,46
20734,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Husband,40
20812,United-States,Female,White,Never-married,Private,HS-grad,Machine-op-inspct,Own-child,20
20817,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,55
20982,United-States,Female,White,Divorced,Local-gov,Assoc-acdm,Other-service,Not-in-family,52
21259,United-States,Female,White,Never-married,Private,Masters,Tech-support,Not-in-family,28
2127,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Not-in-family,35
21360,United-States,Female,White,Divorced,Private,11th,Handlers-cleaners,Unmarried,41
21401,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Prof-specialty,Husband,38
21458,United-States,Male,White,Divorced,Self-emp-inc,HS-grad,Sales,Unmarried,38
21468,United-States,Female,Black,Divorced,Private,Masters,Exec-managerial,Unmarried,39
21526,United-States,Male,White,Married-civ-spouse,Private,10th,Craft-repair,Husband,37
21616,United-States,Female,White,Divorced,Private,HS-grad,Adm-clerical,Unmarried,55
21793,United-States,Male,White,Never-married,Private,HS-grad,Machine-op-inspct,Not-in-family,30
22042,United-States,Male,White,Divorced,?,Bachelors,?,Not-in-family,58
22046,United-States,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Sales,Husband,58
22139,United-States,Female,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Farming-fishing,Wife,39
22159,United-States,Male,White,Never-married,Private,Bachelors,Other-service,Own-child,26
22302,United-States,Male,Black,Never-married,Private,HS-grad,Other-service,Other-relative,42
22545,United-States,Female,White,Separated,?,HS-grad,?,Not-in-family,65
22616,United-States,Male,White,Never-married,State-gov,Some-college,Prof-specialty,Own-child,23
22620,Canada,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,47
22688,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Craft-repair,Husband,49
23010,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Husband,34
