record_id,age,marital-status,native-country,occupation,race,sex,workclass,capital-loss
10038,42,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0
10053,43,Married-civ-spouse,United-States,Craft-repair,White,Male,Self-emp-not-inc,0
10073,62,Divorced,United-States,Handlers-cleaners,White,Male,Private,0
10414,34,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0
10503,43,Divorced,United-States,Other-service,White,Male,Self-emp-not-inc,0
10518,54,Never-married,United-States,Prof-specialty,White,Male,Private,0
10773,49,Widowed,United-States,Sales,White,Female,Private,0
10892,20,Married-civ-spouse,United-States,Sales,White,Female,Private,0
11369,28,Never-married,United-States,Handlers-cleaners,Black,Male,Private,0
11381,56,Married-civ-spouse,United-States,Exec-managerial,White,Male,State-gov,0
11449,31,Divorced,United-States,Adm-clerical,White,Female,Private,0
11526,18,Never-married,United-States,?,White,Female,?,0
11790,53,Married-civ-spouse,United-States,Sales,White,Male,Self-emp-not-inc,0
11866,45,Divorced,United-States,Prof-specialty,White,Female,Private,0
1197,59,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,0
12100,55,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0
12152,33,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,0
12249,36,Never-married,United-States,Prof-specialty,Black,Female,Local-gov,0
12359,39,Divorced,United-States,Exec-managerial,Black,Female,Federal-gov,0
12459,28,Never-married,United-States,Craft-repair,White,Male,Private,0
1248,34,Married-civ-spouse,United-States,Adm-clerical,White,Female,Private,0
12674,51,Divorced,United-States,Adm-clerical,White,Female,Local-gov,0
12687,65,Widowed,United-States,Sales,White,Female,Private,0
12801,26,Never-married,United-States,Adm-clerical,White,Female,Self-emp-inc,0
12965,33,Separated,United-States,Sales,White,Female,Private,0
13060,63,Married-civ-spouse,United-States,Farming-fishing,Black,Male,Private,0
13126,37,Married-civ-spouse,United-States,Other-service,White,Female,Self-emp-not-inc,0
13145,19,Never-married,United-States,Exec-managerial,White,Male,Private,0
13168,21,Never-married,United-States,Craft-repair,White,Male,Private,0
13179,45,Divorced,United-States,Exec-managerial,White,Female,Private,0
13369,20,Never-married,United-States,Machine-op-inspct,White,Male,Private,0
13374,33,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0
13547,54,Married-civ-spouse,United-States,Prof-specialty,White,Male,Local-gov,1977
1365,49,Divorced,United-States,Exec-managerial,White,Female,Self-emp-inc,0
13881,38,Married-civ-spouse,United-States,Exec-managerial,White,Male,Private,0
14070,60,Divorced,United-States,Sales,White,Female,Private,0
1412,39,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,0
14131,38,Married-civ-spouse,United-States,Machine-op-inspct,White,Male,Private,0
14199,55,Divorced,United-States,Machine-op-inspct,White,Female,Private,0
14203,21,Never-married,United-States,?,White,Female,?,0
14281,43,Married-civ-spouse,Mexico,Exec-managerial,White,Male,Private,0
14392,34,Never-married,United-States,Transport-moving,White,Male,Private,0
14491,61,Married-civ-spouse,United-States,Adm-clerical,White,Male,Federal-gov,0
14496,36,Never-married,United-States,Craft-repair,White,Male,Private,0
14675,48,Divorced,United-States,Adm-clerical,White,Female,Private,0
14725,65,Married-civ-spouse,United-States,?,White,Male,?,0
14781,48,Married-civ-spouse,United-States,Exec-managerial,White,Female,Private,1902
14942,51,Married-civ-spouse,United-States,Sales,White,Male,Private,0
15348,27,Never-married,United-States,Farming-fishing,White,Male,Private,0
15354,20,Never-married,United-States,Adm-clerical,White,Female,Federal-gov,0
1560,18,Never-married,United-States,Handlers-cleaners,White,Male,Private,0
15617,46,Divorced,United-States,Priv-house-serv,White,Female,Private,0
15667,66,Widowed,United-States,Priv-house-serv,White,Female,Private,0
15739,43,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,0
15745,53,Divorced,United-States,Exec-managerial,White,Male,Self-emp-inc,0
15970,32,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0
16003,47,Divorced,United-States,Other-service,White,Female,Private,0
16166,51,Married-civ-spouse,United-States,Transport-moving,White,Male,Private,0
16263,40,Married-civ-spouse,United-States,Sales,White,Male,Private,0
16313,28,Never-married,United-States,Exec-managerial,White,Female,Private,0
16337,39,Married-civ-spouse,United-States,Adm-clerical,White,Female,Private,0
16435,18,Never-married,United-States,Adm-clerical,White,Male,Private,0
16523,79,Married-civ-spouse,United-States,?,White,Male,?,0
16774,38,Divorced,United-States,Exec-managerial,White,Female,Private,0
1680,37,Divorced,United-States,Other-service,White,Female,Private,0
16881,24,Married-civ-spouse,United-States,Craft-repair,White,Male,Private,0
1699,54,Married-civ-spouse,United-States,Prof-specialty,White,Male,Private,0
17153,36,Married-civ-spouse,United-States,Adm-clerical,White,Male,Private,0
17232,43,Married-civ-spouse,United-States,Adm-clerical,White,Male,Private,0
1764,46,Divorced,United-States,Exec-managerial,White,Female,Private,0
17659,26,Married-civ-spouse,United-States,Exec-managerial,White,Male,Self-emp-not-inc,0
17809,49,Divorced,United-States,Exec-managerial,Black,Female,Private,0
17995,26,Never-married,United-States,Adm-clerical,Black,Female,State-gov,0
18036,43,Widowed,United-States,?,White,Female,?,2339
18178,20,Divorced,United-States,Sales,White,Female,Self-emp-not-inc,0
18298,33,Never-married,United-States,Other-service,Amer-Indian-Eskimo,Male,Local-gov,0
