record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10028,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,35
10055,United-States,Male,White,Married-civ-spouse,State-gov,Bachelors,Prof-specialty,Husband,39
10101,United-States,Male,White,Never-married,Private,11th,Other-service,Not-in-family,26
10230,United-States,Male,White,Married-civ-spouse,Private,Some-college,Tech-support,Husband,28
10291,United-States,Male,Black,Married-civ-spouse,Private,10th,Transport-moving,Husband,59
10357,United-States,Female,White,Married-civ-spouse,Private,Some-college,Other-service,Wife,33
10465,United-States,Male,White,Married-civ-spouse,Private,11th,Protective-serv,Husband,63
10482,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Prof-specialty,Husband,42
1050,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,61
10726,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Craft-repair,Husband,49
10795,United-States,Female,White,Divorced,Local-gov,Some-college,Adm-clerical,Unmarried,43
10818,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Husband,32
1097,United-States,Female,White,Never-married,?,HS-grad,?,Own-child,19
10985,United-States,Male,Black,Never-married,Private,HS-grad,Sales,Not-in-family,26
11018,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Craft-repair,Husband,43
11219,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Some-college,Sales,Husband,70
11300,?,Male,Black,Never-married,Private,12th,Handlers-cleaners,Not-in-family,31
11343,United-States,Male,White,Divorced,Self-emp-not-inc,HS-grad,Farming-fishing,Not-in-family,37
11366,United-States,Female,White,Separated,State-gov,HS-grad,Other-service,Unmarried,37
11512,United-States,Female,White,Never-married,Private,HS-grad,Other-service,Own-child,90
11566,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,7th-8th,Other-service,Husband,64
11608,United-States,Female,White,Divorced,Private,HS-grad,Sales,Unmarried,50
1163,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Tech-support,Husband,54
1177,United-States,Male,White,Married-civ-spouse,State-gov,HS-grad,Prof-specialty,Husband,50
11812,United-States,Female,Black,Separated,Private,Bachelors,Exec-managerial,Not-in-family,33
11958,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Own-child,31
11994,United-States,Female,Black,Never-married,Private,HS-grad,Other-service,Unmarried,40
12085,United-States,Female,White,Never-married,Private,12th,Other-service,Own-child,24
12163,United-States,Male,White,Married-civ-spouse,Local-gov,Assoc-voc,Exec-managerial,Husband,64
12173,United-States,Female,White,Married-civ-spouse,Local-gov,HS-grad,Prof-specialty,Other-relative,55
12182,Puerto-Rico,Male,White,Married-civ-spouse,Private,9th,Machine-op-inspct,Husband,57
12217,United-States,Female,White,Widowed,Private,HS-grad,Adm-clerical,Not-in-family,57
12447,United-States,Male,Black,Never-married,Private,HS-grad,Adm-clerical,Own-child,23
1246,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Prof-school,Prof-specialty,Husband,54
12644,United-States,Female,White,Divorced,Federal-gov,Bachelors,Prof-specialty,Unmarried,39
12749,United-States,Male,White,Divorced,Local-gov,HS-grad,Transport-moving,Unmarried,64
12790,United-States,Male,White,Married-civ-spouse,Federal-gov,Assoc-acdm,Adm-clerical,Husband,45
12814,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Tech-support,Husband,40
12831,United-States,Female,White,Never-married,Private,Masters,Prof-specialty,Not-in-family,37
13034,United-States,Female,White,Married-AF-spouse,Private,HS-grad,Other-service,Other-relative,32
1309,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Wife,49
13305,?,Male,White,Never-married,Private,Assoc-acdm,Handlers-cleaners,Not-in-family,22
13399,United-States,Female,White,Divorced,Local-gov,HS-grad,Adm-clerical,Unmarried,46
13417,United-States,Female,White,Never-married,Private,11th,Exec-managerial,Own-child,18
13448,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,60
13484,United-States,Female,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Other-service,Wife,43
13654,United-States,Male,White,Married-civ-spouse,Local-gov,Masters,Prof-specialty,Husband,49
13701,United-States,Female,White,Divorced,Private,HS-grad,Machine-op-inspct,Own-child,59
13788,United-States,Male,White,Married-civ-spouse,State-gov,Doctorate,Prof-specialty,Husband,57
13809,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Craft-repair,Husband,42
1385,United-States,Male,White,Never-married,Private,Some-college,Machine-op-inspct,Own-child,45
13890,Philippines,Male,Asian-Pac-Islander,Married-civ-spouse,Private,HS-grad,Other-service,Husband,47
14037,United-States,Male,White,Never-married,Private,Bachelors,Adm-clerical,Not-in-family,24
14040,United-States,Female,White,Divorced,Federal-gov,HS-grad,Adm-clerical,Unmarried,40
14215,United-States,Female,White,Never-married,Local-gov,Bachelors,Prof-specialty,Not-in-family,22
14332,United-States,Male,White,Married-civ-spouse,Private,Some-college,Tech-support,Husband,53
1449,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Some-college,Exec-managerial,Husband,44
1481,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Craft-repair,Husband,58
14995,United-States,Female,White,Divorced,Private,Some-college,Adm-clerical,Unmarried,42
1508,United-States,Female,Black,Never-married,Private,Some-college,Adm-clerical,Not-in-family,20
15130,Cuba,Female,White,Married-civ-spouse,?,10th,?,Wife,47
15135,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,47
15196,United-States,Male,White,Divorced,Private,Assoc-voc,Transport-moving,Not-in-family,35
15340,United-States,Male,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,23
15363,United-States,Male,White,Married-civ-spouse,Private,5th-6th,Other-service,Other-relative,32
15381,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Husband,44
15470,United-States,Female,White,Married-civ-spouse,Private,Assoc-voc,Exec-managerial,Wife,42
15503,United-States,Female,Black,Married-civ-spouse,Private,HS-grad,Adm-clerical,Wife,51
