record_id,education,marital-status,native-country,occupation,race,relationship,workclass,age,capital-gain,capital-loss,hours-per-week
10093,HS-grad,Married-civ-spouse,United-States,Transport-moving,White,Husband,Private,42,0,0,50
10192,Some-college,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Private,59,0,0,36
10215,Bachelors,Never-married,United-States,Prof-specialty,Black,Not-in-family,Private,29,0,0,40
10274,Some-college,Married-civ-spouse,Italy,Craft-repair,White,Husband,Private,41,0,0,40
10283,Assoc-voc,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,Private,55,0,0,20
10314,Bachelors,Married-civ-spouse,United-States,Tech-support,White,Husband,Private,39,0,0,50
10380,Some-college,Separated,United-States,Exec-managerial,White,Unmarried,Private,38,0,0,40
10840,Some-college,Never-married,United-States,Adm-clerical,White,Own-child,State-gov,22,0,0,40
10960,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Husband,Private,36,5178,0,40
10982,HS-grad,Never-married,United-States,Handlers-cleaners,White,Other-relative,Private,20,0,0,45
11023,HS-grad,Married-civ-spouse,United-States,Tech-support,White,Husband,Federal-gov,60,0,1977,40
11095,12th,Divorced,United-States,Transport-moving,White,Not-in-family,Private,50,0,0,40
11396,Masters,Never-married,United-States,Prof-specialty,White,Not-in-family,Private,25,4650,0,37
11443,HS-grad,Never-married,United-States,Transport-moving,White,Own-child,Private,32,0,0,40
11507,Some-college,Divorced,United-States,Exec-managerial,Black,Not-in-family,Private,43,0,0,40
11577,Bachelors,Divorced,United-States,Exec-managerial,White,Not-in-family,Private,50,0,0,55
11877,Assoc-voc,Married-civ-spouse,United-States,Craft-repair,White,Husband,Private,38,0,0,40
11890,Some-college,Widowed,United-States,Sales,White,Not-in-family,Self-emp-inc,58,0,0,20
11946,11th,Married-civ-spouse,Hong,Machine-op-inspct,Asian-Pac-Islander,Wife,Private,60,0,0,30
1197,Masters,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Private,59,0,0,55
12235,5th-6th,Married-civ-spouse,El-Salvador,Other-service,White,Husband,Private,42,0,0,40
12269,HS-grad,Married-civ-spouse,United-States,Craft-repair,White,Husband,Private,38,0,0,44
12390,Some-college,Never-married,United-States,Handlers-cleaners,White,Not-in-family,Private,34,0,0,40
12493,Bachelors,Married-civ-spouse,United-States,Sales,White,Husband,Private,35,0,0,50
12559,Some-college,Widowed,United-States,Other-service,White,Unmarried,Self-emp-not-inc,47,0,0,35
12638,11th,Never-married,United-States,Machine-op-inspct,Black,Not-in-family,Private,55,0,0,40
12645,HS-grad,Never-married,United-States,Other-service,White,Own-child,Private,18,0,0,20
12884,12th,Married-civ-spouse,United-States,Craft-repair,White,Husband,State-gov,61,0,0,40
12926,10th,Never-married,United-States,Priv-house-serv,White,Own-child,Private,25,0,0,24
12932,HS-grad,Married-civ-spouse,United-States,Sales,White,Husband,Private,60,0,0,40
1308,HS-grad,Married-civ-spouse,United-States,Sales,White,Husband,Private,43,0,0,45
13382,Some-college,Never-married,United-States,Adm-clerical,White,Not-in-family,Private,31,0,0,40
13397,Masters,Divorced,United-States,Prof-specialty,White,Not-in-family,Local-gov,49,0,0,60
13631,Masters,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Private,50,0,1977,40
13740,11th,Never-married,United-States,Other-service,White,Own-child,Private,18,0,0,15
13826,Bachelors,Never-married,?,Exec-managerial,Black,Not-in-family,Private,26,0,0,50
13840,Assoc-acdm,Married-civ-spouse,United-States,Sales,Black,Husband,Private,34,0,1902,50
13897,Masters,Never-married,?,Priv-house-serv,White,Not-in-family,Private,24,0,0,45
14010,Bachelors,Divorced,United-States,Adm-clerical,White,Unmarried,Private,45,4687,0,35
