record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10019,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,35
10079,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,57
10090,United-States,Male,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,30
10099,United-States,Male,White,Married-civ-spouse,Private,10th,Craft-repair,Husband,50
10198,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,43
10238,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Own-child,20
10471,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Own-child,18
10636,United-States,Female,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,46
10894,United-States,Female,White,Widowed,Private,HS-grad,Adm-clerical,Not-in-family,71
11014,United-States,Male,White,Divorced,Local-gov,Bachelors,Prof-specialty,Not-in-family,32
11209,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Other-service,Husband,37
11397,United-States,Male,White,Divorced,Self-emp-inc,HS-grad,Craft-repair,Not-in-family,41
11491,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,30
1154,United-States,Male,White,Married-civ-spouse,State-gov,HS-grad,Protective-serv,Husband,43
11679,United-States,Female,White,Divorced,Private,Assoc-voc,Exec-managerial,Not-in-family,32
1169,United-States,Male,White,Divorced,Private,HS-grad,Transport-moving,Not-in-family,40
11738,United-States,Female,Black,Never-married,Local-gov,Assoc-acdm,Adm-clerical,Unmarried,27
11747,Philippines,Male,Asian-Pac-Islander,Married-civ-spouse,Federal-gov,Bachelors,Adm-clerical,Husband,37
11776,United-States,Female,White,Divorced,Private,Assoc-voc,Prof-specialty,Unmarried,35
11805,United-States,Male,White,Divorced,Private,Some-college,Craft-repair,Not-in-family,24
11806,United-States,Male,Black,Never-married,Private,HS-grad,Transport-moving,Unmarried,35
11817,United-States,Female,White,Divorced,Private,HS-grad,Adm-clerical,Unmarried,40
11818,United-States,Male,White,Divorced,State-gov,Masters,Prof-specialty,Unmarried,36
11829,United-States,Male,White,Married-civ-spouse,Local-gov,Bachelors,Protective-serv,Husband,44
11847,United-States,Male,White,Never-married,Local-gov,Masters,Prof-specialty,Not-in-family,35
11896,United-States,Male,White,Married-civ-spouse,Local-gov,Assoc-acdm,Protective-serv,Husband,38
11930,United-States,Male,White,Married-civ-spouse,Private,Some-college,Transport-moving,Husband,26
1201,United-States,Male,White,Married-civ-spouse,Local-gov,Bachelors,Prof-specialty,Husband,30
12366,United-States,Female,White,Never-married,Private,10th,Sales,Own-child,17
12567,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,41
12779,South,Male,Asian-Pac-Islander,Married-civ-spouse,Private,HS-grad,Prof-specialty,Husband,50
12813,United-States,Female,White,Never-married,Private,11th,Other-service,Not-in-family,19
13001,United-States,Male,White,Widowed,Private,HS-grad,Craft-repair,Unmarried,62
13174,Germany,Male,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Husband,29
13299,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,44
13517,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Craft-repair,Husband,37
1370,United-States,Male,Black,Never-married,Private,Assoc-acdm,Other-service,Own-child,26
13702,United-States,Male,White,Never-married,Private,12th,Farming-fishing,Own-child,18
13747,?,Male,Asian-Pac-Islander,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,38
1380,United-States,Male,White,Separated,Private,Some-college,Adm-clerical,Own-child,25
14040,United-States,Female,White,Divorced,Federal-gov,HS-grad,Adm-clerical,Unmarried,40
14062,United-States,Female,Black,Never-married,Private,Some-college,Adm-clerical,Unmarried,25
14080,United-States,Female,Black,Married-civ-spouse,Private,HS-grad,Tech-support,Wife,33
14286,United-States,Female,White,Divorced,Private,HS-grad,Adm-clerical,Unmarried,45
14350,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,23
14403,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Handlers-cleaners,Own-child,40
14606,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,55
14707,United-States,Male,White,Married-civ-spouse,Private,Doctorate,Exec-managerial,Husband,45
14866,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Sales,Husband,38
15059,Mexico,Male,White,Never-married,Private,Preschool,Farming-fishing,Not-in-family,21
15103,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,50
15230,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,54
15254,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Not-in-family,21
15386,United-States,Female,White,Divorced,Private,Some-college,Exec-managerial,Unmarried,45
15416,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Not-in-family,32
15570,United-States,Male,White,Separated,Private,HS-grad,Craft-repair,Unmarried,42
15618,United-States,Male,White,Married-civ-spouse,Local-gov,Prof-school,Prof-specialty,Husband,37
15626,United-States,Male,White,Never-married,Private,Prof-school,Prof-specialty,Not-in-family,59
15708,United-States,Male,Black,Married-civ-spouse,Self-emp-inc,Doctorate,Prof-specialty,Husband,49
15802,United-States,Male,White,Divorced,Local-gov,Some-college,Exec-managerial,Not-in-family,44
15825,United-States,Male,White,Married-civ-spouse,Private,12th,Machine-op-inspct,Husband,32
15880,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,56
15956,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,59
16350,United-States,Male,White,Married-civ-spouse,Private,Masters,Sales,Husband,66
16421,United-States,Female,White,Divorced,Federal-gov,Assoc-acdm,Exec-managerial,Not-in-family,44
16433,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,43
16596,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,47
16622,United-States,Male,White,Divorced,Local-gov,Some-college,Transport-moving,Not-in-family,42
1671,United-States,Male,White,Never-married,Private,Some-college,Exec-managerial,Unmarried,43
16721,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,28
16729,Japan,Male,Asian-Pac-Islander,Married-civ-spouse,Private,Bachelors,Craft-repair,Husband,45
16845,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,23
