record_id,age,education,occupation,race,sex,workclass,capital-gain,capital-loss,hours-per-week,native-country,relationship
10145,28,Bachelors,Exec-managerial,White,Male,Private,0,0,40,United-States,Husband
10338,62,HS-grad,Other-service,Black,Female,Private,0,0,38,United-States,Other-relative
10387,42,Some-college,Handlers-cleaners,White,Male,Private,0,0,38,United-States,Husband
10394,56,Masters,Prof-specialty,White,Male,Private,0,0,66,United-States,Not-in-family
10476,56,Some-college,Farming-fishing,White,Male,Private,0,0,60,United-States,Husband
10491,30,Some-college,Other-service,White,Male,Private,0,0,24,United-States,Not-in-family
10505,26,HS-grad,Exec-managerial,White,Female,Private,0,0,50,United-States,Not-in-family
10526,23,Bachelors,Prof-specialty,White,Female,State-gov,0,0,40,United-States,Not-in-family
10567,47,Bachelors,Adm-clerical,Black,Male,Federal-gov,0,0,40,United-States,Unmarried
10671,17,12th,Sales,White,Male,Private,0,0,40,United-States,Own-child
10679,18,11th,?,Black,Female,?,0,0,50,United-States,Unmarried
11012,45,Assoc-acdm,Exec-managerial,White,Male,Private,0,0,40,United-States,Unmarried
1106,31,Bachelors,Prof-specialty,White,Male,Private,0,0,47,United-States,Not-in-family
11160,26,Some-college,Craft-repair,White,Male,Private,0,0,40,Puerto-Rico,Husband
11298,43,HS-grad,Handlers-cleaners,White,Male,Private,0,0,40,United-States,Not-in-family
11352,53,Some-college,Sales,White,Male,Self-emp-inc,8614,0,50,Cuba,Not-in-family
11493,37,Some-college,Craft-repair,White,Male,Private,0,0,40,United-States,Husband
11636,37,Bachelors,Prof-specialty,White,Female,Private,0,0,40,United-States,Not-in-family
11651,34,Bachelors,Exec-managerial,White,Female,Private,0,0,45,United-States,Not-in-family
1174,47,HS-grad,Other-service,White,Male,Private,0,0,40,United-States,Husband
1188,24,Bachelors,Adm-clerical,White,Female,State-gov,0,0,65,United-States,Not-in-family
11920,44,Doctorate,Prof-specialty,White,Male,State-gov,0,1902,40,United-States,Husband
12028,33,Some-college,Exec-managerial,White,Female,Private,0,0,40,United-States,Unmarried
12068,18,Some-college,?,White,Female,?,0,0,4,United-States,Own-child
12102,34,HS-grad,Adm-clerical,White,Female,Private,0,0,40,United-States,Unmarried
12157,33,Bachelors,Prof-specialty,White,Female,Private,0,0,40,United-States,Wife
12218,21,Some-college,?,White,Female,?,0,0,35,United-States,Own-child
12486,59,Some-college,Craft-repair,White,Male,Private,0,1887,55,United-States,Husband
12519,33,Some-college,Craft-repair,Black,Male,Private,8614,0,40,United-States,Not-in-family
1255,29,HS-grad,Craft-repair,Asian-Pac-Islander,Male,Private,0,0,40,United-States,Husband
12580,65,Bachelors,Adm-clerical,White,Male,Private,0,0,34,United-States,Husband
12586,30,Some-college,Adm-clerical,White,Female,Local-gov,0,0,40,United-States,Not-in-family
12686,63,11th,Other-service,White,Male,Private,0,0,30,United-States,Husband
12804,51,HS-grad,Tech-support,White,Male,Private,0,0,40,United-States,Husband
12876,38,Some-college,Exec-managerial,White,Male,Self-emp-inc,0,0,80,United-States,Husband
13036,40,Some-college,Other-service,White,Male,Private,0,0,45,United-States,Not-in-family
13203,63,HS-grad,?,White,Male,?,0,0,20,United-States,Husband
13265,43,HS-grad,Machine-op-inspct,White,Male,Private,0,0,42,United-States,Husband
13359,38,10th,Machine-op-inspct,White,Male,Private,0,0,40,United-States,Husband
1348,36,Bachelors,Exec-managerial,Asian-Pac-Islander,Male,Private,0,0,60,?,Husband
13553,38,HS-grad,Adm-clerical,White,Male,Private,0,0,40,United-States,Not-in-family
13585,39,HS-grad,Prof-specialty,White,Female,Private,4650,0,40,United-States,Not-in-family
13740,18,11th,Other-service,White,Male,Private,0,0,15,United-States,Own-child
13783,47,Some-college,Adm-clerical,White,Female,Private,0,0,40,United-States,Other-relative
1389,17,11th,Other-service,White,Male,Private,0,0,5,United-States,Own-child
13890,47,HS-grad,Other-service,Asian-Pac-Islander,Male,Private,0,0,25,Philippines,Husband
13929,32,HS-grad,Exec-managerial,White,Male,Self-emp-not-inc,0,0,55,United-States,Husband
1403,31,HS-grad,Craft-repair,White,Male,Private,0,0,50,United-States,Husband
14104,80,Prof-school,Prof-specialty,White,Male,Private,0,0,35,United-States,Husband
14181,27,Masters,Adm-clerical,White,Female,Private,0,0,46,United-States,Not-in-family
14248,39,Bachelors,Prof-specialty,White,Female,Self-emp-inc,0,0,40,United-States,Wife
14367,46,Bachelors,Exec-managerial,White,Male,Private,15024,0,45,United-States,Husband
14381,75,HS-grad,Adm-clerical,White,Male,Self-emp-inc,0,0,26,United-States,Husband
14427,41,HS-grad,Protective-serv,White,Male,State-gov,0,0,40,United-States,Not-in-family
14558,48,Doctorate,Prof-specialty,White,Female,Self-emp-not-inc,0,0,60,United-States,Unmarried
14585,22,Some-college,Other-service,White,Male,Private,0,0,16,United-States,Own-child
14651,43,HS-grad,Tech-support,Black,Female,Local-gov,0,0,40,United-States,Not-in-family
14843,19,Some-college,Other-service,White,Female,Private,0,0,15,United-States,Own-child
14902,33,Assoc-acdm,Prof-specialty,White,Female,Private,0,0,32,United-States,Unmarried
1504,60,Masters,?,White,Male,?,0,0,40,United-States,Husband
15078,31,Bachelors,Tech-support,White,Male,Private,0,0,40,United-States,Not-in-family
15105,44,Some-college,Sales,White,Male,Self-emp-inc,0,0,45,United-States,Own-child
15152,32,Bachelors,Exec-managerial,Black,Male,Self-emp-not-inc,0,0,40,?,Husband
15165,57,HS-grad,Transport-moving,White,Male,Local-gov,0,0,25,United-States,Husband
15169,32,10th,Craft-repair,White,Male,Self-emp-not-inc,0,0,40,United-States,Not-in-family
15335,52,Bachelors,Prof-specialty,White,Male,Private,0,0,50,United-States,Husband
15393,23,HS-grad,Farming-fishing,White,Male,Private,0,0,40,United-States,Own-child
15519,24,Some-college,Sales,White,Male,Private,0,0,40,United-States,Not-in-family
15574,74,1st-4th,Transport-moving,Black,Male,Private,0,0,20,United-States,Husband
15638,39,Prof-school,Exec-managerial,White,Male,Private,0,0,50,United-States,Not-in-family
1566,29,Some-college,Farming-fishing,White,Male,Private,0,0,40,United-States,Husband
15660,52,Some-college,Exec-managerial,White,Male,Self-emp-inc,0,0,65,United-States,Not-in-family
15745,53,Doctorate,Exec-managerial,White,Male,Self-emp-inc,14084,0,50,United-States,Not-in-family
15865,25,Some-college,Adm-clerical,White,Female,Private,0,0,40,United-States,Own-child
16013,41,Some-college,Adm-clerical,Black,Female,Private,0,0,48,United-States,Unmarried
16070,29,HS-grad,Handlers-cleaners,White,Male,Private,0,0,16,United-States,Not-in-family
16084,18,Some-college,Other-service,White,Male,Private,0,0,8,United-States,Own-child
16254,46,Some-college,Sales,White,Male,Private,0,0,50,United-States,Husband
16400,41,Some-college,Adm-clerical,Black,Male,Federal-gov,4650,0,40,United-States,Not-in-family
16501,40,HS-grad,Adm-clerical,Black,Female,Federal-gov,0,0,40,United-States,Unmarried
16502,34,Doctorate,Prof-specialty,White,Male,Private,0,0,50,United-States,Husband
16600,22,Some-college,Adm-clerical,White,Male,Private,0,0,20,United-States,Not-in-family
16642,18,HS-grad,?,White,Male,?,0,0,40,United-States,Own-child
16716,55,Masters,Prof-specialty,White,Male,Self-emp-not-inc,0,1977,40,United-States,Husband
16909,37,Masters,Exec-managerial,White,Male,Self-emp-not-inc,0,0,60,United-States,Husband
16947,34,Some-college,Transport-moving,White,Male,Private,4064,0,40,United-States,Husband
16958,42,Some-college,Craft-repair,White,Male,Private,0,0,38,United-States,Not-in-family
17133,31,HS-grad,Other-service,White,Female,Private,0,0,38,United-States,Own-child
