record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10082,United-States,Female,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Wife,34
10206,United-States,Female,White,Never-married,Private,Some-college,Adm-clerical,Own-child,19
10209,United-States,Female,White,Never-married,Private,Bachelors,Sales,Not-in-family,32
10337,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Other-service,Husband,54
10382,United-States,Male,White,Married-civ-spouse,State-gov,Bachelors,Exec-managerial,Husband,22
10445,United-States,Male,White,Married-civ-spouse,Local-gov,Bachelors,Handlers-cleaners,Husband,28
10452,United-States,Female,White,Never-married,Local-gov,HS-grad,Adm-clerical,Own-child,31
10800,United-States,Female,White,Never-married,State-gov,Some-college,Tech-support,Not-in-family,21
10876,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Sales,Husband,59
10944,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Not-in-family,21
10975,United-States,Male,Black,Never-married,Private,HS-grad,Farming-fishing,Own-child,29
11036,United-States,Female,White,Never-married,Local-gov,HS-grad,Tech-support,Not-in-family,24
11091,United-States,Male,White,Married-civ-spouse,Private,Some-college,Prof-specialty,Husband,49
11301,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,36
11379,United-States,Female,White,Divorced,Private,10th,Machine-op-inspct,Unmarried,48
11404,United-States,Male,White,Married-civ-spouse,Private,Doctorate,Prof-specialty,Husband,47
11558,United-States,Female,Black,Never-married,Private,11th,Priv-house-serv,Unmarried,32
11634,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Prof-specialty,Husband,32
11886,United-States,Male,Black,Married-civ-spouse,Federal-gov,Some-college,Other-service,Husband,38
12039,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,39
12302,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Craft-repair,Husband,37
1248,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Wife,34
12574,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Sales,Wife,56
12588,United-States,Male,White,Never-married,Private,HS-grad,Other-service,Own-child,22
12591,United-States,Male,Black,Married-civ-spouse,Private,Some-college,Exec-managerial,Husband,56
12840,United-States,Male,Black,Never-married,Private,HS-grad,Machine-op-inspct,Unmarried,27
12860,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Craft-repair,Husband,51
12898,Mexico,Male,White,Married-civ-spouse,Private,HS-grad,Other-service,Husband,48
13444,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,46
13575,United-States,Male,White,Never-married,Private,Some-college,Craft-repair,Own-child,26
13607,United-States,Male,White,Never-married,Private,Some-college,Craft-repair,Own-child,20
13612,United-States,Female,White,Never-married,Private,HS-grad,Machine-op-inspct,Own-child,27
1365,United-States,Female,White,Divorced,Self-emp-inc,HS-grad,Exec-managerial,Unmarried,49
13710,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Husband,39
13812,United-States,Male,White,Never-married,Private,10th,Sales,Own-child,17
13892,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Prof-specialty,Husband,64
14016,United-States,Male,White,Married-civ-spouse,Local-gov,Some-college,Protective-serv,Husband,36
14220,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Some-college,Exec-managerial,Husband,41
14267,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,23
14277,United-States,Male,White,Married-civ-spouse,Federal-gov,Masters,Prof-specialty,Husband,42
14320,United-States,Male,White,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,43
14581,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,31
14593,United-States,Female,White,Never-married,Private,Bachelors,Exec-managerial,Own-child,27
14748,United-States,Male,White,Married-civ-spouse,Private,Some-college,Transport-moving,Husband,30
14778,United-States,Male,Black,Never-married,Private,HS-grad,Machine-op-inspct,Not-in-family,37
14882,Philippines,Male,Asian-Pac-Islander,Married-civ-spouse,Private,Bachelors,Adm-clerical,Husband,35
14967,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Not-in-family,19
14993,United-States,Female,White,Never-married,Private,Bachelors,Prof-specialty,Own-child,36
15275,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Tech-support,Husband,25
15276,United-States,Male,Amer-Indian-Eskimo,Never-married,Private,HS-grad,Craft-repair,Not-in-family,31
15294,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,31
15312,United-States,Male,Black,Never-married,Private,11th,Other-service,Not-in-family,32
15386,United-States,Female,White,Divorced,Private,Some-college,Exec-managerial,Unmarried,45
1548,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,41
15556,United-States,Male,White,Married-civ-spouse,Private,Masters,Sales,Husband,45
15823,United-States,Male,White,Never-married,Private,Some-college,Craft-repair,Not-in-family,21
16170,United-States,Female,White,Divorced,Private,Bachelors,Exec-managerial,Unmarried,39
16261,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,56
16598,United-States,Male,White,Never-married,Private,11th,Other-service,Other-relative,18
16688,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Some-college,Craft-repair,Husband,47
16803,United-States,Male,White,Married-civ-spouse,Local-gov,Masters,Prof-specialty,Husband,39
16895,United-States,Male,White,Married-civ-spouse,State-gov,Bachelors,Exec-managerial,Husband,58
16909,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Masters,Exec-managerial,Husband,37
16961,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,28
17034,United-States,Male,White,Never-married,Private,9th,Transport-moving,Own-child,21
17186,United-States,Female,White,Divorced,Private,Some-college,Exec-managerial,Not-in-family,37
17278,United-States,Male,Other,Never-married,Private,Some-college,Prof-specialty,Not-in-family,26
17325,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Some-college,Prof-specialty,Husband,28
17529,United-States,Male,White,Divorced,State-gov,Bachelors,Prof-specialty,Not-in-family,40
17654,United-States,Male,White,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,57
1767,United-States,Male,White,Married-civ-spouse,Private,11th,Machine-op-inspct,Husband,32
1833,United-States,Female,White,Divorced,State-gov,Masters,Prof-specialty,Not-in-family,42
18441,United-States,Male,White,Divorced,Private,HS-grad,Craft-repair,Not-in-family,23
18839,Hungary,Male,White,Married-civ-spouse,Self-emp-not-inc,Assoc-acdm,Craft-repair,Husband,66
18868,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,32
18931,United-States,Male,White,Divorced,?,7th-8th,?,Not-in-family,66
19038,Philippines,Male,Asian-Pac-Islander,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,52
19184,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Not-in-family,19
19394,United-States,Male,White,Married-civ-spouse,Local-gov,12th,Farming-fishing,Husband,58
