record_id,age,marital-status,native-country,occupation,sex,workclass,capital-loss,education,hours-per-week,race,relationship
10087,50,Never-married,United-States,Sales,Female,Private,0,Bachelors,32,White,Unmarried
10143,35,Divorced,United-States,?,Male,?,0,10th,99,White,Not-in-family
10149,42,Married-civ-spouse,Puerto-Rico,Sales,Female,Private,0,Bachelors,40,White,Wife
10186,56,Never-married,United-States,Exec-managerial,Male,Private,0,Bachelors,45,White,Not-in-family
10208,42,Married-civ-spouse,Philippines,Other-service,Male,Private,0,Bachelors,72,Asian-Pac-Islander,Husband
10317,46,Married-spouse-absent,United-States,Exec-managerial,Male,Private,0,Masters,70,White,Not-in-family
10799,45,Married-civ-spouse,United-States,Exec-managerial,Male,Local-gov,0,Doctorate,45,White,Husband
10873,42,Divorced,United-States,Protective-serv,Female,Local-gov,0,HS-grad,50,White,Unmarried
11128,47,Married-civ-spouse,United-States,Exec-managerial,Male,Local-gov,1977,Masters,50,Black,Husband
11227,58,Divorced,United-States,Exec-managerial,Male,Self-emp-not-inc,0,HS-grad,70,White,Not-in-family
11282,40,Married-civ-spouse,United-States,Machine-op-inspct,Male,Private,0,HS-grad,40,White,Husband
11462,25,Never-married,United-States,Craft-repair,Female,Private,0,HS-grad,40,White,Not-in-family
11641,40,Married-civ-spouse,Mexico,Other-service,Male,Private,0,5th-6th,40,Other,Husband
11790,53,Married-civ-spouse,United-States,Sales,Male,Self-emp-not-inc,0,HS-grad,35,White,Husband
11870,47,Married-civ-spouse,United-States,Tech-support,Male,Private,0,Some-college,40,White,Husband
12236,36,Never-married,United-States,Adm-clerical,Female,Private,0,HS-grad,47,White,Not-in-family
12301,48,Married-civ-spouse,United-States,Exec-managerial,Male,Private,0,Bachelors,40,White,Husband
12380,19,Never-married,United-States,Sales,Female,Private,0,Some-college,25,White,Own-child
12563,52,Married-civ-spouse,Philippines,Exec-managerial,Male,Self-emp-not-inc,0,Masters,40,Asian-Pac-Islander,Husband
12596,28,Married-civ-spouse,United-States,Craft-repair,Male,Private,0,HS-grad,40,White,Husband
12700,45,Never-married,United-States,Farming-fishing,Male,Self-emp-not-inc,0,Some-college,75,White,Own-child
12712,27,Married-civ-spouse,United-States,Prof-specialty,Male,Private,0,Prof-school,42,White,Husband
