record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10144,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Exec-managerial,Husband,51
10252,United-States,Female,White,Never-married,Private,HS-grad,Exec-managerial,Unmarried,59
10272,United-States,Female,White,Divorced,Private,HS-grad,Adm-clerical,Unmarried,52
10331,United-States,Male,White,Married-civ-spouse,State-gov,Bachelors,Prof-specialty,Husband,37
105,United-States,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Craft-repair,Husband,32
10569,United-States,Male,White,Married-civ-spouse,Local-gov,Bachelors,Prof-specialty,Husband,40
10947,United-States,Male,White,Married-civ-spouse,Local-gov,Doctorate,Exec-managerial,Husband,72
11084,El-Salvador,Male,White,Never-married,Private,10th,Other-service,Not-in-family,17
11329,United-States,Male,White,Married-civ-spouse,Federal-gov,HS-grad,Tech-support,Husband,29
11371,United-States,Female,White,Divorced,Private,HS-grad,Prof-specialty,Not-in-family,63
11494,United-States,Male,White,Divorced,Federal-gov,Bachelors,Prof-specialty,Not-in-family,50
11519,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,41
1170,United-States,Female,White,Divorced,Private,HS-grad,Adm-clerical,Not-in-family,51
11729,United-States,Female,White,Never-married,Private,HS-grad,Other-service,Not-in-family,19
11777,United-States,Male,White,Married-civ-spouse,State-gov,Masters,Exec-managerial,Husband,55
11804,United-States,Male,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,42
1182,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,36
1184,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,44
12092,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,52
12170,United-States,Female,White,Never-married,Private,Some-college,Other-service,Not-in-family,19
12212,United-States,Male,White,Divorced,Local-gov,Bachelors,Protective-serv,Not-in-family,45
12323,Japan,Male,White,Married-civ-spouse,Federal-gov,Bachelors,Adm-clerical,Husband,30
12330,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,7th-8th,Sales,Husband,59
12357,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Husband,30
12401,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Own-child,26
12498,United-States,Female,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Sales,Wife,28
12734,United-States,Female,Black,Never-married,Private,Some-college,Sales,Own-child,18
12810,United-States,Male,White,Married-civ-spouse,Private,11th,Other-service,Husband,47
12824,United-States,Female,White,Never-married,Private,Bachelors,Sales,Not-in-family,36
12950,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Own-child,26
13046,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,25
13172,United-States,Male,White,Never-married,State-gov,Bachelors,Prof-specialty,Not-in-family,39
13187,United-States,Male,Black,Married-civ-spouse,Local-gov,HS-grad,Craft-repair,Husband,45
13392,United-States,Male,White,Married-civ-spouse,Private,10th,Machine-op-inspct,Husband,57
13658,United-States,Male,Black,Separated,Private,9th,Farming-fishing,Unmarried,34
13709,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Protective-serv,Husband,60
13721,United-States,Female,White,Divorced,Private,HS-grad,Adm-clerical,Unmarried,31
13757,United-States,Male,White,Never-married,Private,Some-college,Handlers-cleaners,Not-in-family,48
13778,United-States,Female,White,Never-married,Private,Bachelors,Sales,Unmarried,38
13798,United-States,Male,White,Divorced,Private,Some-college,Machine-op-inspct,Not-in-family,59
13821,Vietnam,Male,Asian-Pac-Islander,Never-married,Private,10th,Machine-op-inspct,Other-relative,30
13831,United-States,Male,White,Married-civ-spouse,State-gov,HS-grad,Protective-serv,Husband,30
13950,United-States,Female,Black,Never-married,Local-gov,Some-college,Prof-specialty,Not-in-family,65
14001,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Adm-clerical,Husband,42
14010,United-States,Female,White,Divorced,Private,Bachelors,Adm-clerical,Unmarried,45
14110,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,57
14180,United-States,Male,White,Never-married,Local-gov,Masters,Prof-specialty,Not-in-family,52
14196,United-States,Male,White,Never-married,Private,Some-college,Machine-op-inspct,Own-child,23
14318,Philippines,Female,Asian-Pac-Islander,Never-married,Private,Bachelors,Tech-support,Not-in-family,27
1444,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Other-service,Husband,56
14632,United-States,Female,White,Never-married,Local-gov,Assoc-voc,Adm-clerical,Own-child,20
14661,United-States,Male,White,Married-civ-spouse,Local-gov,Masters,Prof-specialty,Husband,47
14775,United-States,Male,Amer-Indian-Eskimo,Married-civ-spouse,State-gov,HS-grad,Transport-moving,Husband,42
14800,United-States,Male,Black,Married-civ-spouse,Private,Assoc-acdm,Tech-support,Husband,50
14820,United-States,Male,White,Married-civ-spouse,Private,Some-college,Other-service,Husband,33
14858,United-States,Female,White,Divorced,Federal-gov,HS-grad,Adm-clerical,Own-child,26
15164,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,39
15264,United-States,Female,White,Never-married,Local-gov,Some-college,Prof-specialty,Other-relative,73
15322,United-States,Male,White,Married-civ-spouse,Federal-gov,Assoc-acdm,Other-service,Husband,36
15381,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Husband,44
15412,United-States,Female,White,Never-married,Private,Assoc-voc,Tech-support,Not-in-family,36
15439,United-States,Male,White,Divorced,Private,Assoc-voc,Adm-clerical,Not-in-family,33
15506,United-States,Female,White,Divorced,Private,Some-college,Other-service,Unmarried,36
15518,United-States,Male,White,Married-civ-spouse,Private,11th,Other-service,Husband,20
15586,United-States,Female,Black,Married-civ-spouse,Private,Assoc-acdm,Prof-specialty,Wife,47
15749,United-States,Male,White,Married-civ-spouse,Federal-gov,Bachelors,Prof-specialty,Husband,49
15772,United-States,Male,White,Never-married,Private,7th-8th,Craft-repair,Own-child,21
15854,United-States,Male,White,Never-married,Private,Some-college,Prof-specialty,Own-child,22
15916,United-States,Female,White,Never-married,Private,Some-college,Adm-clerical,Own-child,23
16086,United-States,Female,White,Married-civ-spouse,Private,12th,Adm-clerical,Wife,53
16250,United-States,Male,White,Never-married,Private,9th,Craft-repair,Own-child,22
16269,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Prof-school,Prof-specialty,Husband,50
16400,United-States,Male,Black,Married-spouse-absent,Federal-gov,Some-college,Adm-clerical,Not-in-family,41
16520,United-States,Male,White,Married-civ-spouse,Private,Masters,Sales,Husband,61
16566,United-States,Male,White,Never-married,?,Bachelors,?,Not-in-family,23
16621,United-States,Female,Black,Divorced,Federal-gov,Bachelors,Exec-managerial,Unmarried,53
16648,United-States,Male,White,Separated,Private,11th,Handlers-cleaners,Unmarried,52
16949,United-States,Male,White,Never-married,Private,HS-grad,Sales,Own-child,23
17024,United-States,Male,White,Married-civ-spouse,Private,Some-college,Adm-clerical,Husband,41
17151,United-States,Male,White,Married-civ-spouse,Private,11th,Handlers-cleaners,Husband,48
17194,United-States,Male,Black,Never-married,Private,HS-grad,Handlers-cleaners,Other-relative,23
1741,United-States,Female,White,Married-civ-spouse,Private,11th,Other-service,Wife,45
17509,United-States,Male,White,Divorced,Private,HS-grad,Machine-op-inspct,Not-in-family,36
1818,?,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,52
18256,United-States,Male,White,Never-married,Private,Some-college,Handlers-cleaners,Own-child,20
18259,United-States,Female,White,Never-married,?,Some-college,?,Not-in-family,19
18337,United-States,Male,White,Married-civ-spouse,?,Masters,?,Husband,30
18338,United-States,Male,Asian-Pac-Islander,Never-married,Private,Bachelors,Adm-clerical,Not-in-family,32
18367,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Some-college,Farming-fishing,Husband,70
18544,United-States,Male,White,Divorced,Private,HS-grad,Sales,Not-in-family,52
18725,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Other-service,Husband,90
18835,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,39
18943,United-States,Male,White,Never-married,State-gov,Masters,Prof-specialty,Not-in-family,51
19121,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Some-college,Exec-managerial,Husband,44
19399,United-States,Male,White,Divorced,Self-emp-inc,Some-college,Craft-repair,Not-in-family,39
19433,United-States,Male,White,Married-civ-spouse,?,Bachelors,?,Husband,59
19479,United-States,Male,White,Married-civ-spouse,Private,Doctorate,Prof-specialty,Husband,59
19795,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Sales,Husband,60
19898,United-States,Male,White,Married-civ-spouse,Private,Some-college,Prof-specialty,Husband,45
19925,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Sales,Husband,33
19988,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Sales,Husband,38
20022,United-States,Female,Black,Married-spouse-absent,Private,Some-college,Sales,Own-child,21
20089,United-States,Male,White,Married-civ-spouse,State-gov,Masters,Prof-specialty,Husband,37
20144,United-States,Female,White,Divorced,Federal-gov,Some-college,Prof-specialty,Unmarried,41
20240,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Craft-repair,Husband,36
20244,United-States,Male,White,Never-married,Private,12th,Machine-op-inspct,Own-child,20
20289,United-States,Male,Black,Never-married,Private,9th,Craft-repair,Other-relative,40
20389,United-States,Male,White,Never-married,Self-emp-not-inc,Assoc-voc,Other-service,Not-in-family,50
20562,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Prof-specialty,Husband,43
20801,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Prof-specialty,Husband,43
20817,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,55
20882,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Husband,54
20956,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Farming-fishing,Husband,36
21006,United-States,Male,White,Never-married,Private,Some-college,Sales,Not-in-family,28
21220,United-States,Female,White,Never-married,Private,Some-college,Other-service,Not-in-family,22
21313,United-States,Male,White,Married-civ-spouse,Private,Some-college,Machine-op-inspct,Husband,30
21344,United-States,Female,Black,Married-civ-spouse,Local-gov,Masters,Prof-specialty,Wife,43
21380,United-States,Female,White,Married-civ-spouse,Private,7th-8th,Machine-op-inspct,Wife,60
21398,United-States,Female,White,Married-civ-spouse,Federal-gov,Bachelors,Exec-managerial,Wife,47
21416,United-States,Male,White,Married-civ-spouse,Local-gov,Some-college,Craft-repair,Husband,50
21611,Philippines,Female,Asian-Pac-Islander,Never-married,Private,Assoc-voc,Adm-clerical,Own-child,24
21713,United-States,Male,White,Married-civ-spouse,Local-gov,Some-college,Protective-serv,Husband,35
21784,United-States,Male,White,Never-married,Private,HS-grad,Farming-fishing,Own-child,32
21842,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Some-college,Sales,Husband,67
21881,United-States,Female,White,Never-married,Federal-gov,Assoc-acdm,Prof-specialty,Not-in-family,30
21901,United-States,Female,Black,Never-married,Private,HS-grad,Sales,Own-child,18
22060,United-States,Male,White,Married-civ-spouse,?,Bachelors,?,Husband,67
22413,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Tech-support,Husband,55
22463,United-States,Male,Black,Never-married,Private,HS-grad,Craft-repair,Not-in-family,24
22566,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,45
22574,United-States,Female,White,Widowed,Private,Assoc-acdm,Exec-managerial,Not-in-family,59
22575,United-States,Male,Asian-Pac-Islander,Divorced,Private,Bachelors,Exec-managerial,Unmarried,53
22640,United-States,Male,White,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,37
22709,United-States,Male,White,Never-married,Private,Some-college,Sales,Own-child,21
22966,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,35
230,United-States,Male,Black,Separated,Private,11th,Transport-moving,Not-in-family,35
23097,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,36
23392,United-States,Female,White,Divorced,Private,11th,Machine-op-inspct,Unmarried,32
237,Iran,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,41
23714,United-States,Female,White,Divorced,Private,Some-college,Exec-managerial,Unmarried,39
23767,United-States,Female,White,Never-married,Private,HS-grad,Exec-managerial,Not-in-family,33
23798,United-States,Female,White,Never-married,Private,HS-grad,Handlers-cleaners,Own-child,51
2388,United-States,Male,White,Married-civ-spouse,Private,7th-8th,Transport-moving,Husband,27
24007,United-States,Male,White,Never-married,Private,Some-college,Prof-specialty,Not-in-family,25
24194,United-States,Male,White,Never-married,Private,Bachelors,Other-service,Not-in-family,29
2420,United-States,Male,White,Married-civ-spouse,?,Bachelors,?,Husband,66
24247,United-States,Male,White,Married-civ-spouse,?,10th,?,Husband,65
24316,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,56
24385,United-States,Male,White,Married-civ-spouse,Private,Some-college,Other-service,Husband,60
24510,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Prof-school,Exec-managerial,Husband,50
24567,United-States,Male,White,Divorced,Private,Bachelors,Prof-specialty,Not-in-family,46
2458,United-States,Female,White,Separated,Local-gov,Some-college,Adm-clerical,Unmarried,29
24585,United-States,Female,Black,Never-married,State-gov,10th,Other-service,Own-child,29
24738,United-States,Male,White,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,57
24909,United-States,Female,Black,Never-married,Private,HS-grad,Machine-op-inspct,Unmarried,32
2491,United-States,Male,White,Married-civ-spouse,?,Some-college,?,Husband,76
24939,United-States,Male,White,Divorced,Federal-gov,HS-grad,Adm-clerical,Not-in-family,52
24969,United-States,Male,White,Never-married,Private,HS-grad,Exec-managerial,Not-in-family,23
24984,United-States,Female,White,Married-civ-spouse,Private,Some-college,Adm-clerical,Wife,27
2504,United-States,Male,White,Married-civ-spouse,Private,7th-8th,Transport-moving,Husband,61
25136,United-States,Male,White,Divorced,Private,Some-college,Handlers-cleaners,Not-in-family,32
25137,United-States,Male,Black,Divorced,Private,Bachelors,Sales,Not-in-family,48
2516,United-States,Female,White,Married-civ-spouse,Private,12th,Other-service,Wife,25
25308,United-States,Male,White,Never-married,Private,12th,Prof-specialty,Own-child,17
25521,United-States,Male,White,Never-married,Private,Bachelors,Exec-managerial,Own-child,34
