record_id,age,marital-status,occupation,race,relationship,sex,capital-gain,capital-loss,education,hours-per-week,workclass
10280,33,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,0,HS-grad,50,Self-emp-inc
10315,24,Never-married,Adm-clerical,White,Not-in-family,Male,0,0,Bachelors,40,Private
10460,58,Divorced,?,White,Unmarried,Male,0,0,HS-grad,40,?
10493,48,Married-civ-spouse,Prof-specialty,White,Husband,Male,0,0,Masters,50,Local-gov
10601,35,Married-civ-spouse,Transport-moving,White,Husband,Male,0,0,HS-grad,50,Private
10620,37,Married-civ-spouse,Craft-repair,White,Husband,Male,0,0,10th,40,Private
10737,55,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,0,Some-college,70,Private
10827,35,Married-civ-spouse,Craft-repair,White,Husband,Male,0,0,Some-college,45,Private
10835,30,Married-civ-spouse,Other-service,Asian-Pac-Islander,Wife,Female,0,0,Bachelors,40,Private
10930,59,Married-civ-spouse,Machine-op-inspct,White,Husband,Male,0,0,10th,40,Private
11198,64,Married-civ-spouse,?,White,Wife,Female,0,0,HS-grad,20,?
11295,24,Married-civ-spouse,Farming-fishing,Black,Husband,Male,0,0,HS-grad,35,Private
11334,59,Married-civ-spouse,?,White,Husband,Male,0,0,Masters,35,?
11498,33,Married-civ-spouse,Adm-clerical,White,Husband,Male,0,1579,Bachelors,42,Private
11746,44,Divorced,Exec-managerial,White,Not-in-family,Female,0,0,Some-college,40,Self-emp-not-inc
11977,41,Divorced,Craft-repair,White,Not-in-family,Male,0,0,Some-college,40,Local-gov
12199,27,Never-married,Exec-managerial,White,Not-in-family,Male,0,0,Bachelors,45,Private
12251,43,Married-civ-spouse,Prof-specialty,White,Husband,Male,15024,0,Prof-school,55,Private
12437,21,Never-married,Craft-repair,White,Own-child,Male,0,0,HS-grad,40,Private
12473,25,Married-civ-spouse,Machine-op-inspct,White,Husband,Male,0,0,Some-college,40,Private
12714,47,Married-civ-spouse,Prof-specialty,White,Husband,Male,0,0,Doctorate,40,State-gov
12768,44,Married-civ-spouse,Sales,White,Husband,Male,0,0,Some-college,60,Private
12850,26,Married-civ-spouse,Farming-fishing,White,Husband,Male,0,0,HS-grad,70,Private
12999,31,Married-civ-spouse,Machine-op-inspct,White,Husband,Male,0,0,Bachelors,50,Private
13067,48,Married-civ-spouse,Craft-repair,White,Husband,Male,0,0,HS-grad,36,Self-emp-inc
13333,23,Never-married,Prof-specialty,White,Own-child,Female,0,0,Bachelors,40,Private
13404,24,Never-married,Craft-repair,White,Own-child,Male,0,0,HS-grad,40,Self-emp-inc
1354,58,Divorced,Machine-op-inspct,Black,Not-in-family,Male,0,0,5th-6th,40,Private
13592,21,Never-married,Other-service,White,Own-child,Male,0,0,Some-college,35,Private
13607,20,Never-married,Craft-repair,White,Own-child,Male,0,0,Some-college,40,Private
13723,36,Married-civ-spouse,Craft-repair,White,Husband,Male,0,0,Some-college,40,Local-gov
13752,46,Married-civ-spouse,Craft-repair,Black,Husband,Male,4064,0,HS-grad,40,Private
13768,37,Divorced,Prof-specialty,Asian-Pac-Islander,Unmarried,Female,0,0,HS-grad,40,Federal-gov
13775,33,Married-civ-spouse,Sales,White,Husband,Male,0,0,Some-college,60,Self-emp-not-inc
13789,44,Divorced,Machine-op-inspct,White,Own-child,Female,0,0,Assoc-acdm,45,Private
13822,32,Never-married,Craft-repair,White,Not-in-family,Male,0,0,Assoc-voc,40,Private
13914,66,Married-civ-spouse,Sales,White,Husband,Male,0,0,Some-college,24,Private
13983,44,Married-civ-spouse,Craft-repair,White,Husband,Male,15024,0,Masters,45,Private
13998,42,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,0,Bachelors,40,Private
14017,40,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,0,Bachelors,50,Self-emp-inc
14048,47,Married-civ-spouse,Craft-repair,White,Husband,Male,0,0,HS-grad,40,Private
14158,56,Separated,Craft-repair,White,Unmarried,Male,0,0,HS-grad,40,Private
14161,38,Divorced,Adm-clerical,White,Unmarried,Female,0,0,HS-grad,20,Private
14396,39,Married-civ-spouse,Prof-specialty,White,Husband,Male,15024,0,Bachelors,50,Self-emp-not-inc
14432,21,Never-married,Craft-repair,White,Own-child,Male,0,0,Some-college,40,Private
14557,22,Never-married,Sales,Asian-Pac-Islander,Not-in-family,Male,0,0,Some-college,20,Private
14561,53,Never-married,Farming-fishing,White,Not-in-family,Male,0,0,HS-grad,10,Private
14584,56,Married-civ-spouse,Prof-specialty,White,Husband,Male,0,0,Masters,40,Private
14653,28,Never-married,Sales,White,Own-child,Female,0,0,Assoc-acdm,35,Private
14682,26,Married-civ-spouse,Adm-clerical,Black,Husband,Male,0,0,Some-college,40,Federal-gov
1469,40,Married-civ-spouse,Prof-specialty,White,Husband,Male,7298,0,Assoc-acdm,36,Private
14854,32,Married-civ-spouse,Exec-managerial,White,Wife,Female,0,0,10th,35,Private
14884,78,Married-civ-spouse,Farming-fishing,White,Husband,Male,0,0,7th-8th,25,Self-emp-not-inc
14994,25,Never-married,Prof-specialty,White,Own-child,Female,0,0,Bachelors,15,Private
15041,37,Never-married,Adm-clerical,White,Not-in-family,Female,0,0,Bachelors,40,Private
15043,28,Married-civ-spouse,Machine-op-inspct,Asian-Pac-Islander,Husband,Male,0,0,HS-grad,40,Private
15104,45,Married-civ-spouse,Craft-repair,White,Husband,Male,0,0,HS-grad,50,Self-emp-inc
15137,30,Married-civ-spouse,Transport-moving,White,Husband,Male,0,0,HS-grad,40,Private
15217,24,Never-married,Machine-op-inspct,White,Not-in-family,Male,0,0,HS-grad,40,Private
15484,36,Married-civ-spouse,?,Black,Husband,Male,0,0,HS-grad,40,?
15609,63,Married-civ-spouse,Sales,White,Husband,Male,0,0,HS-grad,48,Private
15755,58,Married-civ-spouse,Craft-repair,White,Husband,Male,0,0,11th,40,Private
15897,30,Never-married,Craft-repair,White,Not-in-family,Male,0,0,HS-grad,35,Private
16189,33,Never-married,Adm-clerical,White,Not-in-family,Female,0,0,11th,35,Private
16240,37,Never-married,Craft-repair,White,Not-in-family,Male,0,0,Assoc-voc,45,Private
16313,28,Never-married,Exec-managerial,White,Not-in-family,Female,6849,0,Bachelors,60,Private
16386,38,Married-civ-spouse,Craft-repair,White,Husband,Male,0,0,HS-grad,41,Private
16453,50,Married-civ-spouse,Sales,White,Wife,Female,0,0,HS-grad,15,Private
16510,33,Married-civ-spouse,Protective-serv,White,Husband,Male,0,0,HS-grad,37,State-gov
16719,37,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,0,Masters,40,Private
16737,41,Married-civ-spouse,Prof-specialty,White,Husband,Male,0,0,Bachelors,40,Private
16752,42,Married-civ-spouse,Prof-specialty,White,Husband,Male,7688,0,Masters,40,Private
16779,23,Never-married,Prof-specialty,White,Own-child,Female,0,0,Bachelors,40,Local-gov
17083,24,Never-married,Adm-clerical,White,Own-child,Female,0,0,Assoc-voc,20,Private
1716,42,Divorced,Adm-clerical,White,Not-in-family,Female,0,0,Bachelors,40,Private
17361,29,Never-married,Tech-support,White,Not-in-family,Male,0,0,Bachelors,40,Private
17611,28,Never-married,Other-service,White,Other-relative,Female,0,0,7th-8th,99,Self-emp-not-inc
17837,62,Widowed,?,White,Not-in-family,Female,0,0,HS-grad,25,?
17853,27,Never-married,Adm-clerical,Black,Not-in-family,Female,0,0,Bachelors,40,Private
18023,63,Married-civ-spouse,Prof-specialty,White,Husband,Male,0,0,Masters,48,Local-gov
