record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10038,United-States,Male,White,Married-civ-spouse,Private,10th,Craft-repair,Husband,42
10053,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,11th,Craft-repair,Husband,43
10073,United-States,Male,White,Divorced,Private,7th-8th,Handlers-cleaners,Not-in-family,62
10414,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,34
10503,United-States,Male,White,Divorced,Self-emp-not-inc,HS-grad,Other-service,Unmarried,43
10518,United-States,Male,White,Never-married,Private,HS-grad,Prof-specialty,Not-in-family,54
10773,United-States,Female,White,Widowed,Private,Some-college,Sales,Unmarried,49
10892,United-States,Female,White,Married-civ-spouse,Private,Some-college,Sales,Other-relative,20
11369,United-States,Male,Black,Never-married,Private,10th,Handlers-cleaners,Other-relative,28
11381,United-States,Male,White,Married-civ-spouse,State-gov,Bachelors,Exec-managerial,Husband,56
11449,United-States,Female,White,Divorced,Private,Some-college,Adm-clerical,Unmarried,31
11526,United-States,Female,White,Never-married,?,Some-college,?,Own-child,18
11790,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Sales,Husband,53
11866,United-States,Female,White,Divorced,Private,Bachelors,Prof-specialty,Unmarried,45
1197,United-States,Male,White,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,59
12100,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,55
12152,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,33
12249,United-States,Female,Black,Never-married,Local-gov,Masters,Prof-specialty,Not-in-family,36
12359,United-States,Female,Black,Divorced,Federal-gov,Bachelors,Exec-managerial,Unmarried,39
12459,United-States,Male,White,Never-married,Private,Some-college,Craft-repair,Own-child,28
1248,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Wife,34
12674,United-States,Female,White,Divorced,Local-gov,Assoc-voc,Adm-clerical,Unmarried,51
12687,United-States,Female,White,Widowed,Private,HS-grad,Sales,Unmarried,65
12801,United-States,Female,White,Never-married,Self-emp-inc,Bachelors,Adm-clerical,Own-child,26
12965,United-States,Female,White,Separated,Private,HS-grad,Sales,Not-in-family,33
13060,United-States,Male,Black,Married-civ-spouse,Private,9th,Farming-fishing,Husband,63
13126,United-States,Female,White,Married-civ-spouse,Self-emp-not-inc,10th,Other-service,Wife,37
13145,United-States,Male,White,Never-married,Private,Some-college,Exec-managerial,Own-child,19
13168,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Not-in-family,21
13179,United-States,Female,White,Divorced,Private,Some-college,Exec-managerial,Not-in-family,45
13369,United-States,Male,White,Never-married,Private,HS-grad,Machine-op-inspct,Not-in-family,20
13374,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,33
13547,United-States,Male,White,Married-civ-spouse,Local-gov,Masters,Prof-specialty,Husband,54
1365,United-States,Female,White,Divorced,Self-emp-inc,HS-grad,Exec-managerial,Unmarried,49
13881,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Husband,38
14070,United-States,Female,White,Divorced,Private,Some-college,Sales,Not-in-family,60
1412,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,39
14131,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,38
14199,United-States,Female,White,Divorced,Private,Some-college,Machine-op-inspct,Not-in-family,55
14203,United-States,Female,White,Never-married,?,Some-college,?,Own-child,21
14281,Mexico,Male,White,Married-civ-spouse,Private,9th,Exec-managerial,Husband,43
14392,United-States,Male,White,Never-married,Private,HS-grad,Transport-moving,Not-in-family,34
14491,United-States,Male,White,Married-civ-spouse,Federal-gov,Some-college,Adm-clerical,Husband,61
14496,United-States,Male,White,Never-married,Private,10th,Craft-repair,Not-in-family,36
14675,United-States,Female,White,Divorced,Private,Some-college,Adm-clerical,Not-in-family,48
14725,United-States,Male,White,Married-civ-spouse,?,Bachelors,?,Husband,65
14781,United-States,Female,White,Married-civ-spouse,Private,Masters,Exec-managerial,Wife,48
14942,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,51
15348,United-States,Male,White,Never-married,Private,9th,Farming-fishing,Own-child,27
15354,United-States,Female,White,Never-married,Federal-gov,HS-grad,Adm-clerical,Own-child,20
1560,United-States,Male,White,Never-married,Private,12th,Handlers-cleaners,Own-child,18
15617,United-States,Female,White,Divorced,Private,Some-college,Priv-house-serv,Unmarried,46
15667,United-States,Female,White,Widowed,Private,HS-grad,Priv-house-serv,Not-in-family,66
15739,United-States,Male,White,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,43
