record_id,age,native-country,occupation,race,relationship,sex
10042,33,Cuba,Prof-specialty,White,Husband,Male
10085,21,United-States,Other-service,White,Own-child,Female
10169,20,United-States,Sales,White,Own-child,Female
10175,50,United-States,Prof-specialty,White,Not-in-family,Female
10202,34,United-States,Exec-managerial,White,Husband,Male
10245,54,United-States,Craft-repair,White,Unmarried,Male
10260,42,United-States,Farming-fishing,White,Own-child,Male
10352,35,United-States,Exec-managerial,White,Not-in-family,Male
10414,34,United-States,Craft-repair,White,Husband,Male
10439,18,United-States,Machine-op-inspct,White,Not-in-family,Female
10502,29,United-States,Exec-managerial,White,Not-in-family,Female
10545,90,Ecuador,Craft-repair,White,Husband,Male
10550,46,United-States,Exec-managerial,White,Husband,Male
10755,23,United-States,Other-service,White,Own-child,Female
10926,38,United-States,Exec-managerial,White,Not-in-family,Male
10995,20,United-States,?,White,Not-in-family,Male
11010,37,United-States,Exec-managerial,White,Husband,Male
11084,17,El-Salvador,Other-service,White,Not-in-family,Male
11112,33,United-States,Craft-repair,White,Own-child,Male
11180,52,United-States,Priv-house-serv,White,Not-in-family,Female
11415,19,United-States,Sales,White,Own-child,Female
11475,28,United-States,Exec-managerial,White,Husband,Male
11549,20,United-States,Other-service,White,Own-child,Male
11733,47,United-States,Adm-clerical,White,Unmarried,Female
11844,31,United-States,Exec-managerial,White,Not-in-family,Male
12035,65,United-States,Farming-fishing,White,Husband,Male
12102,34,United-States,Adm-clerical,White,Unmarried,Female
12177,47,United-States,Exec-managerial,White,Not-in-family,Female
12245,27,United-States,Prof-specialty,White,Not-in-family,Male
12258,50,United-States,Craft-repair,White,Husband,Male
12380,19,United-States,Sales,White,Own-child,Female
12393,41,United-States,Sales,White,Husband,Male
12495,45,United-States,Adm-clerical,White,Unmarried,Female
12702,23,United-States,Handlers-cleaners,White,Not-in-family,Male
12720,62,United-States,Sales,White,Wife,Female
12837,69,United-States,Prof-specialty,White,Husband,Male
12862,37,United-States,Exec-managerial,White,Other-relative,Male
12946,64,United-States,Craft-repair,White,Not-in-family,Female
13029,30,United-States,Craft-repair,White,Not-in-family,Male
13056,35,United-States,Prof-specialty,White,Own-child,Male
13107,67,United-States,Exec-managerial,White,Other-relative,Female
13252,38,United-States,Exec-managerial,White,Husband,Male
13364,49,United-States,Transport-moving,White,Not-in-family,Male
13367,52,United-States,Exec-managerial,White,Not-in-family,Female
13404,24,United-States,Craft-repair,White,Own-child,Male
13747,38,?,Exec-managerial,Asian-Pac-Islander,Husband,Male
1385,45,United-States,Machine-op-inspct,White,Own-child,Male
13871,55,United-States,Farming-fishing,White,Husband,Male
13892,64,United-States,Prof-specialty,White,Husband,Male
14158,56,United-States,Craft-repair,White,Unmarried,Male
1421,40,United-States,Handlers-cleaners,Black,Husband,Male
14307,41,United-States,Adm-clerical,White,Unmarried,Female
1433,18,United-States,?,White,Own-child,Female
14334,73,United-States,Other-service,White,Not-in-family,Female
14359,38,United-States,Sales,White,Husband,Male
14583,58,United-States,Prof-specialty,White,Not-in-family,Male
14614,22,United-States,Adm-clerical,White,Own-child,Female
14764,40,United-States,Exec-managerial,White,Unmarried,Female
15014,24,United-States,Adm-clerical,Black,Not-in-family,Female
15116,60,United-States,Craft-repair,White,Not-in-family,Female
15152,32,?,Exec-managerial,Black,Husband,Male
15172,28,United-States,Prof-specialty,White,Wife,Female
15232,59,United-States,Transport-moving,White,Husband,Male
15581,28,United-States,Exec-managerial,White,Wife,Female
15631,42,United-States,Exec-managerial,White,Husband,Male
15655,38,United-States,Sales,White,Husband,Male
15698,32,India,Prof-specialty,Asian-Pac-Islander,Husband,Male
15748,56,United-States,Adm-clerical,White,Husband,Male
15843,23,United-States,Transport-moving,White,Husband,Male
16159,55,United-States,Transport-moving,White,Husband,Male
16301,33,United-States,Exec-managerial,White,Own-child,Female
16459,22,United-States,Sales,White,Wife,Female
16578,48,United-States,Prof-specialty,White,Unmarried,Female
16605,45,United-States,Craft-repair,White,Husband,Male
16629,46,United-States,Protective-serv,White,Husband,Male
16721,28,United-States,Sales,White,Husband,Male
16943,36,United-States,Craft-repair,White,Not-in-family,Male
17001,43,United-States,Sales,White,Husband,Male
17121,54,United-States,Transport-moving,White,Husband,Male
17155,32,United-States,Sales,White,Husband,Male
17166,43,United-States,Craft-repair,White,Not-in-family,Male
17170,40,Canada,Exec-managerial,White,Not-in-family,Male
17209,53,United-States,?,White,Husband,Male
17287,58,United-States,Transport-moving,White,Husband,Male
17487,28,United-States,Craft-repair,White,Husband,Male
17520,31,United-States,Prof-specialty,White,Own-child,Female
17713,21,United-States,Sales,White,Own-child,Female
17724,54,United-States,Handlers-cleaners,White,Unmarried,Female
17775,69,United-States,Farming-fishing,White,Not-in-family,Female
17804,44,United-States,Exec-managerial,White,Husband,Male
17843,57,United-States,Exec-managerial,White,Husband,Male
1792,47,United-States,Other-service,White,Unmarried,Female
17946,24,United-States,Adm-clerical,White,Own-child,Male
18285,50,United-States,Sales,White,Husband,Male
18353,40,United-States,Other-service,White,Not-in-family,Female
1840,23,United-States,Craft-repair,White,Not-in-family,Male
18501,62,United-States,Sales,White,Not-in-family,Female
18851,25,United-States,Adm-clerical,White,Not-in-family,Male
19006,42,United-States,Sales,White,Husband,Male
19110,41,United-States,Sales,Black,Unmarried,Female
19191,27,United-States,Machine-op-inspct,White,Not-in-family,Male
19489,90,United-States,Machine-op-inspct,White,Husband,Male
19525,47,United-States,Machine-op-inspct,White,Husband,Male
19530,30,United-States,Protective-serv,White,Husband,Male
19604,35,United-States,Protective-serv,White,Husband,Male
19826,21,United-States,Other-service,White,Not-in-family,Female
19942,67,United-States,Exec-managerial,White,Not-in-family,Female
20011,35,Dominican-Republic,Transport-moving,Other,Husband,Male
20207,19,United-States,Adm-clerical,White,Own-child,Female
20219,24,United-States,Other-service,Black,Not-in-family,Male
20261,66,United-States,Adm-clerical,White,Not-in-family,Female
20273,36,United-States,Craft-repair,White,Husband,Male
2033,47,United-States,Craft-repair,Black,Husband,Male
20378,31,United-States,Machine-op-inspct,White,Husband,Male
20601,39,United-States,Tech-support,White,Wife,Female
20879,53,United-States,Adm-clerical,Black,Husband,Male
20924,30,United-States,Other-service,White,Not-in-family,Male
20958,52,United-States,Adm-clerical,White,Not-in-family,Female
21200,17,United-States,Other-service,White,Own-child,Male
21275,23,United-States,Other-service,White,Own-child,Female
21297,39,United-States,Adm-clerical,White,Unmarried,Female
21515,33,United-States,Adm-clerical,White,Unmarried,Female
21689,27,United-States,Tech-support,White,Other-relative,Male
21763,77,United-States,Adm-clerical,White,Husband,Male
21804,25,United-States,Machine-op-inspct,White,Husband,Male
21943,17,United-States,Adm-clerical,White,Own-child,Female
22015,33,United-States,Sales,White,Not-in-family,Male
22016,47,United-States,Other-service,Black,Husband,Male
22058,26,United-States,Adm-clerical,White,Own-child,Male
22211,22,United-States,Adm-clerical,White,Own-child,Male
22234,37,United-States,Handlers-cleaners,White,Not-in-family,Female
22608,34,United-States,Adm-clerical,Black,Husband,Male
22621,43,United-States,Protective-serv,White,Husband,Male
2280,21,United-States,Prof-specialty,White,Not-in-family,Female
22868,54,United-States,Craft-repair,White,Husband,Male
23073,34,United-States,Prof-specialty,White,Not-in-family,Female
23075,47,United-States,Other-service,White,Not-in-family,Female
23102,20,United-States,Adm-clerical,White,Own-child,Female
23154,34,United-States,Other-service,White,Husband,Male
23172,37,United-States,Machine-op-inspct,Black,Husband,Male
23209,49,United-States,?,White,Husband,Male
2338,23,United-States,Tech-support,White,Own-child,Female
23455,70,Philippines,Machine-op-inspct,Asian-Pac-Islander,Other-relative,Male
2357,47,United-States,Other-service,White,Husband,Male
23735,57,Philippines,Exec-managerial,Asian-Pac-Islander,Husband,Male
23939,28,Poland,Exec-managerial,White,Husband,Male
23961,58,United-States,Exec-managerial,White,Husband,Male
2398,19,United-States,Sales,White,Own-child,Female
24008,44,United-States,Prof-specialty,White,Husband,Male
24235,33,United-States,Other-service,Black,Husband,Male
24243,21,United-States,Craft-repair,White,Other-relative,Male
24394,28,United-States,Prof-specialty,White,Husband,Male
24426,39,United-States,Prof-specialty,Black,Wife,Female
24495,29,United-States,Craft-repair,White,Not-in-family,Male
24498,56,United-States,Craft-repair,White,Husband,Male
24515,18,United-States,Handlers-cleaners,White,Own-child,Male
24849,45,United-States,Adm-clerical,White,Own-child,Male
25240,25,Mexico,Transport-moving,White,Unmarried,Male
25373,38,United-States,Craft-repair,White,Not-in-family,Female
25683,27,United-States,Prof-specialty,White,Own-child,Female
25740,41,United-States,Machine-op-inspct,White,Not-in-family,Female
25819,63,United-States,?,White,Husband,Male
26005,28,United-States,Sales,White,Husband,Male
26044,42,United-States,Transport-moving,White,Husband,Male
26045,32,United-States,Handlers-cleaners,White,Husband,Male
26047,41,United-States,Farming-fishing,White,Husband,Male
26132,41,United-States,Prof-specialty,White,Not-in-family,Female
26331,27,United-States,?,White,Unmarried,Female
26439,28,United-States,Other-service,White,Not-in-family,Female
26578,21,United-States,Adm-clerical,White,Not-in-family,Female
26595,38,United-States,Craft-repair,White,Husband,Male
26614,36,Yugoslavia,Exec-managerial,White,Husband,Male
26693,34,United-States,Prof-specialty,Black,Husband,Male
26697,49,United-States,Machine-op-inspct,White,Husband,Male
26818,25,United-States,Prof-specialty,White,Husband,Male
27053,46,United-States,Other-service,White,Own-child,Male
27181,35,United-States,Craft-repair,White,Husband,Male
27229,53,United-States,Transport-moving,White,Husband,Male
27332,46,Germany,Sales,White,Husband,Male
27345,50,United-States,Exec-managerial,White,Husband,Male
27454,35,United-States,Transport-moving,Black,Wife,Female
27526,23,United-States,Exec-managerial,White,Not-in-family,Female
27760,35,United-States,Other-service,White,Unmarried,Female
27849,22,United-States,Adm-clerical,White,Own-child,Female
27920,23,United-States,Adm-clerical,White,Own-child,Female
27950,42,United-States,Craft-repair,White,Not-in-family,Male
28105,49,United-States,Craft-repair,Black,Husband,Male
282,34,United-States,Sales,Black,Unmarried,Female
2836,40,United-States,Craft-repair,White,Not-in-family,Male
28430,38,United-States,Adm-clerical,White,Not-in-family,Female
28453,38,United-States,Tech-support,White,Wife,Female
28478,28,United-States,?,White,Not-in-family,Male
28564,65,United-States,Other-service,Asian-Pac-Islander,Husband,Male
28719,25,United-States,Prof-specialty,Black,Not-in-family,Female
28728,36,United-States,Sales,Black,Husband,Male
28803,45,United-States,Exec-managerial,White,Husband,Male
28847,55,United-States,Tech-support,White,Not-in-family,Female
28939,52,United-States,Craft-repair,White,Husband,Male
28986,40,United-States,Machine-op-inspct,White,Husband,Male
2900,47,Italy,Transport-moving,White,Husband,Male
2905,53,United-States,Other-service,White,Unmarried,Female
29152,20,United-States,Sales,White,Own-child,Male
29193,41,United-States,Prof-specialty,White,Husband,Male
29194,39,United-States,Farming-fishing,White,Wife,Female
29385,24,United-States,Craft-repair,White,Husband,Male
29532,17,United-States,Handlers-cleaners,White,Own-child,Male
