record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
100,United-States,Male,White,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,76
1003,United-States,Female,White,Never-married,Local-gov,Bachelors,Prof-specialty,Own-child,23
10169,United-States,Female,White,Never-married,Private,Some-college,Sales,Own-child,20
10362,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,45
10527,United-States,Male,White,Never-married,State-gov,Bachelors,Adm-clerical,Not-in-family,41
10644,United-States,Male,Black,Married-civ-spouse,Private,7th-8th,Transport-moving,Husband,43
1074,United-States,Male,White,Never-married,Private,11th,Adm-clerical,Own-child,17
10764,United-States,Female,White,Never-married,Private,Some-college,Other-service,Own-child,20
10804,United-States,Female,Black,Never-married,Private,Some-college,Prof-specialty,Other-relative,20
10840,United-States,Female,White,Never-married,State-gov,Some-college,Adm-clerical,Own-child,22
10898,United-States,Female,White,Never-married,Private,HS-grad,Other-service,Not-in-family,40
10920,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Craft-repair,Husband,43
10929,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,46
11034,Mexico,Male,White,Separated,Private,HS-grad,Transport-moving,Other-relative,36
11087,United-States,Male,White,Married-civ-spouse,?,9th,?,Husband,69
11139,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Husband,35
1158,?,Male,Asian-Pac-Islander,Never-married,Private,Bachelors,Transport-moving,Unmarried,26
11605,United-States,Female,White,Never-married,Private,Bachelors,Prof-specialty,Own-child,24
11661,United-States,Female,Black,Never-married,State-gov,Masters,Adm-clerical,Not-in-family,41
11676,Columbia,Female,White,Never-married,Private,10th,Machine-op-inspct,Not-in-family,25
11727,United-States,Male,Other,Never-married,Private,11th,Machine-op-inspct,Own-child,17
11902,United-States,Female,White,Divorced,Private,HS-grad,Other-service,Unmarried,34
11913,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,37
12008,United-States,Female,White,Never-married,?,Bachelors,?,Not-in-family,26
1204,United-States,Male,Black,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,33
12068,United-States,Female,White,Never-married,?,Some-college,?,Own-child,18
12148,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Wife,33
12150,United-States,Female,White,Never-married,Private,Some-college,Other-service,Own-child,23
12225,United-States,Female,Black,Divorced,Private,Assoc-acdm,Adm-clerical,Not-in-family,57
12261,Germany,Male,White,Married-civ-spouse,Private,Bachelors,Craft-repair,Husband,45
12562,United-States,Male,White,Separated,Private,HS-grad,Craft-repair,Not-in-family,53
13075,United-States,Female,White,Never-married,Private,HS-grad,Other-service,Own-child,20
1313,United-States,Female,White,Divorced,Private,HS-grad,Adm-clerical,Unmarried,51
13326,United-States,Female,White,Married-civ-spouse,Private,Some-college,Adm-clerical,Wife,51
13369,United-States,Male,White,Never-married,Private,HS-grad,Machine-op-inspct,Not-in-family,20
13456,Guatemala,Male,White,Never-married,Private,7th-8th,Handlers-cleaners,Unmarried,26
13506,United-States,Male,White,Divorced,Private,Bachelors,Sales,Not-in-family,30
13511,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Assoc-voc,Farming-fishing,Husband,28
1369,United-States,Male,White,Never-married,Private,10th,Handlers-cleaners,Own-child,20
13725,United-States,Female,White,Never-married,Private,HS-grad,Sales,Not-in-family,20
13991,United-States,Male,White,Never-married,Private,Prof-school,Prof-specialty,Not-in-family,33
13997,United-States,Male,White,Divorced,Private,Masters,Exec-managerial,Not-in-family,48
14083,United-States,Female,White,Never-married,Private,Bachelors,Adm-clerical,Not-in-family,54
14118,United-States,Male,Asian-Pac-Islander,Married-civ-spouse,?,Some-college,?,Husband,57
14210,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Tech-support,Husband,54
14270,United-States,Male,White,Never-married,Private,Some-college,Other-service,Not-in-family,20
14425,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,21
