record_id,education,marital-status,native-country,occupation,relationship,workclass,age,capital-gain,capital-loss,hours-per-week,race,sex
10039,Some-college,Never-married,United-States,Adm-clerical,Own-child,Private,22,0,0,40,White,Male
10057,Some-college,Married-civ-spouse,United-States,Farming-fishing,Husband,Self-emp-not-inc,42,0,0,60,White,Male
10186,Bachelors,Never-married,United-States,Exec-managerial,Not-in-family,Private,56,14084,0,45,White,Male
10498,HS-grad,Married-civ-spouse,United-States,Sales,Husband,Self-emp-not-inc,74,0,2149,20,White,Male
10539,Some-college,Never-married,United-States,?,Not-in-family,?,22,0,0,25,Black,Female
10566,Some-college,Married-civ-spouse,United-States,Exec-managerial,Other-relative,Private,38,0,0,50,White,Male
10689,9th,Married-civ-spouse,United-States,Handlers-cleaners,Husband,Private,25,0,0,40,White,Male
11166,Bachelors,Widowed,United-States,Prof-specialty,Not-in-family,Private,37,0,0,50,White,Female
11223,Some-college,Married-civ-spouse,United-States,Transport-moving,Husband,Private,50,0,0,50,White,Male
11301,HS-grad,Married-civ-spouse,United-States,Craft-repair,Husband,Private,36,7688,0,50,White,Male
11322,Some-college,Widowed,United-States,Prof-specialty,Not-in-family,State-gov,58,0,0,20,White,Female
11503,HS-grad,Married-civ-spouse,United-States,Farming-fishing,Husband,Private,29,0,0,97,White,Male
11728,HS-grad,Divorced,United-States,Adm-clerical,Unmarried,Private,30,0,0,40,White,Female
11764,Masters,Married-civ-spouse,Japan,Exec-managerial,Husband,Private,46,0,0,50,Asian-Pac-Islander,Male
11800,HS-grad,Married-civ-spouse,United-States,Exec-managerial,Husband,Self-emp-inc,34,0,0,40,White,Male
11850,Bachelors,Married-civ-spouse,United-States,Prof-specialty,Husband,State-gov,42,0,0,40,White,Male
12081,HS-grad,Married-civ-spouse,United-States,Sales,Husband,Private,35,0,0,50,White,Male
12228,Some-college,Divorced,United-States,Sales,Not-in-family,Private,40,0,0,40,White,Male
12297,HS-grad,Divorced,United-States,Other-service,Unmarried,Private,28,0,0,35,White,Female
12464,HS-grad,Never-married,United-States,Sales,Own-child,Private,27,0,0,40,Asian-Pac-Islander,Male
12598,Some-college,Never-married,United-States,Sales,Not-in-family,Self-emp-not-inc,33,0,0,65,White,Male
12658,Some-college,Separated,United-States,Adm-clerical,Unmarried,Private,44,0,0,38,White,Female
12888,Assoc-voc,Married-civ-spouse,United-States,Farming-fishing,Husband,Self-emp-not-inc,33,0,0,62,White,Male
12892,Assoc-acdm,Never-married,United-States,Sales,Not-in-family,Private,27,0,0,42,White,Male
1331,Some-college,Never-married,United-States,Machine-op-inspct,Not-in-family,Private,20,0,0,40,White,Female
13329,Some-college,Married-civ-spouse,United-States,Sales,Husband,Private,41,0,0,35,White,Male
13633,HS-grad,Married-civ-spouse,United-States,Protective-serv,Husband,Private,68,0,0,24,White,Male
13675,Assoc-acdm,Married-civ-spouse,United-States,Exec-managerial,Husband,Self-emp-not-inc,55,0,0,55,White,Male
13753,Some-college,Divorced,United-States,Adm-clerical,Unmarried,Federal-gov,24,0,0,25,Black,Female
13798,Some-college,Divorced,United-States,Machine-op-inspct,Not-in-family,Private,59,0,0,56,White,Male
14023,Bachelors,Never-married,United-States,Adm-clerical,Not-in-family,Private,23,0,0,40,White,Male
14063,Bachelors,Married-civ-spouse,United-States,Tech-support,Husband,Private,36,0,0,40,White,Male
14106,10th,Never-married,United-States,Sales,Own-child,Private,17,0,0,15,White,Male
14116,HS-grad,Never-married,United-States,Adm-clerical,Unmarried,Private,30,0,0,24,White,Female
14312,Some-college,Married-civ-spouse,United-States,Adm-clerical,Husband,Private,34,0,0,40,White,Male
14536,HS-grad,Married-civ-spouse,United-States,?,Husband,?,51,0,0,40,White,Male
1456,HS-grad,Divorced,United-States,Craft-repair,Not-in-family,Private,25,3325,0,45,White,Male
14594,HS-grad,Married-civ-spouse,United-States,Sales,Husband,Private,51,7688,0,40,White,Male
14619,HS-grad,Divorced,United-States,Adm-clerical,Not-in-family,Private,50,0,0,40,White,Female
14749,Bachelors,Never-married,United-States,Sales,Not-in-family,Private,23,0,0,40,White,Male
14864,Some-college,Married-civ-spouse,United-States,Sales,Husband,Self-emp-inc,37,0,1485,44,White,Male
14885,Bachelors,Married-civ-spouse,United-States,Protective-serv,Husband,Private,72,0,0,17,White,Male
15036,Some-college,Never-married,?,Adm-clerical,Not-in-family,Private,55,0,2339,45,Black,Female
15038,Some-college,Never-married,United-States,Adm-clerical,Own-child,Private,19,0,0,16,White,Female
15172,Bachelors,Married-civ-spouse,United-States,Prof-specialty,Wife,Private,28,0,1977,24,White,Female
15238,Bachelors,Married-civ-spouse,United-States,?,Husband,?,73,0,0,30,White,Male
15268,Some-college,Married-civ-spouse,United-States,Prof-specialty,Wife,State-gov,24,0,0,50,White,Female
15340,Bachelors,Never-married,United-States,Prof-specialty,Not-in-family,Private,23,0,0,38,White,Male
15395,HS-grad,Married-civ-spouse,Germany,Craft-repair,Husband,Private,34,0,0,30,White,Male
1549,10th,Never-married,United-States,Machine-op-inspct,Unmarried,Private,27,0,0,40,White,Female
15675,Some-college,Divorced,United-States,Adm-clerical,Own-child,Private,38,0,0,40,White,Female
15692,Bachelors,Married-civ-spouse,?,Sales,Husband,Self-emp-inc,39,7688,0,40,Asian-Pac-Islander,Male
15698,Masters,Married-civ-spouse,India,Prof-specialty,Husband,Private,32,0,0,40,Asian-Pac-Islander,Male
15867,Bachelors,Married-civ-spouse,United-States,Prof-specialty,Other-relative,State-gov,40,0,0,40,White,Male
15877,Bachelors,Married-civ-spouse,Iran,Exec-managerial,Husband,Private,37,0,0,40,Asian-Pac-Islander,Male
15954,Prof-school,Married-civ-spouse,United-States,Prof-specialty,Husband,Private,41,0,0,45,White,Male
16053,Masters,Married-civ-spouse,United-States,Sales,Husband,Private,59,7298,0,55,White,Male
