record_id,education,marital-status,occupation,race,relationship,sex,capital-gain,capital-loss,hours-per-week,native-country
10128,11th,Never-married,Handlers-cleaners,White,Own-child,Male,0,0,12,United-States
10260,HS-grad,Never-married,Farming-fishing,White,Own-child,Male,0,0,85,United-States
10563,Some-college,Never-married,Adm-clerical,White,Own-child,Male,0,0,25,United-States
10578,Some-college,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,0,40,United-States
10677,Bachelors,Never-married,Adm-clerical,White,Own-child,Female,0,0,40,United-States
10775,HS-grad,Divorced,Adm-clerical,White,Not-in-family,Female,0,0,35,United-States
11014,Bachelors,Divorced,Prof-specialty,White,Not-in-family,Male,0,0,40,United-States
11284,Bachelors,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Husband,Male,0,1887,50,?
11490,Some-college,Never-married,Adm-clerical,Black,Not-in-family,Female,0,0,40,Jamaica
1174,HS-grad,Married-civ-spouse,Other-service,White,Husband,Male,0,0,40,United-States
1183,HS-grad,Married-civ-spouse,Adm-clerical,White,Husband,Male,0,0,40,United-States
11868,10th,Married-civ-spouse,Other-service,White,Husband,Male,0,0,40,United-States
12071,HS-grad,Married-civ-spouse,Handlers-cleaners,Asian-Pac-Islander,Husband,Male,0,0,40,United-States
12153,HS-grad,Married-civ-spouse,?,White,Husband,Male,0,0,30,Mexico
12168,Some-college,Divorced,Handlers-cleaners,Black,Unmarried,Female,0,0,40,United-States
12193,HS-grad,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,0,40,United-States
12324,HS-grad,Married-civ-spouse,Sales,White,Husband,Male,0,0,45,United-States
12629,Some-college,Never-married,Adm-clerical,White,Not-in-family,Male,0,0,30,United-States
12710,Assoc-voc,Never-married,Tech-support,White,Own-child,Female,0,0,30,United-States
12805,HS-grad,Married-civ-spouse,Prof-specialty,White,Husband,Male,0,0,35,United-States
12814,Bachelors,Married-civ-spouse,Tech-support,White,Husband,Male,0,0,40,United-States
12866,HS-grad,Married-civ-spouse,Other-service,White,Husband,Male,0,0,40,United-States
12888,Assoc-voc,Married-civ-spouse,Farming-fishing,White,Husband,Male,0,0,62,United-States
13011,Bachelors,Never-married,Tech-support,White,Own-child,Male,0,0,40,United-States
13026,Assoc-acdm,Married-civ-spouse,?,White,Wife,Female,0,0,2,United-States
13084,1st-4th,Never-married,Priv-house-serv,White,Not-in-family,Female,0,0,40,Guatemala
13090,Assoc-voc,Divorced,Adm-clerical,White,Unmarried,Female,0,0,38,United-States
1337,HS-grad,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,0,40,United-States
13420,HS-grad,Widowed,Sales,White,Not-in-family,Female,0,0,40,United-States
13438,Bachelors,Never-married,Sales,White,Own-child,Male,0,0,40,United-States
13458,7th-8th,Married-civ-spouse,Craft-repair,White,Husband,Male,0,0,32,Dominican-Republic
13531,HS-grad,Married-civ-spouse,Craft-repair,White,Husband,Male,0,0,40,United-States
13550,HS-grad,Widowed,Craft-repair,Asian-Pac-Islander,Unmarried,Female,0,0,40,South
13720,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Husband,Male,0,0,40,United-States
13760,12th,Never-married,Sales,White,Own-child,Female,0,0,25,United-States
13866,HS-grad,Married-civ-spouse,Other-service,White,Husband,Male,0,0,12,United-States
1392,HS-grad,Divorced,Sales,White,Unmarried,Female,0,1762,30,United-States
13936,7th-8th,Never-married,Handlers-cleaners,White,Other-relative,Male,0,0,25,United-States
14011,Some-college,Never-married,Sales,Black,Unmarried,Female,0,0,40,United-States
14018,12th,Never-married,Adm-clerical,White,Own-child,Female,0,0,30,United-States
14034,HS-grad,Married-civ-spouse,Sales,White,Husband,Male,0,0,50,United-States
14081,HS-grad,Divorced,Exec-managerial,White,Unmarried,Female,0,0,40,United-States
14367,Bachelors,Married-civ-spouse,Exec-managerial,White,Husband,Male,15024,0,45,United-States
14457,Some-college,Never-married,Sales,White,Own-child,Male,0,0,10,United-States
14538,HS-grad,Married-civ-spouse,Farming-fishing,White,Husband,Male,0,0,70,United-States
14713,Masters,Divorced,Adm-clerical,White,Not-in-family,Female,2009,0,40,United-States
15276,HS-grad,Never-married,Craft-repair,Amer-Indian-Eskimo,Not-in-family,Male,0,0,45,United-States
15326,Masters,Married-civ-spouse,Prof-specialty,White,Husband,Male,0,0,48,United-States
15374,Some-college,Never-married,Craft-repair,White,Own-child,Male,0,0,80,United-States
15452,HS-grad,Divorced,Other-service,White,Not-in-family,Female,0,0,15,United-States
15478,Bachelors,Married-civ-spouse,Exec-managerial,White,Wife,Female,0,0,40,United-States
15573,7th-8th,Married-civ-spouse,Transport-moving,White,Husband,Male,0,0,40,United-States
15588,HS-grad,Divorced,Craft-repair,White,Not-in-family,Male,0,0,40,United-States
15679,Masters,Married-civ-spouse,Prof-specialty,White,Husband,Male,0,0,50,United-States
15772,7th-8th,Never-married,Craft-repair,White,Own-child,Male,0,0,40,United-States
1580,HS-grad,Married-civ-spouse,Sales,White,Husband,Male,0,0,50,United-States
15959,HS-grad,Divorced,Prof-specialty,White,Not-in-family,Female,0,0,20,United-States
15985,HS-grad,Married-civ-spouse,Handlers-cleaners,White,Husband,Male,0,0,48,United-States
16052,HS-grad,Married-civ-spouse,Transport-moving,White,Husband,Male,0,0,50,United-States
16108,9th,Widowed,Craft-repair,White,Not-in-family,Male,0,0,10,?
16363,Bachelors,Married-civ-spouse,Adm-clerical,White,Husband,Male,0,0,15,United-States
16375,HS-grad,Married-civ-spouse,Transport-moving,White,Husband,Male,0,0,40,United-States
16530,7th-8th,Married-civ-spouse,Handlers-cleaners,White,Husband,Male,0,0,40,Mexico
16549,HS-grad,Widowed,Other-service,White,Own-child,Female,0,0,40,United-States
16665,Some-college,Married-civ-spouse,Protective-serv,White,Husband,Male,0,0,40,United-States
16704,Assoc-voc,Never-married,Prof-specialty,White,Own-child,Female,0,0,40,United-States
16752,Masters,Married-civ-spouse,Prof-specialty,White,Husband,Male,7688,0,40,United-States
16915,Bachelors,Married-civ-spouse,Prof-specialty,White,Husband,Male,0,0,80,United-States
1695,HS-grad,Married-civ-spouse,Machine-op-inspct,Black,Husband,Male,0,1902,40,United-States
17207,Some-college,Married-civ-spouse,Sales,Asian-Pac-Islander,Husband,Male,0,0,50,United-States
17252,Assoc-voc,Never-married,Other-service,White,Not-in-family,Female,0,0,55,United-States
17527,Bachelors,Never-married,Prof-specialty,White,Not-in-family,Female,0,0,40,United-States
17624,Bachelors,Never-married,Tech-support,White,Not-in-family,Male,0,0,40,United-States
17711,HS-grad,Never-married,Craft-repair,White,Not-in-family,Male,0,0,42,United-States
17753,1st-4th,Never-married,Machine-op-inspct,White,Not-in-family,Male,0,0,24,Mexico
17839,HS-grad,Never-married,Other-service,Black,Own-child,Male,0,0,40,United-States
17913,Bachelors,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,0,20,United-States
17939,Some-college,Never-married,Other-service,White,Not-in-family,Male,0,0,35,United-States
17955,Bachelors,Married-civ-spouse,Exec-managerial,White,Husband,Male,0,0,50,United-States
17994,HS-grad,Married-civ-spouse,Other-service,Amer-Indian-Eskimo,Husband,Male,0,0,40,United-States
18012,Doctorate,Married-civ-spouse,Prof-specialty,White,Husband,Male,0,0,50,United-States
1822,Some-college,Never-married,Sales,White,Own-child,Male,0,0,36,United-States
18255,Bachelors,Married-civ-spouse,Prof-specialty,White,Wife,Female,0,0,40,United-States
18284,Some-college,Married-civ-spouse,Exec-managerial,White,Husband,Male,15024,0,50,United-States
18351,Some-college,Never-married,Adm-clerical,White,Not-in-family,Male,0,0,40,United-States
18401,Masters,Married-civ-spouse,Prof-specialty,White,Wife,Female,0,0,38,United-States
18499,Some-college,Married-civ-spouse,Other-service,White,Husband,Male,0,0,40,United-States
1860,HS-grad,Divorced,Sales,White,Not-in-family,Male,0,0,40,United-States
18600,HS-grad,Never-married,?,White,Not-in-family,Male,0,0,40,United-States
18871,Assoc-voc,Married-civ-spouse,Craft-repair,White,Husband,Male,0,1902,40,United-States
19019,HS-grad,Never-married,Exec-managerial,White,Own-child,Female,0,0,40,United-States
19106,Some-college,Never-married,Other-service,White,Own-child,Female,0,0,15,United-States
19138,HS-grad,Married-civ-spouse,Craft-repair,White,Husband,Male,0,0,50,United-States
19231,HS-grad,Divorced,Other-service,Black,Not-in-family,Female,0,0,48,United-States
19615,Some-college,Married-civ-spouse,Sales,White,Husband,Male,7298,0,48,United-States
19724,Masters,Never-married,Adm-clerical,White,Unmarried,Female,0,0,40,United-States
19801,Some-college,Divorced,Other-service,White,Unmarried,Female,0,0,30,United-States
