record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10145,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,28
10338,United-States,Female,Black,Never-married,Private,HS-grad,Other-service,Other-relative,62
10387,United-States,Male,White,Married-civ-spouse,Private,Some-college,Handlers-cleaners,Husband,42
10394,United-States,Male,White,Never-married,Private,Masters,Prof-specialty,Not-in-family,56
10476,United-States,Male,White,Married-civ-spouse,Private,Some-college,Farming-fishing,Husband,56
10491,United-States,Male,White,Never-married,Private,Some-college,Other-service,Not-in-family,30
10505,United-States,Female,White,Never-married,Private,HS-grad,Exec-managerial,Not-in-family,26
10526,United-States,Female,White,Never-married,State-gov,Bachelors,Prof-specialty,Not-in-family,23
10567,United-States,Male,Black,Never-married,Federal-gov,Bachelors,Adm-clerical,Unmarried,47
10671,United-States,Male,White,Never-married,Private,12th,Sales,Own-child,17
10679,United-States,Female,Black,Never-married,?,11th,?,Unmarried,18
11012,United-States,Male,White,Divorced,Private,Assoc-acdm,Exec-managerial,Unmarried,45
1106,United-States,Male,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,31
11160,Puerto-Rico,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,26
11298,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Not-in-family,43
11352,Cuba,Male,White,Divorced,Self-emp-inc,Some-college,Sales,Not-in-family,53
11493,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,37
11636,United-States,Female,White,Divorced,Private,Bachelors,Prof-specialty,Not-in-family,37
11651,United-States,Female,White,Never-married,Private,Bachelors,Exec-managerial,Not-in-family,34
1174,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Other-service,Husband,47
1188,United-States,Female,White,Never-married,State-gov,Bachelors,Adm-clerical,Not-in-family,24
11920,United-States,Male,White,Married-civ-spouse,State-gov,Doctorate,Prof-specialty,Husband,44
12028,United-States,Female,White,Separated,Private,Some-college,Exec-managerial,Unmarried,33
12068,United-States,Female,White,Never-married,?,Some-college,?,Own-child,18
12102,United-States,Female,White,Separated,Private,HS-grad,Adm-clerical,Unmarried,34
12157,United-States,Female,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Wife,33
12218,United-States,Female,White,Never-married,?,Some-college,?,Own-child,21
12486,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,59
12519,United-States,Male,Black,Never-married,Private,Some-college,Craft-repair,Not-in-family,33
1255,United-States,Male,Asian-Pac-Islander,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,29
12580,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Adm-clerical,Husband,65
12586,United-States,Female,White,Divorced,Local-gov,Some-college,Adm-clerical,Not-in-family,30
12686,United-States,Male,White,Married-civ-spouse,Private,11th,Other-service,Husband,63
12804,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Tech-support,Husband,51
12876,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Some-college,Exec-managerial,Husband,38
13036,United-States,Male,White,Divorced,Private,Some-college,Other-service,Not-in-family,40
13203,United-States,Male,White,Married-civ-spouse,?,HS-grad,?,Husband,63
13265,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,43
13359,United-States,Male,White,Married-civ-spouse,Private,10th,Machine-op-inspct,Husband,38
1348,?,Male,Asian-Pac-Islander,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,36
13553,United-States,Male,White,Never-married,Private,HS-grad,Adm-clerical,Not-in-family,38
13585,United-States,Female,White,Divorced,Private,HS-grad,Prof-specialty,Not-in-family,39
13740,United-States,Male,White,Never-married,Private,11th,Other-service,Own-child,18
13783,United-States,Female,White,Divorced,Private,Some-college,Adm-clerical,Other-relative,47
1389,United-States,Male,White,Never-married,Private,11th,Other-service,Own-child,17
13890,Philippines,Male,Asian-Pac-Islander,Married-civ-spouse,Private,HS-grad,Other-service,Husband,47
13929,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Exec-managerial,Husband,32
1403,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,31
14104,United-States,Male,White,Married-civ-spouse,Private,Prof-school,Prof-specialty,Husband,80
14181,United-States,Female,White,Never-married,Private,Masters,Adm-clerical,Not-in-family,27
14248,United-States,Female,White,Married-civ-spouse,Self-emp-inc,Bachelors,Prof-specialty,Wife,39
14367,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,46
14381,United-States,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Adm-clerical,Husband,75
14427,United-States,Male,White,Divorced,State-gov,HS-grad,Protective-serv,Not-in-family,41
14558,United-States,Female,White,Never-married,Self-emp-not-inc,Doctorate,Prof-specialty,Unmarried,48
14585,United-States,Male,White,Never-married,Private,Some-college,Other-service,Own-child,22
14651,United-States,Female,Black,Divorced,Local-gov,HS-grad,Tech-support,Not-in-family,43
14843,United-States,Female,White,Never-married,Private,Some-college,Other-service,Own-child,19
14902,United-States,Female,White,Divorced,Private,Assoc-acdm,Prof-specialty,Unmarried,33
1504,United-States,Male,White,Married-civ-spouse,?,Masters,?,Husband,60
15078,United-States,Male,White,Never-married,Private,Bachelors,Tech-support,Not-in-family,31
15105,United-States,Male,White,Divorced,Self-emp-inc,Some-college,Sales,Own-child,44
15152,?,Male,Black,Married-civ-spouse,Self-emp-not-inc,Bachelors,Exec-managerial,Husband,32
15165,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Transport-moving,Husband,57
15169,United-States,Male,White,Divorced,Self-emp-not-inc,10th,Craft-repair,Not-in-family,32
15335,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,52
15393,United-States,Male,White,Never-married,Private,HS-grad,Farming-fishing,Own-child,23
15519,United-States,Male,White,Never-married,Private,Some-college,Sales,Not-in-family,24
15574,United-States,Male,Black,Married-civ-spouse,Private,1st-4th,Transport-moving,Husband,74
15638,United-States,Male,White,Divorced,Private,Prof-school,Exec-managerial,Not-in-family,39
1566,United-States,Male,White,Married-civ-spouse,Private,Some-college,Farming-fishing,Husband,29
15660,United-States,Male,White,Divorced,Self-emp-inc,Some-college,Exec-managerial,Not-in-family,52
15745,United-States,Male,White,Divorced,Self-emp-inc,Doctorate,Exec-managerial,Not-in-family,53
15865,United-States,Female,White,Never-married,Private,Some-college,Adm-clerical,Own-child,25
16013,United-States,Female,Black,Widowed,Private,Some-college,Adm-clerical,Unmarried,41
16070,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Not-in-family,29
16084,United-States,Male,White,Never-married,Private,Some-college,Other-service,Own-child,18
16254,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,46
16400,United-States,Male,Black,Married-spouse-absent,Federal-gov,Some-college,Adm-clerical,Not-in-family,41
16501,United-States,Female,Black,Never-married,Federal-gov,HS-grad,Adm-clerical,Unmarried,40
16502,United-States,Male,White,Married-civ-spouse,Private,Doctorate,Prof-specialty,Husband,34
16600,United-States,Male,White,Never-married,Private,Some-college,Adm-clerical,Not-in-family,22
16642,United-States,Male,White,Widowed,?,HS-grad,?,Own-child,18
16716,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Masters,Prof-specialty,Husband,55
16909,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Masters,Exec-managerial,Husband,37
16947,United-States,Male,White,Married-civ-spouse,Private,Some-college,Transport-moving,Husband,34
16958,United-States,Male,White,Divorced,Private,Some-college,Craft-repair,Not-in-family,42
17133,United-States,Female,White,Never-married,Private,HS-grad,Other-service,Own-child,31
17170,Canada,Male,White,Never-married,Private,Bachelors,Exec-managerial,Not-in-family,40
17181,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,52
1721,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Protective-serv,Husband,51
17254,United-States,Female,White,Divorced,Federal-gov,Doctorate,Exec-managerial,Not-in-family,63
17635,United-States,Female,White,Widowed,?,Some-college,?,Not-in-family,41
18258,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,45
18375,United-States,Female,White,Never-married,Private,Some-college,Other-service,Own-child,21
18733,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Craft-repair,Husband,45
1883,United-States,Male,Black,Never-married,Federal-gov,Bachelors,Exec-managerial,Not-in-family,27
18842,United-States,Male,White,Never-married,Self-emp-not-inc,7th-8th,Craft-repair,Own-child,34
18848,United-States,Male,White,Married-civ-spouse,Local-gov,Some-college,Exec-managerial,Husband,35
18856,United-States,Male,White,Divorced,Private,11th,Transport-moving,Not-in-family,37
19294,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,42
19453,United-States,Male,White,Married-civ-spouse,State-gov,Some-college,Exec-managerial,Husband,26
19478,United-States,Male,White,Divorced,Private,Bachelors,Prof-specialty,Not-in-family,36
19580,United-States,Female,Amer-Indian-Eskimo,Never-married,Local-gov,HS-grad,Exec-managerial,Own-child,39
19703,United-States,Male,White,Never-married,Private,11th,Other-service,Own-child,18
19731,United-States,Female,White,Never-married,Federal-gov,Doctorate,Prof-specialty,Not-in-family,34
19875,United-States,Male,White,Divorced,Private,HS-grad,Sales,Not-in-family,32
19895,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Masters,Exec-managerial,Husband,53
20192,United-States,Male,White,Married-civ-spouse,Private,Some-college,Machine-op-inspct,Husband,39
20265,United-States,Female,White,Never-married,Private,10th,Machine-op-inspct,Not-in-family,28
20356,United-States,Male,White,Never-married,Private,HS-grad,Machine-op-inspct,Not-in-family,63
20480,?,Male,White,Married-civ-spouse,?,7th-8th,?,Husband,55
20538,United-States,Female,White,Married-civ-spouse,Local-gov,HS-grad,Adm-clerical,Other-relative,44
20569,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,26
20982,United-States,Female,White,Divorced,Local-gov,Assoc-acdm,Other-service,Not-in-family,52
21046,United-States,Female,White,Never-married,Private,Masters,Sales,Own-child,27
21212,United-States,Female,White,Never-married,Private,Bachelors,Adm-clerical,Own-child,22
21382,?,Female,White,Separated,Local-gov,Masters,Prof-specialty,Not-in-family,62
21387,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Sales,Husband,66
21450,United-States,Male,Black,Never-married,Private,Bachelors,Adm-clerical,Own-child,23
21662,United-States,Female,White,Never-married,Private,Some-college,Other-service,Not-in-family,21
21756,United-States,Male,White,Married-civ-spouse,Private,11th,Machine-op-inspct,Husband,25
21760,United-States,Male,White,Divorced,Private,10th,Sales,Not-in-family,41
21765,United-States,Male,White,Never-married,Private,Some-college,Craft-repair,Own-child,22
21821,United-States,Male,Black,Married-civ-spouse,Private,Some-college,Handlers-cleaners,Husband,37
21908,United-States,Male,White,Married-civ-spouse,Private,Some-college,Exec-managerial,Husband,36
220,United-States,Male,White,Married-civ-spouse,Private,Some-college,Handlers-cleaners,Husband,31
22023,United-States,Female,White,Divorced,Private,Some-college,Exec-managerial,Not-in-family,32
22074,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Own-child,27
22256,United-States,Female,White,Never-married,Private,Some-college,Prof-specialty,Not-in-family,21
22280,United-States,Male,White,Married-civ-spouse,State-gov,Doctorate,Prof-specialty,Husband,59
22391,Portugal,Male,White,Married-civ-spouse,Private,7th-8th,Farming-fishing,Husband,38
2246,United-States,Male,White,Divorced,Self-emp-not-inc,Masters,Sales,Not-in-family,58
22573,United-States,Male,White,Married-civ-spouse,Federal-gov,Assoc-voc,Adm-clerical,Husband,46
22852,United-States,Male,White,Never-married,Private,Some-college,Tech-support,Own-child,19
23151,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Transport-moving,Husband,40
23255,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Doctorate,Prof-specialty,Husband,41
23280,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Exec-managerial,Husband,49
23359,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,24
23401,Mexico,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Not-in-family,26
23456,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Not-in-family,24
23655,United-States,Female,White,Divorced,Local-gov,Bachelors,Prof-specialty,Other-relative,27
23722,Italy,Male,White,Married-civ-spouse,Private,5th-6th,Machine-op-inspct,Husband,58
23728,United-States,Male,White,Separated,Private,Assoc-acdm,Exec-managerial,Not-in-family,44
24074,United-States,Male,White,Divorced,Local-gov,Bachelors,Transport-moving,Not-in-family,42
24108,United-States,Male,White,Divorced,Private,Bachelors,Exec-managerial,Not-in-family,41
24180,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Masters,Sales,Husband,50
24239,United-States,Male,White,Married-civ-spouse,Private,11th,Farming-fishing,Husband,35
24280,United-States,Male,White,Married-civ-spouse,Self-emp-inc,7th-8th,Farming-fishing,Husband,82
24434,United-States,Male,White,Never-married,Private,Doctorate,Prof-specialty,Not-in-family,42
24471,United-States,Male,White,Married-civ-spouse,Federal-gov,HS-grad,Adm-clerical,Husband,51
24565,United-States,Male,White,Married-civ-spouse,State-gov,Masters,Prof-specialty,Husband,49
24676,United-States,Female,White,Married-civ-spouse,State-gov,Masters,Prof-specialty,Wife,29
24769,United-States,Female,White,Never-married,Private,HS-grad,Other-service,Not-in-family,19
24916,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Exec-managerial,Husband,44
24932,United-States,Female,White,Never-married,Private,HS-grad,Machine-op-inspct,Not-in-family,29
25047,United-States,Female,Amer-Indian-Eskimo,Divorced,Private,HS-grad,Prof-specialty,Unmarried,47
25107,United-States,Male,White,Married-civ-spouse,State-gov,HS-grad,Prof-specialty,Husband,43
25202,United-States,Male,White,Never-married,Private,Assoc-voc,Farming-fishing,Not-in-family,52
2521,United-States,Female,White,Never-married,?,Masters,?,Not-in-family,54
25265,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Own-child,24
25346,United-States,Male,White,Never-married,Private,10th,Handlers-cleaners,Not-in-family,37
25480,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,26
25576,United-States,Male,White,Never-married,Private,Bachelors,Sales,Not-in-family,30
25991,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Tech-support,Husband,44
25998,United-States,Male,Black,Separated,Local-gov,Some-college,Craft-repair,Not-in-family,43
26097,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Not-in-family,30
26166,United-States,Male,Amer-Indian-Eskimo,Married-civ-spouse,Federal-gov,Some-college,Prof-specialty,Husband,57
2617,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Not-in-family,23
26331,United-States,Female,White,Never-married,?,Some-college,?,Unmarried,27
26377,?,Female,White,Never-married,Local-gov,Assoc-acdm,Adm-clerical,Own-child,24
26459,United-States,Male,White,Married-civ-spouse,State-gov,Masters,Exec-managerial,Husband,34
26680,United-States,Female,White,Divorced,Private,Some-college,Sales,Unmarried,32
26787,United-States,Male,White,Married-civ-spouse,Federal-gov,HS-grad,Craft-repair,Husband,33
26788,United-States,Female,White,Divorced,Private,HS-grad,Tech-support,Not-in-family,33
26885,United-States,Male,White,Divorced,Private,HS-grad,Craft-repair,Unmarried,34
26894,United-States,Female,White,Divorced,Private,Some-college,Other-service,Not-in-family,61
27020,Nicaragua,Female,White,Widowed,Private,Some-college,Sales,Not-in-family,67
27053,United-States,Male,White,Never-married,Private,7th-8th,Other-service,Own-child,46
2709,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Own-child,23
27137,United-States,Male,White,Divorced,State-gov,HS-grad,Prof-specialty,Not-in-family,39
27317,United-States,Male,White,Married-civ-spouse,?,Doctorate,?,Husband,70
27351,United-States,Female,Black,Divorced,Private,Assoc-voc,Tech-support,Unmarried,46
27362,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,35
27480,Cambodia,Male,Asian-Pac-Islander,Married-civ-spouse,Private,12th,Sales,Husband,50
27481,Columbia,Female,White,Separated,Private,9th,Machine-op-inspct,Unmarried,32
27513,United-States,Female,Black,Widowed,?,11th,?,Unmarried,46
27635,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Exec-managerial,Husband,44
27720,United-States,Female,Black,Never-married,Private,Assoc-acdm,Prof-specialty,Not-in-family,30
27733,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Not-in-family,30
27852,United-States,Male,White,Never-married,Private,11th,Craft-repair,Unmarried,24
27865,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Exec-managerial,Husband,38
279,United-States,Female,White,Married-civ-spouse,Private,Some-college,Machine-op-inspct,Wife,24
28072,United-States,Male,White,Married-civ-spouse,Local-gov,Masters,Prof-specialty,Husband,46
28151,United-States,Male,Amer-Indian-Eskimo,Married-civ-spouse,Self-emp-not-inc,Some-college,Exec-managerial,Husband,51
28265,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Other-relative,19
28275,United-States,Female,Black,Never-married,Federal-gov,Some-college,Adm-clerical,Own-child,20
28573,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Craft-repair,Husband,26
28632,United-States,Male,White,Never-married,Private,11th,Other-service,Own-child,18
28673,United-States,Female,White,Divorced,Private,Assoc-acdm,Other-service,Not-in-family,24
