record_id,education,marital-status,occupation,race,sex,workclass,capital-gain,capital-loss,native-country
10028,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,Private,0,0,United-States
10055,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,State-gov,0,0,United-States
10101,11th,Never-married,Other-service,White,Male,Private,0,0,United-States
10230,Some-college,Married-civ-spouse,Tech-support,White,Male,Private,0,0,United-States
10291,10th,Married-civ-spouse,Transport-moving,Black,Male,Private,0,0,United-States
10357,Some-college,Married-civ-spouse,Other-service,White,Female,Private,0,0,United-States
10465,11th,Married-civ-spouse,Protective-serv,White,Male,Private,4386,0,United-States
10482,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,Self-emp-inc,0,1977,United-States
1050,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,Private,0,0,United-States
10726,Bachelors,Married-civ-spouse,Craft-repair,White,Male,Self-emp-not-inc,0,0,United-States
10795,Some-college,Divorced,Adm-clerical,White,Female,Local-gov,0,0,United-States
10818,HS-grad,Married-civ-spouse,Adm-clerical,White,Male,Private,0,0,United-States
1097,HS-grad,Never-married,?,White,Female,?,0,0,United-States
10985,HS-grad,Never-married,Sales,Black,Male,Private,0,0,United-States
11018,Assoc-voc,Married-civ-spouse,Craft-repair,White,Male,Private,0,0,United-States
11219,Some-college,Married-civ-spouse,Sales,White,Male,Self-emp-inc,10566,0,United-States
11300,12th,Never-married,Handlers-cleaners,Black,Male,Private,0,0,?
11343,HS-grad,Divorced,Farming-fishing,White,Male,Self-emp-not-inc,27828,0,United-States
11366,HS-grad,Separated,Other-service,White,Female,State-gov,0,0,United-States
11512,HS-grad,Never-married,Other-service,White,Female,Private,0,0,United-States
11566,7th-8th,Married-civ-spouse,Other-service,White,Male,Self-emp-not-inc,0,0,United-States
11608,HS-grad,Divorced,Sales,White,Female,Private,0,0,United-States
1163,Assoc-acdm,Married-civ-spouse,Tech-support,White,Male,Private,0,0,United-States
1177,HS-grad,Married-civ-spouse,Prof-specialty,White,Male,State-gov,0,0,United-States
11812,Bachelors,Separated,Exec-managerial,Black,Female,Private,0,0,United-States
11958,HS-grad,Never-married,Adm-clerical,White,Female,Private,0,0,United-States
11994,HS-grad,Never-married,Other-service,Black,Female,Private,0,0,United-States
12085,12th,Never-married,Other-service,White,Female,Private,0,0,United-States
12163,Assoc-voc,Married-civ-spouse,Exec-managerial,White,Male,Local-gov,0,0,United-States
12173,HS-grad,Married-civ-spouse,Prof-specialty,White,Female,Local-gov,0,2246,United-States
12182,9th,Married-civ-spouse,Machine-op-inspct,White,Male,Private,0,0,Puerto-Rico
12217,HS-grad,Widowed,Adm-clerical,White,Female,Private,0,0,United-States
12447,HS-grad,Never-married,Adm-clerical,Black,Male,Private,0,2001,United-States
1246,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,Self-emp-inc,99999,0,United-States
12644,Bachelors,Divorced,Prof-specialty,White,Female,Federal-gov,5455,0,United-States
12749,HS-grad,Divorced,Transport-moving,White,Male,Local-gov,0,0,United-States
12790,Assoc-acdm,Married-civ-spouse,Adm-clerical,White,Male,Federal-gov,0,0,United-States
12814,Bachelors,Married-civ-spouse,Tech-support,White,Male,Private,0,0,United-States
12831,Masters,Never-married,Prof-specialty,White,Female,Private,0,0,United-States
