record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10020,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Not-in-family,21
10033,United-States,Male,Amer-Indian-Eskimo,Divorced,Private,HS-grad,Sales,Not-in-family,28
10152,United-States,Female,Amer-Indian-Eskimo,Divorced,Private,HS-grad,Sales,Not-in-family,29
10200,United-States,Male,White,Married-civ-spouse,Private,Some-college,Machine-op-inspct,Husband,34
10205,Ireland,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,29
10334,United-States,Male,White,Divorced,Self-emp-not-inc,HS-grad,Craft-repair,Not-in-family,35
10431,Italy,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Exec-managerial,Husband,50
10507,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,27
10779,United-States,Male,White,Never-married,Private,Some-college,Exec-managerial,Own-child,23
11002,United-States,Male,White,Never-married,Private,10th,Craft-repair,Own-child,25
11032,El-Salvador,Male,Other,Married-spouse-absent,Private,5th-6th,Transport-moving,Unmarried,33
11094,United-States,Male,White,Divorced,Private,Some-college,Exec-managerial,Not-in-family,47
11468,United-States,Male,White,Married-civ-spouse,Local-gov,Some-college,Craft-repair,Husband,56
11526,United-States,Female,White,Never-married,?,Some-college,?,Own-child,18
11800,United-States,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Exec-managerial,Husband,34
11814,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Farming-fishing,Husband,42
11868,United-States,Male,White,Married-civ-spouse,State-gov,10th,Other-service,Husband,49
12091,United-States,Female,White,Never-married,Private,Some-college,Other-service,Own-child,20
12311,United-States,Male,White,Married-civ-spouse,Private,Some-college,Exec-managerial,Husband,36
12359,United-States,Female,Black,Divorced,Federal-gov,Bachelors,Exec-managerial,Unmarried,39
12390,United-States,Male,White,Never-married,Private,Some-college,Handlers-cleaners,Not-in-family,34
12439,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Some-college,Exec-managerial,Husband,44
12454,United-States,Female,White,Divorced,Private,Masters,Prof-specialty,Not-in-family,42
12460,United-States,Male,White,Married-civ-spouse,Private,Some-college,Transport-moving,Husband,32
12526,United-States,Male,White,Married-civ-spouse,State-gov,Some-college,Exec-managerial,Husband,46
12686,United-States,Male,White,Married-civ-spouse,Private,11th,Other-service,Husband,63
12768,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,44
12909,United-States,Female,White,Widowed,Self-emp-not-inc,HS-grad,Adm-clerical,Unmarried,56
12950,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Own-child,26
13443,United-States,Male,White,Married-civ-spouse,Private,Prof-school,Sales,Husband,41
13543,United-States,Male,White,Married-civ-spouse,Private,Some-college,Protective-serv,Husband,54
13645,United-States,Female,White,Married-civ-spouse,Private,Some-college,Adm-clerical,Wife,40
13651,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,55
13811,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Exec-managerial,Husband,56
13901,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Masters,Exec-managerial,Husband,55
14115,United-States,Female,White,Married-civ-spouse,Private,Some-college,Sales,Wife,30
14125,United-States,Female,White,Divorced,Private,12th,Other-service,Not-in-family,30
14308,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Farming-fishing,Husband,45
14347,United-States,Female,White,Never-married,Local-gov,Bachelors,Prof-specialty,Not-in-family,41
14507,Vietnam,Male,Asian-Pac-Islander,Never-married,Private,Some-college,Adm-clerical,Not-in-family,23
14593,United-States,Female,White,Never-married,Private,Bachelors,Exec-managerial,Own-child,27
14770,United-States,Female,White,Divorced,Local-gov,Some-college,Adm-clerical,Not-in-family,53
14812,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,10th,Craft-repair,Husband,52
14987,United-States,Female,White,Never-married,Private,HS-grad,Machine-op-inspct,Not-in-family,51
15109,United-States,Male,White,Married-civ-spouse,Private,11th,Machine-op-inspct,Husband,53
15130,Cuba,Female,White,Married-civ-spouse,?,10th,?,Wife,47
15269,United-States,Female,White,Widowed,Private,HS-grad,Adm-clerical,Not-in-family,62
15337,United-States,Male,White,Never-married,Private,HS-grad,Other-service,Own-child,38
1552,United-States,Female,White,Divorced,Private,7th-8th,Machine-op-inspct,Not-in-family,56
15526,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,24
15534,United-States,Female,White,Divorced,Private,HS-grad,Other-service,Unmarried,29
15605,United-States,Male,White,Separated,Self-emp-not-inc,10th,Machine-op-inspct,Not-in-family,38
16070,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Not-in-family,29
16104,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Husband,23
16216,Mexico,Male,Other,Never-married,Private,HS-grad,Other-service,Other-relative,20
16245,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Sales,Husband,37
16269,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Prof-school,Prof-specialty,Husband,50
16286,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Machine-op-inspct,Husband,39
16550,United-States,Female,Black,Never-married,Private,Assoc-acdm,Other-service,Not-in-family,28
16599,United-States,Male,White,Never-married,Private,9th,Craft-repair,Unmarried,25
16749,United-States,Female,Black,Never-married,Private,HS-grad,Adm-clerical,Unmarried,25
16752,United-States,Male,White,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,42
16779,United-States,Female,White,Never-married,Local-gov,Bachelors,Prof-specialty,Own-child,23
16791,United-States,Male,White,Never-married,State-gov,HS-grad,Protective-serv,Not-in-family,26
1685,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Husband,37
16884,United-States,Female,Black,Never-married,Private,Bachelors,Tech-support,Not-in-family,23
16915,United-States,Male,White,Married-civ-spouse,Local-gov,Bachelors,Prof-specialty,Husband,30
16972,United-States,Female,White,Separated,State-gov,HS-grad,Adm-clerical,Unmarried,34
16987,United-States,Male,White,Divorced,Private,Bachelors,Sales,Not-in-family,40
17038,United-States,Female,White,Never-married,Private,Assoc-voc,Adm-clerical,Not-in-family,30
17063,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,49
17202,United-States,Female,White,Never-married,Private,Bachelors,Tech-support,Own-child,25
17353,United-States,Male,White,Married-civ-spouse,Private,Some-college,Handlers-cleaners,Husband,25
17967,United-States,Female,White,Divorced,Private,Some-college,Prof-specialty,Unmarried,50
17980,United-States,Female,White,Divorced,Private,Some-college,Machine-op-inspct,Own-child,36
18071,United-States,Male,White,Never-married,Private,9th,Other-service,Unmarried,17
18090,United-States,Male,White,Never-married,Private,HS-grad,Sales,Not-in-family,24
18094,United-States,Male,White,Never-married,?,Some-college,?,Own-child,20
1829,United-States,Female,White,Divorced,Private,HS-grad,Transport-moving,Unmarried,45
18385,United-States,Male,Asian-Pac-Islander,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,43
18669,United-States,Male,White,Married-civ-spouse,Local-gov,Some-college,Prof-specialty,Husband,45
18755,United-States,Male,White,Married-civ-spouse,Private,10th,Machine-op-inspct,Husband,54
18851,United-States,Male,White,Never-married,Private,HS-grad,Adm-clerical,Not-in-family,25
18864,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Handlers-cleaners,Husband,53
18947,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Craft-repair,Husband,50
18948,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Exec-managerial,Husband,50
19049,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Craft-repair,Husband,28
19093,United-States,Male,White,Never-married,Local-gov,Some-college,Prof-specialty,Other-relative,41
19313,United-States,Female,Black,Never-married,Local-gov,HS-grad,Other-service,Unmarried,35
19370,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,55
1958,United-States,Female,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,26
19638,United-States,Female,White,Never-married,Private,HS-grad,Exec-managerial,Unmarried,34
19977,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,49
2007,United-States,Male,White,Married-civ-spouse,Private,7th-8th,Craft-repair,Husband,24
20206,United-States,Male,Black,Divorced,Private,HS-grad,Sales,Unmarried,45
20272,United-States,Female,White,Widowed,Private,Some-college,Sales,Other-relative,65
20349,United-States,Male,White,Divorced,Local-gov,7th-8th,Handlers-cleaners,Not-in-family,44
20484,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Exec-managerial,Husband,58
20512,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,44
20532,United-States,Male,White,Married-civ-spouse,Private,11th,Protective-serv,Husband,41
20809,United-States,Male,White,Never-married,Private,Some-college,Handlers-cleaners,Own-child,20
