record_id,education,native-country,occupation,race,relationship,workclass,age
10046,Some-college,United-States,Protective-serv,White,Husband,Local-gov,50
10057,Some-college,United-States,Farming-fishing,White,Husband,Self-emp-not-inc,42
10163,HS-grad,United-States,Machine-op-inspct,White,Husband,Private,29
10198,HS-grad,United-States,Craft-repair,White,Husband,Private,43
10204,Assoc-voc,United-States,Prof-specialty,White,Not-in-family,Private,30
10373,Some-college,United-States,Sales,White,Not-in-family,Self-emp-not-inc,27
10495,9th,United-States,Craft-repair,White,Husband,Private,29
10732,HS-grad,United-States,Machine-op-inspct,White,Husband,Self-emp-not-inc,32
10752,Bachelors,United-States,Sales,White,Husband,Local-gov,45
10796,12th,United-States,Craft-repair,White,Unmarried,Private,29
11063,Some-college,United-States,Farming-fishing,White,Own-child,Private,21
11068,HS-grad,United-States,Prof-specialty,White,Other-relative,Private,28
11111,Bachelors,United-States,Exec-managerial,White,Husband,Private,28
11141,HS-grad,United-States,Craft-repair,Black,Unmarried,Private,45
11184,Bachelors,United-States,Prof-specialty,White,Wife,State-gov,41
11458,Bachelors,United-States,Prof-specialty,White,Not-in-family,Private,31
11541,Bachelors,United-States,Prof-specialty,White,Husband,Local-gov,63
11602,11th,United-States,Machine-op-inspct,Black,Not-in-family,Private,36
11757,10th,United-States,Other-service,Black,Not-in-family,State-gov,61
11790,HS-grad,United-States,Sales,White,Husband,Self-emp-not-inc,53
11918,HS-grad,United-States,Craft-repair,White,Husband,Private,27
11941,HS-grad,United-States,Exec-managerial,White,Husband,Self-emp-inc,58
12422,11th,United-States,Adm-clerical,White,Own-child,Private,17
12510,Bachelors,United-States,Exec-managerial,White,Not-in-family,Private,39
12669,Masters,United-States,Exec-managerial,White,Not-in-family,Private,36
12892,Assoc-acdm,United-States,Sales,White,Not-in-family,Private,27
13179,Some-college,United-States,Exec-managerial,White,Not-in-family,Private,45
13633,HS-grad,United-States,Protective-serv,White,Husband,Private,68
14050,Bachelors,United-States,Sales,White,Not-in-family,Private,25
14149,HS-grad,United-States,Craft-repair,White,Husband,Private,37
14179,Bachelors,United-States,Prof-specialty,White,Unmarried,Local-gov,37
14191,11th,United-States,Machine-op-inspct,Black,Husband,Private,50
14207,Bachelors,United-States,Tech-support,White,Husband,Private,58
14289,10th,United-States,Craft-repair,White,Unmarried,Federal-gov,65
14345,Some-college,United-States,Prof-specialty,White,Husband,Private,46
14445,Bachelors,England,Tech-support,White,Husband,Private,34
14508,HS-grad,United-States,Machine-op-inspct,White,Husband,Self-emp-not-inc,29
14525,HS-grad,United-States,Other-service,White,Own-child,Local-gov,32
14638,Assoc-acdm,United-States,Sales,White,Husband,Private,41
14690,HS-grad,United-States,Adm-clerical,White,Not-in-family,Private,19
14763,HS-grad,United-States,Protective-serv,White,Husband,Local-gov,49
15057,HS-grad,United-States,Other-service,White,Not-in-family,Private,23
15071,HS-grad,United-States,Exec-managerial,White,Not-in-family,Private,39
1534,Some-college,United-States,Other-service,White,Not-in-family,Private,50
15502,Some-college,United-States,Adm-clerical,White,Own-child,State-gov,20
15558,Bachelors,United-States,Prof-specialty,White,Husband,Private,40
15598,HS-grad,United-States,?,White,Husband,?,63
15620,Some-college,United-States,Other-service,White,Husband,Private,43
15771,9th,United-States,Other-service,White,Own-child,Private,27
15774,Some-college,United-States,Adm-clerical,White,Husband,Private,39
15826,Some-college,United-States,Other-service,White,Unmarried,Private,64
15848,11th,United-States,Other-service,White,Unmarried,Local-gov,36
15955,HS-grad,United-States,Transport-moving,White,Husband,Private,51
15996,HS-grad,United-States,Farming-fishing,White,Husband,Self-emp-not-inc,58
16053,Masters,United-States,Sales,White,Husband,Private,59
16069,HS-grad,Mexico,Exec-managerial,White,Husband,Private,44
16104,HS-grad,United-States,Exec-managerial,White,Husband,Private,23
16115,Some-college,United-States,Farming-fishing,White,Husband,Private,28
16153,Bachelors,United-States,Sales,White,Not-in-family,Private,39
16154,HS-grad,United-States,Handlers-cleaners,White,Not-in-family,Private,45
16192,Bachelors,Philippines,Prof-specialty,Asian-Pac-Islander,Not-in-family,Private,26
16281,Assoc-voc,United-States,Exec-managerial,White,Husband,Private,55
16404,Doctorate,United-States,?,White,Not-in-family,?,51
16426,11th,United-States,Transport-moving,White,Husband,Private,56
16543,Prof-school,United-States,Prof-specialty,White,Husband,Self-emp-not-inc,62
16568,HS-grad,United-States,Craft-repair,White,Not-in-family,Private,25
16590,Assoc-acdm,United-States,Adm-clerical,Black,Not-in-family,Private,34
1670,Assoc-acdm,United-States,Sales,White,Husband,Private,44
16742,Bachelors,United-States,Adm-clerical,White,Not-in-family,Private,33
16785,Assoc-acdm,United-States,Prof-specialty,White,Husband,Private,44
16834,Bachelors,United-States,Prof-specialty,White,Not-in-family,Private,26
16874,Some-college,United-States,Other-service,White,Husband,Private,48
17022,Prof-school,United-States,Exec-managerial,White,Husband,Private,42
17219,HS-grad,United-States,Craft-repair,White,Own-child,Private,21
17558,Some-college,United-States,Adm-clerical,White,Husband,Private,32
17614,HS-grad,United-States,Craft-repair,White,Husband,Private,34
17768,Bachelors,United-States,Prof-specialty,White,Not-in-family,Private,37
17850,Assoc-acdm,United-States,Other-service,Black,Unmarried,Private,39
18081,Some-college,United-States,Other-service,White,Not-in-family,Private,31
1811,Assoc-voc,United-States,Exec-managerial,White,Husband,Private,35
18527,Some-college,United-States,Protective-serv,White,Husband,State-gov,48
18561,Some-college,United-States,Machine-op-inspct,Black,Husband,Private,26
18865,Some-college,United-States,Other-service,White,Own-child,Private,23
19052,HS-grad,United-States,Craft-repair,White,Husband,Private,36
19103,Assoc-acdm,United-States,Handlers-cleaners,White,Husband,Private,23
19218,Some-college,United-States,Tech-support,White,Not-in-family,Private,28
19237,Some-college,United-States,Craft-repair,White,Not-in-family,Private,29
19283,HS-grad,United-States,Farming-fishing,White,Husband,Self-emp-not-inc,61
19311,Some-college,United-States,?,White,Own-child,?,21
19414,Bachelors,?,Exec-managerial,White,Husband,Private,34
1945,Masters,United-States,Exec-managerial,White,Husband,Private,37
19480,Assoc-acdm,United-States,Exec-managerial,White,Husband,Local-gov,46
19563,Masters,United-States,Prof-specialty,White,Husband,Private,51
19648,10th,United-States,Farming-fishing,White,Unmarried,Private,44
19677,Masters,United-States,Prof-specialty,White,Husband,Local-gov,29
19761,Some-college,United-States,Exec-managerial,White,Husband,Private,29
19834,Some-college,United-States,Adm-clerical,White,Own-child,State-gov,20
1995,Some-college,United-States,Machine-op-inspct,White,Not-in-family,Private,44
20519,11th,United-States,Handlers-cleaners,White,Own-child,Private,28
20530,HS-grad,United-States,?,White,Own-child,?,23
20540,10th,United-States,Craft-repair,Black,Unmarried,Private,55
20610,Masters,United-States,Prof-specialty,White,Wife,Private,90
20616,HS-grad,United-States,Craft-repair,White,Not-in-family,Private,28
20801,Bachelors,United-States,Prof-specialty,White,Husband,Self-emp-inc,43
20805,HS-grad,United-States,Handlers-cleaners,White,Own-child,Private,27
2090,Assoc-acdm,United-States,Sales,White,Husband,Private,42
20902,Assoc-acdm,United-States,Tech-support,White,Husband,Private,34
21143,Assoc-acdm,United-States,Exec-managerial,White,Not-in-family,Private,53
21187,Some-college,United-States,Other-service,White,Husband,Private,31
21257,HS-grad,United-States,Machine-op-inspct,White,Husband,Private,48
21407,Assoc-voc,United-States,Priv-house-serv,White,Not-in-family,Private,22
21430,Doctorate,United-States,Exec-managerial,White,Husband,Local-gov,52
21544,Assoc-voc,United-States,Other-service,White,Wife,Self-emp-not-inc,25
2155,11th,United-States,?,White,Husband,?,66
21553,HS-grad,United-States,Exec-managerial,White,Wife,Private,33
21618,9th,United-States,Farming-fishing,White,Husband,Private,60
21633,HS-grad,United-States,Prof-specialty,White,Unmarried,Federal-gov,35
21658,Masters,United-States,Prof-specialty,White,Husband,Private,39
21801,Some-college,United-States,Sales,White,Not-in-family,Private,45
22017,HS-grad,United-States,Craft-repair,White,Husband,Local-gov,50
22240,HS-grad,United-States,Farming-fishing,White,Husband,Private,37
22328,HS-grad,United-States,Machine-op-inspct,White,Wife,Private,54
22338,Masters,United-States,Sales,White,Husband,Private,31
22403,Some-college,United-States,Exec-managerial,White,Husband,Self-emp-not-inc,60
22460,HS-grad,United-States,Sales,White,Not-in-family,Private,48
22490,HS-grad,United-States,Sales,White,Own-child,Private,23
22553,Assoc-voc,United-States,Prof-specialty,White,Husband,Private,29
22669,HS-grad,Cambodia,Prof-specialty,Asian-Pac-Islander,Husband,Private,36
22861,Some-college,?,Craft-repair,White,Husband,Private,36
22892,Bachelors,United-States,Exec-managerial,White,Own-child,Self-emp-inc,24
22898,5th-6th,United-States,?,White,Husband,?,84
22913,Prof-school,United-States,Prof-specialty,White,Husband,Self-emp-not-inc,41
23018,Some-college,United-States,Adm-clerical,White,Husband,Private,35
23026,Some-college,United-States,Adm-clerical,White,Unmarried,Private,47
23119,Some-college,United-States,Craft-repair,White,Husband,Private,41
23156,Some-college,United-States,Adm-clerical,Black,Unmarried,Private,33
23336,HS-grad,United-States,?,White,Unmarried,?,71
2338,HS-grad,United-States,Tech-support,White,Own-child,Private,23
2343,11th,United-States,Other-service,Black,Unmarried,Private,21
23447,Some-college,United-States,Handlers-cleaners,White,Own-child,Private,23
23585,HS-grad,United-States,Sales,White,Husband,Private,64
23667,HS-grad,United-States,Sales,White,Own-child,Private,23
23671,HS-grad,United-States,Transport-moving,White,Husband,Local-gov,56
23705,Assoc-voc,United-States,Craft-repair,White,Husband,Private,39
23719,Some-college,United-States,Transport-moving,White,Husband,Private,44
23756,Bachelors,United-States,Sales,White,Husband,Private,34
23872,Some-college,United-States,Prof-specialty,Black,Husband,State-gov,57
23950,Some-college,United-States,Transport-moving,White,Husband,Local-gov,37
24018,Some-college,United-States,Tech-support,White,Husband,Self-emp-not-inc,52
24023,Some-college,United-States,Craft-repair,White,Husband,Private,37
24157,Some-college,United-States,Craft-repair,White,Not-in-family,Private,34
24280,7th-8th,United-States,Farming-fishing,White,Husband,Self-emp-inc,82
243,Some-college,United-States,?,White,Own-child,?,20
244,Some-college,United-States,Craft-repair,White,Not-in-family,Private,38
24476,Masters,United-States,Exec-managerial,White,Husband,Private,31
24515,11th,United-States,Handlers-cleaners,White,Own-child,Private,18
24519,Assoc-voc,United-States,Prof-specialty,White,Not-in-family,Private,37
24570,Bachelors,United-States,Exec-managerial,White,Not-in-family,Private,34
24628,HS-grad,United-States,Other-service,White,Not-in-family,Self-emp-not-inc,56
24754,Some-college,United-States,Farming-fishing,White,Own-child,Self-emp-not-inc,21
24784,11th,United-States,Sales,White,Own-child,Self-emp-not-inc,18
24910,Some-college,United-States,Adm-clerical,Black,Unmarried,Local-gov,55
24916,Assoc-voc,United-States,Exec-managerial,White,Husband,Private,44
25010,Some-college,Philippines,Machine-op-inspct,Asian-Pac-Islander,Other-relative,Private,39
25326,HS-grad,United-States,Other-service,Black,Not-in-family,Private,43
2550,Some-college,United-States,Other-service,White,Own-child,Private,20
25522,9th,United-States,?,Black,Husband,?,66
25562,HS-grad,United-States,Exec-managerial,White,Not-in-family,Private,45
25589,10th,United-States,Handlers-cleaners,White,Husband,Private,46
25691,HS-grad,United-States,Craft-repair,White,Husband,Self-emp-not-inc,57
25881,Bachelors,United-States,Adm-clerical,White,Husband,Self-emp-inc,50
25909,Bachelors,United-States,Exec-managerial,White,Not-in-family,Private,30
26158,Some-college,United-States,Craft-repair,White,Own-child,Private,22
26273,Some-college,United-States,Transport-moving,White,Husband,Private,29
26314,Bachelors,United-States,Exec-managerial,White,Not-in-family,Private,38
26334,HS-grad,United-States,Craft-repair,White,Not-in-family,Private,53
26603,HS-grad,United-States,Machine-op-inspct,Black,Husband,Private,36
26674,Bachelors,United-States,Sales,White,Husband,Private,42
26797,Bachelors,United-States,Sales,White,Not-in-family,Private,34
27403,Bachelors,United-States,Adm-clerical,White,Own-child,Private,27
27539,10th,United-States,Other-service,White,Wife,Private,25
27753,Bachelors,United-States,Sales,White,Husband,Private,29
279,Some-college,United-States,Machine-op-inspct,White,Wife,Private,24
27921,Some-college,United-States,Adm-clerical,White,Not-in-family,Private,43
28536,Bachelors,United-States,Craft-repair,White,Husband,Self-emp-inc,38
28604,Some-college,United-States,Protective-serv,White,Husband,Local-gov,52
28636,HS-grad,United-States,Exec-managerial,White,Husband,Federal-gov,55
28927,HS-grad,United-States,Machine-op-inspct,White,Own-child,Private,43
28954,HS-grad,United-States,Transport-moving,White,Husband,Private,50
2918,Bachelors,United-States,Exec-managerial,White,Husband,Private,33
29516,Some-college,United-States,Transport-moving,Asian-Pac-Islander,Own-child,Private,22
29598,HS-grad,United-States,Adm-clerical,White,Not-in-family,Private,25
29640,9th,United-States,Craft-repair,White,Husband,Self-emp-not-inc,35
29722,HS-grad,United-States,Transport-moving,White,Husband,Self-emp-not-inc,60
29751,12th,United-States,Other-service,White,Husband,Self-emp-not-inc,51
29791,Some-college,United-States,?,White,Husband,?,64
29840,Bachelors,United-States,Sales,White,Husband,Self-emp-inc,43
29884,Some-college,United-States,Sales,White,Husband,Private,30
30113,HS-grad,United-States,Handlers-cleaners,White,Own-child,Private,33
30125,Some-college,United-States,Tech-support,White,Not-in-family,Local-gov,42
3015,HS-grad,United-States,Exec-managerial,White,Not-in-family,Self-emp-not-inc,35
30279,Bachelors,England,Prof-specialty,White,Not-in-family,Private,29
30291,HS-grad,United-States,Other-service,Black,Own-child,Private,19
30495,Masters,United-States,Handlers-cleaners,White,Husband,Federal-gov,43
30508,HS-grad,United-States,Other-service,Black,Unmarried,Private,38
