record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10026,United-States,Male,Asian-Pac-Islander,Never-married,Private,HS-grad,Handlers-cleaners,Other-relative,27
10307,Mexico,Male,White,Married-civ-spouse,Private,5th-6th,Machine-op-inspct,Husband,45
10343,?,Male,Black,Divorced,Self-emp-not-inc,Bachelors,Craft-repair,Not-in-family,39
10492,United-States,Female,White,Never-married,Private,Bachelors,Other-service,Not-in-family,26
10524,United-States,Female,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,26
10628,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,47
10647,?,Male,White,Married-civ-spouse,Local-gov,Doctorate,Exec-managerial,Husband,42
10765,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Wife,34
10859,United-States,Female,White,Never-married,Local-gov,HS-grad,Prof-specialty,Not-in-family,23
10866,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Some-college,Craft-repair,Husband,44
10965,United-States,Female,White,Widowed,Private,Bachelors,Other-service,Not-in-family,52
11236,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Not-in-family,31
11331,United-States,Female,White,Never-married,Private,Bachelors,Exec-managerial,Own-child,23
11375,United-States,Male,White,Married-civ-spouse,State-gov,Some-college,Other-service,Husband,37
11542,United-States,Female,White,Divorced,Local-gov,Bachelors,Prof-specialty,Unmarried,37
11790,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Sales,Husband,53
12017,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Craft-repair,Husband,65
12245,United-States,Male,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,27
12297,United-States,Female,White,Divorced,Private,HS-grad,Other-service,Unmarried,28
12480,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Own-child,19
12516,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,43
12748,?,Male,White,Divorced,Private,HS-grad,Other-service,Not-in-family,55
12806,United-States,Female,White,Divorced,Private,Bachelors,Adm-clerical,Not-in-family,51
12882,United-States,Male,White,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,46
