record_id,native-country,occupation,race,relationship,sex,workclass,capital-gain,education
10001,United-States,Exec-managerial,White,Not-in-family,Female,Private,0,Bachelors
10101,United-States,Other-service,White,Not-in-family,Male,Private,0,11th
10280,United-States,Exec-managerial,White,Husband,Male,Self-emp-inc,0,HS-grad
10648,United-States,Craft-repair,White,Husband,Male,Private,0,HS-grad
10695,United-States,Exec-managerial,White,Unmarried,Female,Federal-gov,0,Bachelors
10892,United-States,Sales,White,Other-relative,Female,Private,0,Some-college
11013,United-States,Sales,White,Husband,Male,Private,0,HS-grad
11054,United-States,Transport-moving,White,Own-child,Male,Private,0,Some-college
11229,United-States,Prof-specialty,White,Not-in-family,Male,Private,0,Bachelors
11259,United-States,Sales,White,Unmarried,Female,Private,0,Assoc-acdm
11363,United-States,Sales,White,Husband,Male,Private,0,Some-college
11619,United-States,Craft-repair,White,Husband,Male,Private,0,Assoc-acdm
1169,United-States,Transport-moving,White,Not-in-family,Male,Private,0,HS-grad
11730,United-States,Prof-specialty,White,Not-in-family,Male,Private,0,Doctorate
11770,United-States,?,White,Not-in-family,Female,?,1086,HS-grad
11865,United-States,Protective-serv,White,Husband,Male,Private,0,Some-college
11934,United-States,Craft-repair,White,Husband,Male,Private,0,HS-grad
11950,United-States,Craft-repair,White,Not-in-family,Male,Private,0,HS-grad
11962,United-States,Prof-specialty,White,Husband,Male,Federal-gov,0,Bachelors
11990,United-States,Transport-moving,White,Husband,Male,Private,0,HS-grad
12025,United-States,Tech-support,White,Not-in-family,Female,Private,0,HS-grad
12057,United-States,Handlers-cleaners,White,Not-in-family,Male,Private,0,Some-college
12120,United-States,Sales,White,Husband,Male,Private,0,HS-grad
1216,United-States,Craft-repair,Amer-Indian-Eskimo,Husband,Male,Self-emp-not-inc,7688,Some-college
12227,United-States,Adm-clerical,White,Own-child,Female,Private,0,Assoc-acdm
12508,United-States,Exec-managerial,White,Husband,Male,Self-emp-inc,0,Some-college
12528,United-States,Adm-clerical,Black,Own-child,Female,Private,0,HS-grad
12648,United-States,Machine-op-inspct,White,Not-in-family,Male,Private,0,HS-grad
12713,United-States,Craft-repair,White,Husband,Male,Private,0,HS-grad
12742,United-States,Craft-repair,White,Not-in-family,Male,Private,0,HS-grad
12940,United-States,Craft-repair,White,Unmarried,Female,Private,0,HS-grad
13014,United-States,Other-service,White,Own-child,Female,Private,0,HS-grad
13042,United-States,?,White,Husband,Male,?,6514,Some-college
13045,United-States,Handlers-cleaners,White,Own-child,Female,Private,0,HS-grad
13125,Yugoslavia,Machine-op-inspct,White,Husband,Male,Private,5556,Assoc-acdm
13181,United-States,?,White,Not-in-family,Female,?,0,Assoc-voc
13188,United-States,Handlers-cleaners,White,Own-child,Male,Private,0,HS-grad
13300,United-States,Craft-repair,White,Husband,Male,Private,0,Assoc-acdm
13329,United-States,Sales,White,Husband,Male,Private,0,Some-college
13362,United-States,Adm-clerical,Black,Unmarried,Male,Private,0,HS-grad
1349,United-States,?,White,Husband,Male,?,3411,7th-8th
13579,United-States,Adm-clerical,White,Own-child,Male,State-gov,0,Some-college
13635,United-States,Prof-specialty,White,Own-child,Male,Private,0,Bachelors
13676,United-States,Craft-repair,White,Own-child,Male,Private,0,HS-grad
13690,United-States,Adm-clerical,White,Not-in-family,Male,Federal-gov,0,Bachelors
13755,United-States,Sales,White,Own-child,Female,Private,0,Some-college
13907,United-States,Other-service,White,Unmarried,Female,Private,0,11th
14031,United-States,Farming-fishing,White,Not-in-family,Male,Self-emp-not-inc,0,HS-grad
14034,United-States,Sales,White,Husband,Male,Private,0,HS-grad
14074,China,Other-service,Asian-Pac-Islander,Husband,Male,Private,0,HS-grad
14082,United-States,Protective-serv,White,Husband,Male,Local-gov,3103,HS-grad
14243,United-States,Adm-clerical,White,Own-child,Male,Private,0,HS-grad
14283,United-States,Exec-managerial,White,Husband,Male,Private,0,Some-college
14760,United-States,Prof-specialty,White,Husband,Male,Private,0,Bachelors
14865,United-States,Adm-clerical,White,Own-child,Male,Private,0,Some-college
14933,United-States,Craft-repair,White,Not-in-family,Male,Private,0,Bachelors
