record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10109,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Machine-op-inspct,Husband,56
10146,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,37
10251,United-States,Female,Black,Separated,Private,HS-grad,Other-service,Unmarried,22
10572,United-States,Male,White,Never-married,Private,HS-grad,Exec-managerial,Own-child,23
10661,India,Male,Asian-Pac-Islander,Married-civ-spouse,Private,Prof-school,Prof-specialty,Husband,59
10719,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,36
10789,United-States,Male,White,Divorced,Private,Some-college,Transport-moving,Not-in-family,34
10822,United-States,Male,White,Never-married,Self-emp-inc,Bachelors,Sales,Not-in-family,25
10921,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,23
11002,United-States,Male,White,Never-married,Private,10th,Craft-repair,Own-child,25
11027,United-States,Male,White,Married-civ-spouse,?,Prof-school,?,Husband,61
11036,United-States,Female,White,Never-married,Local-gov,HS-grad,Tech-support,Not-in-family,24
11136,United-States,Female,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Exec-managerial,Wife,46
11244,United-States,Female,White,Divorced,Private,HS-grad,Other-service,Own-child,32
11433,United-States,Male,White,Separated,Private,HS-grad,Other-service,Not-in-family,26
11475,United-States,Male,White,Married-civ-spouse,Local-gov,Some-college,Exec-managerial,Husband,28
11917,United-States,Female,White,Divorced,Private,Assoc-voc,Adm-clerical,Not-in-family,30
11964,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Exec-managerial,Husband,58
12151,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Unmarried,25
12275,United-States,Male,Amer-Indian-Eskimo,Divorced,Private,Some-college,Machine-op-inspct,Not-in-family,35
12308,United-States,Female,White,Divorced,Private,HS-grad,Handlers-cleaners,Own-child,26
12436,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Own-child,20
12450,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Some-college,Farming-fishing,Husband,41
12478,United-States,Male,White,Married-civ-spouse,State-gov,HS-grad,Tech-support,Husband,41
12482,United-States,Female,White,Never-married,Private,Assoc-voc,Craft-repair,Not-in-family,34
1250,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Masters,Exec-managerial,Husband,51
12508,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Some-college,Exec-managerial,Husband,37
12520,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Other-relative,22
12646,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,28
12777,United-States,Male,White,Divorced,Private,Some-college,Craft-repair,Not-in-family,48
12895,United-States,Male,White,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,42
12975,United-States,Male,White,Married-civ-spouse,Private,10th,Exec-managerial,Husband,90
13086,United-States,Male,White,Married-civ-spouse,Private,Some-college,Handlers-cleaners,Husband,22
13100,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,50
13182,United-States,Male,White,Married-civ-spouse,?,HS-grad,?,Husband,62
13277,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Sales,Husband,26
13311,United-States,Male,White,Married-civ-spouse,Private,11th,Machine-op-inspct,Husband,48
13409,United-States,Male,White,Never-married,Private,Some-college,Craft-repair,Own-child,20
13440,United-States,Female,Black,Never-married,Private,Some-college,Sales,Own-child,22
13508,United-States,Female,White,Divorced,State-gov,Some-college,Prof-specialty,Not-in-family,51
13517,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Craft-repair,Husband,37
13635,United-States,Male,White,Never-married,Private,Bachelors,Prof-specialty,Own-child,38
13655,United-States,Male,White,Married-civ-spouse,State-gov,Bachelors,Exec-managerial,Husband,49
13844,Mexico,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,24
13927,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Some-college,Exec-managerial,Husband,60
