record_id,age,marital-status,native-country,occupation,relationship,sex,workclass
10065,71,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,Private
10348,26,Never-married,United-States,Other-service,Not-in-family,Male,Private
10385,31,Married-civ-spouse,United-States,Protective-serv,Husband,Male,Local-gov
10528,55,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,Private
10561,24,Never-married,United-States,Farming-fishing,Own-child,Male,Private
10665,24,Married-civ-spouse,United-States,Protective-serv,Husband,Male,Private
10685,24,Never-married,United-States,Prof-specialty,Own-child,Male,Private
10803,34,Never-married,United-States,Adm-clerical,Own-child,Male,Private
10895,22,Never-married,United-States,Prof-specialty,Not-in-family,Female,State-gov
10902,35,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,Private
10995,20,Never-married,United-States,?,Not-in-family,Male,?
11265,37,Married-civ-spouse,United-States,Handlers-cleaners,Husband,Male,Private
11369,28,Never-married,United-States,Handlers-cleaners,Other-relative,Male,Private
11407,23,Never-married,United-States,Adm-clerical,Own-child,Male,Private
11576,36,Married-civ-spouse,United-States,Exec-managerial,Wife,Female,Private
11818,36,Divorced,United-States,Prof-specialty,Unmarried,Male,State-gov
12047,37,Married-civ-spouse,United-States,Machine-op-inspct,Wife,Female,Private
12275,35,Divorced,United-States,Machine-op-inspct,Not-in-family,Male,Private
12327,40,Married-civ-spouse,United-States,Sales,Husband,Male,Private
12512,46,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Male,Private
12547,30,Married-civ-spouse,United-States,Protective-serv,Husband,Male,Local-gov
12780,50,Married-civ-spouse,United-States,Craft-repair,Husband,Male,Local-gov
12838,17,Never-married,United-States,Prof-specialty,Own-child,Male,Private
12915,18,Never-married,United-States,Sales,Other-relative,Male,Private
13063,20,Married-civ-spouse,United-States,Other-service,Husband,Male,State-gov
13131,71,Widowed,United-States,Exec-managerial,Not-in-family,Male,Federal-gov
13396,31,Married-civ-spouse,United-States,Craft-repair,Husband,Male,Private
13467,65,Divorced,United-States,Sales,Not-in-family,Female,Private
1355,61,Married-civ-spouse,United-States,Farming-fishing,Husband,Male,Self-emp-not-inc
13661,43,Never-married,United-States,Prof-specialty,Not-in-family,Female,Private
13677,70,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,Self-emp-not-inc
13786,53,Married-civ-spouse,United-States,Adm-clerical,Husband,Male,Private
13812,17,Never-married,United-States,Sales,Own-child,Male,Private
13831,30,Married-civ-spouse,United-States,Protective-serv,Husband,Male,State-gov
13838,22,Never-married,United-States,Tech-support,Own-child,Female,State-gov
13855,50,Married-civ-spouse,United-States,Sales,Husband,Male,Private
13885,50,Married-civ-spouse,United-States,Craft-repair,Husband,Male,Private
13980,40,Never-married,United-States,Craft-repair,Own-child,Male,Self-emp-not-inc
14042,40,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,Private
14061,34,Married-civ-spouse,United-States,Adm-clerical,Husband,Male,State-gov
14083,54,Never-married,United-States,Adm-clerical,Not-in-family,Female,Private
14115,30,Married-civ-spouse,United-States,Sales,Wife,Female,Private
14221,46,Married-civ-spouse,United-States,Other-service,Wife,Female,Private
14225,42,Married-civ-spouse,United-States,Adm-clerical,Husband,Male,Private
14457,21,Never-married,United-States,Sales,Own-child,Male,Private
14494,32,Married-civ-spouse,United-States,Machine-op-inspct,Husband,Male,Private
14622,26,Married-civ-spouse,United-States,Transport-moving,Husband,Male,Private
14627,43,Married-civ-spouse,United-States,Handlers-cleaners,Husband,Male,Private
14651,43,Divorced,United-States,Tech-support,Not-in-family,Female,Local-gov
1468,24,Never-married,United-States,Protective-serv,Not-in-family,Male,Private
14724,31,Married-civ-spouse,United-States,Handlers-cleaners,Husband,Male,Private
14753,56,Divorced,United-States,Adm-clerical,Unmarried,Female,Private
14919,24,Married-civ-spouse,England,Exec-managerial,Husband,Male,Private
14952,32,Divorced,United-States,Adm-clerical,Not-in-family,Male,Private
15061,31,Married-civ-spouse,United-States,Other-service,Wife,Female,Self-emp-not-inc
15103,50,Married-civ-spouse,United-States,Craft-repair,Husband,Male,Private
15105,44,Divorced,United-States,Sales,Own-child,Male,Self-emp-inc
15169,32,Divorced,United-States,Craft-repair,Not-in-family,Male,Self-emp-not-inc
15201,62,Married-civ-spouse,United-States,Tech-support,Husband,Male,Private
15276,31,Never-married,United-States,Craft-repair,Not-in-family,Male,Private
15546,50,Married-civ-spouse,United-States,Sales,Husband,Male,Self-emp-inc
15673,27,Never-married,United-States,Tech-support,Own-child,Female,Private
15813,32,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,Federal-gov
15956,59,Married-civ-spouse,United-States,Craft-repair,Husband,Male,Private
16239,44,Married-civ-spouse,United-States,Farming-fishing,Husband,Male,Self-emp-not-inc
16289,44,Divorced,United-States,Sales,Not-in-family,Male,Private
16365,61,Married-civ-spouse,United-States,Other-service,Wife,Female,Private
16440,49,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,Private
16506,21,Never-married,United-States,Adm-clerical,Own-child,Female,Private
16565,35,Never-married,United-States,Craft-repair,Not-in-family,Male,Private
16769,23,Never-married,United-States,Adm-clerical,Not-in-family,Male,State-gov
16787,17,Never-married,United-States,Sales,Own-child,Male,Private
16799,29,Never-married,United-States,Exec-managerial,Not-in-family,Female,Private
16826,27,Married-civ-spouse,United-States,Exec-managerial,Wife,Female,Private
1709,43,Married-civ-spouse,United-States,Exec-managerial,Husband,Male,Private
17126,49,Married-civ-spouse,United-States,Sales,Husband,Male,Private
17405,22,Never-married,United-States,Adm-clerical,Own-child,Female,Private
17649,20,Never-married,United-States,Prof-specialty,Own-child,Female,State-gov
17884,44,Married-civ-spouse,United-States,Prof-specialty,Husband,Male,Private
17897,21,Married-civ-spouse,United-States,Craft-repair,Husband,Male,Private
18069,40,Divorced,United-States,Handlers-cleaners,Not-in-family,Female,Private
18088,47,Married-civ-spouse,United-States,Other-service,Wife,Female,Private
18196,33,Married-civ-spouse,Cuba,Exec-managerial,Husband,Male,Private
18201,72,Widowed,United-States,?,Unmarried,Female,?
