record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10291,United-States,Male,Black,Married-civ-spouse,Private,10th,Transport-moving,Husband,59
10358,United-States,Female,White,Divorced,Private,Some-college,Other-service,Not-in-family,50
10768,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,38
10949,United-States,Male,White,Married-spouse-absent,Private,9th,Handlers-cleaners,Own-child,21
10971,United-States,Male,White,Married-civ-spouse,Private,1st-4th,Farming-fishing,Husband,58
11052,United-States,Female,White,Divorced,Private,HS-grad,Farming-fishing,Not-in-family,39
11153,United-States,Male,White,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,29
11269,United-States,Male,White,Married-civ-spouse,Federal-gov,HS-grad,Adm-clerical,Husband,38
11522,United-States,Male,Black,Never-married,Private,Some-college,Other-service,Not-in-family,33
11584,United-States,Male,White,Divorced,Private,Bachelors,Prof-specialty,Not-in-family,53
11603,United-States,Male,White,Separated,Private,HS-grad,Machine-op-inspct,Unmarried,35
1166,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Adm-clerical,Husband,65
11810,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Not-in-family,33
11817,United-States,Female,White,Divorced,Private,HS-grad,Adm-clerical,Unmarried,40
11900,Mexico,Male,White,Divorced,Private,12th,Protective-serv,Own-child,32
12018,United-States,Male,White,Married-civ-spouse,Private,Doctorate,Prof-specialty,Husband,45
12131,United-States,Female,Black,Divorced,Private,9th,Machine-op-inspct,Unmarried,29
12156,United-States,Male,White,Never-married,Local-gov,Some-college,Protective-serv,Own-child,28
12175,United-States,Female,White,Never-married,?,Some-college,?,Own-child,21
12281,United-States,Female,White,Widowed,Private,HS-grad,Adm-clerical,Not-in-family,55
12317,United-States,Male,White,Married-civ-spouse,Private,Masters,Prof-specialty,Husband,53
12348,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,33
12420,Jamaica,Male,Black,Never-married,Self-emp-not-inc,HS-grad,Other-service,Not-in-family,41
12568,United-States,Male,White,Married-civ-spouse,Local-gov,Masters,Exec-managerial,Husband,53
1281,Philippines,Female,Asian-Pac-Islander,Divorced,Federal-gov,Assoc-acdm,Prof-specialty,Unmarried,42
12892,United-States,Male,White,Never-married,Private,Assoc-acdm,Sales,Not-in-family,27
13158,United-States,Female,White,Never-married,Private,Assoc-acdm,Other-service,Own-child,23
1322,United-States,Male,White,Never-married,Private,HS-grad,Sales,Not-in-family,27
13445,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Wife,44
13479,United-States,Male,White,Separated,Private,Masters,Exec-managerial,Not-in-family,32
13640,Canada,Female,White,Divorced,Local-gov,Masters,Prof-specialty,Unmarried,46
13681,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Exec-managerial,Husband,37
1377,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Farming-fishing,Husband,54
13868,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Assoc-voc,Craft-repair,Husband,58
14077,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Some-college,Tech-support,Husband,40
14216,United-States,Male,White,Never-married,State-gov,Bachelors,Prof-specialty,Not-in-family,34
14250,United-States,Male,White,Married-civ-spouse,Private,Doctorate,Sales,Husband,59
14339,United-States,Male,Asian-Pac-Islander,Divorced,Federal-gov,Some-college,Handlers-cleaners,Not-in-family,43
14379,United-States,Female,White,Never-married,Self-emp-inc,Masters,Prof-specialty,Not-in-family,39
14438,United-States,Male,White,Never-married,Self-emp-not-inc,HS-grad,Craft-repair,Not-in-family,44
1447,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Exec-managerial,Husband,44
14659,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Not-in-family,27
14688,United-States,Male,White,Never-married,?,11th,?,Own-child,17
14728,United-States,Male,White,Married-civ-spouse,State-gov,Prof-school,Prof-specialty,Husband,43
14795,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,59
14800,United-States,Male,Black,Married-civ-spouse,Private,Assoc-acdm,Tech-support,Husband,50
15000,United-States,Male,White,Married-civ-spouse,Private,Some-college,Transport-moving,Husband,30
15066,United-States,Female,Black,Divorced,Private,10th,Machine-op-inspct,Not-in-family,29
15219,?,Female,White,Never-married,Private,Bachelors,Sales,Own-child,26
15247,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Husband,50
15388,United-States,Male,White,Never-married,Private,Bachelors,Sales,Not-in-family,35
1548,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,41
15579,United-States,Male,White,Married-civ-spouse,?,Bachelors,?,Husband,61
15781,United-States,Male,White,Never-married,Private,10th,Craft-repair,Own-child,37
15886,United-States,Male,White,Never-married,Self-emp-not-inc,Some-college,Farming-fishing,Own-child,22
15917,United-States,Male,White,Married-civ-spouse,Private,Some-college,Tech-support,Husband,23
15942,United-States,Male,White,Separated,Private,10th,Adm-clerical,Unmarried,38
16234,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,52
16294,United-States,Male,White,Married-civ-spouse,?,HS-grad,?,Husband,34
16337,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Wife,39
16585,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,44
16621,United-States,Female,Black,Divorced,Federal-gov,Bachelors,Exec-managerial,Unmarried,53
16660,United-States,Male,White,Never-married,Private,Bachelors,Exec-managerial,Not-in-family,26
16774,United-States,Female,White,Divorced,Private,HS-grad,Exec-managerial,Unmarried,38
16804,United-States,Female,White,Separated,Self-emp-not-inc,HS-grad,Other-service,Not-in-family,42
1685,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Husband,37
17056,United-States,Female,White,Married-civ-spouse,Self-emp-not-inc,11th,Other-service,Wife,56
17160,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Tech-support,Husband,38
17331,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,39
17357,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,38
17390,Mexico,Male,White,Married-civ-spouse,Private,5th-6th,Craft-repair,Other-relative,22
17402,United-States,Female,White,Divorced,Private,Bachelors,Adm-clerical,Not-in-family,40
17423,United-States,Male,White,Never-married,Local-gov,Some-college,Farming-fishing,Own-child,20
17434,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,51
17686,United-States,Female,White,Never-married,Private,Assoc-acdm,Adm-clerical,Own-child,24
17718,Cuba,Female,White,Divorced,Private,HS-grad,Machine-op-inspct,Own-child,43
17867,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,45
18003,United-States,Female,Black,Never-married,Federal-gov,Prof-school,Prof-specialty,Not-in-family,30
18121,United-States,Male,White,Married-civ-spouse,Local-gov,Some-college,Protective-serv,Husband,45
18172,United-States,Female,White,Never-married,Federal-gov,Some-college,Prof-specialty,Unmarried,53
18246,United-States,Male,White,Never-married,Private,Assoc-acdm,Adm-clerical,Own-child,23
18266,United-States,Female,White,Divorced,Private,HS-grad,Adm-clerical,Not-in-family,57
18391,United-States,Female,Black,Never-married,Private,HS-grad,Machine-op-inspct,Unmarried,39
18472,United-States,Female,White,Divorced,Private,Assoc-acdm,Adm-clerical,Unmarried,32
18524,United-States,Male,White,Divorced,Private,HS-grad,Machine-op-inspct,Not-in-family,38
18541,United-States,Male,White,Married-civ-spouse,?,Bachelors,?,Husband,63
18618,United-States,Female,White,Separated,Private,HS-grad,Craft-repair,Not-in-family,63
18633,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Exec-managerial,Husband,36
1871,United-States,Male,Black,Never-married,Private,HS-grad,Adm-clerical,Own-child,31
18908,United-States,Female,White,Divorced,Private,HS-grad,Sales,Not-in-family,55
18973,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,39
19018,United-States,Female,White,Divorced,Self-emp-not-inc,HS-grad,Other-service,Unmarried,49
19021,United-States,Male,White,Never-married,Private,Assoc-voc,Other-service,Own-child,23
19171,United-States,Male,White,Never-married,Private,Doctorate,Adm-clerical,Own-child,28
19176,United-States,Female,White,Never-married,Private,Some-college,Adm-clerical,Not-in-family,40
19220,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,57
19235,United-States,Female,White,Separated,Self-emp-inc,Some-college,Sales,Own-child,27
19404,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,50
19421,United-States,Male,Black,Never-married,Private,HS-grad,Machine-op-inspct,Not-in-family,26
1948,Nicaragua,Male,White,Married-civ-spouse,State-gov,Bachelors,Prof-specialty,Husband,29
19500,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,25
19531,United-States,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Exec-managerial,Husband,39
19632,United-States,Male,White,Divorced,Private,11th,Other-service,Own-child,39
19636,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,51
19652,United-States,Male,White,Never-married,Private,HS-grad,Transport-moving,Not-in-family,26
19808,United-States,Female,Black,Never-married,Private,HS-grad,Machine-op-inspct,Unmarried,32
19817,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Some-college,Exec-managerial,Husband,52
19934,United-States,Female,Other,Married-spouse-absent,Private,Some-college,Adm-clerical,Own-child,26
19971,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Other-relative,27
20106,United-States,Male,White,Divorced,Private,HS-grad,Craft-repair,Not-in-family,52
20148,United-States,Male,White,Married-civ-spouse,Local-gov,Bachelors,Exec-managerial,Husband,42
20228,United-States,Male,White,Never-married,Private,Some-college,Adm-clerical,Own-child,26
20236,United-States,Male,White,Never-married,Private,HS-grad,Farming-fishing,Own-child,20
20433,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,37
20686,United-States,Male,White,Never-married,?,Some-college,?,Not-in-family,42
20734,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Husband,40
2080,United-States,Female,Black,Separated,Local-gov,HS-grad,Protective-serv,Unmarried,59
21158,Taiwan,Male,Asian-Pac-Islander,Never-married,?,Bachelors,?,Not-in-family,25
21195,?,Male,White,Separated,Private,Bachelors,Craft-repair,Not-in-family,55
21244,United-States,Female,White,Married-civ-spouse,Local-gov,Bachelors,Adm-clerical,Wife,52
21285,United-States,Male,White,Married-civ-spouse,Private,9th,Machine-op-inspct,Husband,50
21510,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Some-college,Exec-managerial,Husband,49
21909,United-States,Male,White,Never-married,Private,Some-college,Craft-repair,Unmarried,22
21917,United-States,Male,White,Married-civ-spouse,Private,12th,Craft-repair,Husband,54
2198,United-States,Female,White,Married-civ-spouse,Private,Bachelors,Adm-clerical,Wife,50
22492,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Prof-specialty,Husband,63
