record_id,age,marital-status,race,relationship,workclass,capital-gain,capital-loss,education,hours-per-week,native-country,occupation,sex
10039,22,Never-married,White,Own-child,Private,0,0,Some-college,40,United-States,Adm-clerical,Male
10103,20,Never-married,White,Own-child,Private,0,0,Some-college,40,Germany,Protective-serv,Male
10255,74,Married-civ-spouse,White,Husband,Self-emp-not-inc,0,0,HS-grad,40,United-States,Sales,Male
10414,34,Married-civ-spouse,White,Husband,Private,3908,0,HS-grad,46,United-States,Craft-repair,Male
10589,32,Married-civ-spouse,White,Husband,Local-gov,0,0,Some-college,60,United-States,Craft-repair,Male
10722,36,Divorced,White,Unmarried,Private,0,0,Bachelors,45,United-States,Prof-specialty,Male
10893,23,Never-married,White,Not-in-family,Private,0,0,Bachelors,40,United-States,Prof-specialty,Female
11009,31,Never-married,White,Not-in-family,Private,0,0,HS-grad,40,United-States,Other-service,Male
11211,60,Divorced,White,Not-in-family,Self-emp-not-inc,0,0,HS-grad,50,United-States,Craft-repair,Male
11287,24,Never-married,Black,Unmarried,State-gov,0,0,HS-grad,20,United-States,Adm-clerical,Female
11406,39,Married-civ-spouse,White,Husband,Private,0,0,5th-6th,40,Mexico,Handlers-cleaners,Male
11429,40,Married-civ-spouse,White,Husband,Self-emp-not-inc,0,0,Some-college,60,United-States,Craft-repair,Male
11699,40,Separated,White,Unmarried,Private,0,0,Some-college,40,United-States,Exec-managerial,Female
11764,46,Married-civ-spouse,Asian-Pac-Islander,Husband,Private,0,0,Masters,50,Japan,Exec-managerial,Male
11876,53,Married-civ-spouse,White,Husband,Private,0,0,HS-grad,40,United-States,Craft-repair,Male
11917,30,Divorced,White,Not-in-family,Private,0,0,Assoc-voc,46,United-States,Adm-clerical,Female
1193,28,Married-civ-spouse,White,Husband,Private,0,0,Bachelors,40,United-States,Tech-support,Male
11980,31,Never-married,White,Unmarried,Private,0,0,Assoc-voc,40,United-States,Other-service,Female
1204,33,Married-civ-spouse,Black,Husband,Private,0,0,Some-college,40,United-States,Craft-repair,Male
1210,44,Married-civ-spouse,White,Husband,Self-emp-inc,5178,0,Some-college,60,United-States,Sales,Male
12191,27,Married-civ-spouse,White,Husband,Self-emp-not-inc,0,0,Some-college,30,United-States,Exec-managerial,Male
12219,58,Divorced,White,Unmarried,Private,2174,0,HS-grad,40,United-States,Adm-clerical,Female
12231,38,Married-civ-spouse,White,Husband,Private,0,0,Some-college,40,United-States,Exec-managerial,Male
12244,76,Divorced,White,Not-in-family,Private,0,0,Some-college,20,United-States,Adm-clerical,Female
12276,21,Never-married,White,Not-in-family,Private,0,1602,Assoc-voc,30,United-States,Farming-fishing,Female
12322,57,Divorced,White,Not-in-family,Private,0,0,Some-college,50,United-States,Exec-managerial,Female
12335,63,Divorced,White,Not-in-family,Private,0,0,HS-grad,40,United-States,Sales,Female
12536,35,Never-married,White,Not-in-family,Private,0,0,Some-college,40,United-States,Other-service,Male
12587,25,Never-married,White,Own-child,Private,0,0,Bachelors,45,United-States,Exec-managerial,Male
12728,21,Never-married,White,Own-child,Private,0,0,Some-college,40,United-States,Adm-clerical,Male
12777,48,Divorced,White,Not-in-family,Private,3325,0,Some-college,40,United-States,Craft-repair,Male
13097,32,Never-married,Other,Unmarried,Private,0,0,Bachelors,40,United-States,Other-service,Male
13243,58,Married-civ-spouse,White,Husband,Private,0,0,Some-college,40,United-States,Sales,Male
13449,36,Married-civ-spouse,White,Husband,Local-gov,0,0,9th,25,United-States,Craft-repair,Male
13514,38,Married-civ-spouse,White,Husband,Private,0,0,Bachelors,40,United-States,Prof-specialty,Male
13677,70,Married-civ-spouse,White,Husband,Self-emp-not-inc,0,0,Some-college,35,United-States,Exec-managerial,Male
13841,44,Divorced,White,Unmarried,Federal-gov,0,0,Prof-school,40,United-States,Prof-specialty,Male
13849,40,Never-married,White,Not-in-family,Private,0,0,11th,37,Dominican-Republic,Machine-op-inspct,Female
13871,55,Married-civ-spouse,White,Husband,Self-emp-not-inc,0,0,Some-college,72,United-States,Farming-fishing,Male
13895,37,Married-civ-spouse,White,Husband,Private,0,1848,HS-grad,48,United-States,Machine-op-inspct,Male
14079,24,Never-married,White,Not-in-family,Private,2174,0,HS-grad,40,United-States,Other-service,Female
1426,45,Married-civ-spouse,White,Husband,Self-emp-inc,4386,0,Bachelors,35,United-States,Farming-fishing,Male
14363,23,Never-married,Amer-Indian-Eskimo,Not-in-family,?,0,0,Assoc-voc,30,United-States,?,Female
14552,56,Never-married,White,Not-in-family,Private,0,0,Masters,50,United-States,Sales,Male
14572,26,Never-married,Asian-Pac-Islander,Not-in-family,Private,0,0,Bachelors,20,South,Sales,Male
14615,67,Widowed,White,Not-in-family,Federal-gov,0,0,Bachelors,40,United-States,Adm-clerical,Female
15078,31,Never-married,White,Not-in-family,Private,0,0,Bachelors,40,United-States,Tech-support,Male
15111,41,Married-civ-spouse,White,Husband,Private,0,0,Some-college,40,United-States,Prof-specialty,Male
15177,44,Married-civ-spouse,Asian-Pac-Islander,Husband,Self-emp-not-inc,0,0,HS-grad,42,Japan,Farming-fishing,Male
1521,47,Divorced,White,Not-in-family,State-gov,0,0,9th,40,United-States,Other-service,Female
15269,62,Widowed,White,Not-in-family,Private,0,0,HS-grad,38,United-States,Adm-clerical,Female
1532,48,Divorced,White,Unmarried,Private,0,0,Masters,40,United-States,Exec-managerial,Female
15385,32,Married-civ-spouse,White,Husband,Private,0,0,HS-grad,48,United-States,Craft-repair,Male
15396,51,Divorced,White,Own-child,Private,0,0,11th,40,United-States,Transport-moving,Male
15406,32,Never-married,White,Not-in-family,Private,0,0,HS-grad,45,United-States,Machine-op-inspct,Male
15454,36,Never-married,White,Not-in-family,Private,0,0,Some-college,35,United-States,Adm-clerical,Female
15835,29,Never-married,White,Not-in-family,Private,0,0,HS-grad,40,United-States,Adm-clerical,Female
1586,51,Divorced,White,Unmarried,Private,0,0,Some-college,45,Scotland,Exec-managerial,Male
15899,23,Never-married,Black,Own-child,Private,2202,0,Some-college,80,United-States,Other-service,Male
15951,31,Married-civ-spouse,White,Wife,Private,0,0,HS-grad,27,United-States,Adm-clerical,Female
16036,28,Never-married,White,Not-in-family,Private,0,0,Masters,80,?,Exec-managerial,Female
16283,31,Married-civ-spouse,White,Wife,Private,0,0,HS-grad,40,United-States,Adm-clerical,Female
16305,33,Widowed,White,Unmarried,Private,0,0,Some-college,40,United-States,Adm-clerical,Female
16366,42,Divorced,White,Unmarried,Private,0,0,Assoc-voc,40,United-States,Tech-support,Female
1639,54,Married-civ-spouse,White,Husband,Private,5178,0,HS-grad,50,United-States,Machine-op-inspct,Male
16438,59,Never-married,White,Not-in-family,Self-emp-not-inc,0,0,Assoc-voc,35,United-States,Exec-managerial,Male
16522,28,Never-married,Black,Unmarried,Local-gov,0,0,Some-college,40,United-States,Adm-clerical,Female
16574,24,Never-married,White,Other-relative,Private,0,0,5th-6th,40,Mexico,Machine-op-inspct,Female
16619,36,Never-married,White,Not-in-family,Private,13550,0,Masters,50,United-States,Adm-clerical,Male
16630,44,Never-married,Asian-Pac-Islander,Not-in-family,State-gov,0,0,Bachelors,38,United-States,Prof-specialty,Female
16661,26,Never-married,White,Not-in-family,Private,0,0,Some-college,35,United-States,Other-service,Female
17016,42,Never-married,White,Not-in-family,Private,4650,0,Masters,40,United-States,Exec-managerial,Female
17051,61,Married-civ-spouse,White,Husband,Self-emp-inc,0,1902,Some-college,35,United-States,Sales,Male
17063,49,Married-civ-spouse,White,Husband,Private,0,0,HS-grad,40,United-States,Craft-repair,Male
17286,59,Married-civ-spouse,White,Husband,Self-emp-inc,15024,0,Masters,80,United-States,Exec-managerial,Male
17326,33,Married-civ-spouse,Black,Wife,?,0,0,Some-college,30,United-States,?,Female
17654,57,Married-civ-spouse,White,Husband,Private,0,0,Masters,50,United-States,Exec-managerial,Male
