record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10273,United-States,Male,White,Divorced,Private,HS-grad,Sales,Own-child,22
10375,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,29
10450,United-States,Female,Black,Divorced,Local-gov,Some-college,Adm-clerical,Unmarried,45
10713,United-States,Male,White,Never-married,Private,Assoc-acdm,Tech-support,Own-child,26
10745,United-States,Male,White,Married-civ-spouse,?,HS-grad,?,Husband,76
10894,United-States,Female,White,Widowed,Private,HS-grad,Adm-clerical,Not-in-family,71
11003,United-States,Female,White,Never-married,Private,Bachelors,Exec-managerial,Not-in-family,28
11208,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Craft-repair,Husband,29
11290,United-States,Male,White,Separated,Self-emp-not-inc,Some-college,Craft-repair,Not-in-family,39
11451,United-States,Male,White,Never-married,Private,HS-grad,Machine-op-inspct,Other-relative,27
11545,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Craft-repair,Husband,62
11552,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Other-service,Husband,61
1187,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,65
11894,United-States,Male,White,Never-married,Private,Some-college,Other-service,Not-in-family,44
1203,United-States,Male,White,Never-married,Private,Bachelors,Other-service,Not-in-family,44
12118,United-States,Male,White,Separated,Private,1st-4th,Machine-op-inspct,Unmarried,56
12142,United-States,Male,Black,Married-civ-spouse,Private,Some-college,Transport-moving,Husband,55
12229,United-States,Male,White,Separated,Private,Some-college,Craft-repair,Not-in-family,23
1230,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,46
12342,United-States,Female,White,Never-married,Private,HS-grad,Tech-support,Not-in-family,22
12389,United-States,Female,White,Divorced,Private,Some-college,Farming-fishing,Unmarried,39
12569,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Not-in-family,25
12627,United-States,Male,White,Married-civ-spouse,?,Some-college,?,Husband,62
12944,United-States,Male,White,Never-married,Private,HS-grad,Machine-op-inspct,Not-in-family,21
13008,United-States,Female,White,Never-married,Private,HS-grad,Machine-op-inspct,Not-in-family,39
13063,United-States,Male,White,Married-civ-spouse,State-gov,Some-college,Other-service,Husband,20
13362,United-States,Male,Black,Divorced,Private,HS-grad,Adm-clerical,Unmarried,40
13488,United-States,Female,Black,Never-married,Private,Assoc-voc,Craft-repair,Unmarried,23
13556,United-States,Male,White,Divorced,?,Some-college,?,Not-in-family,32
13618,United-States,Male,Black,Never-married,Private,Assoc-voc,Other-service,Unmarried,33
13649,United-States,Male,White,Never-married,Private,Some-college,Transport-moving,Own-child,20
13787,United-States,Male,White,Married-civ-spouse,State-gov,Bachelors,Exec-managerial,Husband,43
13827,?,Male,Asian-Pac-Islander,Married-spouse-absent,Private,Bachelors,Machine-op-inspct,Not-in-family,34
13828,United-States,Female,Amer-Indian-Eskimo,Divorced,Private,Assoc-voc,Sales,Not-in-family,31
13840,United-States,Male,Black,Married-civ-spouse,Private,Assoc-acdm,Sales,Husband,34
13895,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,37
13911,United-States,Male,White,Divorced,Private,7th-8th,Craft-repair,Not-in-family,50
14021,United-States,Female,Black,Never-married,Private,Bachelors,Exec-managerial,Unmarried,29
14086,United-States,Male,White,Never-married,Private,Some-college,Tech-support,Own-child,22
14225,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Husband,42
14452,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Assoc-acdm,Craft-repair,Husband,49
1460,United-States,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Exec-managerial,Husband,48
14948,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Masters,Craft-repair,Husband,39
15021,United-States,Female,White,Never-married,Federal-gov,Bachelors,Prof-specialty,Not-in-family,40
15083,United-States,Female,White,Widowed,Private,Bachelors,Other-service,Not-in-family,65
15228,Puerto-Rico,Female,Black,Married-civ-spouse,Private,Some-college,Sales,Wife,40
15281,United-States,Male,Black,Never-married,Private,HS-grad,Transport-moving,Own-child,29
15427,United-States,Male,White,Never-married,Private,Some-college,Machine-op-inspct,Not-in-family,35
15499,Philippines,Male,Asian-Pac-Islander,Never-married,?,Assoc-acdm,?,Own-child,23
15504,United-States,Male,White,Never-married,Private,Bachelors,Prof-specialty,Own-child,23
1564,United-States,Female,Black,Separated,Federal-gov,HS-grad,Other-service,Other-relative,42
15693,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Farming-fishing,Husband,68
15819,United-States,Male,White,Never-married,Private,HS-grad,Farming-fishing,Own-child,23
15940,United-States,Female,White,Separated,State-gov,Doctorate,Prof-specialty,Unmarried,43
15957,United-States,Female,White,Never-married,Private,Some-college,Prof-specialty,Not-in-family,23
15989,United-States,Male,White,Never-married,Private,Some-college,Other-service,Own-child,24
16003,United-States,Female,White,Divorced,Private,Some-college,Other-service,Own-child,47
16085,United-States,Female,White,Never-married,State-gov,7th-8th,Tech-support,Unmarried,24
16103,Philippines,Male,Asian-Pac-Islander,Married-civ-spouse,?,1st-4th,?,Husband,69
16135,United-States,Female,Black,Never-married,Private,HS-grad,Machine-op-inspct,Own-child,21
16241,United-States,Male,White,Divorced,Private,Assoc-voc,Exec-managerial,Not-in-family,28
16330,United-States,Male,Black,Married-civ-spouse,Local-gov,Bachelors,Exec-managerial,Husband,38
16441,United-States,Male,White,Never-married,Private,Assoc-acdm,Craft-repair,Not-in-family,26
16445,United-States,Female,White,Divorced,Private,10th,Other-service,Other-relative,52
16505,United-States,Male,Amer-Indian-Eskimo,Married-civ-spouse,Private,5th-6th,Transport-moving,Husband,46
16600,United-States,Male,White,Never-married,Private,Some-college,Adm-clerical,Not-in-family,22
16609,United-States,Male,White,Married-civ-spouse,Private,Some-college,Handlers-cleaners,Husband,23
16619,United-States,Male,White,Never-married,Private,Masters,Adm-clerical,Not-in-family,36
16712,United-States,Female,White,Widowed,Private,Some-college,Sales,Not-in-family,60
16878,United-States,Male,White,Married-civ-spouse,?,Some-college,?,Husband,30
16884,United-States,Female,Black,Never-married,Private,Bachelors,Tech-support,Not-in-family,23
16944,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Prof-specialty,Husband,36
17011,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Own-child,27
1703,United-States,Female,White,Divorced,Private,HS-grad,Craft-repair,Not-in-family,29
17338,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,32
17502,United-States,Male,White,Divorced,Self-emp-inc,Masters,Sales,Not-in-family,46
17607,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Wife,26
17661,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Transport-moving,Husband,27
17770,United-States,Male,Black,Married-civ-spouse,Self-emp-not-inc,Some-college,Other-service,Husband,39
18044,Mexico,Male,White,Married-civ-spouse,Local-gov,Bachelors,Exec-managerial,Husband,48
18079,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Not-in-family,22
18177,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,7th-8th,Farming-fishing,Husband,71
18223,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,62
18448,United-States,Male,Black,Separated,Private,10th,Transport-moving,Unmarried,54
18566,United-States,Male,Asian-Pac-Islander,Married-civ-spouse,Federal-gov,Assoc-acdm,Other-service,Husband,64
18673,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Prof-specialty,Husband,33
18715,United-States,Male,White,Married-civ-spouse,Private,11th,Exec-managerial,Husband,28
1872,United-States,Male,White,Married-civ-spouse,Private,Some-college,Exec-managerial,Husband,31
18763,United-States,Male,White,Married-civ-spouse,Federal-gov,Masters,Prof-specialty,Husband,48
18918,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Prof-specialty,Husband,40
18938,United-States,Male,White,Divorced,Federal-gov,Some-college,Exec-managerial,Unmarried,44
18945,United-States,Female,White,Never-married,Private,Some-college,Sales,Own-child,20
19056,United-States,Female,White,Divorced,State-gov,Some-college,Adm-clerical,Own-child,42
19249,United-States,Male,White,Married-spouse-absent,Private,Bachelors,Exec-managerial,Not-in-family,40
19443,United-States,Male,Amer-Indian-Eskimo,Married-civ-spouse,Local-gov,Some-college,Adm-clerical,Husband,36
19677,United-States,Male,White,Married-civ-spouse,Local-gov,Masters,Prof-specialty,Husband,29
19733,United-States,Male,White,Separated,Federal-gov,Bachelors,Prof-specialty,Not-in-family,58
19737,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,42
19774,United-States,Female,White,Never-married,Local-gov,Bachelors,Prof-specialty,Own-child,23
19944,United-States,Female,White,Never-married,Private,Assoc-acdm,Other-service,Not-in-family,35
20184,United-States,Female,White,Married-civ-spouse,Local-gov,HS-grad,Adm-clerical,Wife,51
20221,United-States,Female,White,Divorced,Private,HS-grad,Other-service,Not-in-family,49
20247,United-States,Female,White,Divorced,Local-gov,Bachelors,Prof-specialty,Unmarried,39
20371,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,50
20714,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,49
20816,United-States,Male,Asian-Pac-Islander,Married-civ-spouse,Federal-gov,Bachelors,Exec-managerial,Husband,44
21061,United-States,Female,Black,Divorced,Private,Some-college,Exec-managerial,Own-child,38
21241,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,9th,Craft-repair,Husband,40
21361,United-States,Male,White,Separated,Private,9th,Other-service,Not-in-family,41
21596,United-States,Male,White,Never-married,Private,Assoc-acdm,Exec-managerial,Own-child,24
2170,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,38
21735,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,42
21740,United-States,Male,White,Married-civ-spouse,Private,10th,Craft-repair,Husband,26
21774,United-States,Female,Black,Never-married,State-gov,Some-college,Adm-clerical,Unmarried,22
21776,Mexico,Male,White,Married-civ-spouse,Private,5th-6th,Machine-op-inspct,Husband,55
21950,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Bachelors,Sales,Husband,34
22108,United-States,Female,White,Never-married,Private,Some-college,Adm-clerical,Not-in-family,48
22123,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Sales,Husband,30
22232,United-States,Male,Black,Never-married,Private,Bachelors,Adm-clerical,Not-in-family,26
22257,United-States,Male,White,Married-civ-spouse,Private,Prof-school,Prof-specialty,Husband,50
22309,United-States,Female,Black,Married-civ-spouse,State-gov,Some-college,Prof-specialty,Wife,30
2232,United-States,Male,Black,Never-married,Private,HS-grad,Sales,Not-in-family,45
22369,United-States,Male,White,Married-civ-spouse,State-gov,Prof-school,Prof-specialty,Husband,32
22375,United-States,Male,White,Married-civ-spouse,Local-gov,Some-college,Protective-serv,Husband,46
22443,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,44
22473,United-States,Male,Black,Married-civ-spouse,Private,Some-college,Other-service,Husband,32
22477,United-States,Male,Amer-Indian-Eskimo,Never-married,Private,10th,Farming-fishing,Unmarried,25
22551,United-States,Male,White,Never-married,Private,HS-grad,Exec-managerial,Own-child,25
22579,United-States,Female,White,Divorced,Private,Some-college,Adm-clerical,Unmarried,42
22711,United-States,Male,White,Married-civ-spouse,State-gov,Bachelors,Prof-specialty,Husband,34
22804,Germany,Female,White,Divorced,Private,Bachelors,Priv-house-serv,Not-in-family,48
22840,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,56
23117,United-States,Male,White,Never-married,Local-gov,Bachelors,Prof-specialty,Own-child,44
23136,United-States,Female,White,Never-married,?,Some-college,?,Own-child,21
23372,United-States,Male,White,Never-married,Private,HS-grad,Tech-support,Own-child,22
23408,United-States,Female,White,Never-married,State-gov,Some-college,Adm-clerical,Own-child,21
23692,United-States,Female,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,31
23699,United-States,Female,Black,Separated,Private,HS-grad,Sales,Unmarried,34
23742,United-States,Female,White,Divorced,Private,HS-grad,Sales,Not-in-family,67
23824,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,35
23979,United-States,Male,White,Married-civ-spouse,Private,Some-college,Prof-specialty,Husband,44
24014,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,30
24108,United-States,Male,White,Divorced,Private,Bachelors,Exec-managerial,Not-in-family,41
24249,United-States,Male,White,Never-married,Private,Some-college,Craft-repair,Not-in-family,31
2432,China,Male,Asian-Pac-Islander,Married-civ-spouse,Private,Prof-school,Sales,Husband,35
24338,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,48
24373,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Not-in-family,24
24482,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,51
24556,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,41
24826,United-States,Female,White,Divorced,State-gov,Doctorate,Prof-specialty,Not-in-family,39
24836,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,30
25038,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Craft-repair,Husband,27
25053,United-States,Male,Black,Married-civ-spouse,?,HS-grad,?,Husband,61
25079,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Adm-clerical,Husband,40
25233,United-States,Male,White,Divorced,Private,HS-grad,Tech-support,Own-child,37
25289,United-States,Female,White,Separated,Private,HS-grad,Other-service,Unmarried,33
25324,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Other-service,Wife,27
25488,United-States,Male,White,Married-civ-spouse,Local-gov,Some-college,Other-service,Other-relative,26
25490,United-States,Female,White,Never-married,Private,HS-grad,Sales,Own-child,20
25493,United-States,Male,White,Divorced,Private,HS-grad,Machine-op-inspct,Not-in-family,32
25524,United-States,Male,Black,Separated,?,Some-college,?,Not-in-family,43
25555,United-States,Male,White,Divorced,State-gov,Some-college,Exec-managerial,Unmarried,43
25573,United-States,Male,White,Never-married,Federal-gov,Bachelors,Prof-specialty,Not-in-family,58
25809,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Machine-op-inspct,Husband,52
26100,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Sales,Husband,40
26159,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,61
26229,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,7th-8th,Farming-fishing,Husband,67
26248,United-States,Male,White,Separated,Private,HS-grad,Protective-serv,Not-in-family,65
26260,United-States,Male,White,Married-civ-spouse,Private,Some-college,Handlers-cleaners,Husband,60
26351,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,31
26352,United-States,Male,White,Married-civ-spouse,State-gov,Bachelors,Exec-managerial,Husband,50
26367,United-States,Male,White,Never-married,Private,Some-college,Sales,Not-in-family,23
26419,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Sales,Husband,27
26445,United-States,Male,White,Divorced,Private,12th,Farming-fishing,Not-in-family,28
26468,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Tech-support,Husband,48
26517,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Own-child,23
26679,United-States,Male,White,Married-civ-spouse,Private,7th-8th,Exec-managerial,Husband,41
26827,United-States,Male,White,Married-civ-spouse,Private,Assoc-voc,Sales,Husband,37
26888,United-States,Male,White,Widowed,Federal-gov,HS-grad,Other-service,Unmarried,67
26931,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Adm-clerical,Husband,28
26938,United-States,Male,White,Married-civ-spouse,Federal-gov,Bachelors,Exec-managerial,Husband,35
26956,United-States,Female,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,25
27003,United-States,Male,White,Married-civ-spouse,Self-emp-inc,Some-college,Exec-managerial,Husband,43
27218,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,32
27227,United-States,Male,Black,Married-civ-spouse,Private,10th,Other-service,Husband,50
27284,United-States,Female,White,Separated,Private,Some-college,Adm-clerical,Unmarried,27
27323,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,52
27340,United-States,Male,White,Divorced,Private,Some-college,Craft-repair,Not-in-family,40
27393,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,28
27436,United-States,Female,White,Never-married,Private,Bachelors,Tech-support,Not-in-family,38
27460,United-States,Male,Other,Married-civ-spouse,Private,HS-grad,Other-service,Husband,28
27466,United-States,Female,White,Widowed,?,HS-grad,?,Not-in-family,68
27508,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Husband,54
27516,United-States,Male,White,Never-married,Private,HS-grad,Other-service,Own-child,20
2756,United-States,Male,White,Married-civ-spouse,Local-gov,Masters,Exec-managerial,Husband,43
27637,France,Male,White,Married-civ-spouse,Private,Assoc-acdm,Tech-support,Husband,39
27647,South,Male,Asian-Pac-Islander,Never-married,Private,Bachelors,Sales,Own-child,35
27785,United-States,Male,White,Married-civ-spouse,Private,9th,Other-service,Husband,62
27994,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Masters,Exec-managerial,Husband,42
280,Germany,Female,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,22
28142,United-States,Male,White,Never-married,Private,Bachelors,Other-service,Not-in-family,27
28158,United-States,Female,White,Never-married,Private,HS-grad,Machine-op-inspct,Own-child,23
28505,?,Male,White,Married-civ-spouse,State-gov,Some-college,Adm-clerical,Husband,39
28635,United-States,Female,White,Separated,Private,11th,Machine-op-inspct,Not-in-family,46
28718,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Tech-support,Husband,42
28741,Mexico,Female,White,Married-civ-spouse,Self-emp-not-inc,5th-6th,Other-service,Wife,35
28822,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,32
28859,United-States,Male,White,Never-married,?,Some-college,?,Own-child,21
28966,United-States,Male,White,Divorced,Federal-gov,Some-college,Adm-clerical,Not-in-family,39
29151,United-States,Female,White,Never-married,State-gov,Bachelors,Tech-support,Not-in-family,24
29172,United-States,Female,White,Never-married,Private,Bachelors,Sales,Not-in-family,27
29183,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,42
29339,United-States,Male,Black,Married-civ-spouse,Private,5th-6th,Machine-op-inspct,Husband,44
