record_id,age,race,relationship,sex,workclass,capital-gain,hours-per-week,native-country
10084,38,Black,Unmarried,Female,Private,0,40,United-States
10217,49,White,Husband,Male,Private,0,17,United-States
10284,63,White,Husband,Male,Federal-gov,0,18,United-States
10364,42,White,Unmarried,Female,State-gov,0,40,United-States
10365,33,Black,Husband,Male,Self-emp-not-inc,0,25,United-States
10477,31,White,Unmarried,Male,Private,0,20,United-States
10526,23,White,Not-in-family,Female,State-gov,0,40,United-States
10785,45,White,Not-in-family,Male,Private,0,52,United-States
10861,43,Black,Unmarried,Female,Private,0,40,United-States
10878,34,White,Husband,Male,Private,0,40,United-States
10905,74,Black,Husband,Male,Private,0,40,United-States
11017,54,White,Husband,Male,Private,3103,40,Germany
11196,73,White,Husband,Male,Private,0,40,United-States
11384,34,Asian-Pac-Islander,Not-in-family,Male,Private,0,40,India
11395,46,White,Husband,Male,Private,0,40,United-States
11402,22,White,Own-child,Female,Private,0,33,United-States
11421,31,White,Own-child,Female,?,0,25,United-States
11527,52,White,Other-relative,Female,Private,0,40,United-States
11564,30,White,Own-child,Male,Private,0,20,United-States
11679,32,White,Not-in-family,Female,Private,0,50,United-States
11711,49,White,Not-in-family,Male,Private,0,40,United-States
11716,50,White,Husband,Male,Private,0,40,United-States
11718,44,White,Husband,Male,Private,0,40,United-States
11899,39,White,Husband,Male,Private,0,40,United-States
11949,31,White,Wife,Female,Private,0,45,United-States
12043,39,White,Not-in-family,Male,Private,0,45,United-States
12070,49,Asian-Pac-Islander,Husband,Male,Private,0,40,China
12096,49,White,Wife,Female,Private,0,40,Hong
12130,55,White,Husband,Male,?,0,48,Mexico
12225,57,Black,Not-in-family,Female,Private,0,40,United-States
12496,30,White,Unmarried,Female,Private,0,40,United-States
12526,46,White,Husband,Male,State-gov,7688,38,United-States
12529,65,White,Not-in-family,Female,Private,1848,20,Hungary
12540,50,White,Husband,Male,Private,0,50,United-States
12564,64,White,Husband,Male,Private,0,40,United-States
12622,52,White,Wife,Female,Private,3103,30,United-States
12738,29,White,Not-in-family,Female,Private,0,18,United-States
12910,57,White,Not-in-family,Male,Private,0,38,United-States
12929,26,White,Not-in-family,Male,Private,6849,65,United-States
12987,19,White,Not-in-family,Male,Private,0,40,United-States
13017,27,White,Unmarried,Female,Private,0,40,Peru
13131,71,White,Not-in-family,Male,Federal-gov,0,9,United-States
13209,78,White,Husband,Male,Self-emp-inc,0,40,United-States
13211,28,Asian-Pac-Islander,Not-in-family,Female,Private,0,40,Philippines
13473,34,White,Husband,Male,Private,0,40,United-States
13733,48,Black,Husband,Male,Local-gov,7298,38,United-States
13734,27,White,Not-in-family,Female,Private,0,70,United-States
13759,31,White,Other-relative,Female,Private,0,25,El-Salvador
13785,66,Asian-Pac-Islander,Husband,Male,Private,0,40,Philippines
13892,64,White,Husband,Male,Self-emp-not-inc,0,24,United-States
14104,80,White,Husband,Male,Private,0,35,United-States
14146,50,White,Husband,Male,Private,0,48,United-States
14155,63,White,Husband,Male,Private,0,40,United-States
14207,58,White,Husband,Male,Private,0,40,United-States
14375,25,White,Own-child,Male,Federal-gov,0,40,United-States
14500,64,White,Unmarried,Male,Private,0,20,United-States
14661,47,White,Husband,Male,Local-gov,0,60,United-States
14775,42,Amer-Indian-Eskimo,Husband,Male,State-gov,0,40,United-States
14805,23,White,Own-child,Female,Private,0,12,United-States
14994,25,White,Own-child,Female,Private,0,15,United-States
