record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10042,Cuba,Male,White,Married-civ-spouse,Self-emp-inc,Doctorate,Prof-specialty,Husband,33
10085,United-States,Female,White,Never-married,Private,Some-college,Other-service,Own-child,21
10169,United-States,Female,White,Never-married,Private,Some-college,Sales,Own-child,20
10175,United-States,Female,White,Divorced,Self-emp-not-inc,Doctorate,Prof-specialty,Not-in-family,50
10202,United-States,Male,White,Married-civ-spouse,Private,Some-college,Exec-managerial,Husband,34
10245,United-States,Male,White,Separated,Private,9th,Craft-repair,Unmarried,54
10260,United-States,Male,White,Never-married,Self-emp-not-inc,HS-grad,Farming-fishing,Own-child,42
10352,United-States,Male,White,Divorced,Private,Assoc-voc,Exec-managerial,Not-in-family,35
10414,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,34
10439,United-States,Female,White,Never-married,Private,HS-grad,Machine-op-inspct,Not-in-family,18
10502,United-States,Female,White,Never-married,Private,Bachelors,Exec-managerial,Not-in-family,29
10545,Ecuador,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,90
10550,United-States,Male,White,Married-civ-spouse,Private,Masters,Exec-managerial,Husband,46
10755,United-States,Female,White,Never-married,Private,Some-college,Other-service,Own-child,23
10926,United-States,Male,White,Never-married,Private,Bachelors,Exec-managerial,Not-in-family,38
10995,United-States,Male,White,Never-married,?,Some-college,?,Not-in-family,20
11010,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,37
11084,El-Salvador,Male,White,Never-married,Private,10th,Other-service,Not-in-family,17
11112,United-States,Male,White,Never-married,Private,11th,Craft-repair,Own-child,33
11180,United-States,Female,White,Separated,Private,HS-grad,Priv-house-serv,Not-in-family,52
11415,United-States,Female,White,Never-married,Private,HS-grad,Sales,Own-child,19
11475,United-States,Male,White,Married-civ-spouse,Local-gov,Some-college,Exec-managerial,Husband,28
11549,United-States,Male,White,Never-married,Private,Some-college,Other-service,Own-child,20
11733,United-States,Female,White,Divorced,Private,HS-grad,Adm-clerical,Unmarried,47
11844,United-States,Male,White,Never-married,Private,HS-grad,Exec-managerial,Not-in-family,31
12035,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,7th-8th,Farming-fishing,Husband,65
12102,United-States,Female,White,Separated,Private,HS-grad,Adm-clerical,Unmarried,34
12177,United-States,Female,White,Divorced,Private,HS-grad,Exec-managerial,Not-in-family,47
12245,United-States,Male,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,27
12258,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,50
12380,United-States,Female,White,Never-married,Private,Some-college,Sales,Own-child,19
12393,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Sales,Husband,41
12495,United-States,Female,White,Divorced,Private,Some-college,Adm-clerical,Unmarried,45
12702,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Not-in-family,23
12720,United-States,Female,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Sales,Wife,62
12837,United-States,Male,White,Married-civ-spouse,State-gov,Doctorate,Prof-specialty,Husband,69
12862,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Other-relative,37
12946,United-States,Female,White,Widowed,Self-emp-not-inc,Some-college,Craft-repair,Not-in-family,64
13029,United-States,Male,White,Never-married,Private,HS-grad,Craft-repair,Not-in-family,30
13056,United-States,Male,White,Never-married,Private,Masters,Prof-specialty,Own-child,35
13107,United-States,Female,White,Never-married,Local-gov,Masters,Exec-managerial,Other-relative,67
