record_id,education,marital-status,native-country,race,relationship,age,occupation,workclass
10066,HS-grad,Never-married,United-States,Black,Other-relative,27,Other-service,Private
10137,HS-grad,Married-civ-spouse,United-States,White,Husband,51,Farming-fishing,Private
10373,Some-college,Never-married,United-States,White,Not-in-family,27,Sales,Self-emp-not-inc
10399,Bachelors,Never-married,Philippines,Asian-Pac-Islander,Unmarried,46,Adm-clerical,Private
10419,Some-college,Never-married,United-States,Black,Own-child,20,Sales,Private
10420,HS-grad,Married-civ-spouse,United-States,Black,Husband,37,Other-service,Private
10432,HS-grad,Never-married,United-States,White,Own-child,22,Machine-op-inspct,Self-emp-inc
10587,Some-college,Divorced,United-States,White,Not-in-family,33,Adm-clerical,Private
10903,HS-grad,Never-married,United-States,Black,Unmarried,39,Adm-clerical,Private
11146,Assoc-voc,Married-civ-spouse,United-States,White,Husband,29,Craft-repair,Federal-gov
11221,HS-grad,Married-civ-spouse,?,White,Husband,37,Craft-repair,Local-gov
11309,HS-grad,Married-civ-spouse,United-States,White,Husband,49,Craft-repair,Private
11759,HS-grad,Divorced,United-States,White,Other-relative,56,Craft-repair,Private
11823,HS-grad,Divorced,United-States,Black,Not-in-family,37,Other-service,Private
11958,HS-grad,Never-married,United-States,White,Own-child,31,Adm-clerical,Private
12038,Some-college,Divorced,United-States,White,Not-in-family,39,Adm-clerical,Private
12068,Some-college,Never-married,United-States,White,Own-child,18,?,?
12174,Masters,Married-civ-spouse,United-States,Black,Wife,52,Prof-specialty,State-gov
12222,11th,Married-civ-spouse,United-States,White,Husband,34,Craft-repair,Self-emp-not-inc
12305,Some-college,Married-civ-spouse,United-States,White,Husband,30,Handlers-cleaners,Private
12317,Masters,Married-civ-spouse,United-States,White,Husband,53,Prof-specialty,Private
12346,HS-grad,Separated,United-States,Black,Not-in-family,41,Exec-managerial,Federal-gov
12412,12th,Married-civ-spouse,Nicaragua,White,Husband,39,Transport-moving,Local-gov
12447,HS-grad,Never-married,United-States,Black,Own-child,23,Adm-clerical,Private
12558,HS-grad,Married-civ-spouse,United-States,White,Husband,29,Machine-op-inspct,Private
12796,HS-grad,Divorced,United-States,White,Not-in-family,41,Other-service,Private
12949,HS-grad,Married-civ-spouse,United-States,White,Husband,39,Farming-fishing,Self-emp-not-inc
13052,Bachelors,Separated,United-States,White,Unmarried,38,Prof-specialty,Private
13055,HS-grad,Divorced,United-States,White,Unmarried,58,Exec-managerial,Private
13103,HS-grad,Married-civ-spouse,United-States,White,Husband,47,Machine-op-inspct,Self-emp-inc
13105,HS-grad,Married-civ-spouse,United-States,White,Husband,34,Exec-managerial,Private
13135,Some-college,Never-married,United-States,White,Own-child,24,Machine-op-inspct,State-gov
13647,HS-grad,Married-civ-spouse,Jamaica,Black,Husband,44,Sales,Self-emp-not-inc
13682,1st-4th,Married-civ-spouse,United-States,White,Husband,52,Exec-managerial,Private
13848,HS-grad,Married-civ-spouse,United-States,White,Husband,54,Machine-op-inspct,Private
13853,Some-college,Never-married,United-States,White,Not-in-family,24,Craft-repair,Private
13867,HS-grad,Married-civ-spouse,United-States,White,Husband,26,Prof-specialty,Private
13885,HS-grad,Married-civ-spouse,United-States,White,Husband,50,Craft-repair,Private
13945,Assoc-voc,Divorced,United-States,White,Not-in-family,47,Prof-specialty,Private
14110,Some-college,Married-civ-spouse,United-States,White,Husband,57,Craft-repair,Private
14524,HS-grad,Never-married,United-States,White,Other-relative,19,Adm-clerical,Private
14845,Some-college,Never-married,United-States,White,Own-child,20,Sales,Private
14926,Some-college,Never-married,United-States,White,Own-child,19,Sales,Private
15168,Bachelors,Never-married,United-States,White,Not-in-family,24,Prof-specialty,State-gov
15190,Assoc-acdm,Married-civ-spouse,United-States,White,Husband,56,Other-service,Private
1520,Bachelors,Married-civ-spouse,United-States,White,Husband,47,Protective-serv,Local-gov
15238,Bachelors,Married-civ-spouse,United-States,White,Husband,73,?,?
15399,Some-college,Never-married,United-States,White,Not-in-family,20,Farming-fishing,Private
15531,Some-college,Never-married,United-States,White,Own-child,47,Other-service,Private
15576,Prof-school,Married-civ-spouse,United-States,White,Husband,75,Prof-specialty,Self-emp-not-inc
15799,Some-college,Never-married,United-States,White,Not-in-family,19,Adm-clerical,Private
15920,Bachelors,Married-civ-spouse,United-States,White,Husband,35,Sales,Private
15949,7th-8th,Married-civ-spouse,United-States,White,Husband,41,Farming-fishing,Private
15954,Prof-school,Married-civ-spouse,United-States,White,Husband,41,Prof-specialty,Private
1605,HS-grad,Married-civ-spouse,United-States,White,Husband,67,Adm-clerical,Private
16131,12th,Never-married,United-States,White,Own-child,17,Other-service,Private
16161,Bachelors,Married-civ-spouse,United-States,White,Husband,31,Sales,Private
16238,Some-college,Married-civ-spouse,United-States,White,Husband,56,Craft-repair,Private
1628,HS-grad,Married-civ-spouse,United-States,White,Wife,45,Machine-op-inspct,Private
16433,HS-grad,Married-civ-spouse,United-States,White,Husband,43,Craft-repair,Private
16457,Bachelors,Married-civ-spouse,United-States,White,Husband,55,Prof-specialty,Private
16608,Bachelors,Married-civ-spouse,United-States,White,Husband,39,Exec-managerial,Private
16709,HS-grad,Divorced,United-States,White,Not-in-family,36,Transport-moving,Private
16798,HS-grad,Married-civ-spouse,United-States,White,Husband,51,?,?
16870,Bachelors,Married-civ-spouse,United-States,White,Husband,53,Exec-managerial,Private
16926,Some-college,Divorced,United-States,Black,Unmarried,50,Adm-clerical,Private
17091,5th-6th,Never-married,Mexico,White,Other-relative,22,Farming-fishing,Private
17216,Assoc-acdm,Married-civ-spouse,United-States,White,Husband,33,Handlers-cleaners,Local-gov
17278,Some-college,Never-married,United-States,Other,Not-in-family,26,Prof-specialty,Private
17314,Some-college,Widowed,United-States,White,Unmarried,76,?,?
17462,HS-grad,Married-civ-spouse,United-States,White,Husband,63,?,?
17836,Bachelors,Divorced,United-States,White,Not-in-family,25,Prof-specialty,Private
18028,Assoc-acdm,Married-civ-spouse,United-States,White,Husband,50,Exec-managerial,Private
1803,Prof-school,Married-civ-spouse,United-States,Asian-Pac-Islander,Husband,38,Prof-specialty,Self-emp-inc
1811,Assoc-voc,Married-civ-spouse,United-States,White,Husband,35,Exec-managerial,Private
18222,Bachelors,Married-civ-spouse,United-States,White,Husband,42,Sales,Self-emp-not-inc
18284,Some-college,Married-civ-spouse,United-States,White,Husband,46,Exec-managerial,Private
18718,Some-college,Married-civ-spouse,United-States,White,Husband,40,Tech-support,Private
18744,Some-college,Separated,United-States,White,Unmarried,46,Adm-clerical,Federal-gov
18761,Some-college,Divorced,United-States,White,Not-in-family,41,Craft-repair,Private
