record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10091,Taiwan,Male,Asian-Pac-Islander,Married-civ-spouse,State-gov,Masters,Prof-specialty,Husband,29
10167,Mexico,Male,White,Never-married,Private,5th-6th,Machine-op-inspct,Not-in-family,22
10186,United-States,Male,White,Never-married,Private,Bachelors,Exec-managerial,Not-in-family,56
10230,United-States,Male,White,Married-civ-spouse,Private,Some-college,Tech-support,Husband,28
10704,United-States,Male,White,Never-married,?,Bachelors,?,Own-child,24
10763,United-States,Female,White,Never-married,Private,Some-college,Adm-clerical,Not-in-family,28
10936,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Sales,Husband,24
11011,United-States,Male,White,Married-civ-spouse,Federal-gov,Bachelors,Adm-clerical,Husband,45
11067,United-States,Female,White,Divorced,Local-gov,HS-grad,Other-service,Unmarried,49
11193,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,45
11240,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Assoc-voc,Farming-fishing,Husband,45
11473,United-States,Male,White,Never-married,Private,HS-grad,Machine-op-inspct,Not-in-family,36
1156,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Exec-managerial,Husband,46
11667,United-States,Male,White,Never-married,Private,HS-grad,Adm-clerical,Unmarried,24
1168,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Prof-school,Prof-specialty,Husband,88
1170,United-States,Female,White,Divorced,Private,HS-grad,Adm-clerical,Not-in-family,51
11787,United-States,Male,White,Never-married,Private,Bachelors,Sales,Own-child,27
11806,United-States,Male,Black,Never-married,Private,HS-grad,Transport-moving,Unmarried,35
11906,United-States,Male,White,Never-married,Local-gov,Masters,Prof-specialty,Not-in-family,45
11908,United-States,Female,White,Never-married,Private,Assoc-voc,Sales,Unmarried,26
12055,United-States,Female,White,Divorced,State-gov,HS-grad,Adm-clerical,Not-in-family,55
12073,United-States,Male,White,Married-civ-spouse,State-gov,HS-grad,Protective-serv,Husband,32
12148,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Wife,33
12194,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,52
12272,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Wife,41
12310,United-States,Male,White,Never-married,Private,Some-college,Craft-repair,Own-child,22
12736,United-States,Female,White,Divorced,Private,Assoc-voc,Adm-clerical,Not-in-family,58
13085,United-States,Male,White,Married-civ-spouse,State-gov,HS-grad,Protective-serv,Husband,44
1310,United-States,Male,White,Married-civ-spouse,Federal-gov,Bachelors,Exec-managerial,Husband,45
13199,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Handlers-cleaners,Husband,55
13206,United-States,Female,White,Married-civ-spouse,Local-gov,Masters,Prof-specialty,Wife,36
13259,United-States,Male,White,Divorced,Private,HS-grad,Sales,Not-in-family,41
13303,Poland,Male,White,Married-civ-spouse,Private,Some-college,Prof-specialty,Husband,55
13481,United-States,Male,Black,Never-married,State-gov,Some-college,Other-service,Own-child,21
13512,United-States,Female,White,Widowed,Local-gov,HS-grad,Other-service,Not-in-family,62
13573,Mexico,Male,White,Never-married,Private,HS-grad,Machine-op-inspct,Other-relative,35
13630,United-States,Female,White,Divorced,Private,Some-college,Sales,Unmarried,44
13640,Canada,Female,White,Divorced,Local-gov,Masters,Prof-specialty,Unmarried,46
13693,United-States,Male,White,Never-married,Private,HS-grad,Other-service,Own-child,18
13700,United-States,Female,White,Never-married,Private,Bachelors,Exec-managerial,Unmarried,31
13816,United-States,Male,White,Separated,Local-gov,Bachelors,Prof-specialty,Not-in-family,36
13885,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,50
14076,United-States,Male,White,Married-civ-spouse,Federal-gov,HS-grad,Adm-clerical,Husband,51
14118,United-States,Male,Asian-Pac-Islander,Married-civ-spouse,?,Some-college,?,Husband,57
14125,United-States,Female,White,Divorced,Private,12th,Other-service,Not-in-family,30
