record_id,education,occupation,race,relationship,sex,age,hours-per-week,native-country,workclass
101,Bachelors,Exec-managerial,White,Husband,Male,44,60,United-States,Private
10165,Masters,Other-service,White,Husband,Male,36,40,United-States,Private
10179,Doctorate,Prof-specialty,White,Wife,Female,43,70,United-States,Self-emp-inc
10224,HS-grad,Handlers-cleaners,White,Own-child,Male,24,40,United-States,Private
10300,HS-grad,Transport-moving,White,Own-child,Male,23,40,United-States,Private
10335,Bachelors,Adm-clerical,Asian-Pac-Islander,Husband,Male,43,40,Vietnam,Private
10336,11th,Other-service,White,Own-child,Male,18,20,United-States,State-gov
10740,Bachelors,Prof-specialty,White,Husband,Male,56,40,United-States,Local-gov
10910,Bachelors,Exec-managerial,White,Wife,Female,37,37,United-States,Private
10963,Some-college,Craft-repair,White,Husband,Male,52,40,United-States,Local-gov
11163,HS-grad,Craft-repair,Amer-Indian-Eskimo,Own-child,Male,23,40,United-States,Private
11309,HS-grad,Craft-repair,White,Husband,Male,49,45,United-States,Private
11673,HS-grad,Craft-repair,White,Not-in-family,Male,49,40,United-States,Private
11724,Masters,Exec-managerial,White,Own-child,Female,37,40,United-States,Federal-gov
1177,HS-grad,Prof-specialty,White,Husband,Male,50,48,United-States,State-gov
12044,Bachelors,Sales,White,Husband,Male,39,30,United-States,Private
12236,HS-grad,Adm-clerical,White,Not-in-family,Female,36,47,United-States,Private
12335,HS-grad,Sales,White,Not-in-family,Female,63,40,United-States,Private
12407,HS-grad,Protective-serv,White,Husband,Male,71,28,United-States,State-gov
12507,Some-college,Other-service,White,Not-in-family,Male,24,40,United-States,Private
12541,Prof-school,Exec-managerial,White,Not-in-family,Female,40,40,Cuba,Private
12556,Assoc-voc,Exec-managerial,White,Husband,Male,40,50,United-States,Private
12557,Assoc-voc,Craft-repair,White,Husband,Male,34,48,United-States,Private
12615,10th,Machine-op-inspct,Black,Unmarried,Female,56,40,United-States,Private
12674,Assoc-voc,Adm-clerical,White,Unmarried,Female,51,50,United-States,Local-gov
12675,Some-college,Sales,Asian-Pac-Islander,Own-child,Female,22,30,Philippines,Private
12974,HS-grad,Craft-repair,White,Husband,Male,40,40,United-States,Private
13020,10th,Other-service,White,Own-child,Female,34,40,United-States,Self-emp-not-inc
13073,Bachelors,Prof-specialty,White,Not-in-family,Male,28,50,United-States,Self-emp-not-inc
13096,Bachelors,Adm-clerical,White,Husband,Male,41,40,United-States,Federal-gov
13161,Some-college,?,Asian-Pac-Islander,Husband,Male,65,20,United-States,?
13269,Bachelors,Adm-clerical,White,Husband,Male,35,40,United-States,Private
1334,Assoc-voc,Prof-specialty,White,Husband,Male,51,40,United-States,Private
13349,HS-grad,Transport-moving,White,Husband,Male,56,50,United-States,Private
13551,Doctorate,Exec-managerial,Asian-Pac-Islander,Husband,Male,40,40,India,Private
13553,HS-grad,Adm-clerical,White,Not-in-family,Male,38,40,United-States,Private
13679,Some-college,Craft-repair,White,Husband,Male,34,40,United-States,Private
13749,HS-grad,Other-service,Black,Not-in-family,Female,43,35,United-States,Private
13881,HS-grad,Exec-managerial,White,Husband,Male,38,44,United-States,Private
13938,Some-college,Handlers-cleaners,Black,Own-child,Male,23,22,United-States,Private
14003,Some-college,Protective-serv,White,Husband,Male,42,52,United-States,Local-gov
1401,Assoc-acdm,Tech-support,White,Husband,Male,55,25,United-States,Private
14025,HS-grad,Handlers-cleaners,White,Own-child,Male,23,24,United-States,Private
14060,Some-college,Handlers-cleaners,White,Unmarried,Female,34,40,United-States,Private
14102,Some-college,Craft-repair,White,Not-in-family,Male,30,40,?,Private
14146,9th,Machine-op-inspct,White,Husband,Male,50,48,United-States,Private
14150,HS-grad,Sales,White,Husband,Male,69,33,United-States,Self-emp-not-inc
14377,Assoc-acdm,Adm-clerical,White,Own-child,Female,22,27,United-States,Private
14433,Assoc-voc,Machine-op-inspct,White,Husband,Male,28,40,United-States,Private
14450,HS-grad,Adm-clerical,White,Not-in-family,Female,21,40,United-States,Private
14452,Assoc-acdm,Craft-repair,White,Husband,Male,49,40,United-States,Self-emp-inc
14712,Bachelors,Prof-specialty,White,Own-child,Male,46,60,United-States,Private
14759,Assoc-voc,Prof-specialty,White,Unmarried,Female,37,32,United-States,Private
14786,5th-6th,Craft-repair,White,Husband,Male,30,40,Mexico,Private
14864,Some-college,Sales,White,Husband,Male,37,44,United-States,Self-emp-inc
15108,Masters,Prof-specialty,White,Husband,Male,43,40,United-States,Local-gov
15160,Bachelors,Prof-specialty,White,Husband,Male,53,55,United-States,Private
15225,Bachelors,Exec-managerial,White,Husband,Male,65,44,Mexico,Self-emp-inc
1533,10th,Transport-moving,Black,Husband,Male,49,42,United-States,Private
15372,Some-college,Protective-serv,White,Husband,Male,59,42,United-States,Local-gov
15450,Bachelors,Exec-managerial,White,Wife,Female,31,40,United-States,Self-emp-not-inc
15521,Bachelors,Sales,White,Husband,Male,54,40,United-States,Self-emp-not-inc
15567,11th,Other-service,White,Unmarried,Female,61,32,United-States,State-gov
15581,Bachelors,Exec-managerial,White,Wife,Female,28,40,United-States,Private
15636,Some-college,Craft-repair,White,Husband,Male,50,40,United-States,Private
15749,Bachelors,Prof-specialty,White,Husband,Male,49,40,United-States,Federal-gov
15983,Some-college,Machine-op-inspct,White,Wife,Female,26,40,United-States,Private
16121,HS-grad,Sales,White,Not-in-family,Male,33,50,United-States,Private
16232,Some-college,Other-service,White,Own-child,Male,18,20,United-States,Private
16304,HS-grad,Craft-repair,White,Husband,Male,38,40,United-States,Private
16318,HS-grad,Other-service,Black,Own-child,Male,22,80,United-States,Private
16323,Some-college,Other-service,White,Not-in-family,Female,59,40,Poland,Local-gov
16522,Some-college,Adm-clerical,Black,Unmarried,Female,28,40,United-States,Local-gov
16558,Assoc-acdm,Craft-repair,White,Husband,Male,36,45,United-States,Private
16560,HS-grad,Other-service,Black,Own-child,Female,24,40,United-States,Private
16665,Some-college,Protective-serv,White,Husband,Male,65,40,United-States,Private
1670,Assoc-acdm,Sales,White,Husband,Male,44,40,United-States,Private
16728,HS-grad,Craft-repair,White,Husband,Male,44,30,United-States,Self-emp-not-inc
16791,HS-grad,Protective-serv,White,Not-in-family,Male,26,40,United-States,State-gov
16860,HS-grad,Other-service,White,Other-relative,Male,24,25,United-States,Private
16863,Bachelors,Sales,White,Husband,Male,35,40,United-States,Private
16917,HS-grad,Handlers-cleaners,White,Own-child,Male,36,40,United-States,Private
16937,Some-college,Handlers-cleaners,White,Own-child,Male,23,15,United-States,Private
16955,HS-grad,Adm-clerical,White,Unmarried,Male,21,40,United-States,Private
17019,Bachelors,Adm-clerical,White,Own-child,Female,24,40,United-States,Private
17051,Some-college,Sales,White,Husband,Male,61,35,United-States,Self-emp-inc
17066,HS-grad,Machine-op-inspct,White,Husband,Male,23,50,United-States,Private
17150,Bachelors,Prof-specialty,White,Unmarried,Female,36,45,El-Salvador,Private
17306,Bachelors,Exec-managerial,White,Not-in-family,Female,30,45,Germany,Private
17325,Some-college,Prof-specialty,White,Husband,Male,28,7,United-States,Self-emp-not-inc
17330,Masters,Exec-managerial,White,Husband,Male,47,50,United-States,Private
1757,HS-grad,Farming-fishing,White,Not-in-family,Male,40,70,United-States,Self-emp-not-inc
17681,Some-college,Sales,White,Not-in-family,Male,22,30,United-States,Private
17719,HS-grad,Craft-repair,White,Own-child,Male,22,40,United-States,Private
17939,Some-college,Other-service,White,Not-in-family,Male,20,35,United-States,Private
18102,Some-college,Exec-managerial,White,Not-in-family,Male,56,60,United-States,Private
18144,HS-grad,Machine-op-inspct,White,Husband,Male,23,30,United-States,Private
18380,Some-college,Tech-support,White,Husband,Male,34,40,United-States,Private
18489,Bachelors,Sales,White,Husband,Male,66,40,United-States,Self-emp-not-inc
1857,HS-grad,Other-service,White,Own-child,Female,18,8,United-States,Private
18650,Bachelors,Adm-clerical,White,Not-in-family,Male,23,32,United-States,Local-gov
18837,10th,Craft-repair,White,Not-in-family,Male,19,40,United-States,Private
18862,HS-grad,Craft-repair,White,Husband,Male,37,45,United-States,Self-emp-not-inc
18890,Prof-school,Prof-specialty,White,Husband,Male,59,55,United-States,Self-emp-inc
19011,5th-6th,Farming-fishing,White,Husband,Male,65,21,United-States,Self-emp-not-inc
19101,HS-grad,Other-service,White,Wife,Female,60,40,United-States,Private
19156,Masters,Prof-specialty,White,Wife,Female,47,40,United-States,Private
19219,Assoc-acdm,Sales,White,Husband,Male,37,45,United-States,Private
19348,Bachelors,Handlers-cleaners,White,Husband,Male,59,40,Italy,Private
19726,HS-grad,Tech-support,White,Husband,Male,49,30,United-States,Self-emp-not-inc
19887,Some-college,Transport-moving,White,Husband,Male,60,40,United-States,Private
19924,11th,Machine-op-inspct,White,Husband,Male,40,30,United-States,Private
20170,Prof-school,Prof-specialty,White,Husband,Male,64,40,United-States,Self-emp-not-inc
20359,Some-college,Farming-fishing,White,Not-in-family,Male,41,40,United-States,Private
20471,Some-college,Prof-specialty,White,Husband,Male,40,40,United-States,Private
20607,Some-college,Craft-repair,White,Husband,Male,31,50,United-States,Private
20685,HS-grad,Craft-repair,White,Husband,Male,48,40,United-States,Private
20806,Bachelors,Exec-managerial,White,Husband,Male,54,40,United-States,Self-emp-inc
20901,HS-grad,Adm-clerical,White,Not-in-family,Female,22,39,United-States,Private
20955,11th,Machine-op-inspct,Black,Not-in-family,Male,40,36,United-States,Private
20982,Assoc-acdm,Other-service,White,Not-in-family,Female,52,30,United-States,Local-gov
21031,Some-college,Other-service,White,Own-child,Female,22,15,United-States,Private
21219,HS-grad,Exec-managerial,White,Husband,Male,50,50,United-States,Private
21301,Bachelors,Prof-specialty,White,Wife,Female,29,35,United-States,Private
21325,Assoc-acdm,Prof-specialty,White,Not-in-family,Male,43,50,United-States,Private
21349,HS-grad,Other-service,White,Unmarried,Female,34,65,United-States,Private
21376,Assoc-voc,Sales,White,Not-in-family,Female,62,40,United-States,Private
21593,HS-grad,Craft-repair,White,Not-in-family,Male,34,50,United-States,Self-emp-not-inc
21653,Bachelors,Craft-repair,White,Husband,Male,38,40,United-States,Local-gov
21657,Some-college,Craft-repair,White,Husband,Male,69,72,United-States,Self-emp-not-inc
21692,Some-college,Sales,White,Not-in-family,Female,33,40,United-States,Private
21855,Prof-school,Prof-specialty,White,Unmarried,Male,45,36,United-States,Self-emp-inc
22003,Some-college,Sales,White,Husband,Male,72,40,United-States,Self-emp-not-inc
22011,Doctorate,Prof-specialty,White,Husband,Male,53,40,United-States,State-gov
22450,HS-grad,Transport-moving,Black,Own-child,Male,26,40,United-States,Private
22457,Some-college,Other-service,White,Own-child,Female,21,16,United-States,Private
225,HS-grad,Sales,White,Own-child,Female,18,40,United-States,Private
22647,Bachelors,Sales,White,Not-in-family,Male,36,60,United-States,Self-emp-inc
22774,HS-grad,Craft-repair,White,Husband,Male,28,35,Canada,Private
23083,HS-grad,Transport-moving,White,Husband,Male,42,46,United-States,Private
23208,HS-grad,Adm-clerical,White,Not-in-family,Male,24,50,United-States,Private
23346,Some-college,Exec-managerial,Black,Own-child,Female,29,40,United-States,Private
23417,11th,Exec-managerial,White,Husband,Male,50,50,United-States,Private
23450,Some-college,Adm-clerical,White,Unmarried,Female,45,48,United-States,Private
235,HS-grad,Other-service,White,Husband,Male,59,40,United-States,State-gov
23642,Bachelors,Prof-specialty,White,Not-in-family,Male,50,40,United-States,State-gov
23873,Doctorate,Prof-specialty,White,Husband,Male,40,45,United-States,Private
23985,Assoc-acdm,Prof-specialty,White,Own-child,Female,22,16,United-States,Private
24005,HS-grad,Transport-moving,White,Not-in-family,Male,49,90,United-States,Private
24156,Doctorate,Prof-specialty,Asian-Pac-Islander,Husband,Male,35,40,Taiwan,Private
24162,HS-grad,Adm-clerical,White,Own-child,Female,22,40,United-States,Private
24182,Bachelors,Exec-managerial,White,Not-in-family,Female,26,40,United-States,Private
2421,HS-grad,Adm-clerical,White,Not-in-family,Female,68,30,United-States,Private
24233,HS-grad,Adm-clerical,White,Husband,Male,28,40,United-States,Private
24448,HS-grad,Other-service,White,Unmarried,Female,22,40,United-States,Private
24569,HS-grad,Exec-managerial,White,Wife,Female,35,40,United-States,Private
24580,Some-college,?,White,Own-child,Male,21,20,United-States,?
24885,Bachelors,Prof-specialty,White,Not-in-family,Female,35,40,United-States,Private
25057,Assoc-voc,Protective-serv,White,Not-in-family,Male,29,56,United-States,Local-gov
25370,HS-grad,Protective-serv,Black,Husband,Male,20,30,Puerto-Rico,Local-gov
25432,Bachelors,Prof-specialty,White,Husband,Male,48,40,United-States,Local-gov
25443,HS-grad,Adm-clerical,White,Not-in-family,Female,44,40,United-States,Private
25461,Bachelors,Prof-specialty,White,Husband,Male,38,40,Canada,Private
25549,Doctorate,Prof-specialty,Black,Husband,Male,67,12,?,State-gov
25664,Some-college,Sales,White,Unmarried,Male,47,50,United-States,Private
25855,Masters,Prof-specialty,White,Husband,Male,47,35,United-States,Local-gov
2587,Bachelors,Prof-specialty,Asian-Pac-Islander,Husband,Male,36,45,?,Private
26044,HS-grad,Transport-moving,White,Husband,Male,42,40,United-States,Private
26232,Bachelors,Prof-specialty,White,Not-in-family,Female,51,50,United-States,Private
26341,HS-grad,Craft-repair,White,Not-in-family,Female,35,40,United-States,Private
26530,Assoc-voc,Other-service,White,Unmarried,Female,38,40,United-States,Self-emp-not-inc
26601,HS-grad,Adm-clerical,White,Unmarried,Female,46,40,United-States,State-gov
26807,9th,Machine-op-inspct,White,Own-child,Male,17,20,United-States,Private
269,HS-grad,Craft-repair,White,Wife,Female,33,40,United-States,Private
26997,Bachelors,Adm-clerical,White,Own-child,Male,22,20,United-States,Private
27046,Some-college,Prof-specialty,Asian-Pac-Islander,Other-relative,Female,22,20,South,Private
27076,HS-grad,Handlers-cleaners,White,Husband,Male,45,40,United-States,Private
27634,Bachelors,Prof-specialty,White,Not-in-family,Female,24,20,United-States,State-gov
27725,5th-6th,Handlers-cleaners,White,Husband,Male,27,45,Mexico,Private
27898,Some-college,?,White,Not-in-family,Female,39,20,United-States,?
