record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10033,United-States,Male,Amer-Indian-Eskimo,Divorced,Private,HS-grad,Sales,Not-in-family,28
10088,United-States,Female,Black,Divorced,Private,HS-grad,Prof-specialty,Unmarried,50
10297,United-States,Female,White,Married-spouse-absent,Private,Some-college,Prof-specialty,Not-in-family,37
10363,United-States,Female,White,Widowed,Private,HS-grad,Adm-clerical,Not-in-family,65
10464,United-States,Female,White,Divorced,Private,9th,Adm-clerical,Not-in-family,31
10543,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,33
10736,India,Male,Asian-Pac-Islander,Married-civ-spouse,Private,Prof-school,Prof-specialty,Husband,30
10921,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,23
11418,United-States,Female,White,Divorced,Private,Bachelors,Sales,Unmarried,38
11431,Jamaica,Female,Black,Married-civ-spouse,Private,HS-grad,Prof-specialty,Wife,59
11718,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,44
11823,United-States,Female,Black,Divorced,Private,HS-grad,Other-service,Not-in-family,37
11930,United-States,Male,White,Married-civ-spouse,Private,Some-college,Transport-moving,Husband,26
1206,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Protective-serv,Husband,61
12130,Mexico,Male,White,Married-civ-spouse,?,5th-6th,?,Husband,55
1222,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,53
12247,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,75
12301,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,48
12319,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Own-child,29
12341,Mexico,Male,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Husband,29
12343,United-States,Female,White,Widowed,Private,Assoc-acdm,Tech-support,Unmarried,42
12416,United-States,Male,White,Never-married,Private,Assoc-voc,Craft-repair,Not-in-family,57
1255,United-States,Male,Asian-Pac-Islander,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,29
12603,United-States,Female,White,Never-married,Private,HS-grad,Machine-op-inspct,Not-in-family,39
12756,United-States,Male,White,Married-civ-spouse,State-gov,Assoc-acdm,Tech-support,Husband,46
12807,United-States,Male,White,Divorced,Self-emp-not-inc,Bachelors,Adm-clerical,Not-in-family,39
12842,United-States,Male,White,Never-married,Private,Assoc-acdm,Sales,Not-in-family,24
13157,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Other-relative,44
