record_id,education,occupation,race,sex,workclass,age,capital-gain,hours-per-week,native-country
10145,Bachelors,Exec-managerial,White,Male,Private,28,0,40,United-States
10338,HS-grad,Other-service,Black,Female,Private,62,0,38,United-States
10387,Some-college,Handlers-cleaners,White,Male,Private,42,0,38,United-States
10394,Masters,Prof-specialty,White,Male,Private,56,0,66,United-States
10476,Some-college,Farming-fishing,White,Male,Private,56,0,60,United-States
10491,Some-college,Other-service,White,Male,Private,30,0,24,United-States
10505,HS-grad,Exec-managerial,White,Female,Private,26,0,50,United-States
10526,Bachelors,Prof-specialty,White,Female,State-gov,23,0,40,United-States
10567,Bachelors,Adm-clerical,Black,Male,Federal-gov,47,0,40,United-States
10671,12th,Sales,White,Male,Private,17,0,40,United-States
10679,11th,?,Black,Female,?,18,0,50,United-States
11012,Assoc-acdm,Exec-managerial,White,Male,Private,45,0,40,United-States
1106,Bachelors,Prof-specialty,White,Male,Private,31,0,47,United-States
11160,Some-college,Craft-repair,White,Male,Private,26,0,40,Puerto-Rico
11298,HS-grad,Handlers-cleaners,White,Male,Private,43,0,40,United-States
11352,Some-college,Sales,White,Male,Self-emp-inc,53,8614,50,Cuba
11493,Some-college,Craft-repair,White,Male,Private,37,0,40,United-States
11636,Bachelors,Prof-specialty,White,Female,Private,37,0,40,United-States
11651,Bachelors,Exec-managerial,White,Female,Private,34,0,45,United-States
1174,HS-grad,Other-service,White,Male,Private,47,0,40,United-States
1188,Bachelors,Adm-clerical,White,Female,State-gov,24,0,65,United-States
11920,Doctorate,Prof-specialty,White,Male,State-gov,44,0,40,United-States
12028,Some-college,Exec-managerial,White,Female,Private,33,0,40,United-States
12068,Some-college,?,White,Female,?,18,0,4,United-States
12102,HS-grad,Adm-clerical,White,Female,Private,34,0,40,United-States
12157,Bachelors,Prof-specialty,White,Female,Private,33,0,40,United-States
12218,Some-college,?,White,Female,?,21,0,35,United-States
12486,Some-college,Craft-repair,White,Male,Private,59,0,55,United-States
12519,Some-college,Craft-repair,Black,Male,Private,33,8614,40,United-States
1255,HS-grad,Craft-repair,Asian-Pac-Islander,Male,Private,29,0,40,United-States
12580,Bachelors,Adm-clerical,White,Male,Private,65,0,34,United-States
12586,Some-college,Adm-clerical,White,Female,Local-gov,30,0,40,United-States
12686,11th,Other-service,White,Male,Private,63,0,30,United-States
12804,HS-grad,Tech-support,White,Male,Private,51,0,40,United-States
12876,Some-college,Exec-managerial,White,Male,Self-emp-inc,38,0,80,United-States
13036,Some-college,Other-service,White,Male,Private,40,0,45,United-States
13203,HS-grad,?,White,Male,?,63,0,20,United-States
13265,HS-grad,Machine-op-inspct,White,Male,Private,43,0,42,United-States
13359,10th,Machine-op-inspct,White,Male,Private,38,0,40,United-States
1348,Bachelors,Exec-managerial,Asian-Pac-Islander,Male,Private,36,0,60,?
13553,HS-grad,Adm-clerical,White,Male,Private,38,0,40,United-States
13585,HS-grad,Prof-specialty,White,Female,Private,39,4650,40,United-States
13740,11th,Other-service,White,Male,Private,18,0,15,United-States
13783,Some-college,Adm-clerical,White,Female,Private,47,0,40,United-States
1389,11th,Other-service,White,Male,Private,17,0,5,United-States
13890,HS-grad,Other-service,Asian-Pac-Islander,Male,Private,47,0,25,Philippines
13929,HS-grad,Exec-managerial,White,Male,Self-emp-not-inc,32,0,55,United-States
1403,HS-grad,Craft-repair,White,Male,Private,31,0,50,United-States
14104,Prof-school,Prof-specialty,White,Male,Private,80,0,35,United-States
14181,Masters,Adm-clerical,White,Female,Private,27,0,46,United-States
14248,Bachelors,Prof-specialty,White,Female,Self-emp-inc,39,0,40,United-States
