record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
10060,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Transport-moving,Husband,52
10061,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Tech-support,Husband,36
10198,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,43
10308,United-States,Male,White,Never-married,Private,Some-college,Adm-clerical,Own-child,25
10421,United-States,Male,White,Married-civ-spouse,Private,Some-college,Prof-specialty,Husband,38
10560,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,21
10603,United-States,Male,Black,Never-married,Private,11th,Craft-repair,Not-in-family,20
10681,United-States,Female,White,Married-civ-spouse,?,10th,?,Wife,57
10764,United-States,Female,White,Never-married,Private,Some-college,Other-service,Own-child,20
10985,United-States,Male,Black,Never-married,Private,HS-grad,Sales,Not-in-family,26
11029,United-States,Male,White,Married-civ-spouse,Private,Some-college,Tech-support,Husband,32
11039,United-States,Male,White,Married-civ-spouse,?,Masters,?,Husband,55
11066,United-States,Male,White,Married-civ-spouse,Private,Some-college,Prof-specialty,Husband,34
11094,United-States,Male,White,Divorced,Private,Some-college,Exec-managerial,Not-in-family,47
11407,United-States,Male,White,Never-married,Private,Some-college,Adm-clerical,Own-child,23
11448,United-States,Male,White,Never-married,Private,Bachelors,Craft-repair,Not-in-family,41
11454,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Exec-managerial,Husband,25
11462,United-States,Female,White,Never-married,Private,HS-grad,Craft-repair,Not-in-family,25
11620,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,Bachelors,Exec-managerial,Husband,67
11820,United-States,Male,White,Married-civ-spouse,Local-gov,HS-grad,Transport-moving,Husband,49
11874,Mexico,Male,White,Married-civ-spouse,Private,1st-4th,Craft-repair,Husband,33
1201,United-States,Male,White,Married-civ-spouse,Local-gov,Bachelors,Prof-specialty,Husband,30
1203,United-States,Male,White,Never-married,Private,Bachelors,Other-service,Not-in-family,44
12148,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Adm-clerical,Wife,33
12177,United-States,Female,White,Divorced,Private,HS-grad,Exec-managerial,Not-in-family,47
12224,United-States,Male,White,Married-civ-spouse,Local-gov,Masters,Protective-serv,Husband,37
12530,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Own-child,39
12548,United-States,Male,Black,Married-civ-spouse,Private,Some-college,Sales,Husband,32
12568,United-States,Male,White,Married-civ-spouse,Local-gov,Masters,Exec-managerial,Husband,53
12651,United-States,Female,White,Married-civ-spouse,?,HS-grad,?,Wife,25
12672,United-States,Female,Asian-Pac-Islander,Never-married,Private,Bachelors,Adm-clerical,Not-in-family,24
