record_id,education,occupation,relationship,sex,workclass,age,capital-loss,marital-status,native-country,race
10108,Some-college,Other-service,Wife,Female,Private,24,0,Married-civ-spouse,United-States,White
10212,HS-grad,Prof-specialty,Husband,Male,Self-emp-not-inc,34,0,Married-civ-spouse,United-States,White
10320,HS-grad,Transport-moving,Not-in-family,Male,Private,31,0,Separated,United-States,White
10376,HS-grad,Transport-moving,Husband,Male,Private,46,0,Married-civ-spouse,United-States,White
1056,12th,Transport-moving,Husband,Male,Self-emp-not-inc,30,0,Married-civ-spouse,United-States,White
10868,Some-college,Prof-specialty,Husband,Male,Local-gov,29,0,Married-civ-spouse,United-States,White
11001,Some-college,?,Not-in-family,Male,?,23,0,Never-married,United-States,White
11002,10th,Craft-repair,Own-child,Male,Private,25,0,Never-married,United-States,White
1103,Bachelors,Exec-managerial,Husband,Male,Private,41,0,Married-civ-spouse,United-States,Black
11034,HS-grad,Transport-moving,Other-relative,Male,Private,36,0,Separated,Mexico,White
11187,Some-college,Adm-clerical,Unmarried,Female,Private,65,0,Divorced,?,White
1151,Some-college,Adm-clerical,Unmarried,Female,Private,40,0,Divorced,United-States,White
1153,HS-grad,Craft-repair,Husband,Male,Private,51,0,Married-civ-spouse,United-States,White
11674,Masters,Prof-specialty,Husband,Male,Private,42,0,Married-civ-spouse,United-States,White
1170,HS-grad,Adm-clerical,Not-in-family,Female,Private,51,0,Divorced,United-States,White
11795,HS-grad,Farming-fishing,Not-in-family,Male,Private,22,0,Never-married,United-States,White
1187,HS-grad,Craft-repair,Husband,Male,Private,65,0,Married-civ-spouse,United-States,White
11936,HS-grad,Sales,Not-in-family,Male,Self-emp-inc,40,0,Never-married,United-States,White
11940,Some-college,Exec-managerial,Own-child,Male,Private,23,0,Never-married,United-States,White
12126,10th,Craft-repair,Own-child,Male,Private,22,0,Never-married,United-States,White
12131,9th,Machine-op-inspct,Unmarried,Female,Private,29,0,Divorced,United-States,Black
12288,Doctorate,Prof-specialty,Husband,Male,State-gov,41,0,Married-civ-spouse,United-States,White
12396,11th,Machine-op-inspct,Not-in-family,Male,Private,35,0,Never-married,United-States,White
12510,Bachelors,Exec-managerial,Not-in-family,Male,Private,39,0,Never-married,United-States,White
12569,HS-grad,Craft-repair,Not-in-family,Male,Private,25,0,Never-married,United-States,White
12615,10th,Machine-op-inspct,Unmarried,Female,Private,56,0,Widowed,United-States,Black
12678,12th,Sales,Own-child,Male,Private,17,0,Never-married,United-States,White
12965,HS-grad,Sales,Not-in-family,Female,Private,33,0,Separated,United-States,White
