record_id,native-country,sex,race,marital-status,workclass,education,occupation,relationship,age
101,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,44
10150,United-States,Female,White,Married-civ-spouse,Private,Some-college,Adm-clerical,Wife,58
10153,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,27
10297,United-States,Female,White,Married-spouse-absent,Private,Some-college,Prof-specialty,Not-in-family,37
10641,United-States,Male,White,Divorced,Private,HS-grad,Craft-repair,Unmarried,42
10856,United-States,Male,White,Never-married,?,Some-college,?,Not-in-family,22
11144,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Exec-managerial,Husband,52
11280,United-States,Female,White,Widowed,Self-emp-not-inc,Some-college,Farming-fishing,Not-in-family,59
1133,United-States,Female,White,Never-married,Private,Assoc-voc,Adm-clerical,Own-child,37
11480,United-States,Female,Black,Never-married,Private,Bachelors,Exec-managerial,Own-child,24
11536,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,7th-8th,Craft-repair,Husband,63
11541,United-States,Male,White,Married-civ-spouse,Local-gov,Bachelors,Prof-specialty,Husband,63
11696,United-States,Male,White,Married-civ-spouse,Private,7th-8th,Craft-repair,Husband,32
11707,United-States,Male,White,Married-civ-spouse,Private,Some-college,Craft-repair,Husband,62
11730,United-States,Male,White,Never-married,Private,Doctorate,Prof-specialty,Not-in-family,30
11811,England,Female,White,Widowed,Private,HS-grad,Other-service,Unmarried,68
11827,United-States,Male,White,Married-civ-spouse,Private,Some-college,Sales,Husband,30
11888,United-States,Male,White,Divorced,Federal-gov,Some-college,Protective-serv,Own-child,34
11986,China,Male,Asian-Pac-Islander,Married-civ-spouse,Private,HS-grad,Other-service,Husband,35
12016,United-States,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Other-service,Husband,45
12100,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,55
12243,United-States,Female,White,Divorced,Private,HS-grad,Handlers-cleaners,Not-in-family,55
12409,United-States,Female,White,Never-married,Private,11th,Sales,Own-child,17
12421,England,Female,White,Divorced,Private,Some-college,Prof-specialty,Not-in-family,30
12480,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Own-child,19
12524,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,11th,Transport-moving,Husband,37
12551,United-States,Female,White,Never-married,Private,Bachelors,Adm-clerical,Own-child,26
1273,United-States,Female,Black,Never-married,Private,HS-grad,Tech-support,Not-in-family,25
12905,United-States,Male,White,Divorced,Private,11th,Craft-repair,Not-in-family,37
13001,United-States,Male,White,Widowed,Private,HS-grad,Craft-repair,Unmarried,62
13086,United-States,Male,White,Married-civ-spouse,Private,Some-college,Handlers-cleaners,Husband,22
13093,United-States,Male,White,Married-civ-spouse,State-gov,Some-college,Adm-clerical,Husband,50
13176,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,43
13263,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Other-service,Husband,66
13294,United-States,Female,White,Never-married,Local-gov,Bachelors,Prof-specialty,Not-in-family,25
13339,United-States,Female,White,Never-married,Local-gov,Bachelors,Prof-specialty,Not-in-family,23
1338,United-States,Female,White,Divorced,Private,Bachelors,Tech-support,Own-child,71
13406,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Prof-specialty,Husband,47
13512,United-States,Female,White,Widowed,Local-gov,HS-grad,Other-service,Not-in-family,62
13567,United-States,Female,Black,Never-married,Private,Assoc-voc,Prof-specialty,Unmarried,22
13890,Philippines,Male,Asian-Pac-Islander,Married-civ-spouse,Private,HS-grad,Other-service,Husband,47
14155,United-States,Male,White,Married-civ-spouse,Private,10th,Transport-moving,Husband,63
14189,United-States,Female,White,Widowed,Private,HS-grad,Adm-clerical,Unmarried,45
14202,United-States,Male,White,Divorced,Private,Assoc-voc,Exec-managerial,Not-in-family,49
14303,United-States,Female,White,Married-civ-spouse,Private,Some-college,Exec-managerial,Wife,26
14355,United-States,Male,White,Married-civ-spouse,Private,10th,Craft-repair,Husband,29
14409,United-States,Female,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,28
14459,?,Male,White,Never-married,Private,5th-6th,Transport-moving,Not-in-family,26
14552,United-States,Male,White,Never-married,Private,Masters,Sales,Not-in-family,56
1460,United-States,Male,White,Married-civ-spouse,Self-emp-inc,HS-grad,Exec-managerial,Husband,48
14695,United-States,Male,White,Married-civ-spouse,Private,Some-college,Prof-specialty,Husband,51
14966,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Not-in-family,20
15069,United-States,Female,White,Never-married,?,Some-college,?,Not-in-family,23
1510,United-States,Male,Black,Married-spouse-absent,Private,Some-college,Prof-specialty,Unmarried,25
15145,United-States,Male,Black,Married-civ-spouse,Private,HS-grad,Farming-fishing,Husband,34
15348,United-States,Male,White,Never-married,Private,9th,Farming-fishing,Own-child,27
15353,United-States,Female,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Wife,19
15366,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Craft-repair,Husband,31
15380,Canada,Male,White,Married-civ-spouse,Private,9th,Machine-op-inspct,Husband,35
15391,United-States,Female,White,Never-married,Private,HS-grad,Adm-clerical,Not-in-family,22
15400,United-States,Male,White,Divorced,Private,Some-college,Transport-moving,Unmarried,44
1542,United-States,Male,White,Separated,Local-gov,HS-grad,Protective-serv,Not-in-family,39
15511,United-States,Female,White,Never-married,Private,Some-college,Adm-clerical,Not-in-family,18
15643,United-States,Female,Asian-Pac-Islander,Widowed,?,Some-college,?,Unmarried,72
15823,United-States,Male,White,Never-married,Private,Some-college,Craft-repair,Not-in-family,21
16054,United-States,Male,White,Never-married,State-gov,HS-grad,Protective-serv,Not-in-family,42
1614,United-States,Male,White,Never-married,Private,Bachelors,Adm-clerical,Own-child,26
16576,United-States,Male,Asian-Pac-Islander,Married-civ-spouse,Self-emp-inc,Some-college,Craft-repair,Husband,49
16634,United-States,Male,White,Married-civ-spouse,Self-emp-not-inc,HS-grad,Farming-fishing,Husband,62
16758,United-States,Male,White,Married-civ-spouse,Private,10th,Craft-repair,Husband,38
16868,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Exec-managerial,Husband,53
16944,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Prof-specialty,Husband,36
16973,United-States,Male,White,Married-civ-spouse,Private,Assoc-acdm,Sales,Husband,26
16986,United-States,Male,White,Never-married,Private,9th,Craft-repair,Not-in-family,34
17024,United-States,Male,White,Married-civ-spouse,Private,Some-college,Adm-clerical,Husband,41
17100,United-States,Male,White,Separated,Private,10th,Transport-moving,Own-child,40
17110,South,Male,Asian-Pac-Islander,Married-civ-spouse,Private,Bachelors,Sales,Husband,49
17347,United-States,Female,White,Widowed,?,HS-grad,?,Unmarried,48
17416,United-States,Female,White,Divorced,Private,HS-grad,Adm-clerical,Not-in-family,59
17450,United-States,Male,Black,Never-married,Private,HS-grad,Other-service,Own-child,19
17459,United-States,Female,White,Never-married,Private,Bachelors,Tech-support,Own-child,24
17588,United-States,Female,Black,Never-married,State-gov,HS-grad,Other-service,Not-in-family,30
17606,United-States,Male,White,Never-married,Private,Some-college,Other-service,Not-in-family,26
17827,Italy,Female,White,Never-married,Private,Prof-school,Prof-specialty,Not-in-family,25
17904,United-States,Male,White,Never-married,Local-gov,Some-college,Prof-specialty,Other-relative,27
17949,United-States,Male,White,Separated,State-gov,Some-college,Exec-managerial,Own-child,28
17954,United-States,Female,White,Never-married,Private,Bachelors,Prof-specialty,Not-in-family,58
18027,United-States,Female,White,Widowed,Private,Bachelors,Prof-specialty,Not-in-family,64
18060,United-States,Male,White,Married-civ-spouse,Local-gov,Masters,Exec-managerial,Husband,55
18061,United-States,Male,White,Never-married,Private,HS-grad,Handlers-cleaners,Not-in-family,71
18140,United-States,Male,White,Married-civ-spouse,Private,HS-grad,Machine-op-inspct,Husband,37
18151,United-States,Female,White,Never-married,State-gov,HS-grad,Transport-moving,Not-in-family,41
18317,United-States,Male,White,Never-married,Private,Bachelors,Other-service,Other-relative,26
18459,?,Male,Asian-Pac-Islander,Married-civ-spouse,Self-emp-inc,Bachelors,Sales,Husband,44
18488,United-States,Male,White,Divorced,Private,HS-grad,Craft-repair,Not-in-family,37
18616,United-States,Female,Black,Separated,Private,Assoc-voc,Adm-clerical,Own-child,33
18692,United-States,Female,White,Never-married,Private,HS-grad,Machine-op-inspct,Unmarried,20
18694,United-States,Male,White,Never-married,Private,Some-college,Other-service,Own-child,19
18768,United-States,Male,White,Never-married,Local-gov,Some-college,Protective-serv,Own-child,34
1881,United-States,Male,White,Married-civ-spouse,Private,Bachelors,Tech-support,Husband,42
18851,United-States,Male,White,Never-married,Private,HS-grad,Adm-clerical,Not-in-family,25
18901,United-States,Female,White,Separated,Private,Assoc-voc,Prof-specialty,Unmarried,30
18932,United-States,Male,White,Married-civ-spouse,Private,7th-8th,Transport-moving,Husband,63
